[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160209,11.00000000,11.00000000,11.00000000,11.00000000,0.00704803,0.00064073
20160221,2766.00000000,2767.31000000,2766.00000000,2767.31000000,18.92718092,0.00684080
20160223,50.00100000,2767.30000000,50.00100000,60.00200000,9.24689145,0.09749614
20160304,65.01000000,65.01000000,65.01000000,65.01000000,0.00693136,0.00010662
20160305,80.00000000,1100.00000000,65.00100000,65.00100000,7.45770521,0.02274342
20160307,2740.00000000,2740.00000000,2740.00000000,2740.00000000,7.36454460,0.00268779
20160308,100.00100000,100.00100000,100.00100000,100.00100000,0.08356383,0.00083563
20160310,2667.31000000,2667.31000000,2667.31000000,2667.31000000,0.01354993,0.00000508
20160322,50.00100000,50.00100000,50.00100000,50.00100000,0.47000940,0.00940000
20160330,66.00000000,66.00000000,66.00000000,66.00000000,0.00907368,0.00013748
20160411,2767.31000000,2767.31000000,2767.31000000,2767.31000000,16.00949712,0.00578522
20160417,1000.00000000,2767.31000000,1000.00000000,2767.31000000,0.83524217,0.00045292
20160421,67.00310000,67.00310000,67.00310000,67.00310000,0.21931789,0.00327325
20160429,67.00310000,67.00310000,67.00200000,67.00200000,4.42213979,0.06600000
20160503,3000.00000000,3000.00000000,3000.00000000,3000.00000000,3.55710000,0.00118570
20160504,2600.00000000,2600.00000000,500.00000000,500.00000000,7.89998600,0.00908461
20160505,500.00000000,500.00000000,500.00000000,500.00000000,0.25364500,0.00050729
20160506,500.00000000,550.00000000,500.00000000,550.00000000,14.90621550,0.02713931
20160516,550.00000000,550.00000000,550.00000000,550.00000000,11.94901950,0.02172549
20160607,66.00000000,66.00000000,66.00000000,66.00000000,0.00902814,0.00013679
20160608,549.99999999,550.00000000,549.99999999,550.00000000,4.70977649,0.00856323
20160620,549.99999999,549.99999999,55.00000000,549.79999999,62.78176814,0.11423960
20160621,549.99999999,550.00000000,549.99999999,550.00000000,6.82031348,0.01240057
20160628,549.99999999,1196.18900002,549.99999997,611.10000000,142.21077380,0.24844457
20160629,650.00000000,7000.00000000,650.00000000,1000.00000000,121.95826000,0.11770923
20160701,1250.10000000,9999.99999999,1250.10000000,1252.00000000,2.66262627,0.00125515
20160702,2500.00000000,9999.99999999,1255.11000000,1255.11000000,168.28040525,0.08429542
20160703,1700.00000001,7000.00000000,1389.19999999,4000.00000000,310.30419119,0.07510109
20160704,2200.00100001,2200.00100001,2000.00100000,2000.00100000,255.89821795,0.12396932
20160705,2000.00200000,2000.00200000,2000.00100000,2000.00100000,107.96322391,0.05398158
20160708,6666.00000000,6666.00000000,6666.00000000,6666.00000000,4.45162146,0.00066781
20160709,2000.05000000,7770.00000000,2000.05000000,2000.50000000,57.68029524,0.02045250
20160710,2000.51000000,6000.00000000,2000.02240001,6000.00000000,73.37024794,0.03335534
20160712,5870.90915146,5870.90915146,2002.00000000,2020.01200000,220.35281928,0.09867462
20160713,2050.01000001,3000.00000000,2050.00999999,3000.00000000,58.01492891,0.02412167
20160716,3008.04000000,5299.00000000,3008.04000000,5299.00000000,16.63472631,0.00549053
20160717,5300.00000000,6998.99999999,3010.00000000,6998.99999999,114.05891578,0.02261031
20160719,3020.00000000,3020.00000000,3020.00000000,3020.00000000,47.77241360,0.01581868
20160720,3020.00000000,3020.00000000,3020.00000000,3020.00000000,18.54002160,0.00613908
20160722,3037.34000000,5500.00000000,3037.34000000,5500.00000000,1.20696800,0.00030900
20160725,5500.00000000,5500.76081767,3039.89999999,3039.89999999,537.88012416,0.14744294
20160726,3037.34000000,3037.99999999,3037.34000000,3037.99999999,166.60236773,0.05483950
20160727,3049.00000000,3049.00000000,3040.00000000,3040.00000000,139.79315614,0.04585033
20160728,3040.00000000,5998.00000000,3040.00000000,5998.00000000,4.99909934,0.00083534
20160729,5998.99999999,5998.99999999,5250.98153424,5998.00000000,171.52924941,0.03016921
20160730,5998.00000000,5998.99999996,3750.33800000,4000.00000000,5.84438762,0.00134785
20160802,5997.99999786,5997.99999832,5997.99999786,5997.99999832,116.41572172,0.01940909
20160803,4000.00000001,5997.99999832,3100.00000000,3100.00000000,215.57210472,0.05367651
20160804,3100.00000000,3100.00000000,3100.00000000,3100.00000000,0.09365100,0.00003021
20160813,3200.00000000,3200.00000000,3200.00000000,3200.00000000,1.03091200,0.00032216
20160814,3200.00000000,3200.00000000,3200.00000000,3200.00000000,0.11958400,0.00003737
20160815,3200.00000000,5996.99999999,3200.00000000,5432.10000000,0.85551480,0.00022404
20160820,3200.00000000,3200.00000000,3200.00000000,3200.00000000,1.21574400,0.00037992
20160821,3200.00000000,3200.00000000,3200.00000000,3200.00000000,7.33292800,0.00229154
20160823,3200.00000000,3200.00000000,3200.00000000,3200.00000000,0.81795200,0.00025561
20160826,3200.00000000,5390.00000000,3200.00000000,5390.00000000,3.06647000,0.00066577
20160828,3200.00000000,3200.00000000,3200.00000000,3200.00000000,0.00675200,0.00000211
20160830,3100.00000000,5400.00000000,3100.00000000,5400.00000000,22.69548000,0.00694958
20160901,5176.57373759,5176.57373759,5176.57373759,5176.57373759,2.40840093,0.00046525
20160904,5144.91931253,5144.91931253,3101.00000000,4170.08243853,6.40771471,0.00140176
20160905,3101.00000000,3101.00000000,3101.00000000,3101.00000000,4.81737249,0.00155349
20160906,3101.00000000,3101.00000000,3100.00000000,3100.00000000,6.39078588,0.00206123
20160907,3100.00000000,3100.00000000,3100.00000000,3100.00000000,0.27298600,0.00008806
20160908,3100.00000000,3100.00000000,3100.00000000,3100.00000000,2.76203800,0.00089098
20160909,5350.00000000,5350.00000000,5349.00000000,5349.00000000,46.92948015,0.00877197
20160917,3100.00000000,3100.00000000,3100.00000000,3100.00000000,1.55595200,0.00050192
20160920,3100.00000000,3100.00000000,3100.00000000,3100.00000000,0.00077500,0.00000025
20160922,3150.00000000,3150.00000000,3150.00000000,3150.00000000,0.09327150,0.00002961
20160928,3155.00000000,5333.00000000,3155.00000000,5333.00000000,11.06811604,0.00221690
20161004,3205.00000000,3205.00000000,3205.00000000,3205.00000000,1.60250000,0.00050000
20161005,3205.00000000,3205.00000000,3205.00000000,3205.00000000,4.14505855,0.00129331
20161006,3205.00000000,4600.00000000,3203.00000000,4600.00000000,15.14069816,0.00378104
20161014,3203.00000000,3203.00000000,3203.00000000,3203.00000000,0.12812000,0.00004000
20161022,3203.00000000,5430.00000000,1501.00000000,5425.00000000,3086.87843775,1.33398994
20161024,100.00000000,100.00000000,100.00000000,100.00000000,0.20000000,0.00200000
20161027,100.00000000,100.00000000,100.00000000,100.00000000,1.15205700,0.01152057
20161030,1000.00000000,1000.00000000,1000.00000000,1000.00000000,0.49700000,0.00049700
20161031,109.00000000,109.00000000,109.00000000,109.00000000,0.00050140,0.00000460
20161101,1000.00000000,4900.00000000,1000.00000000,4900.00000000,48.70890200,0.00994298
20161102,5000.00000000,5000.00000000,5000.00000000,5000.00000000,17.70385000,0.00354077
20161103,150.00000000,151.00000000,150.00000000,150.00000000,1.50166171,0.01001103
20161104,4000.00000000,4000.00000000,700.00000000,700.00000000,12.68043700,0.00363550
20161105,750.00000000,750.00000000,750.00000000,750.00000000,5.98500000,0.00798000
20161106,750.00000000,750.00000000,750.00000000,750.00000000,0.27014250,0.00036019
20161111,1000.00000000,1000.00000000,1000.00000000,1000.00000000,10.07692000,0.01007692
20161114,1000.00000000,4990.00000000,100.00000000,4800.00000000,476.35553985,1.49945329
20161115,501.00000000,4699.00000000,175.00000000,4699.00000000,0.27988635,0.00119159
20161117,4677.99000000,5000.00000000,4677.99000000,5000.00000000,1236.41277690,0.24941291
20161120,5200.00000000,5200.00000000,5200.00000000,5200.00000000,116.10830400,0.02232852
20161121,5050.00000000,5050.00000000,5050.00000000,5050.00000000,30.30000000,0.00600000
20161124,5050.00000000,5050.00000000,5050.00000000,5050.00000000,0.00343400,0.00000068
20161128,5432.10000000,5432.10000000,5432.10000000,5432.10000000,102.09512443,0.01879478
20161205,5100.00000000,5100.00000000,5100.00000000,5100.00000000,5.10000000,0.00100000
