[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170606,0.00400006,0.00400006,0.00036800,0.00042000,518.84291148,1144361.01481288
20170607,0.00042000,0.00042000,0.00039000,0.00039441,214.97477694,532867.08450058
20170608,0.00039441,0.00040971,0.00035635,0.00038627,86.26225041,224003.62859348
20170609,0.00038588,0.00041499,0.00038000,0.00040000,96.49123032,239831.81456971
20170610,0.00040001,0.00043000,0.00037695,0.00038702,94.31962285,235541.63262078
20170611,0.00038702,0.00039978,0.00032302,0.00035000,73.59481770,203905.38113221
20170612,0.00034983,0.00037417,0.00030005,0.00034824,56.44468656,162881.27087891
20170613,0.00035298,0.00039500,0.00034069,0.00035881,39.06505628,108432.93622424
20170614,0.00035912,0.00038496,0.00034078,0.00034873,38.05090637,106261.62625879
20170615,0.00034873,0.00036127,0.00031922,0.00036058,54.70396075,162012.81169612
20170616,0.00034874,0.00040531,0.00034125,0.00039025,54.67503957,145415.98949230
20170617,0.00037863,0.00040699,0.00035502,0.00039119,100.07286628,256119.29018034
20170618,0.00038780,0.00040000,0.00036001,0.00037233,78.41695966,206402.94952189
20170619,0.00037138,0.00128221,0.00033555,0.00093500,2123.52580654,2663005.76969061
20170620,0.00094001,0.00105750,0.00061110,0.00065452,589.64729354,709434.16475899
20170621,0.00064321,0.00080100,0.00062105,0.00071189,231.02833939,321812.10094700
20170622,0.00071190,0.00076000,0.00065001,0.00068129,210.07655951,303011.60627832
20170623,0.00068129,0.00079233,0.00065882,0.00072095,129.02639519,175731.72907169
20170624,0.00072961,0.00077196,0.00070099,0.00072168,92.48534015,127129.34589313
20170625,0.00071919,0.00072964,0.00060500,0.00062495,86.85289268,129397.52034235
20170626,0.00062500,0.00069955,0.00045010,0.00056899,192.19931240,341133.33560264
20170627,0.00056899,0.00065400,0.00052309,0.00062750,76.00936609,129562.81260299
20170628,0.00062750,0.00077949,0.00057428,0.00071123,94.07134060,136245.89990415
20170629,0.00070112,0.00074363,0.00065264,0.00068399,89.86744412,128436.32097183
20170630,0.00068400,0.00069622,0.00060754,0.00061221,54.78853875,84801.28735632
20170701,0.00061899,0.00062528,0.00055041,0.00057460,55.75918465,95150.01367120
20170702,0.00055945,0.00059997,0.00041126,0.00053129,137.53747066,284320.91028686
20170703,0.00053876,0.00057208,0.00048217,0.00056980,83.48737619,157323.40386320
20170704,0.00057000,0.00057199,0.00050028,0.00050028,39.28592634,74906.27494164
20170705,0.00050129,0.00051658,0.00046000,0.00047299,36.16399726,75409.44147175
20170706,0.00047299,0.00048333,0.00044296,0.00046000,26.25879301,57473.28770758
20170707,0.00046000,0.00046300,0.00036756,0.00038182,59.59216685,145624.15408084
20170708,0.00037006,0.00051870,0.00027075,0.00044417,236.93433802,645747.64626115
20170709,0.00045004,0.00050607,0.00041000,0.00042430,122.42467990,264018.45695728
20170710,0.00043242,0.00043559,0.00034397,0.00036500,63.12152089,162722.62159615
20170711,0.00036500,0.00037771,0.00030107,0.00034000,64.17693273,191207.09130645
20170712,0.00033364,0.00042969,0.00031916,0.00042969,60.19646186,160238.47205579
20170713,0.00043089,0.00048995,0.00037349,0.00045327,86.54116447,200022.85160262
20170714,0.00045327,0.00057317,0.00041892,0.00048533,278.68372014,559126.78522757
20170715,0.00048533,0.00049666,0.00040010,0.00044618,94.82351466,213679.08055079
20170716,0.00044123,0.00046890,0.00033880,0.00040974,82.81973287,207048.43315008
20170717,0.00040974,0.00042162,0.00037281,0.00038409,63.20638787,158307.42482123
20170718,0.00038879,0.00040052,0.00036068,0.00039769,77.98283582,203972.68529325
20170719,0.00039769,0.00039769,0.00035003,0.00035851,44.55876821,119144.84194666
20170720,0.00035852,0.00037690,0.00032010,0.00032601,44.23375557,126740.01282421
20170721,0.00032991,0.00038999,0.00032991,0.00037446,39.14707183,107008.30144305
20170722,0.00037447,0.00040000,0.00035731,0.00036156,69.00989598,183924.72928347
20170723,0.00036156,0.00038907,0.00034070,0.00038907,122.17258977,334735.55698412
20170724,0.00038905,0.00039000,0.00032379,0.00033978,170.05144329,492336.80727749
20170725,0.00033520,0.00035002,0.00028909,0.00030099,122.56523907,388013.05389843
20170726,0.00030080,0.00030757,0.00027000,0.00029500,57.10507186,197211.49963450
20170727,0.00029767,0.00030175,0.00028331,0.00028332,30.93371783,105355.79511717
20170728,0.00028331,0.00028516,0.00024001,0.00024948,34.58835947,133798.57864874
20170729,0.00024387,0.00025166,0.00022352,0.00025165,27.03030549,113533.55466968
20170730,0.00025001,0.00025399,0.00023317,0.00023996,23.89938556,98660.84942596
20170731,0.00023164,0.00026920,0.00022578,0.00024072,30.81819188,127874.71036383
20170801,0.00024103,0.00027070,0.00022465,0.00026505,39.85907268,155682.17356509
20170802,0.00026505,0.00028000,0.00025810,0.00026695,46.96872168,176189.99439975
