[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160516,0.00000010,0.00000059,0.00000006,0.00000038,10.48789055,36979675.65712789
20160517,0.00000040,0.00000230,0.00000040,0.00000082,63.55921040,69840793.53790084
20160518,0.00000083,0.00000102,0.00000050,0.00000060,22.37481073,31694342.18072601
20160519,0.00000056,0.00000063,0.00000040,0.00000045,2.58633198,4879360.63673751
20160520,0.00000046,0.00000062,0.00000041,0.00000051,1.73325437,3391878.52869379
20160521,0.00000049,0.00000060,0.00000042,0.00000053,1.71982015,3309700.94981258
20160522,0.00000053,0.00000059,0.00000049,0.00000059,0.91994950,1582136.05631140
20160523,0.00000056,0.00000056,0.00000042,0.00000044,1.39033930,2897606.17231037
20160524,0.00000044,0.00000053,0.00000040,0.00000043,0.85938955,1906161.48175916
20160525,0.00000042,0.00000044,0.00000026,0.00000037,0.90255649,2905792.71257986
20160526,0.00000035,0.00000035,0.00000024,0.00000026,0.33801423,1172813.77041365
20160527,0.00000027,0.00000033,0.00000021,0.00000024,0.39228707,1508039.70659350
20160528,0.00000024,0.00000024,0.00000016,0.00000018,0.59797819,3197817.06741118
20160529,0.00000018,0.00000028,0.00000017,0.00000025,0.24619966,1153516.51170088
20160530,0.00000025,0.00000034,0.00000023,0.00000029,0.49562415,1694222.32482813
20160531,0.00000029,0.00000037,0.00000029,0.00000037,0.61548595,1783254.70904187
20160601,0.00000037,0.00000084,0.00000036,0.00000054,7.54457925,14254362.63886418
20160602,0.00000054,0.00000060,0.00000041,0.00000049,0.72065679,1453335.66463795
20160603,0.00000049,0.00000056,0.00000047,0.00000050,1.20169530,2304452.39881448
20160604,0.00000047,0.00000047,0.00000019,0.00000034,3.01856563,10916327.41814393
20160605,0.00000035,0.00000042,0.00000034,0.00000041,0.56865443,1488951.36282188
20160606,0.00000041,0.00000046,0.00000035,0.00000041,0.32694873,799999.81642079
20160607,0.00000038,0.00000042,0.00000038,0.00000039,0.04869877,119297.62609756
20160608,0.00000038,0.00000038,0.00000035,0.00000035,0.08072918,218998.47250000
20160609,0.00000035,0.00000035,0.00000032,0.00000035,0.18582316,557928.53973494
20160610,0.00000034,0.00000034,0.00000029,0.00000032,0.09377059,298509.86746623
20160611,0.00000032,0.00000032,0.00000029,0.00000030,0.04744324,156226.32057998
20160612,0.00000029,0.00000030,0.00000025,0.00000026,0.16386757,592213.65200459
20160613,0.00000026,0.00000026,0.00000022,0.00000025,0.19883638,832308.41512623
20160614,0.00000022,0.00000025,0.00000021,0.00000025,0.13725834,573696.03877367
20160615,0.00000025,0.00000027,0.00000022,0.00000024,0.08848551,350484.38302340
20160616,0.00000024,0.00000024,0.00000012,0.00000023,0.89645135,5098786.08092719
