[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20141031,0.00000205,0.00000253,0.00000135,0.00000135,2.55568584,1362579.87386481
20141101,0.00000158,0.00000199,0.00000139,0.00000150,0.79595613,471435.65398925
20141102,0.00000170,0.00000178,0.00000136,0.00000145,0.16915100,118509.50418560
20141103,0.00000145,0.00000197,0.00000140,0.00000194,1.63332494,906074.02593209
20141104,0.00000177,0.00000187,0.00000155,0.00000166,0.47940072,295550.01662509
20141105,0.00000157,0.00000157,0.00000098,0.00000117,1.05304191,850735.85609677
20141106,0.00000122,0.00000140,0.00000117,0.00000140,0.54958669,457347.92323095
20141107,0.00000139,0.00000143,0.00000100,0.00000100,0.41913256,403269.56488489
20141108,0.00000097,0.00000146,0.00000085,0.00000102,0.46407585,361078.57947759
20141109,0.00000102,0.00000102,0.00000090,0.00000090,0.06127853,64446.32526255
20141110,0.00000092,0.00000120,0.00000079,0.00000113,0.48849956,536085.00616938
20141111,0.00000113,0.00000114,0.00000070,0.00000081,0.37556725,429517.87290280
20141112,0.00000080,0.00000100,0.00000071,0.00000100,0.31680928,393663.75924610
20141113,0.00000099,0.00000100,0.00000071,0.00000100,0.48565506,600202.76944291
20141114,0.00000073,0.00000086,0.00000066,0.00000069,0.18450842,253918.77356109
20141115,0.00000076,0.00000078,0.00000062,0.00000062,0.27644137,382800.00169617
20141116,0.00000074,0.00000074,0.00000061,0.00000061,0.34165517,555987.66500734
20141117,0.00000062,0.00000100,0.00000061,0.00000099,0.96696951,1282318.25405516
20141118,0.00000084,0.00000140,0.00000066,0.00000101,0.75469876,767587.08412381
20141119,0.00000103,0.00000103,0.00000069,0.00000070,0.36761941,425718.89513013
20141120,0.00000076,0.00000082,0.00000066,0.00000078,0.11009922,155111.28511714
20141121,0.00000066,0.00000071,0.00000061,0.00000062,0.19358086,302925.86651003
20141122,0.00000062,0.00000069,0.00000061,0.00000068,0.10067252,163714.84121949
20141123,0.00000061,0.00000065,0.00000048,0.00000049,0.06610237,113414.76740234
20141124,0.00000050,0.00000062,0.00000049,0.00000052,0.08186833,147674.74222775
20141125,0.00000050,0.00000061,0.00000050,0.00000056,0.47234749,890724.69558564
20141126,0.00000055,0.00000056,0.00000050,0.00000052,0.10325269,197768.17809925
20141127,0.00000051,0.00000053,0.00000051,0.00000051,0.11585195,227058.77015507
20141128,0.00000051,0.00000059,0.00000051,0.00000052,0.13551140,248416.58011480
20141129,0.00000051,0.00000055,0.00000051,0.00000051,0.08010621,156305.85402528
20141130,0.00000050,0.00000050,0.00000050,0.00000050,0.08082622,161652.48953560
20141201,0.00000050,0.00000052,0.00000047,0.00000047,0.42121395,842217.18958475
20141202,0.00000047,0.00000052,0.00000046,0.00000050,0.02572885,51946.28302485
20141203,0.00000050,0.00000059,0.00000050,0.00000059,0.07000434,136563.14180929
20141204,0.00000052,0.00000059,0.00000051,0.00000056,0.53476612,962365.03561791
20141205,0.00000050,0.00000057,0.00000049,0.00000057,0.08392146,167005.26336534
20141206,0.00000049,0.00000056,0.00000046,0.00000050,0.02473692,49499.55323341
20141207,0.00000050,0.00000053,0.00000050,0.00000051,0.06465246,129187.84106109
20141208,0.00000051,0.00000053,0.00000050,0.00000053,0.35405565,677169.43200406
20141209,0.00000050,0.00000052,0.00000041,0.00000041,0.06212559,130302.14931798
20141210,0.00000042,0.00000080,0.00000042,0.00000077,0.23105294,395557.88969118
20141211,0.00000061,0.00000076,0.00000050,0.00000070,0.11592338,214676.74390240
20141212,0.00000068,0.00000076,0.00000053,0.00000060,0.20600952,311034.88224853
20141213,0.00000056,0.00000056,0.00000046,0.00000047,0.05258355,107679.05566539
20141214,0.00000046,0.00000049,0.00000037,0.00000041,0.03265516,77178.79565002
20141215,0.00000040,0.00000045,0.00000026,0.00000044,0.37594487,983253.06376893
20141216,0.00000039,0.00000044,0.00000030,0.00000036,0.48530600,1288685.98560073
20141217,0.00000033,0.00000040,0.00000028,0.00000040,0.45435034,1225550.15976725
20141218,0.00000034,0.00000043,0.00000027,0.00000036,0.59913475,1791087.72217746
20141219,0.00000031,0.00000036,0.00000027,0.00000027,0.37825120,1300825.76951560
20141220,0.00000029,0.00000032,0.00000025,0.00000025,0.27110247,954975.59381461
20141221,0.00000025,0.00000026,0.00000025,0.00000025,0.04709014,188283.61104867
20141222,0.00000025,0.00000034,0.00000025,0.00000034,0.28530121,960929.74424553
20141223,0.00000032,0.00000033,0.00000028,0.00000028,0.04185926,147167.62491178
20141224,0.00000028,0.00000028,0.00000025,0.00000026,0.06400504,251891.05795195
20141225,0.00000026,0.00000033,0.00000025,0.00000025,0.29364706,1171672.37907118
20141226,0.00000025,0.00000033,0.00000025,0.00000025,0.06741688,266282.20102924
20141227,0.00000028,0.00000063,0.00000028,0.00000052,0.30756395,632835.48927616
20141228,0.00000051,0.00000051,0.00000030,0.00000030,0.06065725,167011.66042193
20141229,0.00000037,0.00000037,0.00000028,0.00000031,0.36649091,1054914.71363146
20141230,0.00000031,0.00000036,0.00000027,0.00000030,0.29758745,973646.85382043
20141231,0.00000030,0.00000035,0.00000027,0.00000035,0.41035813,1423938.52139458
20150101,0.00000027,0.00000034,0.00000026,0.00000027,0.24450641,881021.52337730
20150102,0.00000029,0.00000032,0.00000026,0.00000027,0.23503147,794949.69457105
20150103,0.00000027,0.00000037,0.00000026,0.00000030,0.26106925,895935.42336279
20150104,0.00000027,0.00000030,0.00000026,0.00000027,0.00924428,33585.84994738
20150105,0.00000030,0.00000041,0.00000027,0.00000035,0.29162568,882376.87975665
20150106,0.00000029,0.00000035,0.00000026,0.00000028,0.16343383,519386.64848604
20150107,0.00000027,0.00000037,0.00000026,0.00000037,0.28372801,875083.08899520
20150108,0.00000035,0.00000041,0.00000030,0.00000033,0.21142372,590454.16054843
20150109,0.00000033,0.00000038,0.00000030,0.00000033,0.18833257,547067.54530297
20150110,0.00000032,0.00000038,0.00000032,0.00000036,0.15982820,459186.34660077
20150111,0.00000034,0.00000034,0.00000032,0.00000032,0.02556575,79735.72332279
20150112,0.00000034,0.00000041,0.00000031,0.00000031,0.32025943,936954.82229699
20150113,0.00000032,0.00000039,0.00000030,0.00000036,0.13843790,426947.89821882
20150114,0.00000032,0.00000038,0.00000030,0.00000033,0.02151823,64493.20917394
20150115,0.00000032,0.00000038,0.00000031,0.00000036,0.23610321,676022.00135277
20150116,0.00000035,0.00000035,0.00000032,0.00000032,0.00768552,23515.48040796
20150117,0.00000032,0.00000036,0.00000032,0.00000032,0.01609312,49383.84428707
20150118,0.00000035,0.00000036,0.00000030,0.00000031,0.03725644,119390.98132503
20150119,0.00000030,0.00000041,0.00000030,0.00000034,0.35933969,999442.07737540
20150120,0.00000034,0.00000036,0.00000032,0.00000036,0.23658319,670907.82550089
20150121,0.00000033,0.00000040,0.00000033,0.00000035,0.38669870,1055166.08716566
20150122,0.00000038,0.00000043,0.00000035,0.00000043,0.48128616,1189716.67276798
20150123,0.00000036,0.00000056,0.00000035,0.00000045,0.47708094,1055332.45910281
20150124,0.00000045,0.00000052,0.00000043,0.00000043,0.06894966,150841.31821878
20150125,0.00000042,0.00000044,0.00000040,0.00000040,0.02140546,51621.48881193
20150126,0.00000041,0.00000053,0.00000037,0.00000053,0.26010865,549771.39721479
20150127,0.00000043,0.00000050,0.00000036,0.00000039,0.33902096,821745.90178189
20150128,0.00000037,0.00000048,0.00000037,0.00000038,0.30788207,675574.85916210
20150129,0.00000036,0.00000047,0.00000036,0.00000045,0.22016267,501719.09307394
20150130,0.00000045,0.00000046,0.00000034,0.00000037,0.25576078,602439.39326421
20150131,0.00000036,0.00000047,0.00000034,0.00000034,0.13247898,304017.76136249
20150201,0.00000034,0.00000035,0.00000034,0.00000035,0.00430218,12594.41155115
20150202,0.00000034,0.00000046,0.00000030,0.00000030,0.30306155,728610.28244398
20150203,0.00000034,0.00000041,0.00000032,0.00000040,0.22676828,602431.95973756
20150204,0.00000032,0.00000040,0.00000032,0.00000040,0.21664316,556596.20998086
20150205,0.00000035,0.00000040,0.00000035,0.00000040,0.15148478,402987.57230939
20150206,0.00000039,0.00000040,0.00000034,0.00000039,0.18173877,467076.29164514
20150207,0.00000034,0.00000040,0.00000034,0.00000034,0.13201767,339780.35857195
20150208,0.00000032,0.00000032,0.00000032,0.00000032,0.00290492,9077.88874182
20150209,0.00000032,0.00000040,0.00000031,0.00000032,0.26268728,701784.53823381
20150210,0.00000032,0.00000039,0.00000032,0.00000038,0.31580039,845231.19301707
20150211,0.00000032,0.00000039,0.00000032,0.00000033,0.30383969,817165.35194140
20150212,0.00000033,0.00000039,0.00000031,0.00000031,0.41049347,1115538.16220444
20150213,0.00000031,0.00000038,0.00000031,0.00000038,0.27452282,754962.51127521
20150214,0.00000031,0.00000038,0.00000031,0.00000032,0.11098183,309277.55695825
20150215,0.00000031,0.00000031,0.00000031,0.00000031,0.00245602,7922.73955449
20150216,0.00000031,0.00000037,0.00000031,0.00000031,0.29094146,857308.82404357
20150217,0.00000030,0.00000036,0.00000030,0.00000030,0.15284342,432307.61583625
20150218,0.00000030,0.00000039,0.00000030,0.00000030,0.20155863,585545.27710437
20150219,0.00000030,0.00000049,0.00000030,0.00000049,0.32842057,926329.19244607
20150220,0.00000038,0.00000059,0.00000030,0.00000032,0.51609643,1191343.08184258
20150221,0.00000030,0.00000038,0.00000030,0.00000035,0.14838622,413805.19581744
20150222,0.00000031,0.00000031,0.00000030,0.00000030,0.01111904,36822.40398039
20150223,0.00000030,0.00000048,0.00000030,0.00000033,0.30304955,771345.55964971
20150224,0.00000037,0.00000043,0.00000033,0.00000038,0.37646081,921774.50805049
20150225,0.00000036,0.00000042,0.00000035,0.00000035,0.21020533,527096.11527753
20150226,0.00000035,0.00000042,0.00000032,0.00000041,0.14895027,372731.56290815
20150227,0.00000033,0.00000037,0.00000029,0.00000037,0.11233142,348623.11084950
20150228,0.00000032,0.00000037,0.00000030,0.00000032,0.17402058,482968.73006146
20150301,0.00000032,0.00000035,0.00000030,0.00000035,0.00344141,10966.26244989
20150302,0.00000036,0.00000044,0.00000030,0.00000043,0.35591317,903461.32278075
20150303,0.00000036,0.00000036,0.00000034,0.00000036,0.26653391,759974.26378880
20150304,0.00000033,0.00000038,0.00000032,0.00000033,0.18733418,516159.23848545
20150305,0.00000034,0.00000041,0.00000032,0.00000037,0.49070883,1317824.89870283
20150306,0.00000032,0.00000038,0.00000032,0.00000037,0.20913112,584400.50019763
20150307,0.00000032,0.00000038,0.00000030,0.00000032,0.24468181,681368.24756026
20150308,0.00000032,0.00000033,0.00000031,0.00000033,0.01442248,45578.62611192
20150309,0.00000032,0.00000044,0.00000032,0.00000033,0.40048857,1050436.72282548
20150310,0.00000032,0.00000038,0.00000031,0.00000034,0.20927920,595107.44336197
20150311,0.00000034,0.00000037,0.00000031,0.00000037,0.21340177,620912.36802451
20150312,0.00000034,0.00000039,0.00000031,0.00000035,0.29214055,812579.21354984
20150313,0.00000032,0.00000045,0.00000030,0.00000030,0.41981279,1136904.39844385
20150314,0.00000032,0.00000036,0.00000030,0.00000033,0.20410961,597229.96101899
20150315,0.00000032,0.00000032,0.00000030,0.00000030,0.00601684,19041.86342167
20150316,0.00000030,0.00000030,0.00000030,0.00000030,0.04765785,158859.59951947
20150317,0.00000030,0.00000039,0.00000029,0.00000029,0.21896859,664427.59295460
20150318,0.00000029,0.00000034,0.00000029,0.00000034,0.18821685,589653.76912981
20150319,0.00000031,0.00000034,0.00000029,0.00000034,0.27658078,851232.79667934
20150320,0.00000029,0.00000035,0.00000029,0.00000029,0.26754510,837876.56400723
20150321,0.00000029,0.00000043,0.00000029,0.00000032,0.34617590,1024011.30725449
20150322,0.00000032,0.00000033,0.00000030,0.00000030,0.03305071,106945.18061259
20150323,0.00000030,0.00000050,0.00000029,0.00000048,0.57001698,1529977.64221378
20150324,0.00000042,0.00000061,0.00000042,0.00000060,0.75073200,1417641.51518506
20150325,0.00000051,0.00000063,0.00000045,0.00000062,0.40729234,700819.49945990
20150326,0.00000052,0.00000058,0.00000050,0.00000051,0.10769190,196049.79580103
20150327,0.00000051,0.00000051,0.00000044,0.00000044,0.15572770,332798.29263683
20150328,0.00000045,0.00000045,0.00000036,0.00000039,0.05854515,148259.75193990
20150329,0.00000036,0.00000036,0.00000036,0.00000036,0.09328236,259118.21260177
20150330,0.00000036,0.00000043,0.00000030,0.00000036,0.22615353,642564.68686306
20150331,0.00000036,0.00000043,0.00000036,0.00000037,0.27459048,731315.95118217
20150401,0.00000037,0.00000043,0.00000036,0.00000036,0.04980896,132993.56608501
20150402,0.00000036,0.00000042,0.00000033,0.00000036,0.22413076,621168.57279438
20150403,0.00000036,0.00000042,0.00000034,0.00000035,0.33763402,908998.99026487
20150404,0.00000034,0.00000034,0.00000034,0.00000034,0.01783093,52443.94702576
20150405,0.00000034,0.00000034,0.00000032,0.00000032,0.03012290,91815.64441694
20150406,0.00000032,0.00000039,0.00000032,0.00000034,0.24063473,649779.37963720
20150407,0.00000033,0.00000043,0.00000032,0.00000032,0.21864339,602613.97523818
20150408,0.00000032,0.00000037,0.00000032,0.00000035,0.25175407,735436.06833826
20150409,0.00000034,0.00000038,0.00000031,0.00000038,0.23225581,676084.69653292
20150410,0.00000031,0.00000036,0.00000030,0.00000032,0.26600735,810547.33151356
20150411,0.00000031,0.00000031,0.00000029,0.00000030,0.02511734,85615.14274791
20150412,0.00000030,0.00000030,0.00000029,0.00000029,0.04059462,138726.00435154
20150413,0.00000029,0.00000043,0.00000029,0.00000043,0.34267080,976980.36875842
20150414,0.00000032,0.00000040,0.00000032,0.00000040,0.27706447,775584.68842471
20150415,0.00000034,0.00000040,0.00000031,0.00000040,0.11657924,308648.03622445
20150416,0.00000037,0.00000043,0.00000035,0.00000036,0.14350375,379796.28402017
20150417,0.00000036,0.00000036,0.00000033,0.00000033,0.04368938,125738.07658239
20150418,0.00000033,0.00000037,0.00000031,0.00000037,0.11285672,321096.08820483
20150419,0.00000032,0.00000032,0.00000030,0.00000032,0.04922912,158523.44112301
20150420,0.00000032,0.00000034,0.00000030,0.00000034,0.15903511,503253.84890000
20150421,0.00000031,0.00000037,0.00000029,0.00000033,0.21070088,639341.94029554
20150422,0.00000030,0.00000038,0.00000029,0.00000031,0.20040636,589293.72126025
20150423,0.00000031,0.00000038,0.00000030,0.00000030,0.23145337,692057.14340076
20150424,0.00000030,0.00000035,0.00000030,0.00000030,0.24042382,748630.68307505
20150425,0.00000030,0.00000032,0.00000030,0.00000032,0.13473495,441797.49336447
20150426,0.00000031,0.00000032,0.00000030,0.00000030,0.01367402,45095.94619027
20150427,0.00000030,0.00000035,0.00000029,0.00000035,0.31345412,994167.95720908
20150428,0.00000030,0.00000039,0.00000030,0.00000039,0.51276468,1519300.76066537
