[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170703,0.00126005,0.00162003,0.00001120,0.00004260,127.70381960,2793347.91814095
20170704,0.00004259,0.00004259,0.00002810,0.00002918,278.64986712,7961567.98908992
20170705,0.00002914,0.00003114,0.00002122,0.00002201,128.41786588,5025230.01329809
20170706,0.00002202,0.00002286,0.00001551,0.00001660,159.45549344,9006735.71604781
20170707,0.00001690,0.00001870,0.00001030,0.00001120,111.09633984,8219375.44284541
20170708,0.00001126,0.00001374,0.00001030,0.00001127,57.67750485,4994517.68698161
20170709,0.00001119,0.00001169,0.00000901,0.00001058,44.40024248,4508563.23071800
20170710,0.00001145,0.00001740,0.00000981,0.00001520,213.82764351,14393130.67358842
20170711,0.00001515,0.00001636,0.00001115,0.00001211,57.24200658,4161859.96235111
20170712,0.00001211,0.00001485,0.00000989,0.00001403,38.60944188,3193832.27489013
20170713,0.00001391,0.00001450,0.00001161,0.00001333,23.12872896,1816104.06941182
20170714,0.00001334,0.00001449,0.00001150,0.00001333,28.04555810,2190996.72793037
20170715,0.00001333,0.00001382,0.00000990,0.00001173,33.46675205,3039321.58461768
20170716,0.00001159,0.00001182,0.00000923,0.00001154,19.54704592,1854062.81248672
20170717,0.00001182,0.00001260,0.00000911,0.00001172,19.54953425,1805128.78194249
20170718,0.00001172,0.00001699,0.00001113,0.00001457,41.47773417,2863398.11893519
20170719,0.00001445,0.00001458,0.00001160,0.00001300,41.97719142,3258100.31537497
20170720,0.00001300,0.00001404,0.00001201,0.00001300,13.37336314,1014096.94924637
20170721,0.00001254,0.00001336,0.00000999,0.00001136,16.14424406,1465616.37424414
20170722,0.00001133,0.00001220,0.00000998,0.00001093,11.13073828,1015577.14010156
20170723,0.00001123,0.00001200,0.00001018,0.00001194,4.94884512,425882.88595034
20170724,0.00001198,0.00001322,0.00001051,0.00001226,25.66962414,2159924.42283511
20170725,0.00001234,0.00001289,0.00001059,0.00001059,13.18554545,1145500.21526283
20170726,0.00001138,0.00001294,0.00000975,0.00001153,41.61585398,3783348.82896275
20170727,0.00001153,0.00001198,0.00001075,0.00001111,7.48155538,657354.99647497
20170728,0.00001088,0.00001140,0.00000963,0.00001069,13.49437481,1286032.25588004
20170729,0.00001075,0.00001093,0.00000960,0.00001055,6.23797761,605462.68279939
20170730,0.00001055,0.00001055,0.00000961,0.00001016,6.46687742,642140.34231185
20170731,0.00001016,0.00001022,0.00000957,0.00000974,2.37445322,240386.27026978
20170801,0.00000974,0.00001190,0.00000926,0.00001014,19.27461798,1819339.18530960
20170802,0.00001036,0.00001058,0.00000952,0.00001000,15.80621566,1588221.54819052
