[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150731,1.00000000,1.00000000,0.00003685,0.00004000,2.19876629,44853.02522213
20150801,0.00004165,0.00006733,0.00003500,0.00005000,8.62054134,207778.19578931
20150802,0.00005024,0.00005927,0.00003563,0.00003705,5.28967619,114814.86519036
20150803,0.00003744,0.00003758,0.00002350,0.00003100,1.97565100,60193.59585645
20150804,0.00003100,0.00004323,0.00003000,0.00003299,2.20449627,62475.21869231
20150805,0.00003161,0.00003298,0.00002990,0.00002997,2.33945768,73313.84792442
20150806,0.00002997,0.00003999,0.00002997,0.00003999,9.10412081,274930.27689863
20150807,0.00004000,0.00009400,0.00003665,0.00008797,16.07214289,262980.15164002
20150808,0.00008202,0.00008279,0.00006011,0.00007526,11.23993357,152713.14078595
20150809,0.00008076,0.00008092,0.00005700,0.00005702,9.03421639,134841.95089826
20150810,0.00006286,0.00007900,0.00005999,0.00007199,3.06480012,45723.55033294
20150811,0.00007100,0.00007797,0.00006125,0.00006899,12.32976766,175021.61513161
20150812,0.00006857,0.00008499,0.00006401,0.00006700,16.08170916,211640.01938961
20150813,0.00006672,0.00007153,0.00004005,0.00005500,8.21996683,142149.08423607
20150814,0.00005447,0.00005448,0.00003000,0.00004400,8.15393404,220092.67750368
20150815,0.00004397,0.00006500,0.00003228,0.00004409,8.80092982,178868.46212517
20150816,0.00004410,0.00005377,0.00003502,0.00004600,3.68352209,82592.48407936
20150817,0.00004596,0.00004999,0.00003302,0.00003603,2.97392120,72676.50771717
20150818,0.00003727,0.00003845,0.00003000,0.00003598,1.03769043,29850.94317525
20150819,0.00003341,0.00004100,0.00003200,0.00003241,1.05497341,30527.54454431
20150820,0.00003247,0.00004097,0.00003011,0.00003011,0.47696175,15301.76947698
20150821,0.00003034,0.00003800,0.00003005,0.00003440,2.79622386,86755.72946514
20150822,0.00003181,0.00003181,0.00002500,0.00003001,0.63154516,22775.85332077
20150823,0.00002535,0.00003045,0.00002535,0.00002779,0.81626278,28833.73652582
20150824,0.00002900,0.00004087,0.00002900,0.00003803,13.45327325,358413.45466097
20150825,0.00003999,0.00004085,0.00003099,0.00003099,3.06406033,85712.05187689
20150826,0.00003218,0.00003980,0.00002800,0.00003980,1.35804774,40847.48664301
20150827,0.00003250,0.00003964,0.00003100,0.00003900,1.25583896,35852.49741573
20150828,0.00003900,0.00004100,0.00003017,0.00003017,1.36799895,39442.93457942
20150829,0.00003070,0.00003475,0.00002825,0.00003150,1.08439610,37697.07286697
20150830,0.00003199,0.00003199,0.00002850,0.00002994,0.77602072,27003.69275386
