[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20151110,0.00063400,0.00063400,0.00025003,0.00060666,0.00913293,33.81861373
20151111,0.00049991,0.00049991,0.00049991,0.00049991,0.01280439,25.61340796
20151112,0.00049913,0.00049981,0.00049913,0.00049981,0.06215156,124.35799115
20151113,0.00049981,0.00049981,0.00049981,0.00049981,0.01399468,28.00000000
20151115,0.00025362,0.00025362,0.00025310,0.00025310,0.04976829,196.44410823
20151116,0.00025362,0.00025362,0.00025362,0.00025362,0.04018811,158.45798999
20151117,0.00049970,0.00049970,0.00049970,0.00049970,0.01586027,31.73962357
20151119,0.00030002,0.00030002,0.00030002,0.00030002,0.00090006,3.00000000
20151120,0.00049953,0.00063400,0.00049953,0.00063299,5.21556272,8731.60379407
20151121,0.00053615,0.00053615,0.00053451,0.00053451,0.01221629,22.79155940
20151122,0.00063298,0.00063400,0.00063298,0.00063400,1.05719511,1668.26417024
20151123,0.00063298,0.00063298,0.00063298,0.00063298,0.06809212,107.57389341
20151125,0.00033701,0.00033701,0.00026020,0.00033530,0.19684183,731.57507261
20151126,0.00055187,0.00055200,0.00040000,0.00054989,0.76418548,1797.74571894
20151129,0.00035010,0.00035010,0.00035000,0.00035000,0.70208486,2005.93116051
20151130,0.00049971,0.00049971,0.00049971,0.00049971,0.00049884,0.99827850
20151201,0.00035467,0.00035467,0.00035467,0.00035467,0.02000000,56.39044746
20151202,0.00026284,0.00026284,0.00025400,0.00025400,1.35758574,5221.05453206
20151203,0.00035492,0.00035500,0.00025505,0.00025505,0.61446384,1759.12082991
20151204,0.00026020,0.00026020,0.00026000,0.00026000,0.81967498,3152.51143038
20151205,0.00026148,0.00026148,0.00025888,0.00025888,0.32810326,1265.50159141
20151207,0.00034149,0.00034495,0.00034149,0.00034495,0.34334284,998.01551794
20151208,0.00034494,0.00038999,0.00034493,0.00038864,1.51440999,4358.48687761
20151209,0.00038797,0.00038999,0.00030000,0.00030000,0.87498392,2465.48220833
20151210,0.00030002,0.00030002,0.00030001,0.00030001,0.75002622,2500.00000000
20151217,0.00036720,0.00047000,0.00036720,0.00047000,4.64831626,12570.34678619
20151218,0.00047000,0.00047000,0.00030000,0.00030000,1.43626859,4022.97399859
