[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20151104,0.00000795,0.00000795,0.00000565,0.00000565,0.04094921,7216.00000000
20151105,0.00001001,0.00001001,0.00000998,0.00001001,0.16962017,16957.09114978
20151106,0.00001001,0.00001001,0.00000625,0.00000625,0.00647816,888.93657563
20151108,0.00000634,0.00000634,0.00000230,0.00000230,0.08700506,29200.00000000
20151109,0.00000336,0.00000336,0.00000281,0.00000281,0.05185575,18050.54100000
20151111,0.00000619,0.00001100,0.00000619,0.00001100,0.17486530,17873.03389974
20151112,0.00001099,0.00002700,0.00001099,0.00002700,0.00113456,75.83845682
20151113,0.00001248,0.00001400,0.00001017,0.00001017,0.10461600,8035.56287288
20151114,0.00001393,0.00001400,0.00001393,0.00001400,0.01488574,1064.14819653
20151116,0.00001400,0.00001600,0.00001400,0.00001600,0.07810683,4904.32103097
20151117,0.00001052,0.00001052,0.00001050,0.00001050,0.04205310,4000.00000000
20151118,0.00001055,0.00001284,0.00001000,0.00001284,0.09457883,8711.80789783
20151120,0.00001003,0.00001003,0.00001003,0.00001003,0.00316051,315.10634803
20151121,0.00001280,0.00001280,0.00001280,0.00001280,0.00376481,294.12690234
20151123,0.00000901,0.00000901,0.00000551,0.00000551,0.01391243,2000.00000000
20151124,0.00001046,0.00001294,0.00000983,0.00001294,0.00654338,619.08219725
20151127,0.00001199,0.00001199,0.00001199,0.00001199,0.00049914,41.63044204
20151204,0.00000616,0.00000618,0.00000615,0.00000615,0.66384658,107912.34577666
20151207,0.00000848,0.00001197,0.00000744,0.00001197,0.33384339,36900.00000000
20151208,0.00000632,0.00001000,0.00000614,0.00000616,0.99774809,161000.67224365
20151209,0.00000632,0.00000632,0.00000612,0.00000612,0.01911484,3054.18177458
20151210,0.00000747,0.00000910,0.00000747,0.00000910,0.47618050,62870.33713360
20151214,0.00000980,0.00001780,0.00000810,0.00001248,2.27799576,198803.22577632
20151215,0.00000908,0.00001099,0.00000908,0.00001099,0.00410168,441.00000000
20151216,0.00000818,0.00000818,0.00000766,0.00000766,0.01288709,1658.43255755
20151217,0.00000766,0.00000978,0.00000612,0.00000968,0.03950461,5421.20690598
20151218,0.00000954,0.00000954,0.00000563,0.00000756,0.07307286,11305.13769993
20151219,0.00000725,0.00000852,0.00000571,0.00000852,0.48027502,71094.72953808
20151220,0.00000850,0.00000950,0.00000850,0.00000950,0.02918495,3421.75930246
20151224,0.00000651,0.00000980,0.00000630,0.00000979,0.03022063,4108.57488723
20151226,0.00000971,0.00001088,0.00000971,0.00001088,0.04269270,4214.59128504
20151227,0.00000901,0.00001088,0.00000901,0.00001088,0.06039713,5651.00000000
20151229,0.00001088,0.00001088,0.00001000,0.00001000,0.00284889,276.17620892
20151230,0.00001000,0.00001444,0.00001000,0.00001444,0.47269693,43501.62111612
20151231,0.00001100,0.00001800,0.00001091,0.00001798,0.62513773,38743.41235680
20160101,0.00001796,0.00001800,0.00001552,0.00001574,0.22621638,12993.06621001
20160102,0.00001783,0.00001800,0.00001783,0.00001800,0.61192113,34009.20833333
20160103,0.00001800,0.00002800,0.00001375,0.00002800,0.78810553,34316.26224950
20160104,0.00002258,0.00002750,0.00001361,0.00002701,1.28535114,67097.90788047
20160105,0.00002497,0.00002497,0.00002001,0.00002057,3.34341449,157301.01853657
20160106,0.00002010,0.00002199,0.00001400,0.00001775,3.46588599,183140.22835252
20160107,0.00001769,0.00001769,0.00001454,0.00001519,0.36352731,22916.81546348
20160108,0.00001454,0.00001507,0.00001090,0.00001507,1.84523062,133034.25650149
20160109,0.00001502,0.00001989,0.00001440,0.00001440,0.15363131,10103.19612438
20160110,0.00001547,0.00001990,0.00001547,0.00001984,2.02682597,105875.63449007
20160111,0.00001890,0.00002298,0.00001765,0.00002296,2.67663385,138376.61290018
20160112,0.00002171,0.00002305,0.00001900,0.00002303,2.60261889,124796.71144084
20160113,0.00002301,0.00002305,0.00002143,0.00002223,1.96947307,85777.96201054
20160114,0.00002145,0.00002300,0.00002000,0.00002300,0.73652238,32441.24328055
20160115,0.00002001,0.00002257,0.00002000,0.00002256,0.04576926,2252.10075880
