[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20161026,0.00025000,0.00035000,0.00018213,0.00026400,63.61617855,287158.95167916
20161027,0.00023729,0.00026600,0.00018300,0.00018870,49.90546670,249006.63198643
20161028,0.00019497,0.00025000,0.00017700,0.00022700,40.48680422,194847.47275724
20161029,0.00022132,0.00024599,0.00021002,0.00022576,43.51824015,188398.91399370
20161030,0.00022010,0.00027300,0.00022000,0.00025723,38.32218264,153156.53568018
20161031,0.00025754,0.00037370,0.00025714,0.00033000,109.94014213,339705.05733923
20161101,0.00033721,0.00034442,0.00025120,0.00028425,65.32479116,216717.26983560
20161102,0.00029136,0.00029899,0.00025999,0.00026162,13.59464296,50366.29198266
20161103,0.00026162,0.00027024,0.00021700,0.00026864,21.89582823,92584.35117304
20161104,0.00025583,0.00025998,0.00023406,0.00024377,4.87482329,19878.20512664
20161105,0.00024443,0.00027965,0.00023404,0.00026614,6.51981233,25218.99494480
20161106,0.00025352,0.00027851,0.00024000,0.00024000,2.94261102,11350.90874789
20161107,0.00024193,0.00026800,0.00021000,0.00024387,28.91444345,120947.94659920
20161108,0.00024554,0.00025500,0.00021000,0.00023273,15.68997857,68165.83943112
20161109,0.00023279,0.00023821,0.00020001,0.00021966,6.06158579,28090.55990195
20161110,0.00021501,0.00024400,0.00021000,0.00024300,8.91742572,38190.05988441
20161111,0.00023712,0.00027600,0.00022708,0.00026000,43.92757338,176015.64996089
20161112,0.00025974,0.00025974,0.00023575,0.00025222,10.99506430,44365.54811158
20161113,0.00025247,0.00025500,0.00023611,0.00024800,14.47709031,59060.74098442
20161114,0.00025606,0.00027000,0.00023888,0.00025021,35.01724923,137426.22634466
20161115,0.00025022,0.00027003,0.00024001,0.00024927,12.83773337,51096.14803001
20161116,0.00024277,0.00024901,0.00017014,0.00020200,32.68162663,147988.53702760
20161117,0.00021546,0.00022423,0.00020200,0.00022111,10.04496239,46169.09416260
20161118,0.00021581,0.00024172,0.00020491,0.00022130,17.24405442,78563.06842558
20161119,0.00022390,0.00022610,0.00021431,0.00021723,1.21739114,5479.36716794
20161120,0.00022093,0.00023499,0.00021453,0.00023300,6.86198232,30833.84200321
20161121,0.00023300,0.00023300,0.00022011,0.00022011,3.26453442,14126.21717432
20161122,0.00022215,0.00023294,0.00021000,0.00021080,7.71701344,35074.23919885
20161123,0.00021574,0.00022529,0.00021206,0.00021500,6.33076814,29416.12934134
20161124,0.00021854,0.00023792,0.00020601,0.00022554,7.60609179,33813.00105061
20161125,0.00022239,0.00024124,0.00022000,0.00022900,24.26207762,105052.44327684
20161126,0.00023141,0.00024763,0.00022789,0.00022789,8.91385729,38024.96038408
20161127,0.00022845,0.00024140,0.00022789,0.00022903,8.99103029,38552.50439074
20161128,0.00023261,0.00023300,0.00022199,0.00022582,6.82402207,30097.18372725
20161129,0.00022300,0.00022300,0.00018500,0.00019920,17.37442560,85726.02740124
20161130,0.00019920,0.00019998,0.00018650,0.00019000,8.47089909,43886.77568011
20161201,0.00019000,0.00019001,0.00017674,0.00018006,19.68092355,107339.01645814
20161202,0.00017676,0.00017989,0.00017195,0.00017558,22.61586339,128796.47783136
20161203,0.00017558,0.00018880,0.00017473,0.00018552,12.72407749,70586.34273416
20161204,0.00018552,0.00019354,0.00018433,0.00018761,7.35547862,38930.31702472
20161205,0.00018670,0.00018759,0.00018196,0.00018255,8.39827353,45633.80033307
20161206,0.00018255,0.00018345,0.00017499,0.00017663,11.20502718,63292.99289553
20161207,0.00017787,0.00018223,0.00017545,0.00017870,4.75638957,26591.13606741
20161208,0.00017870,0.00017988,0.00017780,0.00017780,2.43463983,13591.49156978
20161209,0.00017850,0.00017850,0.00016779,0.00017041,10.91162574,63148.32722920
20161210,0.00016779,0.00016780,0.00016325,0.00016586,6.86729268,41496.46007380
20161211,0.00016325,0.00016325,0.00015880,0.00015937,3.27003350,20319.87779191
20161212,0.00016123,0.00016699,0.00016123,0.00016451,7.03151921,42722.60827461
20161213,0.00016451,0.00016699,0.00016152,0.00016152,5.91160307,36042.08421125
20161214,0.00016035,0.00016035,0.00015221,0.00015337,9.59102244,61750.52163448
20161215,0.00015339,0.00015339,0.00014988,0.00014988,2.63802899,17406.08682642
20161216,0.00015236,0.00015236,0.00014100,0.00014100,6.62474858,45562.70352408
20161217,0.00014145,0.00014420,0.00012587,0.00012765,0.89198297,6492.21441398
20161218,0.00012691,0.00014594,0.00012690,0.00012737,3.11579686,23928.50403973
20161219,0.00013235,0.00014858,0.00012550,0.00013802,2.97916834,22257.05558778
20161220,0.00014360,0.00014962,0.00013502,0.00014962,7.37362274,51316.89834656
20161221,0.00015000,0.00019638,0.00015000,0.00018553,7.39748323,43135.86119997
20161222,0.00018564,0.00022500,0.00017001,0.00017001,6.54708021,34536.64569073
20161223,0.00017001,0.00017613,0.00012103,0.00012103,6.97999201,47256.26306811
20161224,0.00013362,0.00015389,0.00013114,0.00014500,0.87565454,5955.24125990
20161225,0.00014501,0.00016992,0.00014501,0.00015262,0.84645807,5456.68104816
20161226,0.00016540,0.00018998,0.00015314,0.00018071,2.87984016,16191.77076438
20161227,0.00016431,0.00017696,0.00016001,0.00017679,1.04120380,6143.95466586
20161228,0.00016845,0.00016845,0.00014175,0.00015000,1.08644530,7521.77718268
20161229,0.00015000,0.00016242,0.00014009,0.00014231,4.55208172,30425.08055103
20161230,0.00014905,0.00015107,0.00014007,0.00015107,0.95976889,6676.19276689
