[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170517,0.00200000,0.00200000,0.00052345,0.00065000,250.47075865,375554.39684519
20170518,0.00064999,0.00084540,0.00055000,0.00081100,1189.15392382,1741136.79024020
20170519,0.00081099,0.00081898,0.00066942,0.00066942,672.48313107,898754.95877661
20170520,0.00066877,0.00074500,0.00065758,0.00070100,449.06598374,641300.67287195
20170521,0.00070800,0.00072998,0.00064500,0.00067147,348.17700888,500106.49255697
20170522,0.00067238,0.00075100,0.00054919,0.00069172,415.61917504,631376.55263331
20170523,0.00069574,0.00093999,0.00069512,0.00093599,766.64626951,931196.31931250
20170524,0.00093599,0.00110000,0.00090000,0.00107015,1133.03004828,1114989.03899541
20170525,0.00107030,0.00109400,0.00079500,0.00091748,499.62819969,559444.70872181
20170526,0.00089013,0.00099140,0.00078534,0.00089644,374.15036614,419850.37804454
20170527,0.00087978,0.00090000,0.00074002,0.00083891,248.23431931,304692.12556995
20170528,0.00083891,0.00088069,0.00075008,0.00085000,259.91888565,313792.98728864
20170529,0.00085000,0.00085000,0.00074351,0.00079809,182.24202248,228660.10258807
20170530,0.00079809,0.00097556,0.00075558,0.00084000,342.18387990,405338.19075283
20170531,0.00084003,0.00096081,0.00079807,0.00091900,374.26497361,425149.03294629
20170601,0.00091900,0.00092229,0.00081221,0.00087150,173.32343924,195310.16603371
20170602,0.00087004,0.00092970,0.00085506,0.00086412,224.68133088,253108.48755560
20170603,0.00086202,0.00092692,0.00086000,0.00087486,262.21802962,293498.47351675
20170604,0.00087333,0.00089500,0.00080000,0.00083917,346.04162440,411673.17176606
20170605,0.00083917,0.00085925,0.00081053,0.00082900,289.94934062,347491.80221812
20170606,0.00083520,0.00092000,0.00079100,0.00083436,289.71201175,341420.97973870
20170607,0.00083457,0.00104230,0.00080600,0.00095485,476.37301543,507001.83077333
20170608,0.00094122,0.00117100,0.00094107,0.00112231,867.65017172,794107.08289501
20170609,0.00113967,0.00117400,0.00100200,0.00117299,506.35393160,449111.13407478
20170610,0.00117399,0.00143333,0.00104444,0.00142792,645.76314352,544842.88326798
20170611,0.00142782,0.00148888,0.00123446,0.00138350,781.42067370,560866.10660646
20170612,0.00140000,0.00148882,0.00132000,0.00141469,540.34847063,383563.20925803
20170613,0.00141469,0.00145637,0.00134100,0.00144097,380.74169137,271783.04139591
20170614,0.00144097,0.00144097,0.00121025,0.00128929,504.81262123,374560.41179040
20170615,0.00128777,0.00135000,0.00120012,0.00133000,359.42345288,283659.76567052
20170616,0.00133000,0.00135901,0.00125360,0.00125360,207.94136578,158093.67339629
20170617,0.00129216,0.00133525,0.00121050,0.00122000,202.17383663,157617.05465096
20170618,0.00122983,0.00128396,0.00114538,0.00114538,286.23336100,239287.25943208
20170619,0.00114539,0.00123000,0.00109105,0.00111577,303.93418566,265330.10978486
20170620,0.00111577,0.00117000,0.00102399,0.00105589,217.78580288,198790.99152263
20170621,0.00105670,0.00130000,0.00100108,0.00107300,401.78974499,339825.66527359
20170622,0.00107657,0.00119905,0.00101443,0.00109906,215.76847648,197121.44321208
20170623,0.00109906,0.00114000,0.00103287,0.00109108,201.29897913,185721.42035972
20170624,0.00110408,0.00112861,0.00103983,0.00103983,235.76259309,218764.57345273
20170625,0.00104500,0.00107483,0.00092000,0.00095379,159.83049505,157291.89840199
20170626,0.00095654,0.00101801,0.00074000,0.00096868,289.45588834,330848.33025853
20170627,0.00095866,0.00099998,0.00082001,0.00096999,135.06608652,150443.26280803
20170628,0.00097798,0.00120000,0.00091009,0.00115806,335.86020586,308566.77943931
20170629,0.00115066,0.00120000,0.00101000,0.00104695,220.14094802,197967.01063995
20170630,0.00104695,0.00107452,0.00090500,0.00093524,155.86512477,156217.07450270
20170701,0.00093485,0.00097263,0.00090205,0.00091360,122.00751630,131588.09493762
20170702,0.00091360,0.00100000,0.00088022,0.00096597,85.45510240,93217.18323184
20170703,0.00096212,0.00100000,0.00086414,0.00093997,120.97280086,132647.33588941
20170704,0.00092370,0.00093922,0.00083410,0.00085008,116.62527117,132689.46642548
20170705,0.00086469,0.00090850,0.00083405,0.00089000,102.71749080,119577.02346952
20170706,0.00089000,0.00097500,0.00085607,0.00094001,136.74908712,148802.93228197
20170707,0.00094003,0.00095999,0.00083001,0.00083362,181.07897531,203600.48136439
20170708,0.00083395,0.00086111,0.00079939,0.00084815,85.94391460,104231.89176331
20170709,0.00084760,0.00089398,0.00083017,0.00084700,56.83977948,66258.72427414
20170710,0.00084699,0.00084699,0.00062500,0.00067914,141.52057244,186185.87598829
20170711,0.00067914,0.00083515,0.00053106,0.00075292,245.34733848,347452.68628794
20170712,0.00075292,0.00085397,0.00070204,0.00084335,152.05966366,191627.41474314
20170713,0.00084334,0.00084848,0.00077475,0.00084848,110.74446111,135585.05805670
20170714,0.00084848,0.00085350,0.00076343,0.00080695,61.15572410,75046.86875170
20170715,0.00082568,0.00082999,0.00074450,0.00077096,89.42990757,112533.97647495
20170716,0.00077096,0.00081000,0.00067463,0.00075463,88.48815242,121201.48410732
20170717,0.00073018,0.00081800,0.00070000,0.00077320,128.56507677,168240.47707421
20170718,0.00077400,0.00090000,0.00073330,0.00088828,121.30465994,148944.01474431
20170719,0.00088000,0.00090000,0.00079001,0.00079005,120.61857690,143288.00250307
20170720,0.00080034,0.00085300,0.00070000,0.00071300,85.13369177,108054.90899375
20170721,0.00071300,0.00081111,0.00071120,0.00078333,61.16239966,79234.03903237
20170722,0.00078335,0.00080856,0.00076500,0.00080515,54.01047340,68475.59983496
20170723,0.00080399,0.00082970,0.00077077,0.00080060,66.45137752,83050.45577538
20170724,0.00078050,0.00080060,0.00076814,0.00077644,47.19601034,60553.17606424
20170725,0.00077700,0.00079430,0.00059760,0.00065840,153.25333553,224020.69258466
20170726,0.00065834,0.00070381,0.00063911,0.00070381,118.56863463,176320.91705921
20170727,0.00070381,0.00070841,0.00062151,0.00062400,46.88385254,70503.90464103
20170728,0.00062453,0.00066982,0.00054680,0.00057318,120.27208313,206254.63753820
20170729,0.00057316,0.00060080,0.00054510,0.00060020,73.89605801,130034.94111853
20170730,0.00060020,0.00061500,0.00057020,0.00060010,45.85799379,76667.43675726
20170731,0.00060010,0.00060730,0.00056197,0.00059495,46.26244611,79112.04942520
20170801,0.00059300,0.00069500,0.00057331,0.00066500,54.17964034,88366.29331604
20170802,0.00065803,0.00065815,0.00059000,0.00065460,66.94232456,107632.21878796
