[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20161013,0.00009999,0.00010000,0.00002026,0.00006225,24.88848514,471846.64691479
20161014,0.00006240,0.00008110,0.00002650,0.00003014,108.33312573,3121627.90271704
20161015,0.00003020,0.00003396,0.00002300,0.00002372,76.05636888,2775185.06674578
20161016,0.00002611,0.00003091,0.00002310,0.00002879,70.08662366,2589526.58734182
20161017,0.00002853,0.00004585,0.00002582,0.00002915,123.46683147,3686715.79547551
20161018,0.00002941,0.00002999,0.00002384,0.00002451,33.66816053,1271183.22798235
20161019,0.00002452,0.00002801,0.00002384,0.00002707,57.11326437,2181786.23245415
20161020,0.00002706,0.00002706,0.00002283,0.00002341,22.53449829,913895.00703497
20161021,0.00002380,0.00002490,0.00002253,0.00002255,11.22707961,470538.30898722
20161022,0.00002262,0.00002320,0.00002000,0.00002062,22.21282188,1034567.54344659
20161023,0.00002020,0.00002181,0.00001835,0.00001899,16.97603218,862909.76475924
20161024,0.00001855,0.00002263,0.00001855,0.00002122,15.66828514,741472.30170358
20161025,0.00002162,0.00002213,0.00001829,0.00001871,11.05326638,547560.72489992
20161026,0.00001913,0.00001995,0.00001601,0.00001754,7.77129911,436376.51337538
20161027,0.00001730,0.00001789,0.00001560,0.00001767,7.30157238,441662.64486515
20161028,0.00001742,0.00001784,0.00001576,0.00001576,0.38880335,23792.43908787
20161029,0.00001576,0.00001576,0.00001199,0.00001199,9.62393846,732164.29183365
20161030,0.00001143,0.00001557,0.00001136,0.00001421,5.72333733,437773.11414556
20161031,0.00001434,0.00001544,0.00001312,0.00001312,3.90550407,264639.39772400
20161101,0.00001346,0.00001346,0.00001210,0.00001250,2.17953862,171590.00160047
20161102,0.00001299,0.00001812,0.00001250,0.00001427,8.98404693,576606.96279802
20161103,0.00001478,0.00001601,0.00001343,0.00001451,5.87157625,416427.34161159
20161104,0.00001475,0.00001658,0.00001388,0.00001658,7.89662079,513777.08722113
20161105,0.00001604,0.00001604,0.00001490,0.00001511,2.57672988,167599.67965788
20161106,0.00001511,0.00001651,0.00001497,0.00001540,3.93290820,255613.28073786
20161107,0.00001540,0.00001562,0.00001385,0.00001418,2.54405383,172703.78522306
20161108,0.00001418,0.00001420,0.00001283,0.00001397,5.17564425,387852.03044944
20161109,0.00001396,0.00001397,0.00001286,0.00001370,3.62059315,266431.97482261
20161110,0.00001370,0.00001429,0.00001370,0.00001411,1.82379544,131165.66881301
20161111,0.00001429,0.00001491,0.00001309,0.00001449,2.45291661,178165.55325823
20161112,0.00001432,0.00001566,0.00001392,0.00001483,2.09379929,140996.92997665
20161113,0.00001492,0.00001590,0.00001010,0.00001426,9.37780900,693289.70974766
20161114,0.00001513,0.00001536,0.00001472,0.00001484,2.78704752,186885.96254646
20161115,0.00001491,0.00001514,0.00001350,0.00001385,4.86140265,336675.96876886
20161116,0.00001385,0.00001438,0.00001214,0.00001221,2.83233594,217860.31718260
20161117,0.00001226,0.00001300,0.00001226,0.00001238,1.58517138,123132.29368003
20161118,0.00001263,0.00001401,0.00001251,0.00001281,2.30088975,174372.41967273
