[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170321,0.00385510,0.00385510,0.00002210,0.00002751,122.28966286,4126741.45639972
20170322,0.00002983,0.00003499,0.00002603,0.00003277,127.93944667,4153270.81534706
20170323,0.00003277,0.00007395,0.00003157,0.00005609,794.89905635,14477268.81345773
20170324,0.00005609,0.00007022,0.00005120,0.00007022,324.02604675,5346010.54273748
20170325,0.00007060,0.00009509,0.00006006,0.00009294,875.27915505,10287923.72223224
20170326,0.00009285,0.00009320,0.00005550,0.00007705,581.40821172,8081903.63501923
20170327,0.00007900,0.00008170,0.00005680,0.00005680,278.11090170,3973225.17667700
20170328,0.00005902,0.00007295,0.00005680,0.00006520,166.62254336,2631690.28483776
20170329,0.00006600,0.00007185,0.00006103,0.00006550,151.04561059,2268085.65998296
20170330,0.00006550,0.00006900,0.00005550,0.00005800,163.51485073,2650578.00567582
20170331,0.00005937,0.00006200,0.00005600,0.00006123,89.60489342,1511683.00744643
20170401,0.00006122,0.00006125,0.00005513,0.00005754,80.43992352,1392148.85416255
20170402,0.00005754,0.00005978,0.00005000,0.00005149,96.60684299,1817163.69579594
20170403,0.00005025,0.00005397,0.00004671,0.00004999,50.45741646,1013436.03745379
20170404,0.00004998,0.00005299,0.00004199,0.00004611,40.79661228,873962.71561996
20170405,0.00004600,0.00005500,0.00004600,0.00005342,36.27438248,709955.08752654
20170406,0.00005342,0.00007220,0.00005070,0.00006090,197.76901466,3162402.46653391
20170407,0.00006100,0.00006500,0.00005706,0.00005900,38.40343704,631610.88004025
20170408,0.00005844,0.00006299,0.00005699,0.00006290,23.74269360,392030.97863600
20170409,0.00006290,0.00006999,0.00006017,0.00006449,57.34701527,873855.63843723
20170410,0.00006449,0.00006695,0.00006106,0.00006543,49.17386030,775154.66231001
20170411,0.00006543,0.00007118,0.00006204,0.00007118,82.15992859,1210018.02563964
20170412,0.00007119,0.00008349,0.00006801,0.00008001,144.21431561,1927491.93049132
20170413,0.00008166,0.00011016,0.00008166,0.00010998,358.30250682,3763575.84142641
20170414,0.00010998,0.00015999,0.00010800,0.00011850,743.93297471,5625966.40744836
20170415,0.00011850,0.00023700,0.00011268,0.00020979,1151.24592131,6365907.89434416
20170416,0.00020913,0.00032376,0.00019998,0.00023917,2677.85806898,10076645.24442938
20170417,0.00024018,0.00025000,0.00009949,0.00020996,2241.01081259,12412639.02733480
20170418,0.00020505,0.00022332,0.00017100,0.00018000,482.31280986,2548609.44547719
20170419,0.00018001,0.00021471,0.00017420,0.00021400,473.25516614,2375120.36833883
20170420,0.00021269,0.00021471,0.00018000,0.00019058,323.13593960,1633455.57013792
20170421,0.00019467,0.00020732,0.00018604,0.00019800,156.94320307,799701.69490379
20170422,0.00019800,0.00019800,0.00016000,0.00016000,295.34830649,1621152.83433052
20170423,0.00016198,0.00017535,0.00015215,0.00015215,138.53137636,831845.47834223
20170424,0.00015215,0.00016599,0.00012222,0.00016000,355.80519673,2473579.96020963
20170425,0.00016003,0.00016600,0.00013100,0.00014313,231.37747317,1563268.22704141
20170426,0.00014213,0.00014796,0.00012500,0.00013000,262.04432873,1894407.32823768
20170427,0.00013000,0.00013998,0.00010750,0.00012758,217.86714345,1767589.67896113
20170428,0.00012758,0.00016515,0.00012758,0.00015190,265.82997948,1773097.51163206
20170429,0.00015186,0.00015960,0.00013501,0.00015040,245.13153476,1703528.01250123
20170430,0.00015085,0.00015631,0.00012778,0.00014200,181.74388403,1234998.45538683
20170501,0.00013829,0.00014836,0.00012290,0.00013341,145.31142868,1086302.40779077
20170502,0.00013342,0.00016000,0.00012823,0.00015000,143.83455497,1000025.01351241
20170503,0.00014990,0.00015987,0.00014290,0.00015505,114.80489297,763861.24119076
20170504,0.00015411,0.00015443,0.00013444,0.00014799,164.16851000,1154711.23958871
20170505,0.00014822,0.00018064,0.00014002,0.00016202,344.92804055,2108291.28804565
20170506,0.00016378,0.00017111,0.00015223,0.00016500,155.10510732,975446.54215126
20170507,0.00016061,0.00016989,0.00014372,0.00015207,162.02554696,1036673.91764468
20170508,0.00014651,0.00015770,0.00013000,0.00014802,147.39403970,1060680.21468463
20170509,0.00014110,0.00015850,0.00012800,0.00012833,117.69037127,860597.94623488
20170510,0.00012834,0.00013481,0.00011990,0.00012700,98.61789581,780023.24523539
20170511,0.00012700,0.00013422,0.00011721,0.00012227,74.60340526,592934.31549386
20170512,0.00012574,0.00012900,0.00011386,0.00011989,127.46365819,1063458.88585356
20170513,0.00012120,0.00014200,0.00011752,0.00012738,85.67840136,657429.31479717
20170514,0.00012730,0.00013899,0.00012370,0.00012568,54.62057361,424847.55692071
20170515,0.00012568,0.00013197,0.00012000,0.00012367,58.51990652,469003.83589580
20170516,0.00012063,0.00012625,0.00009955,0.00010350,116.93320964,1020346.38658918
20170517,0.00010350,0.00012002,0.00008996,0.00011231,171.43732070,1656993.72102069
20170518,0.00011023,0.00011895,0.00010600,0.00010900,96.04165091,870197.08988174
20170519,0.00010811,0.00011686,0.00010000,0.00011565,116.57441845,1066415.57085903
20170520,0.00011565,0.00011565,0.00009000,0.00010229,150.05393422,1479971.31630957
20170521,0.00010140,0.00011500,0.00009009,0.00011499,193.27717583,1901159.85703746
20170522,0.00011499,0.00011957,0.00009510,0.00011227,116.11857067,1073155.67580644
20170523,0.00011000,0.00011998,0.00010853,0.00011500,108.82859291,947495.06332580
20170524,0.00011500,0.00014990,0.00011401,0.00013110,204.91947000,1570321.45748318
20170525,0.00013115,0.00013508,0.00009910,0.00010672,145.42652267,1253030.96436546
20170526,0.00010357,0.00012360,0.00009900,0.00012358,69.06314205,628905.41128650
20170527,0.00012358,0.00012359,0.00010001,0.00010330,71.36780662,668558.88898331
