[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140324,0.02990000,0.02990000,0.02990000,0.02990000,0.15249000,5.10000000
20140325,0.00800000,0.00800000,0.00800000,0.00800000,0.00688117,0.86014624
20140328,0.00710000,0.01290000,0.00710000,0.01290000,0.00997586,0.99758592
20140329,0.00620000,0.00620000,0.00500000,0.00500000,0.19651418,38.67190538
20140330,0.00500000,0.00999999,0.00190000,0.00400000,0.32930015,64.75435388
20140331,0.00200000,0.01000000,0.00200000,0.00630000,0.42605159,52.07768536
20140401,0.00630000,0.00885000,0.00630000,0.00885000,0.01470464,1.93132061
20140402,0.00630000,0.00630000,0.00550000,0.00550000,0.01247911,2.22713536
20140403,0.00510000,0.00510000,0.00510000,0.00510000,0.05304000,10.40000000
20140404,0.00510000,0.00510000,0.00510000,0.00510000,0.36720000,72.00000000
20140408,0.00690000,0.00690000,0.00690000,0.00690000,0.02070000,3.00000000
20140409,0.00320000,0.00320000,0.00230000,0.00230000,0.00986949,3.09881335
20140410,0.00230000,0.00230000,0.00230000,0.00230000,0.01126384,4.89732102
20140411,0.00270000,0.00300000,0.00194464,0.00194464,0.01797327,6.22488114
20140412,0.00290000,0.00290000,0.00290000,0.00290000,0.00101886,0.35133151
20140413,0.00194465,0.00194465,0.00194465,0.00194465,0.01612114,8.29000000
20140414,0.00194465,0.00194465,0.00190000,0.00190000,0.02646818,13.81562441
20140416,0.00150000,0.00220000,0.00150000,0.00220000,0.00258435,1.49130311
20140417,0.00260000,0.00399999,0.00199999,0.00199999,0.38633174,116.20228741
20140418,0.00199999,0.00199999,0.00199999,0.00199999,0.14402346,72.01209587
20140419,0.00131001,0.00131001,0.00131001,0.00131001,0.00026909,0.20540892
20140420,0.00260000,0.00260000,0.00190000,0.00190000,0.01858788,7.81633249
20140422,0.00131001,0.00131001,0.00131001,0.00131001,0.00018122,0.13833409
20140423,0.00189000,0.00200000,0.00189000,0.00191000,0.04258207,22.20681749
20140424,0.00191000,0.00191000,0.00131000,0.00131000,0.00058297,0.41320577
20140425,0.00131001,0.00131001,0.00120000,0.00120000,0.02533424,20.18714942
20140427,0.00120000,0.00120000,0.00120000,0.00120000,0.00000001,0.00000833
