[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170603,1.00000004,1.00000004,0.00006300,0.00006453,100.52681522,1367946.37020030
20170604,0.00006537,0.00014998,0.00006000,0.00011280,5684.45729445,54362387.10237383
20170605,0.00011280,0.00012900,0.00009990,0.00010750,2712.34019256,23848763.51207252
20170606,0.00010743,0.00010780,0.00008500,0.00008950,1971.69074276,20639709.73124433
20170607,0.00008950,0.00010220,0.00007600,0.00008910,2415.29608806,27566186.44259591
20170608,0.00008910,0.00009537,0.00007499,0.00007712,1942.60762967,23207628.75548505
20170609,0.00007833,0.00008530,0.00007529,0.00007997,1028.10044041,12667036.49749344
20170610,0.00007997,0.00008395,0.00006501,0.00006702,1332.90205306,17578976.56235215
20170611,0.00006702,0.00007600,0.00005620,0.00006150,1123.79082305,17551285.60821848
20170612,0.00006150,0.00007300,0.00005720,0.00006810,1123.95098917,17403096.20304316
20170613,0.00006811,0.00007500,0.00006300,0.00007065,1017.22470042,14583263.98237953
20170614,0.00007065,0.00007220,0.00006560,0.00006735,764.09592533,11132494.52273968
20170615,0.00006734,0.00009000,0.00006523,0.00008660,1428.62836637,18846620.13448025
20170616,0.00008656,0.00009980,0.00007680,0.00009150,2620.44472372,28603279.33657478
20170617,0.00009150,0.00009150,0.00007900,0.00008000,1211.72554720,14477148.42517460
20170618,0.00008067,0.00008300,0.00007601,0.00007710,545.22849596,6871349.61503826
20170619,0.00007794,0.00008148,0.00006983,0.00007038,1314.05630527,17620469.92074852
20170620,0.00007051,0.00007684,0.00006950,0.00007448,674.69864659,9259304.83163514
20170621,0.00007448,0.00008053,0.00007137,0.00007331,485.84492544,6470945.19646113
20170622,0.00007355,0.00007418,0.00006800,0.00006951,483.78654041,6766555.10307478
20170623,0.00006952,0.00007544,0.00006666,0.00007530,474.44081212,6558962.14041319
20170624,0.00007520,0.00007799,0.00007000,0.00007176,349.77329449,4835286.48134656
20170625,0.00007173,0.00007479,0.00006093,0.00006655,517.76505207,7597870.80129635
20170626,0.00006725,0.00006996,0.00005503,0.00006278,523.10725029,8437262.99398872
20170627,0.00006278,0.00006543,0.00004888,0.00006100,600.69718032,10598123.25752015
20170628,0.00006099,0.00006947,0.00005629,0.00006852,409.37752235,6382030.07716271
20170629,0.00006852,0.00006933,0.00005900,0.00006128,361.89772296,5747625.81041661
20170630,0.00006130,0.00006193,0.00005395,0.00005427,315.49158548,5405527.60013508
20170701,0.00005432,0.00005900,0.00004500,0.00005293,377.76708671,7160538.19661308
20170702,0.00005293,0.00005535,0.00004000,0.00004981,750.72596335,15814190.22319859
20170703,0.00004962,0.00005230,0.00004848,0.00005072,366.04796274,7184231.50973164
20170704,0.00005133,0.00005455,0.00004931,0.00005000,315.41020859,6152073.00439810
20170705,0.00005002,0.00005209,0.00004755,0.00004980,230.14335041,4599345.64419279
20170706,0.00004974,0.00005094,0.00004485,0.00004658,322.22784411,6831643.43146206
20170707,0.00004651,0.00004834,0.00004050,0.00004313,284.26653481,6542739.12390691
20170708,0.00004313,0.00004461,0.00003777,0.00004125,297.36610481,7385643.17384992
20170709,0.00004060,0.00004500,0.00003952,0.00004285,191.84129845,4565958.14407463
20170710,0.00004265,0.00004578,0.00003750,0.00003815,314.23704533,7632457.13099263
20170711,0.00003800,0.00004112,0.00003440,0.00003794,302.12082853,8077324.87418865
20170712,0.00003794,0.00004400,0.00003523,0.00004292,204.63006461,5186823.19422172
20170713,0.00004292,0.00004340,0.00003725,0.00003894,156.78125737,3892728.17747851
20170714,0.00003859,0.00004215,0.00003741,0.00003916,106.52389738,2735940.94713798
20170715,0.00003915,0.00004052,0.00003775,0.00003918,84.17012150,2152770.22647889
20170716,0.00003930,0.00003930,0.00003607,0.00003745,117.76956808,3180601.01417726
20170717,0.00003718,0.00004165,0.00003695,0.00003992,108.63052248,2780502.20713608
20170718,0.00003992,0.00004398,0.00003636,0.00004181,204.71340703,5167323.23980497
20170719,0.00004181,0.00004389,0.00003387,0.00003617,349.32761987,9210958.61003210
20170720,0.00003617,0.00003900,0.00003491,0.00003523,189.69341228,5207467.04653506
20170721,0.00003492,0.00004000,0.00003491,0.00003878,115.73152617,3038593.85060873
20170722,0.00003837,0.00004956,0.00003805,0.00004867,256.02731627,6076429.72970129
20170723,0.00004865,0.00004949,0.00004386,0.00004727,189.53627659,4097002.73911933
20170724,0.00004733,0.00006055,0.00004465,0.00005230,670.36709316,12576748.53277982
20170725,0.00005230,0.00005811,0.00004393,0.00004526,511.09322677,10306224.04230551
20170726,0.00004525,0.00004832,0.00004296,0.00004801,209.58281906,4588546.94212795
20170727,0.00004800,0.00004890,0.00004065,0.00004189,203.44154989,4585193.05603067
20170728,0.00004189,0.00004216,0.00003568,0.00003854,253.98068738,6526262.48803052
20170729,0.00003843,0.00004000,0.00003651,0.00003993,76.90218895,2013633.91392672
20170730,0.00003943,0.00004220,0.00003650,0.00003651,155.82385368,4049315.66127331
20170731,0.00003677,0.00003800,0.00003002,0.00003638,276.13012380,7793093.62272437
20170801,0.00003630,0.00005042,0.00003600,0.00004470,419.94509252,9745313.59701880
20170802,0.00004465,0.00004830,0.00004113,0.00004308,226.10147423,5201048.01377643
