[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20141118,0.00000270,0.00000297,0.00000245,0.00000254,20.19047364,7921203.41603619
20141119,0.00000254,0.00000285,0.00000212,0.00000267,36.08173617,14268566.95372231
20141120,0.00000261,0.00000288,0.00000247,0.00000267,37.98765750,14147927.67317485
20141121,0.00000269,0.00000330,0.00000254,0.00000318,53.23351861,18261095.40113077
20141122,0.00000316,0.00000319,0.00000290,0.00000293,33.62123760,11095902.79911592
20141123,0.00000294,0.00000302,0.00000274,0.00000290,32.18160925,11432814.91165610
20141124,0.00000289,0.00000295,0.00000260,0.00000275,32.66585399,11819627.33552840
20141125,0.00000275,0.00000280,0.00000255,0.00000258,21.27707706,8065247.76476029
20141126,0.00000261,0.00000265,0.00000222,0.00000261,34.92854283,14259453.49316516
20141127,0.00000246,0.00000257,0.00000223,0.00000237,11.35318094,4922894.33162858
20141128,0.00000237,0.00000247,0.00000210,0.00000246,18.76245727,8371141.80196169
20141129,0.00000231,0.00000238,0.00000211,0.00000235,15.32191834,6754616.28526047
20141130,0.00000235,0.00000255,0.00000217,0.00000234,21.30311905,8986694.26925312
20141201,0.00000227,0.00000250,0.00000226,0.00000237,13.02943490,5580835.63970488
20141202,0.00000237,0.00000237,0.00000212,0.00000222,14.57087679,6385904.58699084
20141203,0.00000220,0.00000229,0.00000211,0.00000227,19.64334200,8731638.22095520
20141204,0.00000222,0.00000250,0.00000211,0.00000231,28.34563066,12570229.59244007
20141205,0.00000232,0.00000235,0.00000050,0.00000181,36.70606801,19695676.02251591
20141206,0.00000189,0.00000260,0.00000110,0.00000171,55.90722233,26772814.01695829
20141207,0.00000181,0.00000189,0.00000098,0.00000142,62.86141798,48326312.81351572
20141208,0.00000141,0.00000185,0.00000078,0.00000119,123.44970780,111355481.21896674
20141209,0.00000112,0.00000117,0.00000091,0.00000094,29.62865182,29865573.49440735
20141210,0.00000095,0.00000109,0.00000068,0.00000093,171.02083761,188471075.33205721
20141211,0.00000090,0.00000090,0.00000063,0.00000072,65.38685156,84731637.56158908
20141212,0.00000071,0.00000077,0.00000037,0.00000066,78.02144943,129405413.35662425
20141213,0.00000067,0.00000085,0.00000065,0.00000085,22.85827186,30725997.63359985
20141214,0.00000082,0.00000100,0.00000077,0.00000097,22.85508104,25941183.03324852
20141215,0.00000097,0.00000099,0.00000075,0.00000075,12.24179743,14466061.12953705
20141216,0.00000080,0.00000084,0.00000066,0.00000073,12.60671265,17511007.42356177
20141217,0.00000074,0.00000075,0.00000061,0.00000070,14.17548181,21323289.76542259
20141218,0.00000070,0.00000072,0.00000063,0.00000067,8.60528618,13138282.36455154
20141219,0.00000065,0.00000069,0.00000052,0.00000059,13.67321657,21977120.31429505
20141220,0.00000058,0.00000072,0.00000052,0.00000067,12.66367044,20877490.17453377
20141221,0.00000067,0.00000072,0.00000063,0.00000064,3.75914036,5504117.90051904
20141222,0.00000067,0.00000069,0.00000055,0.00000058,19.38115852,29351585.86311753
20141223,0.00000058,0.00000061,0.00000056,0.00000057,1.01929569,1777461.72503844
20141224,0.00000059,0.00000064,0.00000056,0.00000058,1.12175565,1823147.10701025
20141225,0.00000059,0.00000071,0.00000058,0.00000066,13.16981402,20751734.58751720
20141226,0.00000066,0.00000071,0.00000061,0.00000061,6.82894534,9976221.42301239
20141227,0.00000062,0.00000065,0.00000057,0.00000060,5.06740112,8222035.14681973
20141228,0.00000059,0.00000066,0.00000056,0.00000065,7.03745778,11069588.12895226
20141229,0.00000065,0.00000071,0.00000060,0.00000065,5.14594349,7814262.59834427
20141230,0.00000065,0.00000066,0.00000060,0.00000065,1.44036222,2321701.75639305
20141231,0.00000062,0.00000063,0.00000053,0.00000057,4.03399522,6883848.28734250
20150101,0.00000058,0.00000064,0.00000058,0.00000064,1.93806611,3171665.57206345
20150102,0.00000060,0.00000061,0.00000059,0.00000059,0.23069802,389797.94607825
20150103,0.00000061,0.00000079,0.00000059,0.00000073,22.24879473,33493138.96582484
20150104,0.00000074,0.00000078,0.00000061,0.00000065,12.11023279,17856288.74536382
20150105,0.00000066,0.00000066,0.00000063,0.00000063,0.58647551,920440.57421821
20150106,0.00000063,0.00000063,0.00000061,0.00000062,1.62749656,2635126.39582754
20150107,0.00000062,0.00000066,0.00000062,0.00000064,0.49019350,776613.07881267
20150108,0.00000064,0.00000068,0.00000062,0.00000066,1.77782258,2774791.57988197
20150109,0.00000064,0.00000064,0.00000061,0.00000061,1.95788597,3164405.83550686
20150110,0.00000061,0.00000061,0.00000059,0.00000059,3.31383083,5584251.08068805
20150111,0.00000059,0.00000065,0.00000059,0.00000065,1.78940845,2928674.42856738
20150112,0.00000065,0.00000067,0.00000060,0.00000063,11.66198604,18261790.84456117
20150113,0.00000063,0.00000065,0.00000061,0.00000064,4.48113954,7016009.56049368
20150114,0.00000063,0.00000072,0.00000056,0.00000070,13.02448188,20427170.12029151
20150115,0.00000070,0.00000073,0.00000060,0.00000060,2.16772254,3223212.53600698
20150116,0.00000065,0.00000068,0.00000061,0.00000064,1.31250045,2052300.42714826
20150117,0.00000067,0.00000069,0.00000067,0.00000069,0.25672536,375745.00000000
20150118,0.00000068,0.00000069,0.00000053,0.00000058,3.77247793,6463885.52224058
20150119,0.00000059,0.00000061,0.00000057,0.00000057,0.59765378,1025378.24028313
20150120,0.00000056,0.00000062,0.00000056,0.00000062,1.11897102,1869406.45817042
20150121,0.00000060,0.00000066,0.00000054,0.00000058,2.48969624,4252923.62215640
20150122,0.00000058,0.00000061,0.00000058,0.00000058,0.04391189,72988.31130732
20150123,0.00000058,0.00000064,0.00000056,0.00000061,0.99273463,1688963.78958467
20150124,0.00000061,0.00000061,0.00000060,0.00000060,0.44583501,735367.73130732
20150125,0.00000061,0.00000061,0.00000056,0.00000056,0.92466322,1560335.99903364
20150126,0.00000061,0.00000063,0.00000058,0.00000058,0.11643863,188553.44991848
20150127,0.00000058,0.00000058,0.00000055,0.00000055,0.00867589,15192.58789250
20150128,0.00000054,0.00000062,0.00000052,0.00000062,18.81709859,30896194.72703209
20150129,0.00000058,0.00000061,0.00000054,0.00000061,2.10962017,3752264.29362770
20150130,0.00000056,0.00000059,0.00000055,0.00000059,0.05177775,90917.07336860
20150131,0.00000059,0.00000063,0.00000059,0.00000063,29.69692133,49424206.53309860
20150201,0.00000060,0.00000060,0.00000034,0.00000046,8.25413516,19162669.03234552
20150202,0.00000049,0.00000052,0.00000046,0.00000052,0.66834270,1350413.39775620
20150203,0.00000052,0.00000057,0.00000048,0.00000051,1.08980431,2013745.14374827
20150204,0.00000053,0.00000060,0.00000040,0.00000055,3.55791804,6625930.48419635
20150205,0.00000055,0.00000059,0.00000052,0.00000054,1.71748599,3140016.91939289
20150206,0.00000054,0.00000054,0.00000042,0.00000043,1.51788139,3337772.19595683
20150207,0.00000047,0.00000049,0.00000044,0.00000045,0.77761988,1631404.06861292
20150208,0.00000048,0.00000051,0.00000045,0.00000045,0.28941231,610275.70548425
20150209,0.00000049,0.00000049,0.00000045,0.00000049,0.26963507,587553.15542787
20150210,0.00000046,0.00000051,0.00000045,0.00000049,0.30234152,641083.41923737
20150211,0.00000049,0.00000051,0.00000046,0.00000051,4.76793979,9719216.47473347
20150212,0.00000046,0.00000055,0.00000046,0.00000055,1.16954521,2273206.92238602
20150213,0.00000051,0.00000055,0.00000048,0.00000054,0.23707344,437804.75297601
20150214,0.00000048,0.00000055,0.00000048,0.00000055,1.14052907,2209789.41161100
20150215,0.00000051,0.00000055,0.00000050,0.00000050,0.45925662,880794.59953043
20150216,0.00000053,0.00000053,0.00000047,0.00000050,2.34765762,4831782.73803508
20150217,0.00000050,0.00000051,0.00000047,0.00000047,0.07323928,149281.45969394
20150218,0.00000052,0.00000053,0.00000052,0.00000053,0.15994762,301882.07547170
20150219,0.00000050,0.00000054,0.00000050,0.00000054,8.94621560,17463145.14058538
20150220,0.00000051,0.00000054,0.00000047,0.00000048,1.60699108,3260698.62894422
