[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150910,1.00000000,1.00000000,0.00019046,0.00029999,1.11282873,1882.48414643
20150911,0.00037989,0.00037989,0.00010001,0.00020867,4.58545946,25958.57428236
20150912,0.00015002,0.00017000,0.00009000,0.00009051,1.69947780,15774.20654286
20150913,0.00009985,0.00013289,0.00007829,0.00007829,0.04562389,465.56449371
20150914,0.00007197,0.00009800,0.00007197,0.00009800,0.14840022,2016.63687702
20150915,0.00009734,0.00009734,0.00009634,0.00009634,0.00197196,20.31707488
20150916,0.00009554,0.00009554,0.00007075,0.00009531,0.00269337,34.42058797
20150917,0.00009426,0.00009426,0.00007659,0.00009275,0.14340518,1542.98002882
20150918,0.00008122,0.00008129,0.00007580,0.00007580,0.31169876,4013.08907872
20150919,0.00008822,0.00008822,0.00008822,0.00008822,0.00441100,50.00000000
20150921,0.00008576,0.00008801,0.00007199,0.00007199,0.47755512,5525.82459357
20150922,0.00007208,0.00007208,0.00007208,0.00007208,0.00375053,52.03291141
20150923,0.00007200,0.00007200,0.00007200,0.00007200,0.00222729,30.93461518
20150925,0.00007200,0.00007200,0.00007200,0.00007200,0.00727200,101.00000000
20150926,0.00007200,0.00007200,0.00007106,0.00007106,0.08052303,1132.14803551
20150927,0.00007107,0.00007107,0.00007106,0.00007106,0.00208207,29.29932207
20150928,0.00007296,0.00007300,0.00007001,0.00007001,0.02569254,357.95616896
20150929,0.00007001,0.00007001,0.00007001,0.00007001,0.01050150,150.00000000
20150930,0.00006802,0.00006984,0.00005885,0.00006984,0.17595251,2678.65910745
20151001,0.00006008,0.00006008,0.00006008,0.00006008,0.00067567,11.24628478
20151002,0.00006650,0.00006651,0.00006650,0.00006651,0.00690199,103.78813656
20151006,0.00007300,0.00007500,0.00006285,0.00007499,1.64407108,21987.35686550
20151007,0.00006612,0.00006612,0.00006320,0.00006320,0.10115372,1574.54766570
20151008,0.00006769,0.00007000,0.00006769,0.00007000,0.03232589,473.03836922
20151009,0.00007000,0.00007000,0.00007000,0.00007000,0.00004962,0.70892840
20151010,0.00007000,0.00007100,0.00007000,0.00007100,0.01678178,236.58592370
20151011,0.00007000,0.00007000,0.00006215,0.00006301,0.00417381,65.26469796
20151012,0.00007096,0.00007100,0.00007096,0.00007100,0.00081888,11.53937738
