[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150215,0.00000049,0.00000055,0.00000015,0.00000015,0.13428919,465099.48263543
20150216,0.00000019,0.00000023,0.00000003,0.00000017,46.65347852,366434764.96974623
20150217,0.00000018,0.00000030,0.00000014,0.00000020,85.26360928,390438148.55584639
20150218,0.00000021,0.00000023,0.00000016,0.00000019,21.85611486,118075847.57213566
20150219,0.00000019,0.00000025,0.00000015,0.00000024,52.53045583,239921952.15902326
20150220,0.00000024,0.00000031,0.00000024,0.00000031,31.51857617,115177015.28462653
20150221,0.00000032,0.00000050,0.00000031,0.00000036,85.37499768,224228938.78913131
20150222,0.00000036,0.00000044,0.00000033,0.00000035,48.24171763,127879439.14349775
20150223,0.00000036,0.00000036,0.00000016,0.00000019,61.34082710,242844281.45435926
20150224,0.00000020,0.00000028,0.00000008,0.00000018,30.69370058,179201661.18455929
20150225,0.00000017,0.00000019,0.00000011,0.00000019,12.07436028,76336283.35305151
20150226,0.00000019,0.00000023,0.00000017,0.00000019,6.72122661,34021579.99420461
20150227,0.00000019,0.00000029,0.00000018,0.00000029,14.12884139,61756602.34610096
20150228,0.00000029,0.00000031,0.00000019,0.00000026,19.56692691,79081323.31938931
20150301,0.00000025,0.00000033,0.00000022,0.00000029,12.93301842,46134159.59518125
20150302,0.00000029,0.00000035,0.00000028,0.00000033,13.27905387,42098433.84841419
20150303,0.00000033,0.00000033,0.00000027,0.00000028,10.16364396,34040483.15992526
20150304,0.00000028,0.00000034,0.00000028,0.00000031,7.64862043,24646283.66748168
20150305,0.00000029,0.00000032,0.00000028,0.00000029,6.94776924,23616905.56622938
20150306,0.00000029,0.00000029,0.00000019,0.00000025,7.03726558,28754256.30706159
20150307,0.00000022,0.00000025,0.00000021,0.00000023,1.56986457,7234595.62661798
20150308,0.00000022,0.00000024,0.00000019,0.00000023,3.43838379,15944225.79221256
20150309,0.00000023,0.00000025,0.00000022,0.00000023,0.55897706,2468805.27947581
20150310,0.00000022,0.00000024,0.00000020,0.00000023,0.32484949,1518130.29935421
20150311,0.00000021,0.00000022,0.00000018,0.00000021,0.74867001,3965538.74022112
20150312,0.00000018,0.00000022,0.00000017,0.00000020,0.86099582,4346205.61194782
20150313,0.00000020,0.00000023,0.00000020,0.00000022,0.91461749,4491153.91385675
20150314,0.00000022,0.00000023,0.00000020,0.00000020,0.42464702,2011011.00000000
20150315,0.00000020,0.00000022,0.00000020,0.00000020,0.12165548,607399.05206974
20150316,0.00000020,0.00000022,0.00000018,0.00000018,0.54777922,2873547.29581255
20150317,0.00000018,0.00000024,0.00000016,0.00000021,4.10644254,20780865.18088992
20150318,0.00000022,0.00000022,0.00000021,0.00000021,0.12917550,614362.41385921
20150319,0.00000021,0.00000023,0.00000018,0.00000019,1.81499764,9025002.51726776
20150320,0.00000019,0.00000021,0.00000019,0.00000019,0.56066577,2909811.15055200
20150321,0.00000019,0.00000021,0.00000013,0.00000016,1.53111409,10477603.18990088
20150322,0.00000016,0.00000020,0.00000015,0.00000020,1.00645473,5794315.57819331
20150323,0.00000020,0.00000020,0.00000018,0.00000018,0.14287132,765952.61752735
20150324,0.00000018,0.00000021,0.00000017,0.00000021,0.54734330,2887227.03494970
20150325,0.00000019,0.00000020,0.00000018,0.00000018,0.15648890,834962.03571657
20150326,0.00000018,0.00000020,0.00000017,0.00000019,0.16780280,917454.60802415
20150327,0.00000017,0.00000021,0.00000017,0.00000021,0.54946051,2835274.81383944
20150328,0.00000021,0.00000021,0.00000017,0.00000018,0.30172329,1677419.84984223
20150329,0.00000017,0.00000018,0.00000011,0.00000015,0.88928658,5867282.64139150
20150330,0.00000014,0.00000016,0.00000013,0.00000015,0.30530808,2144466.76130695
20150331,0.00000015,0.00000016,0.00000012,0.00000014,0.34305609,2312327.67230123
20150401,0.00000014,0.00000015,0.00000011,0.00000014,0.42858684,3202815.12770238
20150402,0.00000013,0.00000015,0.00000006,0.00000015,0.81315574,7413775.93874818
20150403,0.00000013,0.00000016,0.00000011,0.00000016,0.46451633,3163538.69019289
20150404,0.00000015,0.00000019,0.00000013,0.00000018,0.43852743,2600566.57490159
20150405,0.00000015,0.00000019,0.00000014,0.00000014,0.13846374,897977.69743103
20150406,0.00000015,0.00000015,0.00000009,0.00000010,0.37581493,3380106.15740497
20150407,0.00000010,0.00000013,0.00000009,0.00000012,0.18953028,1761185.00853977
20150408,0.00000011,0.00000013,0.00000007,0.00000010,0.41916642,4855542.70965463
20150409,0.00000010,0.00000012,0.00000009,0.00000010,0.16299477,1602473.12276479
20150410,0.00000010,0.00000011,0.00000009,0.00000009,0.17334276,1798531.26990034
20150411,0.00000009,0.00000012,0.00000009,0.00000011,0.21295925,1935991.45605893
20150412,0.00000011,0.00000012,0.00000010,0.00000010,0.09845965,930332.09094145
20150413,0.00000010,0.00000012,0.00000009,0.00000011,0.13211544,1403219.50351746
20150414,0.00000010,0.00000012,0.00000009,0.00000012,0.31075019,3001344.84579246
20150415,0.00000010,0.00000012,0.00000010,0.00000011,0.16517551,1490954.42000797
20150416,0.00000012,0.00000012,0.00000010,0.00000012,0.06793209,599020.50155627
20150417,0.00000012,0.00000018,0.00000010,0.00000014,0.71419485,5101369.46833201
20150418,0.00000012,0.00000016,0.00000010,0.00000012,0.37190079,3143730.36973116
20150419,0.00000012,0.00000014,0.00000009,0.00000012,0.54565636,4684788.87134160
20150420,0.00000011,0.00000013,0.00000010,0.00000012,0.21901278,2123646.16868954
20150421,0.00000012,0.00000012,0.00000009,0.00000012,0.77944556,7449483.56063531
20150422,0.00000010,0.00000012,0.00000008,0.00000011,0.21129543,2206465.87591376
20150423,0.00000010,0.00000011,0.00000007,0.00000009,0.85319454,9364395.83871712
20150424,0.00000010,0.00000015,0.00000009,0.00000009,0.29244600,2558443.31606355
20150425,0.00000010,0.00000013,0.00000007,0.00000013,0.14860039,1590647.54643277
