[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20141113,0.00001200,0.00001205,0.00001098,0.00001100,0.37272378,31008.86209699
20141114,0.00000935,0.00001010,0.00000708,0.00000803,1.68127996,183392.36161110
20141115,0.00000848,0.00001043,0.00000751,0.00001000,2.09272342,238017.43630448
20141116,0.00000852,0.00001650,0.00000753,0.00000805,1.86759046,191218.06332023
20141117,0.00000934,0.00001500,0.00000801,0.00001500,1.42751284,143207.39849211
20141118,0.00001421,0.00001422,0.00000867,0.00001031,0.64346404,57991.87990966
20141119,0.00001032,0.00001098,0.00000750,0.00000751,2.40075059,256827.79291851
20141120,0.00000754,0.00000843,0.00000450,0.00000600,0.82115227,138725.31093709
20141121,0.00000653,0.00000713,0.00000650,0.00000695,0.22634480,33249.00628810
20141122,0.00000650,0.00000800,0.00000600,0.00000750,0.44250594,61997.89140094
20141123,0.00000911,0.00001350,0.00000705,0.00001345,1.01553240,97064.23097167
20141124,0.00000749,0.00001299,0.00000740,0.00000850,1.34737937,121421.52431630
20141125,0.00000940,0.00001299,0.00000940,0.00001299,1.44236044,119657.31513444
20141126,0.00001122,0.00001208,0.00000787,0.00001050,0.52414712,50167.64927281
20141127,0.00001040,0.00001066,0.00000706,0.00001050,0.57885236,55501.25599941
20141128,0.00001049,0.00001049,0.00001049,0.00001049,0.34496002,32884.65362381
20141129,0.00001049,0.00001050,0.00001035,0.00001050,0.47031401,45077.60168516
20141130,0.00001062,0.00001062,0.00001050,0.00001060,0.48431923,45840.71472943
20141201,0.00001050,0.00001056,0.00000788,0.00001050,0.45433236,43556.43325426
20141202,0.00000999,0.00001045,0.00000999,0.00001041,1.55020040,149526.99957945
20141203,0.00001040,0.00001042,0.00000850,0.00000880,0.84467064,85229.96312918
20141204,0.00001000,0.00001040,0.00000817,0.00001037,0.53451412,53515.05699085
20141205,0.00000859,0.00001035,0.00000700,0.00000700,0.18855298,22315.03815454
20141206,0.00000890,0.00001037,0.00000599,0.00001037,0.89343683,103030.02186756
20141207,0.00001025,0.00001025,0.00000927,0.00001020,0.18911589,18542.76692813
20141208,0.00001020,0.00001024,0.00001020,0.00001020,0.23911048,23421.61660347
20141209,0.00001000,0.00001024,0.00000817,0.00000817,0.14019791,14307.46154166
20141210,0.00000914,0.00001036,0.00000913,0.00001020,0.21010058,20699.51338864
20141211,0.00001020,0.00001060,0.00000950,0.00001060,0.87428873,85158.50439398
20141212,0.00001049,0.00001049,0.00000750,0.00001048,0.35097027,34917.62920103
20141213,0.00000894,0.00001350,0.00000894,0.00001350,0.32070891,27045.74378058
20141214,0.00001317,0.00001349,0.00001000,0.00001041,0.05667651,5004.97634532
20141215,0.00000923,0.00001300,0.00000720,0.00001300,0.81439524,80792.42259672
20141216,0.00000875,0.00001285,0.00000750,0.00001044,0.50276351,55784.46495345
20141217,0.00001050,0.00001100,0.00000800,0.00000800,0.13439805,13459.40386328
20141218,0.00000837,0.00000970,0.00000750,0.00000970,0.14350203,15275.78192534
20141219,0.00000733,0.00001075,0.00000599,0.00000812,0.17388295,23742.75401824
20141220,0.00000995,0.00001001,0.00000995,0.00001001,0.11210711,11218.48570668
20141221,0.00000994,0.00001001,0.00000994,0.00001001,0.12212172,12217.44324309
20141222,0.00001000,0.00001015,0.00000599,0.00000852,0.69089306,83948.35461048
20141223,0.00000979,0.00001000,0.00000739,0.00001000,0.02936189,3184.22385338
20141224,0.00000809,0.00000999,0.00000601,0.00000648,0.14164591,17720.60593059
20141225,0.00000608,0.00001005,0.00000607,0.00001004,0.08748289,9188.82076093
20141226,0.00000905,0.00000924,0.00000325,0.00000924,1.51090068,249983.83930020
20141227,0.00000797,0.00000925,0.00000700,0.00000920,0.89187199,97840.01654881
20141228,0.00000899,0.00000899,0.00000800,0.00000850,0.50674319,59020.59352468
20141229,0.00000850,0.00000898,0.00000800,0.00000888,0.42424640,48822.16100107
20141230,0.00000866,0.00000924,0.00000450,0.00000844,2.18073579,251885.76080379
20141231,0.00000921,0.00000925,0.00000700,0.00000769,0.43212830,49397.04753270
20150101,0.00000760,0.00000925,0.00000760,0.00000924,0.70742339,77506.11561722
20150102,0.00000853,0.00001499,0.00000310,0.00001479,2.45271641,293860.07729421
20150103,0.00001431,0.00001479,0.00001251,0.00001460,0.70040041,48934.30149458
20150104,0.00001364,0.00001785,0.00001122,0.00001780,2.68481170,181327.87503755
20150105,0.00001518,0.00002350,0.00001480,0.00002001,4.80943462,242855.76362153
20150106,0.00002000,0.00003676,0.00001502,0.00003403,4.28358784,166335.26970358
20150107,0.00003664,0.00003664,0.00003002,0.00003003,2.07543602,64180.39817215
20150108,0.00003020,0.00003674,0.00002800,0.00003674,1.43577988,47989.44585441
20150109,0.00003112,0.00003555,0.00003112,0.00003112,0.28096981,8143.54015274
20150110,0.00003112,0.00003648,0.00003100,0.00003100,0.72534303,22276.59818186
20150111,0.00003340,0.00003648,0.00003340,0.00003620,0.45990332,13023.43087303
20150112,0.00003362,0.00003620,0.00003202,0.00003600,4.36281004,123843.05753361
20150113,0.00003167,0.00003599,0.00002915,0.00002915,1.52788470,48610.60644645
20150114,0.00003000,0.00003354,0.00002936,0.00003000,0.44510319,14485.27432517
20150115,0.00003000,0.00003124,0.00002900,0.00002934,1.27306351,42423.53170218
20150116,0.00002934,0.00003071,0.00002934,0.00003071,0.43945470,14653.99866221
20150117,0.00003071,0.00003150,0.00002990,0.00002990,0.53050194,17377.38966330
20150118,0.00003000,0.00003117,0.00002705,0.00003064,0.57257911,19427.15762684
20150119,0.00003040,0.00004989,0.00002920,0.00004900,17.81195718,476460.16681350
20150120,0.00004900,0.00007000,0.00004600,0.00007000,9.39868756,159537.46174833
20150121,0.00007300,0.00007487,0.00006018,0.00006499,6.87138705,99015.23199954
20150122,0.00006498,0.00006498,0.00005900,0.00006100,5.15655621,84838.35125546
20150123,0.00005810,0.00006200,0.00005710,0.00006198,2.85419152,47284.66038653
