[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140316,0.00003500,0.00100000,0.00001000,0.00003999,0.03626169,230.93792000
20140317,0.00001749,0.00002750,0.00001051,0.00002750,0.00366951,153.00000000
20140318,0.00001750,0.00001750,0.00001750,0.00001750,0.00001750,1.00000000
20140320,0.00002500,0.00002500,0.00002500,0.00002500,0.00005000,2.00000000
20140323,0.00004000,0.00006000,0.00004000,0.00006000,0.00074690,15.00000000
20140324,0.00007500,0.00100000,0.00007500,0.00100000,0.01418000,109.00000000
20140325,0.00008151,0.00010000,0.00005850,0.00007420,0.14337200,2122.00000000
20140326,0.00007720,0.00008250,0.00006790,0.00007190,0.36779601,4831.72801192
20140327,0.00007190,0.00008250,0.00006550,0.00008250,0.32950958,4735.20360582
20140328,0.00007700,0.00008250,0.00007250,0.00008250,0.07680636,1047.68365661
20140329,0.00008250,0.00008250,0.00007501,0.00007501,0.07158325,881.29393939
20140330,0.00004000,0.00006152,0.00004000,0.00006150,0.17676836,2874.28170635
20140331,0.00005600,0.00005600,0.00005200,0.00005200,0.04316960,805.00000000
20140401,0.00006000,0.00006500,0.00004850,0.00006500,0.07882250,1248.00000000
20140402,0.00007000,0.00008100,0.00007000,0.00008100,0.12998023,1744.81703704
20140403,0.00006500,0.00006500,0.00006500,0.00006500,0.00650000,100.00000000
20140404,0.00008100,0.00008100,0.00008100,0.00008100,0.01725972,213.08296296
20140405,0.00008250,0.00008250,0.00008100,0.00008100,0.03669092,449.88790124
20140407,0.00007500,0.00031990,0.00007359,0.00031990,0.13292250,1657.47367277
20140408,0.00009100,0.00012500,0.00009100,0.00012400,0.05974897,562.36912000
20140409,0.00010000,0.00010000,0.00008100,0.00008100,0.17877422,2110.11462107
20140410,0.00009999,0.00030000,0.00009001,0.00009300,0.31723632,2696.38954853
20140411,0.00010999,0.00014000,0.00009400,0.00010250,0.94860530,7872.80310330
20140412,0.00010100,0.00022500,0.00009999,0.00016650,2.11069177,13839.43530610
20140413,0.00016700,0.00056000,0.00016700,0.00041000,4.07265742,14073.68335357
20140414,0.00041000,0.00095000,0.00041000,0.00055100,10.00716622,14005.00026902
20140415,0.00055100,0.00082998,0.00021000,0.00026000,4.24658119,10662.41603217
20140416,0.00026000,0.00034797,0.00014000,0.00019022,2.64055018,12924.55322647
20140417,0.00018000,0.00040999,0.00017000,0.00035500,2.87941091,10460.45965171
20140418,0.00038996,0.00038996,0.00031027,0.00032002,0.62162114,1700.90609271
20140419,0.00038537,0.00051000,0.00038537,0.00043332,2.60397921,6053.99454874
20140420,0.00046697,0.00052989,0.00040004,0.00049000,0.73100498,1515.50342299
20140421,0.00050010,0.00051900,0.00045000,0.00045000,1.20934196,2428.41365630
20140422,0.00046500,0.00046500,0.00027005,0.00035013,0.90176863,2164.30899767
20140423,0.00041000,0.00088000,0.00037001,0.00037001,1.66357005,3641.05619344
20140424,0.00039999,0.00039999,0.00027011,0.00027011,1.19260103,3668.55278188
20140425,0.00027901,0.00033999,0.00027013,0.00033999,0.48756507,1765.39089391
20140426,0.00033997,0.00033999,0.00018002,0.00033999,0.91885475,3188.76612921
20140427,0.00033999,0.00041998,0.00027001,0.00030000,1.11725411,3434.53725002
20140428,0.00030000,0.00034373,0.00020201,0.00030400,0.27112811,885.94944666
20140429,0.00038990,0.00038990,0.00028000,0.00028000,0.14843067,517.72463239
20140430,0.00028000,0.00031999,0.00025494,0.00026000,0.63475691,2251.56423317
20140501,0.00027000,0.00031999,0.00026000,0.00026000,1.06857918,3946.46550286
20140502,0.00025000,0.00029000,0.00023000,0.00023000,0.13699468,570.09311292
20140503,0.00028300,0.00038300,0.00014001,0.00038300,1.14147644,4273.13248920
20140504,0.00031200,0.00037000,0.00025000,0.00025000,0.19967580,674.79449082
20140505,0.00027000,0.00030000,0.00025010,0.00027511,0.29184008,1078.35699941
20140506,0.00030000,0.00033598,0.00025000,0.00033598,0.79300899,2948.29489034
20140507,0.00030000,0.00030000,0.00030000,0.00030000,0.00306749,10.22495805
20140508,0.00033070,0.00033070,0.00025063,0.00031587,0.20418986,631.55075301
20140509,0.00026003,0.00030988,0.00026003,0.00029200,0.29447316,1103.67946800
20140510,0.00028000,0.00028500,0.00026005,0.00026850,0.06350750,227.87081720
20140511,0.00026850,0.00028990,0.00026010,0.00026012,0.52823813,1962.95527715
20140512,0.00026012,0.00029000,0.00024500,0.00028984,0.97849663,3778.93496361
20140513,0.00024605,0.00028984,0.00024007,0.00024007,0.63536005,2577.58092687
20140514,0.00021255,0.00025988,0.00021000,0.00023000,0.61498192,2826.41062903
20140515,0.00024000,0.00024000,0.00016200,0.00017000,3.01994398,14342.67589735
20140516,0.00020900,0.00023693,0.00017233,0.00019461,1.38796973,7781.60869148
20140517,0.00019461,0.00019463,0.00015000,0.00015000,0.38697904,2311.09712837
20140518,0.00014500,0.00023689,0.00010003,0.00022497,1.13706207,5446.61611174
20140519,0.00019019,0.00022497,0.00017501,0.00021204,0.42869636,2323.44535061
20140520,0.00018556,0.00018556,0.00015501,0.00017500,0.14687269,831.18119224
20140521,0.00017000,0.00018899,0.00016527,0.00017083,0.17518155,1014.58044438
20140522,0.00018430,0.00022503,0.00015500,0.00018734,0.79142500,4392.90467213
20140523,0.00017836,0.00029878,0.00016290,0.00025177,3.83859464,15749.61665777
20140524,0.00026177,0.00035890,0.00022512,0.00029205,4.19648007,13611.07368737
20140525,0.00029205,0.00031999,0.00023901,0.00030928,1.51326383,5345.53486862
20140526,0.00026001,0.00033000,0.00022414,0.00027500,1.05055013,3772.92795163
20140527,0.00025001,0.00033000,0.00024801,0.00029805,3.96426471,13492.03787240
20140528,0.00028001,0.00031990,0.00025002,0.00025105,0.96052206,3671.23603499
20140529,0.00027389,0.00031995,0.00023004,0.00031995,2.98962553,11572.30450111
20140530,0.00029600,0.00031994,0.00028000,0.00030053,2.21564479,7469.77947789
20140531,0.00030053,0.00044200,0.00028001,0.00041000,14.96540342,39896.21215942
20140601,0.00040000,0.00044250,0.00025300,0.00035880,12.31472669,33750.43986732
20140602,0.00032120,0.00035880,0.00029035,0.00033489,1.88026806,5842.66113972
20140603,0.00030050,0.00030426,0.00023005,0.00027000,5.65614840,21797.44620869
20140604,0.00027000,0.00029499,0.00025106,0.00026400,1.28575382,4818.30240980
20140605,0.00026001,0.00031200,0.00022003,0.00027001,6.22400321,21801.72695362
20140606,0.00027001,0.00030000,0.00025703,0.00027062,4.56340659,16229.52763732
20140607,0.00028120,0.00028392,0.00025810,0.00026100,1.71504730,6448.40182294
20140608,0.00026100,0.00028700,0.00025000,0.00025000,1.51255877,5713.49997364
20140609,0.00024101,0.00027500,0.00022510,0.00022720,2.40522170,10170.62947797
20140610,0.00024000,0.00027499,0.00022500,0.00025000,4.31107139,17750.32747767
20140611,0.00024999,0.00027000,0.00023000,0.00026200,4.25217813,16659.68307343
20140612,0.00024049,0.00026495,0.00022500,0.00025929,4.36232167,18106.80583938
20140613,0.00025929,0.00025937,0.00023048,0.00024700,0.93060993,3697.61325519
20140614,0.00024000,0.00024000,0.00020053,0.00023960,2.79191641,12087.89927888
20140615,0.00023959,0.00023959,0.00020051,0.00022608,0.94699772,4250.56609539
20140616,0.00022608,0.00023797,0.00018000,0.00021699,5.33832448,26244.43468654
20140617,0.00021679,0.00021680,0.00013335,0.00018124,1.93168233,10302.62949956
20140618,0.00018125,0.00025250,0.00018125,0.00024504,14.39804091,69000.58541222
20140619,0.00024850,0.00031300,0.00021862,0.00025000,15.62100996,58390.09456272
20140620,0.00025600,0.00028498,0.00022198,0.00024740,7.35875828,29584.76525579
20140621,0.00023001,0.00024740,0.00021200,0.00023457,6.65018206,28742.36036704
20140622,0.00024000,0.00025000,0.00021200,0.00023084,9.22223916,40026.00772617
20140623,0.00022484,0.00023084,0.00019199,0.00021670,8.65860557,40340.43173982
20140624,0.00021670,0.00021670,0.00018500,0.00021659,3.41804782,16499.43125299
20140625,0.00021648,0.00025950,0.00020000,0.00021187,6.39157070,28229.05511523
20140626,0.00021271,0.00024842,0.00020469,0.00021543,2.49359106,10922.58482154
20140627,0.00022000,0.00023706,0.00020689,0.00020689,4.21586607,19074.75741389
20140628,0.00022678,0.00026324,0.00020750,0.00021875,13.06239825,55922.01027299
20140629,0.00021879,0.00022953,0.00021502,0.00021502,2.65162852,11906.37425552
20140630,0.00021502,0.00023000,0.00019980,0.00022988,10.52290357,49536.70155861
20140701,0.00022988,0.00023000,0.00020676,0.00021601,8.52203647,39431.91542526
20140702,0.00022838,0.00023263,0.00019550,0.00020374,4.20476344,19281.47865115
20140703,0.00020374,0.00022500,0.00019660,0.00020162,2.31046945,11334.35585835
20140704,0.00021300,0.00023198,0.00020000,0.00020010,8.54894562,39192.77473831
20140705,0.00021889,0.00022100,0.00020000,0.00020501,4.01154789,19018.96664982
20140706,0.00021001,0.00022100,0.00020000,0.00020990,4.53281621,21855.03175315
20140707,0.00020990,0.00021000,0.00002000,0.00019013,5.20024943,28792.61855946
20140708,0.00020700,0.00020705,0.00018409,0.00019252,0.89965981,4697.97068948
20140709,0.00019959,0.00020700,0.00018630,0.00018750,1.05554095,5422.48584395
20140710,0.00018750,0.00019678,0.00018001,0.00018782,2.26319024,12199.84836146
20140711,0.00018782,0.00018898,0.00017295,0.00018235,0.93728670,5205.38640478
20140712,0.00017504,0.00020952,0.00017304,0.00019517,2.83322265,14784.61015637
20140713,0.00019460,0.00019460,0.00017802,0.00018814,0.64588011,3497.84356007
20140714,0.00018804,0.00021000,0.00016255,0.00017556,1.70947399,9598.97616043
20140715,0.00017557,0.00018800,0.00016539,0.00017000,3.43386777,19798.73488357
20140716,0.00016851,0.00017390,0.00016305,0.00017219,3.78298505,22372.79330328
20140717,0.00017230,0.00018889,0.00016706,0.00017921,4.91530584,27808.78021720
20140718,0.00018118,0.00018300,0.00016702,0.00017338,3.25123328,19005.98869888
20140719,0.00017338,0.00017359,0.00016255,0.00017269,2.27648991,13527.83113845
20140720,0.00016660,0.00017199,0.00016404,0.00016576,1.33203224,7951.70063430
20140721,0.00016542,0.00016773,0.00015501,0.00015603,3.61788399,22827.10981339
20140722,0.00015999,0.00016150,0.00014100,0.00014192,5.71398916,37148.38488892
20140723,0.00014551,0.00014800,0.00013310,0.00013310,1.93398895,13666.07126847
20140724,0.00014358,0.00014392,0.00012108,0.00012162,7.03587873,54654.06542158
20140725,0.00012106,0.00019870,0.00012000,0.00016998,66.90119568,407061.56079355
20140726,0.00016997,0.00017398,0.00015501,0.00016429,36.01865566,217407.30548064
20140727,0.00016433,0.00017455,0.00016013,0.00017452,23.16766134,138021.50533424
20140728,0.00017450,0.00018499,0.00016300,0.00016326,65.37739685,378139.61331116
20140729,0.00016338,0.00016940,0.00015000,0.00015250,29.85009970,187490.74144983
20140730,0.00015250,0.00015790,0.00013001,0.00013529,29.63742522,202173.14605657
20140731,0.00013700,0.00016148,0.00013000,0.00016110,27.36790919,192156.43291455
20140801,0.00015700,0.00016148,0.00013706,0.00014322,33.64710882,233755.72280517
20140802,0.00014700,0.00014888,0.00013710,0.00014101,19.42369427,136199.44967579
20140803,0.00014199,0.00014900,0.00013302,0.00013462,12.92960844,90968.45924499
20140804,0.00013759,0.00014300,0.00012200,0.00012718,16.12542843,120407.76818013
20140805,0.00012375,0.00013838,0.00011369,0.00012641,25.28611050,203404.46980610
20140806,0.00012639,0.00012848,0.00011610,0.00012000,18.88699903,155846.28232526
20140807,0.00012426,0.00012625,0.00011666,0.00011976,10.87623910,90099.65734981
20140808,0.00011976,0.00012179,0.00011114,0.00011363,8.26393917,70388.68582406
20140809,0.00011598,0.00011885,0.00010717,0.00011709,12.61458087,112631.91272185
20140810,0.00011237,0.00011700,0.00010518,0.00010558,10.62498495,96747.15557731
20140811,0.00010585,0.00011097,0.00008301,0.00009394,24.07309882,250496.30567285
20140812,0.00009452,0.00011001,0.00008914,0.00009650,13.66966208,140701.32900150
20140813,0.00009429,0.00010998,0.00009100,0.00009989,15.90186711,167135.08202134
20140814,0.00009856,0.00010998,0.00009800,0.00010080,17.62076995,168942.47353418
20140815,0.00010100,0.00010468,0.00009607,0.00009700,8.51066756,85140.33397744
20140816,0.00009585,0.00009933,0.00009222,0.00009222,4.94888302,51480.91713682
20140817,0.00009243,0.00010090,0.00009243,0.00009780,5.21302795,53072.05602527
20140818,0.00009959,0.00009994,0.00008002,0.00009443,15.67756446,174712.86099589
20140819,0.00009443,0.00013798,0.00008833,0.00013106,85.60859820,736685.33304922
20140820,0.00013105,0.00013597,0.00011501,0.00012495,53.52480973,421350.14470098
20140821,0.00012699,0.00012973,0.00010932,0.00011228,24.16779466,207218.36163898
20140822,0.00011230,0.00011654,0.00010000,0.00010500,16.10927644,149578.36889747
20140823,0.00010305,0.00010999,0.00009620,0.00010264,16.85744121,164490.07095967
20140824,0.00010262,0.00010598,0.00009400,0.00009972,14.66525163,147604.95107515
20140825,0.00009966,0.00009966,0.00008751,0.00008860,30.28244323,327808.24430773
20140826,0.00008858,0.00009503,0.00008583,0.00008779,20.17678077,228109.19380310
20140827,0.00008778,0.00009156,0.00008212,0.00008361,18.58134379,214942.03466956
20140828,0.00008497,0.00009073,0.00008251,0.00008593,11.40217346,130830.77183096
20140829,0.00008624,0.00009239,0.00008615,0.00008800,8.02527837,90555.26201400
20140830,0.00008801,0.00009200,0.00008000,0.00008735,15.70139284,180853.39725979
20140831,0.00008772,0.00009007,0.00008500,0.00008706,7.34499874,83565.42916733
20140901,0.00008684,0.00009000,0.00008300,0.00008800,7.01274297,80629.55930454
20140902,0.00008800,0.00008804,0.00008000,0.00008660,6.19775094,72892.82567244
20140903,0.00008451,0.00008880,0.00008406,0.00008508,6.24594821,73018.39521533
20140904,0.00008637,0.00008799,0.00008300,0.00008568,18.93803254,220967.64204024
20140905,0.00008619,0.00008990,0.00008437,0.00008637,4.99299754,56960.18146009
20140906,0.00008637,0.00009058,0.00008431,0.00008680,7.45661056,84237.60626314
20140907,0.00008789,0.00008994,0.00008068,0.00008850,20.71150483,244643.99263582
20140908,0.00008850,0.00008890,0.00008500,0.00008717,4.83881513,55667.64395545
20140909,0.00008859,0.00008859,0.00008284,0.00008684,16.79003406,195524.83729855
20140910,0.00008684,0.00010993,0.00008494,0.00010031,51.66354035,523768.22323844
20140911,0.00010010,0.00010129,0.00009200,0.00009530,15.99166624,167040.24994422
20140912,0.00009530,0.00011000,0.00009339,0.00010889,29.19043892,280889.99330601
20140913,0.00010888,0.00014315,0.00010712,0.00013285,92.50364205,722937.78909354
20140914,0.00013245,0.00013245,0.00010686,0.00011109,46.02358900,390940.33285218
20140915,0.00011108,0.00017500,0.00010650,0.00015990,134.80672529,892620.03949940
