[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20141029,0.00025000,0.00025000,0.00025000,0.00025000,230.06671935,920266.88398442
20141030,0.00025000,0.00025000,0.00025000,0.00025000,45.66529776,182661.19401936
20141031,0.00025000,0.00025000,0.00025000,0.00025000,10.53637535,42145.50184040
20141101,0.00025000,0.00025000,0.00025000,0.00025000,1.85134793,7405.39196830
20141102,0.00025000,0.00025000,0.00025000,0.00025000,2.25298800,9011.95229060
20141103,0.00025000,0.00025000,0.00025000,0.00025000,4.35368491,17414.73985635
20141104,0.00025000,0.00025000,0.00025000,0.00025000,3.13369859,12534.79464710
20141105,0.00025000,0.00025000,0.00025000,0.00025000,8.21186718,32847.46913850
20141106,0.00025000,0.00028000,0.00025000,0.00025000,252.92423357,1011437.21067930
20141107,0.00025000,0.00025250,0.00025000,0.00025007,51.53763005,206103.85419784
20141108,0.00025007,0.00025989,0.00025000,0.00025000,22.48790884,89864.08229368
20141110,0.00025000,0.00026300,0.00023000,0.00023000,15.95944398,63720.04061355
20141111,0.00024768,0.00024794,0.00016300,0.00018161,20.67923327,100007.33700731
20141112,0.00018530,0.00020999,0.00017485,0.00017759,4.57337046,25028.75824712
20141113,0.00017759,0.00018001,0.00016702,0.00016702,7.68588481,45044.80210767
20141114,0.00016702,0.00018100,0.00012500,0.00014500,9.50886956,61819.28010315
20141115,0.00014655,0.00015491,0.00012000,0.00012000,3.94355194,28465.91148115
20141116,0.00012975,0.00013000,0.00011910,0.00012495,3.15186537,25827.78317257
20141117,0.00012369,0.00013600,0.00012051,0.00013100,2.03157513,15705.62300983
20141118,0.00013100,0.00013500,0.00013000,0.00013498,1.51290195,11453.55185562
20141119,0.00013202,0.00013399,0.00013000,0.00013398,0.37885408,2885.07066290
20141120,0.00013398,0.00013398,0.00013002,0.00013254,0.29013655,2216.49272569
20141121,0.00013294,0.00016000,0.00013000,0.00013000,2.69192803,20463.60219816
20141122,0.00014290,0.00014290,0.00013004,0.00013500,0.43045487,3218.65004570
20141123,0.00013500,0.00013897,0.00013000,0.00013501,0.73509568,5509.30391251
20141124,0.00013501,0.00014379,0.00013344,0.00013770,0.64876984,4758.22977856
20141125,0.00014200,0.00016989,0.00013780,0.00015948,1.19457827,8153.90422254
20141126,0.00014523,0.00016473,0.00013101,0.00014144,0.44690903,3164.18752183
20141127,0.00015807,0.00015947,0.00013225,0.00014000,0.86901679,6137.83801627
20141128,0.00013414,0.00014980,0.00011275,0.00013745,3.24432429,25048.28696229
