[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170622,0.00810000,0.00910000,0.00143000,0.00152302,462.39636240,268096.58901484
20170623,0.00155899,0.00172997,0.00144299,0.00150722,1733.94172279,1103706.32724413
20170624,0.00150722,0.00150722,0.00120000,0.00131945,959.17105823,687407.50024289
20170625,0.00130100,0.00136499,0.00100001,0.00113972,1113.21321633,926698.20863736
20170626,0.00113972,0.00122000,0.00089916,0.00110600,560.35219957,535654.56618853
20170627,0.00110700,0.00124119,0.00095000,0.00123900,510.40922704,467946.02371803
20170628,0.00123002,0.00143199,0.00112817,0.00136000,1231.58011589,949811.82758727
20170629,0.00136000,0.00141999,0.00124500,0.00125898,665.14253679,500868.25995245
20170630,0.00124367,0.00131570,0.00114736,0.00114999,435.95608802,355257.20171173
20170701,0.00115892,0.00119556,0.00102050,0.00111998,262.77617726,236897.28145030
20170702,0.00111998,0.00120000,0.00091050,0.00117395,345.83171763,315701.36312073
20170703,0.00117400,0.00119900,0.00108135,0.00115095,373.31577072,332100.69416661
20170704,0.00115093,0.00115093,0.00102400,0.00110000,173.18334846,156307.25454927
20170705,0.00110000,0.00110463,0.00103000,0.00107135,302.23735087,283524.69510477
20170706,0.00105233,0.00109900,0.00104748,0.00106737,133.08900704,124950.67333611
20170707,0.00105436,0.00107098,0.00099001,0.00100113,171.25282608,168792.95899883
20170708,0.00100113,0.00101663,0.00091103,0.00096591,99.39802880,102708.20997773
20170709,0.00098000,0.00101000,0.00094513,0.00096008,79.93803892,82612.43951061
20170710,0.00096003,0.00096972,0.00085017,0.00089205,171.80344593,190625.79089212
20170711,0.00089206,0.00090089,0.00071017,0.00082850,147.41274946,177151.36822510
20170712,0.00083046,0.00094973,0.00080596,0.00093991,98.70379207,113035.68025313
20170713,0.00093992,0.00094705,0.00079457,0.00088398,59.66659689,68270.59700794
20170714,0.00087501,0.00089300,0.00079029,0.00089000,70.29892032,82986.21970955
20170715,0.00089100,0.00090100,0.00085009,0.00088505,69.37792739,78699.61003097
20170716,0.00088505,0.00088505,0.00073815,0.00080210,112.64457702,141047.54823805
20170717,0.00081250,0.00085835,0.00080210,0.00084939,70.57545149,85140.41740606
20170718,0.00084931,0.00107110,0.00081188,0.00096015,252.28504260,274115.74736971
20170719,0.00097948,0.00102000,0.00078552,0.00080671,406.11710976,448486.62737390
20170720,0.00080671,0.00086997,0.00070706,0.00075721,243.09296260,297348.75827357
20170721,0.00074368,0.00079852,0.00073321,0.00074437,115.98219268,152769.93234832
20170722,0.00073719,0.00078868,0.00071952,0.00076057,97.47120583,130682.46104384
20170723,0.00077000,0.00083000,0.00075801,0.00083000,170.33421977,216290.58431896
20170724,0.00082999,0.00085000,0.00078500,0.00082100,148.76936476,181275.02803609
20170725,0.00081252,0.00082705,0.00075002,0.00078606,93.58119629,118452.63324024
20170726,0.00078607,0.00080017,0.00073733,0.00078605,77.18988168,98901.25381949
20170727,0.00078592,0.00079639,0.00073917,0.00074700,62.33033016,81247.56090672
20170728,0.00074700,0.00075291,0.00061598,0.00061644,80.22128607,116552.75275204
20170729,0.00061644,0.00070099,0.00060550,0.00070001,61.09553307,95355.75200040
20170730,0.00069300,0.00071362,0.00063440,0.00064548,44.42055260,65735.26662574
20170731,0.00064976,0.00066935,0.00061515,0.00063019,38.16292168,59772.46139782
20170801,0.00062999,0.00077899,0.00062951,0.00074981,67.37977940,95234.66147137
20170802,0.00074981,0.00076478,0.00069674,0.00073440,117.34873039,161337.18350611
