[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160217,0.00015023,0.00015023,0.00000276,0.00001457,13.35691468,1079433.78353955
20160218,0.00001457,0.00001599,0.00001028,0.00001035,8.11032736,567128.32566547
20160219,0.00001166,0.00001300,0.00001028,0.00001299,5.73182233,460272.16337508
20160220,0.00001300,0.00001593,0.00000700,0.00000998,3.28426210,316631.48911114
20160221,0.00001106,0.00001251,0.00000712,0.00000818,2.00314609,184168.62698341
20160222,0.00000822,0.00001096,0.00000755,0.00000907,1.35160357,132046.07936921
20160223,0.00000908,0.00000950,0.00000523,0.00000616,0.38685052,52929.34115841
20160224,0.00000713,0.00000713,0.00000402,0.00000600,0.79004549,156589.18765716
20160225,0.00000540,0.00000540,0.00000343,0.00000465,0.15152122,33531.96938713
20160226,0.00000406,0.00000512,0.00000401,0.00000412,0.14050846,32394.06558945
20160227,0.00000411,0.00000441,0.00000385,0.00000390,0.08265285,19642.24892489
20160228,0.00000384,0.00000440,0.00000340,0.00000340,0.31030575,85597.71567474
20160229,0.00000434,0.00000625,0.00000346,0.00000455,0.45781929,93928.67217541
20160301,0.00000454,0.00000613,0.00000450,0.00000452,0.16901006,36462.88432075
20160302,0.00000455,0.00000455,0.00000406,0.00000440,0.13165923,30452.16736248
20160303,0.00000440,0.00000600,0.00000405,0.00000451,0.26683508,57973.91158172
20160304,0.00000451,0.00000501,0.00000451,0.00000475,0.16003156,33110.29221888
20160305,0.00000460,0.00000824,0.00000460,0.00000508,0.39797954,71548.66176277
20160306,0.00000509,0.00000793,0.00000470,0.00000505,0.31807661,51929.49001504
20160307,0.00000489,0.00000507,0.00000463,0.00000474,0.05442697,11428.53943126
20160308,0.00000520,0.00000825,0.00000484,0.00000796,0.65768920,86363.61287973
20160309,0.00000647,0.00000769,0.00000535,0.00000579,0.19206764,30910.67451266
20160310,0.00000745,0.00000785,0.00000586,0.00000691,0.26758611,40949.25762198
20160311,0.00000702,0.00000762,0.00000603,0.00000655,0.13603997,19082.78729422
20160312,0.00000656,0.00000785,0.00000655,0.00000780,0.10388891,14337.42895410
20160313,0.00000706,0.00000785,0.00000666,0.00000666,0.19554209,26363.76923321
20160314,0.00000666,0.00000789,0.00000572,0.00000620,0.30967678,47172.46660105
20160315,0.00000576,0.00000686,0.00000576,0.00000655,0.10489377,16654.14080493
20160316,0.00000656,0.00000716,0.00000572,0.00000678,0.15278508,23531.49489925
20160317,0.00000683,0.00000902,0.00000613,0.00000757,1.28873684,152091.43322614
20160318,0.00000761,0.00000997,0.00000761,0.00000997,0.24443020,26058.04376915
20160319,0.00000945,0.00001100,0.00000888,0.00000933,0.49735485,48954.08400328
20160320,0.00000937,0.00001076,0.00000758,0.00000838,0.35973678,43144.24143949
20160321,0.00000952,0.00001016,0.00000756,0.00000756,0.41990776,52813.47944414
20160322,0.00000734,0.00000911,0.00000734,0.00000864,0.24708660,29503.45568612
20160323,0.00000772,0.00000936,0.00000771,0.00000813,0.26914690,31688.84728575
20160324,0.00000820,0.00001015,0.00000792,0.00000900,0.30753317,32970.60488616
20160325,0.00000900,0.00001005,0.00000807,0.00000829,1.32853405,142453.53593055
20160326,0.00000944,0.00000991,0.00000828,0.00000859,0.46798079,51189.26272618
20160327,0.00000993,0.00000996,0.00000850,0.00000853,1.00861150,116964.92298145
20160328,0.00000903,0.00000908,0.00000826,0.00000833,1.66275606,195136.20797491
20160329,0.00000872,0.00000911,0.00000832,0.00000911,0.42840282,48841.84787538
20160330,0.00000858,0.00000920,0.00000846,0.00000892,0.15579953,17123.04735930
20160331,0.00000901,0.00000961,0.00000835,0.00000900,0.33298787,36690.35177574
20160401,0.00000940,0.00000961,0.00000900,0.00000907,0.22644259,24659.45576892
20160402,0.00000908,0.00001000,0.00000900,0.00001000,1.70030567,180927.29918866
20160403,0.00001000,0.00001060,0.00000975,0.00000977,0.63001533,62780.23859601
20160404,0.00000977,0.00001205,0.00000975,0.00001010,0.60831391,58526.76937741
20160405,0.00001013,0.00001224,0.00000998,0.00001136,0.93998767,80721.21119498
20160406,0.00001136,0.00001139,0.00000952,0.00001091,1.18710520,115570.95129859
20160407,0.00001082,0.00001159,0.00001056,0.00001059,0.11119883,10120.73508177
20160408,0.00001059,0.00001099,0.00001059,0.00001068,0.25942548,24361.26363745
20160409,0.00001069,0.00001093,0.00001060,0.00001063,1.03946400,95951.13383909
20160410,0.00001086,0.00001097,0.00000826,0.00000828,0.87395321,86034.60841276
20160411,0.00000868,0.00000895,0.00000830,0.00000855,0.12991208,15067.51576742
20160412,0.00000855,0.00000871,0.00000826,0.00000826,0.50291971,60028.04159079
20160413,0.00000826,0.00001224,0.00000802,0.00001215,0.30555234,33742.51042678
20160414,0.00000894,0.00000969,0.00000804,0.00000810,0.16173011,19387.50593506
20160415,0.00000808,0.00000835,0.00000805,0.00000835,0.06667905,8151.66538719
20160416,0.00000835,0.00001199,0.00000800,0.00001198,1.00498761,96726.96644770
20160417,0.00001196,0.00001199,0.00000816,0.00000968,1.55741261,148979.82560516
20160418,0.00000975,0.00001178,0.00000902,0.00000902,0.40808399,39894.15450379
20160419,0.00000929,0.00001360,0.00000886,0.00000928,0.99957796,88768.70198905
20160420,0.00000925,0.00001092,0.00000904,0.00001090,0.49800522,52457.33758764
20160421,0.00001028,0.00001092,0.00000900,0.00000917,1.03394767,99416.74121484
20160422,0.00000930,0.00000987,0.00000900,0.00000900,0.33432319,36360.41460922
20160423,0.00000898,0.00001018,0.00000891,0.00000905,0.23535348,26102.36633859
20160424,0.00000894,0.00001044,0.00000892,0.00000897,0.08948058,9224.96990900
20160425,0.00000894,0.00000919,0.00000890,0.00000901,0.43097655,48246.31892344
20160426,0.00000892,0.00000918,0.00000887,0.00000889,0.61588250,69128.57756237
20160427,0.00000889,0.00000910,0.00000820,0.00000902,0.92556351,104929.15121475
20160428,0.00000902,0.00000990,0.00000831,0.00000850,0.90347278,93503.02899865
20160429,0.00000850,0.00000970,0.00000838,0.00000838,0.22526833,26680.30456520
20160430,0.00000841,0.00000921,0.00000838,0.00000921,0.16434361,19342.50383575
20160501,0.00000924,0.00000938,0.00000845,0.00000845,0.10576547,11557.06626028
20160502,0.00000873,0.00000881,0.00000838,0.00000838,0.52391064,62218.71056238
20160503,0.00000844,0.00001045,0.00000840,0.00000896,0.54972429,55984.07612528
20160504,0.00000898,0.00001174,0.00000896,0.00000980,0.68790532,68669.83464158
20160505,0.00000980,0.00001060,0.00000940,0.00000956,0.34002198,34860.44095518
20160506,0.00000945,0.00001059,0.00000920,0.00000928,0.10199594,10638.72824070
20160507,0.00000928,0.00000928,0.00000800,0.00000800,0.74011265,89742.35313484
20160508,0.00000803,0.00000828,0.00000801,0.00000801,0.06801876,8397.67318216
20160509,0.00000802,0.00000899,0.00000802,0.00000803,0.17258264,19535.48086825
20160510,0.00000802,0.00000803,0.00000802,0.00000802,0.01583901,1974.71627818
20160511,0.00000802,0.00000828,0.00000801,0.00000801,0.05682401,6962.25913447
20160512,0.00000801,0.00000835,0.00000800,0.00000801,0.13135548,16023.52415776
20160513,0.00000801,0.00000869,0.00000801,0.00000801,0.09461903,11550.35243162
20160514,0.00000802,0.00000869,0.00000800,0.00000817,0.25791881,31650.75102470
20160515,0.00000834,0.00000882,0.00000761,0.00000800,0.43020287,53225.27076497
20160516,0.00000775,0.00000818,0.00000579,0.00000736,0.72632541,106471.75058817
20160517,0.00000802,0.00000832,0.00000600,0.00000754,0.18748120,26110.76773255
20160518,0.00000685,0.00000754,0.00000610,0.00000647,0.24363716,37494.27266560
20160519,0.00000626,0.00000648,0.00000610,0.00000647,0.04466439,7238.61119776
20160520,0.00000625,0.00000660,0.00000578,0.00000648,0.12239855,19087.19522643
20160521,0.00000648,0.00000840,0.00000602,0.00000647,0.10556151,14823.56147382
20160522,0.00000613,0.00000648,0.00000599,0.00000647,0.05998739,9576.87619463
20160523,0.00000647,0.00000647,0.00000621,0.00000630,0.05145676,8178.04540262
20160524,0.00000648,0.00000782,0.00000599,0.00000647,0.16520881,25983.53015507
20160525,0.00000622,0.00000624,0.00000599,0.00000600,0.02711655,4435.13005346
20160526,0.00000600,0.00000600,0.00000591,0.00000591,0.04837943,8110.21317240
20160527,0.00000592,0.00000592,0.00000581,0.00000581,0.07895473,13506.96591188
20160528,0.00000581,0.00000602,0.00000581,0.00000581,0.02373996,4058.53819312
20160529,0.00000581,0.00000581,0.00000570,0.00000570,0.08367986,14677.66236518
20160530,0.00000570,0.00000599,0.00000566,0.00000599,0.12182972,21477.84340627
20160531,0.00000569,0.00000569,0.00000481,0.00000501,0.04469936,8611.75972571
