[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20151120,0.00001600,0.00001999,0.00001004,0.00001990,0.15748115,9146.07322718
20151121,0.00001900,0.00002990,0.00001004,0.00001798,0.12457019,8237.31025203
20151122,0.00001694,0.00001694,0.00001052,0.00001129,0.21567992,18760.16204603
20151123,0.00001116,0.00002500,0.00001116,0.00001200,0.70692746,40169.61543315
20151124,0.00001200,0.00002285,0.00001008,0.00001724,0.96954973,65031.17598740
20151125,0.00001469,0.00001812,0.00001312,0.00001389,0.42321933,27424.93033672
20151126,0.00001388,0.00002688,0.00001301,0.00001441,0.90976834,49890.80097278
20151127,0.00001446,0.00001460,0.00000391,0.00000391,0.87522146,69775.47360039
20151128,0.00001196,0.00001196,0.00000620,0.00000700,0.17868467,26469.67239440
20151129,0.00000701,0.00001658,0.00000700,0.00001000,0.61221995,52481.34988925
20151130,0.00001030,0.00001321,0.00001030,0.00001040,0.09691773,8748.74263618
20151201,0.00001040,0.00001217,0.00000938,0.00001217,0.06204169,5913.31934378
20151202,0.00000966,0.00001922,0.00000890,0.00001202,0.59701287,44768.37577836
20151203,0.00001204,0.00001234,0.00001000,0.00001004,0.10116614,9038.15742219
20151204,0.00001004,0.00001023,0.00000961,0.00000961,0.06857746,6936.78466080
20151205,0.00000962,0.00001125,0.00000402,0.00001100,0.29536782,32115.27462583
20151206,0.00001100,0.00001100,0.00000707,0.00000858,0.32988335,36969.39034454
20151207,0.00000858,0.00001127,0.00000852,0.00000853,0.15094643,16373.98779509
20151208,0.00000853,0.00000978,0.00000658,0.00000755,0.12459367,15355.96681664
20151209,0.00000755,0.00000765,0.00000750,0.00000750,0.06324387,8373.29955328
20151210,0.00000750,0.00001300,0.00000408,0.00000607,0.15729552,24524.06778008
20151211,0.00000611,0.00000637,0.00000400,0.00000547,0.07891132,13353.89527917
20151212,0.00000411,0.00000637,0.00000411,0.00000516,0.06155702,11931.42922693
20151213,0.00000523,0.00001270,0.00000493,0.00000510,0.11358806,17468.91611284
20151214,0.00000512,0.00001244,0.00000486,0.00000601,0.13565951,21408.68733431
20151215,0.00000601,0.00000796,0.00000528,0.00000765,0.26687378,41462.01070275
20151216,0.00000704,0.00000706,0.00000666,0.00000666,0.07408968,10915.45008092
20151217,0.00000666,0.00000675,0.00000533,0.00000533,0.05205254,8902.10308618
20151218,0.00000554,0.00001292,0.00000543,0.00000762,0.19504051,25263.97498141
20151219,0.00000771,0.00000788,0.00000664,0.00000783,0.16872722,24322.98708565
20151220,0.00000787,0.00001177,0.00000555,0.00000555,0.11120005,13890.08224490
20151221,0.00000559,0.00000838,0.00000556,0.00000662,0.09670149,14585.81073086
20151222,0.00000661,0.00001095,0.00000631,0.00000873,0.46980025,54716.55048430
