[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140714,0.00050000,0.00050000,0.00004002,0.00014070,34.23607968,225894.75994888
20140715,0.00014071,0.00021990,0.00011112,0.00015500,45.30098165,284397.97035583
20140716,0.00015500,0.00069676,0.00014002,0.00050000,163.92110084,514468.79323902
20140717,0.00050607,0.00069105,0.00035100,0.00050989,171.26051506,323924.75808235
20140718,0.00052887,0.00067000,0.00043000,0.00053005,95.35700914,180185.30857212
20140719,0.00053102,0.00062910,0.00050000,0.00053927,69.17551286,124311.73110299
20140720,0.00053917,0.00058700,0.00034001,0.00045899,57.66176124,126062.23267954
20140721,0.00041051,0.00095020,0.00036699,0.00089362,146.84914496,218501.82887885
20140722,0.00089362,0.00280000,0.00084100,0.00204812,431.49589280,252847.57855847
20140723,0.00204802,0.00245000,0.00150001,0.00150004,176.29201338,86674.03931602
20140724,0.00155550,0.00190000,0.00111100,0.00137900,122.78393373,80979.92124563
20140725,0.00138013,0.00169000,0.00132501,0.00148000,69.31075210,47047.18716664
20140726,0.00148001,0.00152000,0.00127750,0.00131111,26.47760382,19459.69535956
20140727,0.00132000,0.00146000,0.00121012,0.00125002,25.77430508,19862.09703764
20140728,0.00125003,0.00138542,0.00100530,0.00130068,37.36838987,31321.04720647
20140729,0.00137262,0.00137265,0.00120000,0.00130126,10.43064766,8235.28835508
20140730,0.00120004,0.00162000,0.00103552,0.00149005,29.06960769,22188.83672492
20140731,0.00149005,0.00173296,0.00136000,0.00158169,49.32892449,33124.43698988
20140801,0.00158169,0.00185119,0.00150500,0.00162900,39.05371754,23400.67345213
20140802,0.00164001,0.00173000,0.00142200,0.00147500,39.54758711,24913.57416442
20140803,0.00147944,0.00184988,0.00147500,0.00165003,18.89233466,11390.61567432
20140804,0.00165003,0.00185119,0.00164461,0.00180000,21.00695515,11886.74921945
20140805,0.00180000,0.00230079,0.00175000,0.00194500,41.93300672,21194.54903448
20140806,0.00197500,0.00240000,0.00197500,0.00227000,35.36796889,15860.07769506
