[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20141124,0.00004016,0.00004690,0.00000400,0.00004650,0.15448177,4106.20377345
20141125,0.00004500,0.00005800,0.00004500,0.00004900,0.31616342,6630.80602151
20141126,0.00004900,0.00005492,0.00003700,0.00004796,0.30296735,7263.39493921
20141127,0.00004799,0.00004799,0.00004025,0.00004258,0.06351157,1531.65889019
20141128,0.00004258,0.00019873,0.00004258,0.00005870,7.43463680,107188.02997533
20141129,0.00005495,0.00006006,0.00004649,0.00005641,2.66226351,49772.11669088
20141130,0.00005350,0.00005350,0.00004716,0.00005090,1.86902709,36988.57695142
20141201,0.00004951,0.00005458,0.00004789,0.00005035,0.69934863,13896.99073767
20141202,0.00005095,0.00005164,0.00004802,0.00005134,0.86208380,17164.23705169
20141203,0.00004985,0.00005223,0.00004900,0.00004927,0.71868467,14218.73534095
20141204,0.00004933,0.00005156,0.00004884,0.00004920,1.05355071,21308.08055838
20141205,0.00004996,0.00004996,0.00004766,0.00004985,0.17766839,3650.79578287
20141206,0.00004864,0.00004905,0.00004616,0.00004616,0.88828342,18613.34337154
20141207,0.00004616,0.00004816,0.00004600,0.00004815,1.20282749,25788.24646356
20141208,0.00004770,0.00004896,0.00004444,0.00004483,0.56266957,12350.81640684
20141209,0.00004444,0.00004444,0.00004154,0.00004154,0.02338369,537.48877039
20141213,0.00004530,0.00004899,0.00004529,0.00004899,0.04464581,967.89608963
20141214,0.00004357,0.00004950,0.00004357,0.00004410,0.27622404,6006.57197916
20141215,0.00004410,0.00004901,0.00004376,0.00004673,0.29030410,6233.46123600
20141216,0.00004683,0.00004684,0.00004582,0.00004582,0.25941581,5586.03812056
20141217,0.00004582,0.00004655,0.00004026,0.00004554,2.59350149,58062.50825469
20141218,0.00004101,0.00004790,0.00004026,0.00004785,1.07486834,22820.79048745
20141219,0.00004773,0.00004898,0.00004136,0.00004881,1.09581376,23801.30453155
20141220,0.00004824,0.00004869,0.00004473,0.00004869,0.15896225,3357.08625675
20141221,0.00004869,0.00005000,0.00004836,0.00004999,0.30651006,6188.48519702
20141222,0.00005000,0.00006995,0.00004630,0.00005407,0.60670176,10029.91139469
20141223,0.00005204,0.00006467,0.00004997,0.00005325,0.86278166,16554.76802020
20141224,0.00005024,0.00005500,0.00005000,0.00005491,0.29139482,5537.66600348
20141225,0.00005326,0.00005384,0.00005081,0.00005300,3.51826366,66188.90168290
20141226,0.00005300,0.00005500,0.00005251,0.00005499,1.57779051,29479.31816095
20141227,0.00005476,0.00007000,0.00005250,0.00005299,1.45585679,23525.07281308
20141228,0.00005366,0.00005371,0.00005100,0.00005171,0.63306491,12056.87320879
20141229,0.00005101,0.00005361,0.00005000,0.00005000,4.34940866,84108.41708530
20141230,0.00004934,0.00005174,0.00004799,0.00005173,3.04067575,60022.16879530
20141231,0.00005128,0.00005170,0.00005080,0.00005158,3.75855185,73675.53134551
20150101,0.00005158,0.00005299,0.00005127,0.00005130,0.14132742,2730.09999095
20150102,0.00005130,0.00005330,0.00005130,0.00005150,1.83972462,35722.08068826
20150103,0.00005150,0.00005227,0.00005127,0.00005227,2.30999645,44839.73694115
20150104,0.00005235,0.00005240,0.00005102,0.00005102,0.22625318,4384.05486293
20150105,0.00005102,0.00005500,0.00005102,0.00005247,0.74138576,13856.13607219
20150106,0.00005247,0.00005247,0.00005050,0.00005189,1.17526166,22891.88865581
20150107,0.00005190,0.00005497,0.00005190,0.00005497,0.07536211,1414.90117785
20150108,0.00005258,0.00005258,0.00005056,0.00005056,0.11507338,2221.01939601
20150109,0.00005141,0.00006996,0.00005056,0.00005108,2.30703716,40701.51943760
20150110,0.00005160,0.00005397,0.00005040,0.00005041,0.49803128,9715.22804804
20150111,0.00005041,0.00005157,0.00004987,0.00005029,0.50642652,10070.71096391
20150112,0.00005046,0.00005046,0.00004877,0.00004877,2.29665961,46097.22333410
20150113,0.00004885,0.00005005,0.00004666,0.00004989,1.37453660,28249.56442817
20150114,0.00004988,0.00006124,0.00004798,0.00005300,6.69279515,132302.87958941
20150115,0.00005203,0.00006017,0.00005107,0.00005307,1.37232238,24974.97628368
20150116,0.00005307,0.00005307,0.00005101,0.00005101,1.27904112,24375.19100065
20150117,0.00005181,0.00005690,0.00005181,0.00005300,0.23729156,4400.15257413
20150118,0.00005421,0.00005447,0.00004901,0.00005264,0.69901852,13678.99986464
20150119,0.00005195,0.00005443,0.00005011,0.00005443,0.34740381,6704.86889886
20150120,0.00005363,0.00005363,0.00005100,0.00005339,0.66260667,12808.86381990
20150121,0.00005338,0.00005673,0.00005270,0.00005270,0.95759811,17196.69347887
20150122,0.00005326,0.00005350,0.00005326,0.00005350,0.01759761,330.26683002
20150123,0.00005350,0.00005430,0.00005060,0.00005129,0.34126081,6472.91422533
