[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140916,0.00000508,0.00000511,0.00000181,0.00000240,4.73009974,1531803.86119676
20140917,0.00000230,0.00000244,0.00000190,0.00000195,2.39044514,1184227.72858926
20140918,0.00000195,0.00000199,0.00000145,0.00000170,1.31677841,793007.72354390
20140919,0.00000164,0.00000174,0.00000121,0.00000131,0.70542288,483478.50318346
20140920,0.00000131,0.00000182,0.00000126,0.00000132,1.11780707,805335.41587414
20140921,0.00000145,0.00000155,0.00000135,0.00000135,0.58832070,419887.80498687
20140922,0.00000135,0.00000149,0.00000134,0.00000135,0.41091087,302970.91388490
20140923,0.00000135,0.00000143,0.00000122,0.00000127,0.90417179,679560.64821918
20140924,0.00000127,0.00000145,0.00000125,0.00000145,0.95953953,725322.10022260
20140925,0.00000146,0.00000150,0.00000132,0.00000137,0.34240135,240915.45646848
20140926,0.00000140,0.00000220,0.00000140,0.00000195,2.29918285,1266735.33252587
20140927,0.00000183,0.00000271,0.00000176,0.00000248,5.05076703,2197473.55409093
20140928,0.00000251,0.00000331,0.00000251,0.00000276,9.83799327,3422581.68340046
20140929,0.00000276,0.00000287,0.00000219,0.00000250,9.50994211,3805949.54659225
20140930,0.00000245,0.00000257,0.00000200,0.00000200,3.81329147,1777624.98896081
20141001,0.00000203,0.00000222,0.00000180,0.00000181,1.95225042,1048709.66831314
20141002,0.00000181,0.00000210,0.00000180,0.00000195,1.88197604,959479.56087642
20141003,0.00000195,0.00000201,0.00000181,0.00000186,0.48838462,260708.69138949
20141004,0.00000186,0.00000194,0.00000152,0.00000152,2.29187376,1275952.74202670
20141005,0.00000185,0.00000187,0.00000137,0.00000144,1.08209639,751968.76070110
20141006,0.00000144,0.00000160,0.00000130,0.00000138,0.66570983,481446.42584853
20141007,0.00000133,0.00000151,0.00000133,0.00000144,1.03949011,729837.39156109
20141008,0.00000145,0.00000147,0.00000131,0.00000131,3.48553968,2549141.75400008
20141009,0.00000132,0.00000134,0.00000123,0.00000130,1.16567603,901480.62467480
20141010,0.00000128,0.00000139,0.00000114,0.00000139,2.08674593,1725468.80528607
20141011,0.00000131,0.00000133,0.00000122,0.00000124,0.59838588,475700.04753753
20141012,0.00000128,0.00000129,0.00000117,0.00000125,1.45668307,1179026.34952748
20141013,0.00000125,0.00000154,0.00000117,0.00000122,0.49180092,384241.62849942
20141014,0.00000123,0.00000196,0.00000116,0.00000121,3.42283246,2257871.46441662
20141015,0.00000124,0.00000150,0.00000114,0.00000114,1.10196996,880890.89546614
20141016,0.00000120,0.00000128,0.00000111,0.00000123,0.81079758,705704.28814763
20141017,0.00000123,0.00000135,0.00000110,0.00000135,1.46654925,1233923.95202623
20141018,0.00000116,0.00000119,0.00000101,0.00000102,2.23862883,2039608.69038994
20141019,0.00000102,0.00000111,0.00000093,0.00000096,0.46828293,468024.19276935
20141020,0.00000096,0.00000136,0.00000085,0.00000101,2.01623850,1805510.55411402
20141021,0.00000101,0.00000113,0.00000097,0.00000109,0.47227799,467761.46666953
20141022,0.00000102,0.00000102,0.00000093,0.00000093,0.10150037,102478.40464023
20141023,0.00000093,0.00000100,0.00000084,0.00000090,0.23523101,266083.61006342
20141024,0.00000089,0.00000100,0.00000086,0.00000087,0.52890067,585029.84908437
20141025,0.00000087,0.00000090,0.00000081,0.00000083,0.17515260,210583.03428523
20141026,0.00000081,0.00000081,0.00000056,0.00000074,0.52701878,829597.61534646
20141027,0.00000066,0.00000081,0.00000064,0.00000074,0.52435464,740911.19978201
20141028,0.00000074,0.00000090,0.00000072,0.00000090,1.05370578,1300819.06379255
20141029,0.00000085,0.00000091,0.00000078,0.00000091,0.97587316,1168586.57845022
20141030,0.00000083,0.00000083,0.00000072,0.00000073,0.78818572,1015559.44582801
20141031,0.00000072,0.00000080,0.00000072,0.00000075,0.70481367,931222.49230118
20141101,0.00000077,0.00000077,0.00000073,0.00000074,0.16235165,216870.96350848
20141102,0.00000074,0.00000078,0.00000073,0.00000076,0.39511630,521845.90553242
20141103,0.00000075,0.00000150,0.00000075,0.00000109,19.79974872,16087176.87785622
20141104,0.00000112,0.00000135,0.00000084,0.00000098,9.15295318,8395949.79362472
20141105,0.00000100,0.00000105,0.00000084,0.00000086,1.01418202,1093145.47913146
20141106,0.00000090,0.00000107,0.00000085,0.00000100,0.82391853,858741.37555004
20141107,0.00000097,0.00000111,0.00000091,0.00000103,0.80574027,818516.48362061
20141108,0.00000103,0.00000145,0.00000103,0.00000119,4.21221430,3374819.85442131
20141109,0.00000119,0.00000127,0.00000115,0.00000119,1.95285583,1669812.86527498
20141110,0.00000120,0.00000178,0.00000114,0.00000161,6.76531467,4473326.03381716
20141111,0.00000161,0.00000174,0.00000150,0.00000155,1.83893032,1160673.59581241
20141112,0.00000166,0.00000200,0.00000156,0.00000166,6.61135442,3685439.54088578
20141113,0.00000162,0.00000192,0.00000148,0.00000155,3.19244213,1989196.16575005
20141114,0.00000149,0.00000156,0.00000125,0.00000148,2.33728366,1621021.27026530
20141115,0.00000150,0.00000152,0.00000132,0.00000137,1.29119223,907954.45937617
20141116,0.00000143,0.00000144,0.00000140,0.00000140,0.25484391,179642.30580583
20141117,0.00000139,0.00000148,0.00000121,0.00000122,1.43859058,1063094.58834885
20141118,0.00000122,0.00000125,0.00000097,0.00000111,1.63450866,1465065.04265388
20141119,0.00000111,0.00000117,0.00000109,0.00000117,0.17511698,155959.65176126
20141120,0.00000118,0.00000141,0.00000108,0.00000119,0.50311478,399867.60153735
20141121,0.00000126,0.00000131,0.00000115,0.00000122,0.46995845,374495.73328559
20141122,0.00000126,0.00000126,0.00000112,0.00000121,0.48557802,404739.81150757
20141123,0.00000120,0.00000122,0.00000108,0.00000114,0.19887314,170754.12531499
20141124,0.00000114,0.00000120,0.00000105,0.00000111,0.21058757,188989.48897497
20141125,0.00000106,0.00000110,0.00000102,0.00000110,0.32769760,317730.07726206
20141126,0.00000109,0.00000111,0.00000098,0.00000100,0.53065648,516099.20351437
20141127,0.00000101,0.00000111,0.00000099,0.00000100,0.14243351,141673.42500618
20141128,0.00000102,0.00000115,0.00000099,0.00000111,0.87368959,834838.82751103
20141129,0.00000107,0.00000138,0.00000107,0.00000115,0.95392786,751025.38951929
20141130,0.00000123,0.00000123,0.00000104,0.00000113,0.30466044,281769.96280448
20141201,0.00000116,0.00000120,0.00000109,0.00000111,0.39388826,341870.10179144
20141202,0.00000112,0.00000200,0.00000111,0.00000127,4.06074692,2420658.12053867
20141203,0.00000123,0.00000129,0.00000117,0.00000122,0.70369736,586552.53231894
20141204,0.00000121,0.00000129,0.00000119,0.00000129,0.20829552,165071.14372711
20141205,0.00000127,0.00000130,0.00000119,0.00000129,0.30554313,243081.19689301
20141206,0.00000130,0.00000133,0.00000120,0.00000130,0.14895818,119883.50395992
20141207,0.00000122,0.00000130,0.00000121,0.00000130,0.23847857,190245.77626999
20141208,0.00000125,0.00000130,0.00000122,0.00000130,0.33844867,270557.87813567
20141209,0.00000130,0.00000146,0.00000125,0.00000144,0.88451288,644699.79009774
20141210,0.00000141,0.00000174,0.00000134,0.00000164,1.73147744,1118730.86228487
20141211,0.00000160,0.00000184,0.00000152,0.00000180,2.28045657,1323772.99154090
20141212,0.00000181,0.00000247,0.00000180,0.00000186,6.55773418,3162811.39684944
20141213,0.00000187,0.00000187,0.00000156,0.00000175,1.15545114,689633.18384452
20141214,0.00000157,0.00000192,0.00000153,0.00000192,0.66406768,386026.21651761
20141215,0.00000192,0.00000192,0.00000165,0.00000165,0.33031953,184717.02323169
20141216,0.00000165,0.00000174,0.00000163,0.00000163,0.40282892,245164.89370326
20141217,0.00000164,0.00000164,0.00000148,0.00000149,0.74872960,483156.53529385
20141218,0.00000154,0.00000159,0.00000140,0.00000140,3.01239413,2081782.25007435
20141219,0.00000148,0.00000155,0.00000127,0.00000150,0.70408947,521850.26739130
20141220,0.00000139,0.00000188,0.00000139,0.00000188,1.10269556,670321.53413409
20141221,0.00000167,0.00000176,0.00000153,0.00000175,0.51418239,304184.55914783
20141222,0.00000175,0.00000197,0.00000134,0.00000195,2.05470706,1155627.90320813
20141223,0.00000190,0.00000193,0.00000170,0.00000184,0.35814052,198855.20475409
20141224,0.00000184,0.00000190,0.00000176,0.00000180,0.20975725,113457.08417966
20141225,0.00000180,0.00000188,0.00000170,0.00000170,0.24795370,139238.46838725
20141226,0.00000171,0.00000179,0.00000135,0.00000168,1.06364759,671083.27240495
20141227,0.00000173,0.00000175,0.00000144,0.00000175,0.34130757,212208.76669205
20141228,0.00000170,0.00000180,0.00000160,0.00000180,0.39200322,231882.50662511
20141229,0.00000169,0.00000190,0.00000169,0.00000169,0.44633082,244048.49070775
20141230,0.00000168,0.00000173,0.00000167,0.00000170,0.10104961,60174.10283955
20141231,0.00000170,0.00000171,0.00000166,0.00000170,1.08017870,638733.70408312
20150101,0.00000167,0.00000186,0.00000167,0.00000171,0.15605825,89105.18993254
20150102,0.00000171,0.00000171,0.00000165,0.00000165,0.22551765,135360.13967019
20150103,0.00000165,0.00000165,0.00000153,0.00000153,0.67880560,420510.52528619
20150104,0.00000162,0.00000163,0.00000153,0.00000155,0.11216760,72415.03930925
20150105,0.00000153,0.00000161,0.00000145,0.00000145,0.58763484,393820.70755691
20150106,0.00000145,0.00000146,0.00000145,0.00000145,0.23168251,159751.12100266
20150107,0.00000145,0.00000147,0.00000142,0.00000142,0.26926997,187724.22477602
20150108,0.00000142,0.00000170,0.00000139,0.00000146,0.99571275,659618.65301933
20150109,0.00000146,0.00000191,0.00000137,0.00000137,7.08582285,4391400.09083058
20150110,0.00000150,0.00000180,0.00000130,0.00000153,6.13965767,4009048.20587565
20150111,0.00000159,0.00000172,0.00000145,0.00000156,1.01439367,624252.21777064
20150112,0.00000158,0.00000170,0.00000147,0.00000160,1.15505864,719547.53302466
20150113,0.00000160,0.00000163,0.00000151,0.00000163,1.32321889,846704.37254028
20150114,0.00000164,0.00000168,0.00000159,0.00000167,0.58586539,358362.40257852
20150115,0.00000167,0.00000182,0.00000148,0.00000170,3.75610048,2196875.81820061
20150116,0.00000181,0.00000215,0.00000180,0.00000189,9.52521500,4867650.29110109
20150117,0.00000194,0.00000216,0.00000183,0.00000191,1.84352788,888856.63225340
20150118,0.00000190,0.00000195,0.00000174,0.00000189,2.21874608,1210145.07409785
20150119,0.00000191,0.00000198,0.00000165,0.00000165,0.98601986,541308.36941428
20150120,0.00000166,0.00000178,0.00000155,0.00000176,1.06355013,666489.93704593
