[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20141103,0.00050000,0.00050000,0.00050000,0.00050000,8.78761447,17575.22901540
20141104,0.00050000,0.00050000,0.00050000,0.00050000,10.46988071,20939.76177760
20141105,0.00050000,0.00050000,0.00050000,0.00050000,8.38258773,16765.17565090
20141106,0.00050000,0.00050000,0.00050000,0.00050000,3.03889177,6077.78364150
20141107,0.00050000,0.00050000,0.00050000,0.00050000,4.11382941,8227.65891615
20141108,0.00050000,0.00050000,0.00050000,0.00050000,6.72303193,13446.06412955
20141109,0.00050000,0.00050000,0.00050000,0.00050000,22.29543017,44590.86097541
20141110,0.00050000,0.00050000,0.00050000,0.00050000,16.13707941,32274.15946263
20141114,0.00055010,0.00055010,0.00050000,0.00050005,12.64437075,25039.99345712
20141115,0.00050003,0.00051499,0.00050000,0.00050000,7.92251707,15842.87317552
20141116,0.00050001,0.00062496,0.00050000,0.00051002,10.03430694,19938.73125057
20141117,0.00051002,0.00059996,0.00047504,0.00054122,19.41634281,37837.87856704
20141118,0.00054171,0.00124111,0.00051501,0.00076000,14.27006265,19853.15398816
20141119,0.00077001,0.00092000,0.00070124,0.00086000,16.90452732,19623.58974811
20141120,0.00089890,0.00182828,0.00086091,0.00182828,23.09501431,20639.21679656
20141121,0.00183838,0.00199000,0.00089063,0.00128515,26.37386189,20444.32519639
20141122,0.00124001,0.00138990,0.00102023,0.00138731,18.41376271,14714.88289513
20141123,0.00138730,0.00164460,0.00129002,0.00163998,4.52850468,3115.20771793
20141124,0.00163985,0.00195000,0.00156188,0.00191493,28.73334688,16632.93246512
20141125,0.00184409,0.00185515,0.00121000,0.00164441,29.02101149,19160.76358994
20141126,0.00153197,0.00164400,0.00130015,0.00146998,13.37792361,8589.45769127
20141127,0.00146997,0.00146999,0.00100003,0.00100003,11.60705009,9863.90114639
20141128,0.00100022,0.00140000,0.00077501,0.00115020,14.16878618,14650.17912963
20141129,0.00116002,0.00136531,0.00112000,0.00112000,20.35078106,16832.83618742
20141130,0.00112001,0.00135001,0.00112000,0.00120001,8.46689865,6590.71700593
20141201,0.00120009,0.00129541,0.00097789,0.00100158,11.41872138,10218.02725948
20141202,0.00102254,0.00110294,0.00080501,0.00099208,8.20536961,8700.01738946
20141203,0.00090865,0.00130000,0.00090865,0.00122974,5.00398540,4439.28347115
20141204,0.00122846,0.00133999,0.00088001,0.00091983,10.25645316,9767.64106755
20141205,0.00091899,0.00129995,0.00091799,0.00105102,9.69281664,9046.38216820
20141206,0.00114810,0.00117000,0.00105262,0.00116981,11.95942440,10704.31881870
20141207,0.00108504,0.00112506,0.00085000,0.00102987,5.25482996,5425.76052100
20141208,0.00100001,0.00114999,0.00081000,0.00099991,7.74972336,8352.37145812
20141209,0.00096037,0.00110414,0.00081000,0.00092500,7.65115308,8261.82167785
20141210,0.00094999,0.00106879,0.00090004,0.00095000,7.03441530,7370.49182081
20141211,0.00091225,0.00097149,0.00090001,0.00090500,5.91217668,6212.24563502
20141212,0.00096387,0.00108900,0.00081000,0.00094000,17.06603166,17740.61203798
20141213,0.00093502,0.00098588,0.00081200,0.00094000,9.36264076,10763.97350331
20141214,0.00092002,0.00094230,0.00081111,0.00089000,9.26096589,10927.67526131
20141215,0.00088794,0.00089000,0.00052222,0.00052222,7.91459316,10979.46698413
20141216,0.00072683,0.00077500,0.00063555,0.00073030,5.16101912,7787.26806548
20141217,0.00070561,0.00074340,0.00054000,0.00060501,4.12859757,6945.65320734
20141218,0.00059004,0.00065000,0.00059000,0.00059103,4.45146374,7411.43490045
20141219,0.00064177,0.00068399,0.00059103,0.00067710,1.92623304,3035.32087991
20141220,0.00067640,0.00081330,0.00063000,0.00075051,8.55845123,11532.24748641
20141221,0.00069003,0.00073954,0.00065000,0.00066175,2.37807604,3449.27139890
