[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140810,0.00000399,0.00000399,0.00000200,0.00000289,3.34763265,1134510.00990758
20140811,0.00000289,0.00000370,0.00000259,0.00000266,5.30856575,1710969.08003398
20140812,0.00000266,0.00000354,0.00000250,0.00000281,3.04695084,1001233.19716716
20140813,0.00000281,0.00000711,0.00000275,0.00000500,13.72571356,2845148.55207608
20140814,0.00000481,0.00001199,0.00000401,0.00000743,34.96417919,4221318.48304300
20140815,0.00000745,0.00000997,0.00000530,0.00000705,15.88823623,2138274.45182300
20140816,0.00000706,0.00000843,0.00000565,0.00000591,9.38748898,1501320.56183837
20140817,0.00000598,0.00000599,0.00000421,0.00000521,5.00575138,956717.90662481
20140818,0.00000535,0.00000600,0.00000469,0.00000549,3.45210082,671888.58722149
20140819,0.00000551,0.00000725,0.00000488,0.00000669,4.41223691,758096.81404261
20140820,0.00000669,0.00001200,0.00000645,0.00000969,20.69606697,2496659.42992791
20140821,0.00000950,0.00000999,0.00000705,0.00000773,11.64905657,1439941.25753619
20140822,0.00000741,0.00000881,0.00000741,0.00000768,6.02264211,778615.29233240
20140823,0.00000768,0.00000910,0.00000745,0.00000764,9.45230261,1212841.20161486
20140824,0.00000765,0.00000840,0.00000761,0.00000767,4.56388670,590259.96544336
20140825,0.00000767,0.00000826,0.00000767,0.00000775,6.12164916,778486.38670732
20140826,0.00000775,0.00001500,0.00000775,0.00001029,21.85968012,2081451.88558872
20140827,0.00001046,0.00001505,0.00001000,0.00001135,18.73275057,1542819.66309255
20140828,0.00001124,0.00001700,0.00001002,0.00001425,24.57934231,1786982.55377090
20140829,0.00001425,0.00003000,0.00001382,0.00002624,48.07214793,2280103.33935731
20140830,0.00002621,0.00002950,0.00002000,0.00002029,39.84453714,1713525.92494264
20140831,0.00002046,0.00002335,0.00001750,0.00002334,22.46281762,1136532.68230891
20140901,0.00002252,0.00005000,0.00001986,0.00002400,76.96350853,2801143.50765128
20140902,0.00002399,0.00002880,0.00001955,0.00002151,62.50695851,2781317.91765797
20140903,0.00002121,0.00002298,0.00001604,0.00001783,43.99294580,2262599.79626290
20140904,0.00001745,0.00001901,0.00001450,0.00001484,30.07583278,1819365.72942310
20140905,0.00001459,0.00001550,0.00001127,0.00001249,22.18909699,1702936.96027438
20140906,0.00001248,0.00001500,0.00001121,0.00001400,16.30344139,1306898.72639275
20140907,0.00001408,0.00001960,0.00001304,0.00001523,31.49760330,1972662.13554061
20140908,0.00001523,0.00001800,0.00001450,0.00001596,20.24659488,1271609.78810032
20140909,0.00001577,0.00002500,0.00001518,0.00002163,53.52970772,2809212.86543593
20140910,0.00002145,0.00002202,0.00001616,0.00001815,40.84363898,2035786.72991542
20140911,0.00001821,0.00001969,0.00001695,0.00001729,11.52542591,653889.76957877
20140912,0.00001729,0.00001856,0.00001570,0.00001629,16.86420811,997323.96068666
20140913,0.00001628,0.00001856,0.00001501,0.00001683,13.96551462,851378.17073255
20140914,0.00001683,0.00001704,0.00001478,0.00001479,8.79474375,553274.64655207
20140915,0.00001478,0.00001670,0.00001467,0.00001500,7.83632092,511665.22167225
20140916,0.00001494,0.00001550,0.00001250,0.00001319,13.41934328,949746.97901936
20140917,0.00001325,0.00001420,0.00001217,0.00001246,19.55131514,1524108.18618286
20140918,0.00001246,0.00001290,0.00000909,0.00001036,19.36233020,1785875.43781100
20140919,0.00001039,0.00001292,0.00001015,0.00001220,8.95109468,772234.10048330
20140920,0.00001223,0.00001459,0.00001186,0.00001365,11.11727634,835481.03857200
20140921,0.00001365,0.00001423,0.00001294,0.00001406,9.31112942,686208.55345541
20140922,0.00001397,0.00001424,0.00001206,0.00001209,10.89557524,856551.19665091
20140923,0.00001209,0.00001399,0.00001201,0.00001360,7.03267480,548704.95086762
20140924,0.00001324,0.00001650,0.00001252,0.00001460,20.19521051,1407624.45586033
20140925,0.00001460,0.00001505,0.00001329,0.00001386,10.52845094,760386.88407979
20140926,0.00001392,0.00001425,0.00001288,0.00001298,9.56754839,719478.97273946
20140927,0.00001289,0.00001425,0.00001275,0.00001287,4.74039935,362081.47614745
20140928,0.00001282,0.00001302,0.00001153,0.00001168,5.79030702,473207.03470333
20140929,0.00001168,0.00001269,0.00001135,0.00001202,3.85844711,331184.80896233
20140930,0.00001210,0.00001234,0.00001140,0.00001140,4.11873518,353602.08710647
20141001,0.00001140,0.00001599,0.00001109,0.00001397,10.67222647,793278.02951739
20141002,0.00001395,0.00001650,0.00001310,0.00001496,12.81002736,872664.55501923
20141003,0.00001477,0.00001625,0.00001450,0.00001454,8.67487929,575828.72661738
20141004,0.00001457,0.00001520,0.00001333,0.00001406,5.22167616,370342.39586352
20141005,0.00001409,0.00001600,0.00001012,0.00001184,14.77837272,1208585.27910853
20141006,0.00001234,0.00001449,0.00001180,0.00001202,6.66724050,536855.90266820
20141007,0.00001201,0.00001421,0.00001180,0.00001264,5.94404334,475837.14769101
20141008,0.00001286,0.00001828,0.00001266,0.00001753,27.20653357,1752264.70923209
