[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170619,1.00000001,1.00000001,0.00009005,0.00014998,1324.48464260,11137333.78953953
20170620,0.00013998,0.00019419,0.00009566,0.00010526,2770.53913029,19945754.11866001
20170621,0.00010901,0.00011714,0.00008311,0.00009020,608.95185106,6335300.77183662
20170622,0.00009020,0.00011000,0.00007432,0.00007880,843.59801484,9956933.27815204
20170623,0.00007993,0.00009800,0.00007500,0.00009220,387.17730074,4561612.71820717
20170624,0.00009220,0.00013504,0.00008910,0.00011499,1135.40638309,10349436.97684928
20170625,0.00011499,0.00011757,0.00008888,0.00009557,577.59236451,5600770.07778586
20170626,0.00009559,0.00009950,0.00007002,0.00008195,310.32296242,3735124.63788485
20170627,0.00008092,0.00008840,0.00006700,0.00008833,272.66111393,3584547.21622401
20170628,0.00008777,0.00008832,0.00007489,0.00007850,246.34731964,3025960.54773628
20170629,0.00007850,0.00008200,0.00007201,0.00007550,225.89024579,2930824.85460358
20170630,0.00007550,0.00008017,0.00006803,0.00007001,188.10541761,2552598.94704020
20170701,0.00007001,0.00007617,0.00006230,0.00006517,153.96054769,2240304.40566157
20170702,0.00006676,0.00007750,0.00006302,0.00007431,136.87572236,1976191.48824228
20170703,0.00007432,0.00007950,0.00006904,0.00007499,140.50418726,1915010.61295439
20170704,0.00007488,0.00007589,0.00006325,0.00007052,147.29460678,2122238.07640796
20170705,0.00007049,0.00007162,0.00006100,0.00006301,211.96885509,3293273.85153127
20170706,0.00006301,0.00006524,0.00005858,0.00006092,104.75865462,1697470.56142586
20170707,0.00006198,0.00006198,0.00005130,0.00005368,97.28312581,1741748.57565861
20170708,0.00005243,0.00005600,0.00005000,0.00005328,55.85911936,1078916.78110022
20170709,0.00005334,0.00005803,0.00005000,0.00005191,64.76557016,1235307.79759497
20170710,0.00005192,0.00005498,0.00004152,0.00004300,60.24605041,1309437.55098900
20170711,0.00004300,0.00004370,0.00002561,0.00003453,114.57306299,3319172.26350927
20170712,0.00003453,0.00005400,0.00003206,0.00004500,120.01146457,2786449.00808200
20170713,0.00004500,0.00004995,0.00003782,0.00004127,59.59077833,1400438.22960526
20170714,0.00004127,0.00004500,0.00003800,0.00004307,44.61065113,1080715.05997788
20170715,0.00004401,0.00004785,0.00003801,0.00004019,37.28806306,878966.61730676
20170716,0.00004067,0.00004346,0.00003551,0.00003950,27.64947180,716291.85374145
20170717,0.00003950,0.00004396,0.00003550,0.00004300,44.78820061,1118401.14273788
20170718,0.00004198,0.00004628,0.00003794,0.00004149,50.63069515,1235043.83065135
20170719,0.00004148,0.00004463,0.00003300,0.00003799,106.25023963,2842551.95628890
20170720,0.00003773,0.00004319,0.00003600,0.00003719,47.97429227,1260204.54282568
20170721,0.00003719,0.00004058,0.00003607,0.00003650,15.61393042,410431.15116545
20170722,0.00003697,0.00003950,0.00003500,0.00003950,40.72714267,1101183.66259804
20170723,0.00003831,0.00004025,0.00003595,0.00003740,29.30319201,763976.90830076
20170724,0.00003704,0.00004600,0.00003513,0.00004393,131.74953573,3310130.35000958
20170725,0.00004430,0.00005217,0.00003555,0.00003920,212.56809240,4782009.83928556
20170726,0.00003917,0.00004158,0.00003456,0.00003738,53.67742532,1419047.44685343
20170727,0.00003713,0.00003820,0.00003326,0.00003335,34.03769278,946536.71564274
20170728,0.00003335,0.00003449,0.00003016,0.00003200,48.23504099,1507340.13985612
20170729,0.00003324,0.00003324,0.00002755,0.00003040,58.15004666,1963207.56473716
20170730,0.00003037,0.00003160,0.00002684,0.00002928,60.23943309,2069964.73904227
20170731,0.00002929,0.00002949,0.00002723,0.00002949,17.92411226,628600.92571967
20170801,0.00002949,0.00003915,0.00002739,0.00003458,68.69952973,2078545.09943158
20170802,0.00003395,0.00003900,0.00003152,0.00003613,46.68157963,1368039.32064585
