[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150419,0.00581604,0.00620000,0.00500002,0.00506033,0.43264582,73.13651428
20150420,0.00577094,0.00577094,0.00506337,0.00506337,0.11716791,23.12671443
20150421,0.00506337,0.00549972,0.00506337,0.00549972,0.00374211,0.72443824
20150422,0.00548953,0.00550000,0.00548952,0.00550000,0.11979460,21.80348647
20150423,0.00599970,0.00643500,0.00599970,0.00643500,0.04954009,8.11171533
20150424,0.00643500,0.00690000,0.00548952,0.00674048,4.12051534,669.82836003
20150425,0.00607620,0.00676371,0.00400000,0.00660000,1.08216726,203.40307313
20150426,0.00650000,0.00650000,0.00650000,0.00650000,0.01293508,1.99001250
20150428,0.00600000,0.00600000,0.00597929,0.00600000,0.38513183,64.18983495
20150429,0.00568970,0.00599999,0.00550003,0.00550003,0.05798724,10.27872914
20150430,0.00595000,0.00599999,0.00595000,0.00599999,0.01374998,2.30000000
20150501,0.00550000,0.00594750,0.00510000,0.00594750,0.06334835,11.25336361
20150502,0.00540011,0.00595000,0.00499999,0.00525000,0.17650352,34.26214284
20150503,0.00589740,0.00589999,0.00520000,0.00520000,0.01293607,2.32376772
20150504,0.00520191,0.00530000,0.00519988,0.00530000,0.02710274,5.19438346
20150505,0.00584549,0.00585750,0.00525095,0.00525095,0.04052999,7.40251113
20150506,0.00580000,0.00590000,0.00570000,0.00590000,0.06244144,10.74297297
20150507,0.00589999,0.00600000,0.00589999,0.00600000,0.07579463,12.69239229
20150508,0.00539900,0.00539900,0.00505000,0.00505002,0.12607050,24.31583032
20150509,0.00573044,0.00595000,0.00505798,0.00506088,0.07547891,13.08931894
20150510,0.00569800,0.00569800,0.00569800,0.00569800,0.02985277,5.23916830
20150511,0.00505000,0.00505000,0.00500000,0.00500000,0.01007353,2.00000000
20150512,0.00510000,0.00510000,0.00510000,0.00510000,0.00215182,0.42192558
20150513,0.00510048,0.00510048,0.00495001,0.00495001,0.05505874,10.82617296
20150515,0.00500058,0.00539999,0.00495003,0.00495003,0.00883631,1.76741525
20150516,0.00539997,0.00550000,0.00495003,0.00495134,0.00537382,1.03909634
20150517,0.00550000,0.00550000,0.00495201,0.00495203,0.00233734,0.45498591
20150519,0.00510001,0.00534750,0.00502000,0.00534750,1.68198755,324.98742246
20150520,0.00510003,0.00540000,0.00510002,0.00519011,2.00042794,373.64870159
20150521,0.00519003,0.00540000,0.00519000,0.00529000,0.36617799,69.70647153
20150522,0.00529000,0.00543400,0.00526000,0.00538000,0.64634749,121.51485424
20150523,0.00538000,0.00550000,0.00538000,0.00549999,0.61538151,113.31480379
20150524,0.00549996,0.00550000,0.00531000,0.00531000,0.14075178,25.77829046
20150525,0.00550000,0.00550000,0.00522000,0.00522000,0.91419023,169.34219319
20150526,0.00549999,0.00549999,0.00500000,0.00500000,0.62083751,122.87137660
20150528,0.00510409,0.00549998,0.00510409,0.00510748,0.00542966,1.04998303
20150529,0.00510812,0.00550000,0.00510811,0.00510972,0.08259936,15.33719130
20150530,0.00530000,0.00530000,0.00530000,0.00530000,0.00063510,0.11983175
20150531,0.00530000,0.00550000,0.00520233,0.00520233,0.05854321,10.80892671
20150601,0.00549999,0.00550000,0.00525158,0.00525386,0.10729348,19.51706031
20150602,0.00550000,0.00550000,0.00550000,0.00550000,0.06612674,12.02304966
20150603,0.00550000,0.00550000,0.00533021,0.00540000,0.03103545,5.66471668
20150604,0.00540000,0.00550000,0.00540000,0.00545953,0.10758229,19.56148921
20150605,0.00550000,0.00550000,0.00512222,0.00550000,0.45236339,82.36024111
20150606,0.00550000,0.00560000,0.00543883,0.00550018,0.77356407,139.77406082
20150607,0.00555000,0.00571922,0.00543852,0.00571922,0.97299355,174.14449915
20150608,0.00600000,0.01179900,0.00581588,0.00581588,0.10057929,11.08841600
20150610,0.00556709,0.00565000,0.00546000,0.00565000,0.64538505,115.79995557
20150611,0.00549000,0.00549000,0.00547547,0.00547547,0.21972289,40.04106614
20150612,0.00548000,0.00557000,0.00548000,0.00548000,0.13850097,24.94545901
20150613,0.00556997,0.00561900,0.00548000,0.00548000,0.06202380,11.16029818
20150614,0.00561896,0.00561896,0.00561896,0.00561896,0.00056189,0.10000000
20150615,0.00561898,0.00575000,0.00548005,0.00575000,0.30311644,53.87723661
20150616,0.00561944,0.00595654,0.00548000,0.00577930,0.46298345,82.12861317
20150617,0.00558000,0.00558000,0.00558000,0.00558000,0.00056922,0.10201220
20150618,0.00574941,0.00580000,0.00510001,0.00513002,0.80350007,142.34493921
