[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140604,0.00051000,0.00051000,0.00005000,0.00011880,68.43373516,446100.90599242
20140605,0.00011880,0.00037100,0.00010801,0.00027903,355.49561493,1480641.65306364
20140606,0.00024604,0.00032990,0.00018103,0.00027500,281.67581925,1097579.07014430
20140607,0.00027500,0.00028551,0.00012568,0.00013552,230.38801981,1069637.48004574
20140608,0.00013552,0.00018990,0.00011052,0.00017890,169.04500925,1159630.72354162
20140609,0.00017890,0.00028209,0.00016333,0.00023049,443.64683809,2024782.63422254
20140610,0.00023053,0.00039790,0.00016617,0.00022130,899.85670522,3310467.72327242
20140611,0.00022200,0.00031999,0.00021801,0.00026584,455.95050379,1797957.99530195
20140612,0.00025800,0.00029440,0.00014490,0.00020000,316.88309891,1359821.19101401
20140613,0.00019018,0.00027700,0.00016000,0.00022788,263.08411360,1215225.13377608
20140614,0.00022976,0.00023500,0.00017100,0.00017220,96.93707113,494056.20150096
20140615,0.00017218,0.00020389,0.00015858,0.00015930,73.16685281,417115.49905201
20140616,0.00016400,0.00018400,0.00015531,0.00018100,51.92295142,302273.33343830
20140617,0.00018101,0.00022799,0.00017261,0.00021900,76.92484353,397991.25232990
20140618,0.00021900,0.00026887,0.00020011,0.00025700,136.92427484,587376.78278953
20140619,0.00025700,0.00081000,0.00024600,0.00073008,1108.49537150,2115747.99857101
20140620,0.00073008,0.00093690,0.00064011,0.00066000,371.93885998,477793.43051305
20140621,0.00065700,0.00071149,0.00050800,0.00063206,123.80296282,214522.14188074
20140622,0.00063000,0.00063980,0.00034500,0.00046600,85.20502359,193446.00289449
20140623,0.00042232,0.00057776,0.00039008,0.00050000,50.31239360,109097.84619250
20140624,0.00050001,0.00071000,0.00048015,0.00060002,78.26923068,133729.49189764
20140625,0.00066692,0.00070000,0.00050900,0.00053504,57.06355201,95134.84077915
20140626,0.00055000,0.00058490,0.00048500,0.00050999,33.36251385,63405.34719740
20140627,0.00050999,0.00054896,0.00043500,0.00043500,14.48830042,29354.40332155
20140628,0.00044104,0.00049348,0.00040010,0.00044595,16.25316905,37809.66134405
20140629,0.00044595,0.00055599,0.00044595,0.00055000,16.61446689,32289.79024642
20140630,0.00052023,0.00055999,0.00043402,0.00044158,15.85097453,31991.32117906
20140701,0.00044159,0.00052988,0.00037500,0.00038500,14.68009191,34792.52996060
20140702,0.00038889,0.00048281,0.00036231,0.00040497,17.94120882,45965.96002466
20140703,0.00040498,0.00050000,0.00038001,0.00049010,19.67415970,45680.20008213
20140704,0.00049011,0.00062102,0.00047561,0.00059199,26.59531418,47693.09648916
20140705,0.00058999,0.00060000,0.00054702,0.00059000,7.99309790,13814.50644436
20140706,0.00059000,0.00066800,0.00055011,0.00063819,26.27696441,42690.75029532
20140707,0.00063784,0.00064683,0.00055100,0.00060660,10.89918919,17926.41458630
20140708,0.00055336,0.00078964,0.00055336,0.00078964,28.95017441,43562.31007471
20140709,0.00078990,0.00134206,0.00069644,0.00112001,175.55998610,176766.17840280
20140710,0.00113999,0.00130080,0.00098000,0.00123168,112.24737189,98807.47756484
20140711,0.00119976,0.00121530,0.00083117,0.00105199,56.77752657,59466.19915266
20140712,0.00102991,0.00108000,0.00087000,0.00094316,55.77686476,56433.16523584
20140713,0.00094940,0.00095000,0.00084500,0.00084500,24.78643682,28090.01444219
20140714,0.00086000,0.00086000,0.00058012,0.00079869,33.58130951,44851.10028628
20140715,0.00079869,0.00125000,0.00072055,0.00101001,71.77780197,72687.41435034
20140716,0.00101054,0.00115000,0.00092100,0.00111783,32.93367516,31867.67101056
20140717,0.00111779,0.00141516,0.00106000,0.00129055,59.00416258,48481.73856252
20140718,0.00122102,0.00129995,0.00101005,0.00107151,61.20957787,54102.82114417
20140719,0.00103159,0.00114998,0.00095000,0.00095000,26.43242002,25826.03162284
20140720,0.00099170,0.00114939,0.00092800,0.00113005,45.14185499,42820.73861100
20140721,0.00114542,0.00131993,0.00110011,0.00121010,65.06819065,53818.48295143
20140722,0.00121295,0.00134990,0.00115850,0.00122500,53.16230445,42074.30162350
20140723,0.00122500,0.00130320,0.00116009,0.00127003,26.22686076,21235.10654964
20140724,0.00127003,0.00129989,0.00117736,0.00125706,57.07873354,45376.87497034
20140725,0.00125706,0.00125804,0.00105570,0.00117931,34.03067024,28740.56073990
20140726,0.00115000,0.00117800,0.00097000,0.00111731,40.55019346,39378.99390214
20140727,0.00109398,0.00165000,0.00106001,0.00163799,95.91266783,72928.02834413
20140728,0.00157994,0.00162800,0.00136660,0.00152677,95.12399328,63450.35622012
20140729,0.00150999,0.00185000,0.00149500,0.00180000,107.37717389,63827.89805796
20140730,0.00176286,0.00345000,0.00176286,0.00299579,466.35033984,182311.66435593
20140731,0.00299578,0.00328190,0.00190099,0.00207555,358.35507131,139912.62247067
20140801,0.00207544,0.00271999,0.00200000,0.00235100,102.85731221,42943.13102128
20140802,0.00237880,0.00249292,0.00214007,0.00217500,48.98739565,21536.99129848
20140803,0.00219500,0.00230883,0.00200200,0.00220302,64.86817811,30216.63542541
20140804,0.00226980,0.00267429,0.00220921,0.00257250,62.95472541,25161.75241366
20140805,0.00253190,0.00263457,0.00200011,0.00231340,78.82502261,34217.02486129
20140806,0.00231340,0.00232026,0.00188859,0.00205218,89.55635709,43416.40303932
20140807,0.00203521,0.00210000,0.00158016,0.00159321,134.70544251,77248.03204165
20140808,0.00159001,0.00178000,0.00120000,0.00171007,153.75757528,103569.46559812
20140809,0.00171007,0.00205000,0.00158001,0.00171619,103.72174551,56848.01089650
20140810,0.00168200,0.00171667,0.00104999,0.00119000,148.06354644,109104.01924567
20140811,0.00121099,0.00140000,0.00100086,0.00100086,83.96764018,69723.33329638
20140812,0.00100086,0.00110000,0.00067513,0.00069000,153.32357970,175846.29261314
20140813,0.00070002,0.00084922,0.00065000,0.00065004,75.40321373,104021.10472373
20140814,0.00065005,0.00068623,0.00056000,0.00057000,54.03213915,87287.87143218
20140815,0.00057245,0.00080500,0.00057000,0.00069365,59.90341094,84997.73706671
20140816,0.00069364,0.00069364,0.00037500,0.00041111,65.87982020,127674.36300981
20140817,0.00041111,0.00051830,0.00035966,0.00038272,21.19292330,49925.69866122
20140818,0.00037500,0.00046243,0.00014000,0.00025993,97.97174908,439103.74511439
