[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20151218,0.01207700,0.01207700,0.00020301,0.00080000,9.90525055,13153.26974737
20151219,0.00080000,0.00096999,0.00030000,0.00058990,5.58406165,11185.30443989
20151220,0.00058989,0.00058989,0.00035000,0.00038167,16.23753790,41341.99100372
20151221,0.00038165,0.00099701,0.00037000,0.00075000,35.88704260,75084.69491078
20151222,0.00060015,0.00074998,0.00040888,0.00051000,12.26712304,24408.68136615
20151223,0.00050019,0.00052958,0.00041000,0.00041000,29.65460785,68679.35704442
20151224,0.00041001,0.00045358,0.00041001,0.00044494,3.54193963,8361.82167952
20151225,0.00044495,0.00045000,0.00040015,0.00044998,12.47567868,29494.81675928
20151226,0.00044908,0.00045000,0.00039001,0.00041000,22.07425044,51976.46889268
20151227,0.00044899,0.00044990,0.00036000,0.00036000,18.19287255,44469.72439369
20151228,0.00040110,0.00044500,0.00036065,0.00042031,16.66843598,38262.71531621
20151229,0.00041101,0.00044500,0.00041020,0.00044431,1.83644209,4357.83253577
20151230,0.00044431,0.00044900,0.00041022,0.00044900,8.80302649,20031.39085593
20151231,0.00044799,0.00044799,0.00042222,0.00042222,0.40640373,928.62497207
20160101,0.00043000,0.00044789,0.00042440,0.00042440,4.88710956,11311.64878456
20160102,0.00044798,0.00049999,0.00044500,0.00045386,3.25167786,6939.57555494
20160103,0.00048029,0.00049000,0.00042550,0.00043200,8.33984611,19043.09458320
20160104,0.00043202,0.00044471,0.00041699,0.00043021,12.40476557,29157.38890765
20160105,0.00043021,0.00045499,0.00042140,0.00044146,7.17387823,16609.94257203
20160106,0.00044030,0.00045000,0.00042700,0.00042905,4.51964245,10295.77773781
20160107,0.00043401,0.00044461,0.00041021,0.00042999,18.68090711,44767.99293214
20160108,0.00042507,0.00044000,0.00041021,0.00043333,5.48525291,13002.52912930
20160109,0.00043002,0.00043002,0.00025001,0.00039290,33.10275361,81625.00907583
20160110,0.00034782,0.00043000,0.00033999,0.00035176,4.47966351,11711.37604873
20160111,0.00038896,0.00040000,0.00035066,0.00039999,13.57728343,35218.69194650
20160112,0.00038540,0.00039848,0.00038015,0.00039816,0.85710749,2165.07188094
20160113,0.00039000,0.00039809,0.00038096,0.00038169,5.43869084,13761.28398865
20160114,0.00038172,0.00039797,0.00038172,0.00038180,2.78870492,7298.41837611
20160115,0.00039422,0.00040172,0.00038300,0.00040172,9.57082787,24103.34758442
20160116,0.00041417,0.00084999,0.00041417,0.00077709,41.03398749,64200.23546799
20160117,0.00075937,0.00076034,0.00057000,0.00057000,27.77222000,44181.86122894
20160118,0.00056155,0.00058779,0.00054000,0.00054007,33.99260815,61197.27683636
20160119,0.00054001,0.00054007,0.00053980,0.00054007,15.74915167,29165.24706096
20160120,0.00054999,0.00055200,0.00048501,0.00049757,17.89546836,34190.34119337
20160121,0.00051991,0.00052000,0.00045004,0.00048359,6.20068060,12390.78721516
20160122,0.00049451,0.00050000,0.00046500,0.00047001,5.93708976,12147.54143585
20160123,0.00047000,0.00050400,0.00046500,0.00050000,22.04304438,45759.86871631
20160124,0.00050232,0.00050378,0.00040200,0.00040221,19.18305682,42186.13717061
20160125,0.00041993,0.00049110,0.00040235,0.00042965,12.89308771,28857.25982773
20160126,0.00042994,0.00047000,0.00038041,0.00045000,10.48010326,24638.42727864
20160127,0.00044999,0.00044999,0.00040288,0.00040288,10.81592603,26148.81586647
20160128,0.00040298,0.00045000,0.00040289,0.00041782,15.27597799,37312.19042715
20160129,0.00041780,0.00044757,0.00041000,0.00041012,7.64982913,18026.41445608
20160130,0.00042015,0.00042504,0.00039003,0.00039007,17.59618476,42661.20043011
20160131,0.00039006,0.00042505,0.00038200,0.00040000,21.59777302,53755.52003937
20160201,0.00042437,0.00042500,0.00040001,0.00040443,6.81058260,16520.99550391
20160202,0.00040443,0.00042221,0.00038200,0.00041400,19.72671265,49650.41709703
20160203,0.00041974,0.00042330,0.00041400,0.00042205,17.07767902,40684.27811050
20160204,0.00042002,0.00043000,0.00042002,0.00043000,11.66440384,27520.71320399
20160205,0.00042325,0.00058778,0.00042187,0.00058444,63.54463219,125493.34132350
20160206,0.00056514,0.00065000,0.00054003,0.00064995,111.37208523,182592.65934942
20160207,0.00064997,0.00092500,0.00060001,0.00082049,153.74818627,211148.00753619
20160208,0.00082049,0.00450000,0.00080000,0.00235203,476.80210290,315881.18611464
20160209,0.00244992,0.00256000,0.00179909,0.00180030,611.87442401,283559.90556496
20160210,0.00180030,0.00209991,0.00180030,0.00199000,243.35093229,124591.85800979
20160211,0.00204294,0.00215000,0.00160000,0.00160000,297.48760149,154395.96012057
20160212,0.00159999,0.00188001,0.00130000,0.00169900,225.76777196,139170.90850971
20160213,0.00169900,0.00169900,0.00126880,0.00143000,126.41675137,87063.76249581
20160214,0.00143000,0.00143703,0.00130000,0.00132316,63.05142774,46625.75502225
20160215,0.00132316,0.00137500,0.00119500,0.00125978,166.34448941,133205.57182223
20160216,0.00122684,0.00125000,0.00100002,0.00109302,151.41453957,138271.16847530
20160217,0.00114207,0.00143160,0.00100011,0.00136046,141.37537921,117129.87492482
20160218,0.00135726,0.00135729,0.00121278,0.00121278,69.71420175,54081.13484001
20160219,0.00129794,0.00129794,0.00107245,0.00110408,77.85631182,66566.29720507
20160220,0.00116286,0.00126678,0.00110750,0.00125998,29.97501031,24810.71433736
20160221,0.00124261,0.00127067,0.00085800,0.00109259,80.36532701,75738.06277871
20160222,0.00099911,0.00112726,0.00067323,0.00086000,146.73864277,170525.67043177
20160223,0.00092524,0.00094929,0.00082001,0.00092090,45.55549799,51106.89569227
20160224,0.00092080,0.00098200,0.00088891,0.00088891,77.30239285,82315.86584973
20160225,0.00088893,0.00096339,0.00084890,0.00088991,153.17007737,173166.25247384
20160226,0.00087359,0.00090001,0.00082404,0.00087561,54.53782753,63686.84503789
20160227,0.00087594,0.00088981,0.00084010,0.00085751,19.37898808,22583.08080246
20160228,0.00087448,0.00089900,0.00082100,0.00088999,65.10095608,75977.44893102
20160229,0.00085962,0.00087000,0.00082000,0.00086999,38.54332160,45603.57282563
20160301,0.00086513,0.00086513,0.00082000,0.00083110,43.47941693,52001.76346165
20160302,0.00083112,0.00083639,0.00070021,0.00082987,57.91560615,72878.61259290
20160303,0.00081800,0.00081800,0.00072145,0.00073489,71.17225353,95374.60943976
20160304,0.00073489,0.00075120,0.00071015,0.00071016,46.49204645,63488.08050003
20160305,0.00071992,0.00074700,0.00070000,0.00070275,50.70899202,71361.73820027
20160306,0.00070306,0.00072000,0.00068002,0.00070088,38.29929050,54554.83211744
20160307,0.00070081,0.00071000,0.00050000,0.00063120,65.86682782,104895.23186694
20160308,0.00063610,0.00072000,0.00060000,0.00070000,48.64369846,71154.96265790
20160309,0.00069792,0.00072000,0.00068003,0.00068011,39.33685186,56202.89570870
20160310,0.00068011,0.00071398,0.00060753,0.00069051,59.94099495,89340.46402347
20160311,0.00068569,0.00082994,0.00060019,0.00067092,52.70284610,74243.52644798
20160312,0.00067129,0.00069180,0.00065336,0.00065501,22.20275720,33456.52819657
20160313,0.00065503,0.00065503,0.00050998,0.00058000,79.54741413,134673.27915370
20160314,0.00058002,0.00060783,0.00050000,0.00053710,43.54844360,80563.87751521
20160315,0.00053721,0.00058998,0.00039993,0.00054922,87.54468040,169871.36279476
20160316,0.00054921,0.00058500,0.00045001,0.00058299,53.66296414,103945.81815224
20160317,0.00055280,0.00057010,0.00049570,0.00050030,34.45172572,66186.79876548
20160318,0.00051857,0.00053400,0.00049958,0.00050000,42.58157051,83759.90901932
20160319,0.00050076,0.00054370,0.00048000,0.00051003,42.22207801,83561.01440774
20160320,0.00051005,0.00054340,0.00050141,0.00051200,14.93220528,29167.44406984
20160321,0.00052987,0.00054050,0.00051010,0.00053653,23.05588664,43720.35791922
20160322,0.00053653,0.00053654,0.00051010,0.00053654,34.32820068,66377.01933653
20160323,0.00052701,0.00053668,0.00051632,0.00053500,16.26307985,30613.94347220
20160324,0.00053499,0.00058885,0.00052709,0.00058885,41.55158877,74711.48683512
20160325,0.00058885,0.00070000,0.00036661,0.00057008,124.72243281,244032.20150147
20160326,0.00055002,0.00073370,0.00053000,0.00056263,37.23177557,61630.47887462
20160327,0.00060076,0.00070084,0.00048181,0.00054311,68.92248686,127936.98401467
20160328,0.00058059,0.00058400,0.00052137,0.00053551,23.57047252,44212.33922287
20160329,0.00053544,0.00054947,0.00050000,0.00052649,34.01545207,64978.50001771
20160330,0.00052838,0.00055268,0.00051000,0.00055268,56.54328163,106536.96129872
20160331,0.00054850,0.00060000,0.00051000,0.00057955,150.99182333,272209.96220977
20160401,0.00055545,0.00059998,0.00053011,0.00056654,28.71195743,52986.98714468
20160402,0.00056637,0.00061000,0.00056635,0.00059237,37.52792367,62757.04846387
20160403,0.00059257,0.00061000,0.00058500,0.00058500,13.66442133,23021.05535176
20160404,0.00058500,0.00060000,0.00056200,0.00056903,15.01111464,25839.08069696
20160405,0.00056903,0.00059000,0.00056200,0.00059000,20.81176947,36282.35404338
20160406,0.00056709,0.00058000,0.00056200,0.00056201,33.30651843,58768.08608863
20160407,0.00056803,0.00057879,0.00056200,0.00056300,13.33701841,23667.68656737
20160408,0.00056372,0.00056998,0.00053613,0.00053644,22.52765000,40182.72773336
20160409,0.00055000,0.00055270,0.00050099,0.00052777,21.54539635,41251.14491410
20160410,0.00051020,0.00055384,0.00051007,0.00051100,19.44359352,37243.28470550
20160411,0.00052000,0.00052512,0.00045000,0.00045001,41.62779582,88441.41303513
20160412,0.00045001,0.00059500,0.00045000,0.00049828,94.90727907,185503.09557971
20160413,0.00050319,0.00051661,0.00048002,0.00048039,9.85721789,19910.66306679
20160414,0.00048040,0.00052000,0.00045001,0.00047012,77.41848649,158053.79977546
20160415,0.00047527,0.00050793,0.00040000,0.00047497,97.19727227,222369.21962507
20160416,0.00046659,0.00047015,0.00043000,0.00046944,27.19334237,60922.75053415
20160417,0.00044981,0.00047980,0.00042000,0.00044040,35.99523242,78799.13584786
20160418,0.00046386,0.00046898,0.00042004,0.00043076,26.19172179,59998.41289263
20160419,0.00044214,0.00045034,0.00042300,0.00044000,21.48569192,49841.05172036
20160420,0.00044000,0.00047490,0.00042400,0.00045740,22.40012779,50074.76265929
20160421,0.00044153,0.00047800,0.00043000,0.00044477,21.53253534,47660.06558504
20160422,0.00044492,0.00049017,0.00044084,0.00045047,48.82305751,104397.35385914
20160423,0.00044891,0.00048000,0.00044081,0.00044081,13.22423116,29231.85139887
20160424,0.00044080,0.00048675,0.00044000,0.00045271,13.13483192,27975.49234156
20160425,0.00045099,0.00047644,0.00044445,0.00044600,14.15576103,30257.28823808
20160426,0.00044450,0.00046500,0.00043000,0.00046490,29.32470643,66159.68501258
20160427,0.00046490,0.00046500,0.00043010,0.00043284,14.59673176,32747.07501989
20160428,0.00043335,0.00046000,0.00043173,0.00043842,11.51085322,25955.32090784
20160429,0.00044829,0.00046500,0.00044829,0.00046000,13.73633759,29800.78590490
20160430,0.00045950,0.00046515,0.00045157,0.00045563,16.32533688,35377.30779839
20160501,0.00045555,0.00046509,0.00045275,0.00045276,4.44661943,9640.56559991
20160502,0.00046163,0.00046501,0.00045317,0.00046449,8.28762397,17960.66581713
20160503,0.00045474,0.00046449,0.00045276,0.00046218,8.12929750,17747.35744659
20160504,0.00046218,0.00046400,0.00046200,0.00046218,5.36414129,11596.63174988
20160505,0.00046219,0.00047500,0.00045300,0.00046008,27.75751567,59809.63338419
20160506,0.00046000,0.00046047,0.00045300,0.00045375,13.99943164,30522.36190687
20160507,0.00045801,0.00046047,0.00045380,0.00045380,6.32886774,13804.22093853
20160508,0.00045380,0.00046047,0.00044012,0.00044021,21.66280936,48294.76194498
20160509,0.00044171,0.00045913,0.00043502,0.00043502,14.33480110,32319.87036092
20160510,0.00043998,0.00044999,0.00041978,0.00041986,27.95688525,64773.54376248
20160511,0.00042385,0.00043514,0.00040302,0.00040617,12.79644484,30848.44956850
20160512,0.00040614,0.00045599,0.00040614,0.00043827,21.78068702,49069.52432058
20160513,0.00041932,0.00042823,0.00041913,0.00042780,5.64133377,13408.29316739
20160514,0.00042005,0.00042787,0.00041924,0.00042786,13.90091368,32502.89855374
20160515,0.00042787,0.00042787,0.00041802,0.00042786,6.67376677,15899.25992269
20160516,0.00041946,0.00042785,0.00041577,0.00042700,22.78200023,53550.96351575
20160517,0.00041601,0.00042553,0.00040300,0.00041069,32.25571240,78376.21258749
20160518,0.00041069,0.00041911,0.00039900,0.00039900,57.47520196,142135.76298260
20160519,0.00040252,0.00041487,0.00039900,0.00039900,31.05301841,77614.49936482
20160520,0.00039900,0.00040812,0.00038941,0.00039066,21.58082797,55248.92921797
