[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150122,0.00010000,0.00010000,0.00000125,0.00000298,8.65770399,3607286.69971541
20150123,0.00000299,0.00000333,0.00000161,0.00000209,17.82842549,8496615.58791664
20150124,0.00000185,0.00000206,0.00000125,0.00000154,14.58672597,9430957.45585069
20150125,0.00000140,0.00000182,0.00000114,0.00000131,12.71658026,8749587.57158790
20150126,0.00000131,0.00000150,0.00000090,0.00000121,9.44038988,7924946.17220609
20150127,0.00000120,0.00000133,0.00000105,0.00000105,1.94430401,1718646.12028958
20150128,0.00000112,0.00000139,0.00000091,0.00000115,3.31788086,2887934.19783709
20150129,0.00000119,0.00000204,0.00000108,0.00000204,8.40046112,5429916.52640052
20150130,0.00000200,0.00000300,0.00000151,0.00000295,12.00771176,5354478.97966937
20150131,0.00000295,0.00000299,0.00000211,0.00000269,3.50640129,1419399.88493604
20150201,0.00000266,0.00000295,0.00000212,0.00000250,4.83890943,1942059.85680471
20150202,0.00000231,0.00000254,0.00000207,0.00000238,2.34801166,1029526.82819938
20150203,0.00000236,0.00000238,0.00000156,0.00000231,3.60056763,1742655.08895280
20150204,0.00000214,0.00000230,0.00000205,0.00000214,2.02002166,935747.58458197
20150205,0.00000215,0.00000230,0.00000167,0.00000213,6.13191373,3059394.45299930
20150206,0.00000210,0.00000230,0.00000181,0.00000202,7.00166002,3476474.83913265
20150207,0.00000208,0.00000209,0.00000192,0.00000192,3.87567657,1933338.99143289
20150208,0.00000192,0.00000199,0.00000153,0.00000190,5.35858693,3025776.12785039
20150209,0.00000177,0.00000247,0.00000158,0.00000226,6.11189541,3180908.92495738
20150210,0.00000224,0.00000286,0.00000170,0.00000209,6.22528387,2781406.48110612
20150211,0.00000213,0.00000245,0.00000197,0.00000220,3.86712260,1838492.74036983
20150212,0.00000201,0.00000228,0.00000194,0.00000202,4.69660615,2267482.42835431
20150213,0.00000201,0.00000202,0.00000163,0.00000180,2.53693628,1313388.05134531
20150214,0.00000181,0.00000181,0.00000180,0.00000180,0.12997197,72106.98710866
20150215,0.00000176,0.00000230,0.00000166,0.00000215,6.15589327,3115079.53391292
20150216,0.00000210,0.00000213,0.00000187,0.00000187,0.79439253,400143.46415924
20150217,0.00000189,0.00000200,0.00000175,0.00000175,0.62113166,330178.11980666
20150218,0.00000177,0.00000177,0.00000160,0.00000160,0.31592885,191322.48795939
20150219,0.00000166,0.00000190,0.00000165,0.00000167,0.39260087,229681.86063425
20150220,0.00000168,0.00000173,0.00000167,0.00000170,0.85041375,497671.59589479
20150221,0.00000169,0.00000170,0.00000106,0.00000130,1.57606894,1162731.64891985
20150222,0.00000147,0.00000147,0.00000122,0.00000129,0.49955049,396505.91544824
20150223,0.00000128,0.00000149,0.00000126,0.00000126,0.65941184,494136.29213464
20150224,0.00000126,0.00000149,0.00000109,0.00000149,0.91451666,749090.81888637
20150225,0.00000121,0.00000130,0.00000119,0.00000130,0.27382781,213470.45489633
20150226,0.00000116,0.00000124,0.00000084,0.00000084,1.08417861,1045476.18390144
20150227,0.00000096,0.00000113,0.00000085,0.00000102,0.11823643,114158.89962410
20150228,0.00000102,0.00000103,0.00000102,0.00000103,0.01691318,16571.75429827
20150301,0.00000104,0.00000110,0.00000085,0.00000085,1.45787093,1617760.62637100
20150302,0.00000097,0.00000124,0.00000083,0.00000120,1.40690767,1507760.73037681
20150303,0.00000117,0.00000190,0.00000087,0.00000142,3.98151840,2453888.63055947
20150304,0.00000151,0.00000151,0.00000106,0.00000145,0.46030031,354064.99429341
20150305,0.00000125,0.00000180,0.00000120,0.00000137,1.51465494,984348.90277577
20150306,0.00000142,0.00000180,0.00000121,0.00000180,1.45247499,901659.90306203
20150307,0.00000130,0.00000180,0.00000130,0.00000171,0.14816787,96348.85957160
20150308,0.00000140,0.00000154,0.00000110,0.00000154,0.55352221,466441.59682997
20150309,0.00000125,0.00000142,0.00000084,0.00000142,0.79000998,735524.11828087
20150310,0.00000138,0.00000157,0.00000130,0.00000131,1.55869853,1086160.26411418
20150311,0.00000134,0.00000153,0.00000133,0.00000153,0.07180038,50502.82576369
20150312,0.00000127,0.00000127,0.00000111,0.00000111,0.12187401,100000.00000000
20150313,0.00000140,0.00000140,0.00000100,0.00000105,0.34817267,329213.17347603
20150314,0.00000105,0.00000140,0.00000105,0.00000135,0.02839775,23633.40642841
20150315,0.00000111,0.00000111,0.00000107,0.00000107,0.03622899,33677.61475248
20150316,0.00000111,0.00000111,0.00000105,0.00000105,0.27228590,251666.53731599
20150317,0.00000128,0.00000128,0.00000099,0.00000099,0.03891149,37944.23629679
20150318,0.00000099,0.00000134,0.00000090,0.00000130,0.59711591,513446.36011668
20150319,0.00000130,0.00000130,0.00000094,0.00000100,0.36249418,319796.02905135
20150320,0.00000110,0.00000119,0.00000110,0.00000119,0.56131546,473290.31833640
20150321,0.00000108,0.00000108,0.00000108,0.00000108,0.00071677,663.68166360
20150322,0.00000108,0.00000108,0.00000045,0.00000059,10.21621072,13875498.75227583
20150323,0.00000058,0.00000064,0.00000028,0.00000055,6.51546662,15436417.62417436
20150324,0.00000056,0.00000089,0.00000041,0.00000058,2.69343392,4474631.71920928
20150325,0.00000060,0.00000072,0.00000035,0.00000056,3.26300832,6594859.33044149
20150326,0.00000056,0.00000080,0.00000042,0.00000072,4.04096951,7107124.10062331
