[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170613,0.00065501,0.00150000,0.00034996,0.00048996,134.28233097,268601.44485955
20170614,0.00049000,0.00082999,0.00047237,0.00059600,681.13959415,1138998.53512514
20170615,0.00059600,0.00073861,0.00051750,0.00054125,367.69659276,625102.32732768
20170616,0.00054138,0.00057000,0.00051601,0.00053019,259.68287036,484995.79634176
20170617,0.00053061,0.00055890,0.00047009,0.00051000,156.49507705,303763.60495263
20170618,0.00051400,0.00053050,0.00040000,0.00041820,126.84913415,276955.60885370
20170619,0.00041015,0.00046194,0.00036004,0.00038028,132.89068651,332031.75071779
20170620,0.00038929,0.00039100,0.00031694,0.00033377,69.22842969,194831.27586668
20170621,0.00034767,0.00036990,0.00025004,0.00026709,55.81549070,190623.77130309
20170622,0.00027941,0.00031420,0.00026707,0.00028561,39.37221858,137155.91886124
20170623,0.00029137,0.00029537,0.00025100,0.00026302,58.17234192,212433.05740125
20170624,0.00026317,0.00028051,0.00025000,0.00026292,52.18996288,200278.73115761
20170625,0.00026293,0.00027475,0.00025001,0.00025515,41.60879391,159212.41406847
20170626,0.00026000,0.00026642,0.00019999,0.00023888,40.24344584,173995.95374288
20170627,0.00023753,0.00025061,0.00019540,0.00023191,29.46492889,139661.38356700
20170628,0.00023152,0.00025513,0.00020002,0.00024378,37.20858833,168108.81425766
20170629,0.00023816,0.00044000,0.00023101,0.00030000,327.57851480,989370.46334838
20170630,0.00029995,0.00037967,0.00025698,0.00026391,167.89025688,517952.46089751
20170701,0.00026793,0.00033000,0.00026419,0.00027344,38.77413227,137641.53963033
20170702,0.00027030,0.00030000,0.00026000,0.00026003,28.17960637,99443.25802409
20170703,0.00026003,0.00027864,0.00024118,0.00025612,22.45775628,88092.25260776
20170704,0.00024900,0.00025535,0.00024500,0.00024702,11.26631365,45075.74670840
20170705,0.00024582,0.00026628,0.00023000,0.00026471,30.45434519,123238.06450574
20170706,0.00026471,0.00035470,0.00023635,0.00029983,96.14611815,317488.65824627
20170707,0.00029988,0.00029988,0.00019542,0.00022897,40.55897966,171115.64374393
20170708,0.00023831,0.00024508,0.00020005,0.00020400,21.87263024,103802.34054023
20170709,0.00021851,0.00024922,0.00020418,0.00022072,15.20647614,67244.98167594
20170710,0.00021999,0.00025000,0.00015648,0.00019584,33.47506152,159126.12285874
20170711,0.00019581,0.00022993,0.00015591,0.00019059,16.12687570,79700.48086672
20170712,0.00018880,0.00022277,0.00018237,0.00020921,7.99173708,39803.70189552
20170713,0.00020921,0.00021954,0.00019200,0.00020600,14.62843974,71810.55965937
20170714,0.00021188,0.00021188,0.00019201,0.00020147,6.61583148,32886.98900922
20170715,0.00020902,0.00021090,0.00019200,0.00019326,9.46837235,47769.12500504
20170716,0.00020049,0.00020049,0.00016501,0.00017541,8.14434195,44853.82301072
20170717,0.00017601,0.00020345,0.00017040,0.00018229,15.33275592,83158.54080024
20170718,0.00018228,0.00019508,0.00016000,0.00017082,15.04537267,86755.91645214
20170719,0.00017055,0.00018248,0.00016600,0.00017883,12.98211408,75681.14770062
20170720,0.00017081,0.00017934,0.00015501,0.00016407,7.83258358,45971.35672546
20170721,0.00016406,0.00017327,0.00015000,0.00015516,5.70739525,35861.88482462
20170722,0.00015829,0.00018551,0.00013221,0.00015398,19.01114521,118704.79316541
20170723,0.00016015,0.00017100,0.00015258,0.00016500,7.22261808,45026.59394805
20170724,0.00016394,0.00018488,0.00016314,0.00016491,9.72126282,56937.13668268
20170725,0.00016784,0.00017120,0.00015901,0.00016206,4.21335468,26031.22611427
20170726,0.00015931,0.00017271,0.00014010,0.00017271,7.91979427,50492.51717685
20170727,0.00016739,0.00016739,0.00014111,0.00015000,3.96632454,26173.30996333
20170728,0.00014860,0.00016595,0.00013700,0.00014328,9.08767395,60421.67122875
20170729,0.00014258,0.00015782,0.00013524,0.00015200,9.28588518,62937.56628633
20170730,0.00015626,0.00015626,0.00014000,0.00014013,6.53863595,44451.97959568
20170731,0.00014208,0.00014772,0.00013200,0.00013200,2.73964098,20129.34059255
20170801,0.00013188,0.00014500,0.00010182,0.00013279,22.79902877,180092.74868691
20170802,0.00013279,0.00014197,0.00011567,0.00012765,9.17845731,71647.77226360
