[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170306,0.00002223,0.00010223,0.00001812,0.00002199,0.49929809,19108.17591403
20170307,0.00001919,0.00003840,0.00001919,0.00003152,9.87046676,314078.93193691
20170308,0.00003102,0.00003598,0.00003102,0.00003354,2.67402413,79912.63855261
20170309,0.00003357,0.00003524,0.00002786,0.00002788,1.76254537,57980.19078974
20170310,0.00002788,0.00003323,0.00002712,0.00002716,1.30692978,44957.79579602
20170311,0.00002714,0.00002818,0.00002186,0.00002317,3.08725412,127554.31934128
20170312,0.00002316,0.00002741,0.00002196,0.00002457,0.60080603,24758.15212907
20170313,0.00002456,0.00002684,0.00002395,0.00002500,0.84477391,33924.11858981
20170314,0.00002500,0.00003600,0.00002400,0.00003600,1.71791439,62369.42566342
20170315,0.00003600,0.00003923,0.00003026,0.00003168,2.22602737,67282.00112112
20170316,0.00003166,0.00003832,0.00003060,0.00003782,3.03870885,88152.43916406
20170317,0.00003776,0.00004344,0.00003560,0.00003685,2.24283201,59477.49332696
20170318,0.00003685,0.00003999,0.00003499,0.00003660,2.69207320,74283.12999376
20170319,0.00003650,0.00007345,0.00003625,0.00007000,5.97144249,122845.87064697
20170320,0.00005968,0.00007260,0.00004640,0.00007151,5.38114669,90655.69727724
20170321,0.00007152,0.00025498,0.00005013,0.00013300,85.39292470,580217.99837990
20170322,0.00013300,0.00027222,0.00013300,0.00024786,64.94240548,317982.09738227
20170323,0.00024794,0.00100000,0.00024794,0.00039501,341.72943727,694220.51033830
20170324,0.00039501,0.00058000,0.00037214,0.00039007,83.24427052,185149.18295024
20170325,0.00039007,0.00040588,0.00018800,0.00028684,95.01377475,353681.55020616
20170326,0.00028743,0.00034603,0.00025000,0.00028003,41.32554172,137708.19805039
20170327,0.00028043,0.00035000,0.00025400,0.00027130,37.47657753,128615.22915297
20170328,0.00027128,0.00030000,0.00026407,0.00028830,15.95945971,55899.06118277
20170329,0.00027672,0.00046058,0.00022600,0.00041999,106.68919698,307783.35503598
20170330,0.00042000,0.00045440,0.00029001,0.00035938,115.15981421,315087.95342611
20170331,0.00031826,0.00038497,0.00031173,0.00035026,41.26197406,120098.24025202
20170401,0.00035039,0.00037308,0.00033001,0.00033003,19.29019860,56236.40453337
20170402,0.00033003,0.00039490,0.00032300,0.00034273,35.63413788,101205.01644143
20170403,0.00034273,0.00034867,0.00028000,0.00028000,28.12041671,91550.32740549
20170404,0.00028001,0.00035000,0.00026502,0.00033163,21.64006901,73246.12564704
20170405,0.00030283,0.00034990,0.00029000,0.00031253,8.66778335,27952.29389740
20170406,0.00031548,0.00033601,0.00023000,0.00023000,31.65253063,116867.38193221
20170407,0.00022807,0.00034300,0.00019000,0.00028604,58.50311770,220437.55024142
20170408,0.00028639,0.00028639,0.00016201,0.00025200,46.87068977,202973.44789088
20170409,0.00025200,0.00025200,0.00022000,0.00022357,10.02183405,43798.20651894
20170410,0.00022006,0.00022485,0.00019001,0.00019003,21.46656767,105308.63033452
20170411,0.00019003,0.00020892,0.00016888,0.00020000,27.61333724,150950.55859946
20170412,0.00019372,0.00026600,0.00019002,0.00025950,40.79742823,176166.80455436
20170413,0.00024705,0.00034985,0.00024004,0.00028536,58.31706033,195491.05014596
20170414,0.00028536,0.00035361,0.00026974,0.00029016,26.69742704,86552.44768028
20170415,0.00029016,0.00032998,0.00029016,0.00030500,22.96334018,73593.68030578
20170416,0.00030500,0.00036999,0.00029712,0.00034622,36.16380992,108392.81367518
20170417,0.00035499,0.00044345,0.00034103,0.00041451,59.60352319,151995.60168140
20170418,0.00040025,0.00050196,0.00040020,0.00044332,51.67619300,115101.34503364
20170419,0.00044400,0.00079898,0.00044400,0.00077978,187.20586191,299379.50931115
20170420,0.00077980,0.00078979,0.00054800,0.00054800,123.95324373,192294.20256665
20170421,0.00055112,0.00065257,0.00047834,0.00060102,34.98988239,61123.64103424
20170422,0.00060166,0.00084900,0.00060001,0.00076052,136.03027658,185084.59999706
20170423,0.00076473,0.00079091,0.00067503,0.00069509,59.78822683,82674.43706899
20170424,0.00069509,0.00070717,0.00050000,0.00063648,78.04051923,126995.08975267
20170425,0.00063648,0.00065918,0.00056186,0.00060000,37.49201769,60879.00040386
20170426,0.00060000,0.00061307,0.00052000,0.00056000,33.54275480,59513.98784419
20170427,0.00056000,0.00058526,0.00052000,0.00052099,42.04500161,76214.02046207
20170428,0.00052099,0.00066200,0.00051688,0.00063003,33.20974101,57697.76930016
20170429,0.00063003,0.00066201,0.00060000,0.00064000,20.61386155,32495.61649383
20170430,0.00064000,0.00078000,0.00064000,0.00074000,68.54232278,93925.12869469
20170501,0.00074003,0.00077999,0.00067100,0.00072000,68.52070700,95554.94477927
20170502,0.00072362,0.00072725,0.00060003,0.00063719,29.49301210,44514.90021776
20170503,0.00063719,0.00065720,0.00060001,0.00060011,20.91490248,34376.67332087
20170504,0.00060001,0.00062313,0.00053001,0.00056991,18.79356056,33297.75220690
20170505,0.00056991,0.00062709,0.00047000,0.00057745,37.09753876,70474.04391631
20170506,0.00057745,0.00060614,0.00016862,0.00044001,68.40021866,149895.46201106
20170507,0.00044000,0.00050699,0.00037100,0.00041700,30.35441511,67848.97926801
20170508,0.00041700,0.00042226,0.00036002,0.00036611,11.36842284,28712.73582124
20170509,0.00036599,0.00041999,0.00027096,0.00033348,11.41497093,32519.01531312
20170510,0.00033351,0.00038505,0.00029805,0.00037500,12.27459828,34115.99442229
20170511,0.00037500,0.00038985,0.00033005,0.00034334,10.08873572,28162.04784021
20170512,0.00035061,0.00038982,0.00034000,0.00036357,7.77782012,21554.00509645
20170513,0.00036000,0.00040426,0.00035000,0.00040000,14.91978393,40477.63410668
20170514,0.00040000,0.00050526,0.00035001,0.00042924,52.06677998,123144.16255173
20170515,0.00043000,0.00047178,0.00042922,0.00045000,24.78628527,55282.09563913
20170516,0.00045000,0.00047474,0.00041000,0.00041002,12.06641790,27159.11162052
20170517,0.00042097,0.00046066,0.00040001,0.00040001,8.22948590,19837.55758513
20170518,0.00040001,0.00044884,0.00036001,0.00036202,9.11613210,23048.62201331
20170519,0.00036206,0.00040874,0.00035000,0.00036009,8.72814636,23735.97465102
20170520,0.00036009,0.00036998,0.00035701,0.00035701,6.23349033,17229.71498454
20170521,0.00035701,0.00035701,0.00028810,0.00029469,11.55978276,34684.03789875
20170522,0.00029476,0.00031527,0.00025003,0.00030000,6.22838521,21967.26858236
20170523,0.00030000,0.00033562,0.00028600,0.00031194,7.01548659,23946.93313599
20170524,0.00031041,0.00033567,0.00027326,0.00027395,13.42024017,46312.03840233
20170525,0.00027395,0.00027395,0.00022505,0.00026624,17.84583575,70891.02017936
20170526,0.00026660,0.00033134,0.00022720,0.00028402,13.06833669,46776.50604016
20170527,0.00028402,0.00028768,0.00027298,0.00027300,7.48627644,26547.24619949
20170528,0.00027300,0.00028688,0.00023665,0.00027069,8.22822036,30634.76730649
20170529,0.00027124,0.00028969,0.00025537,0.00025711,4.94230022,18190.49147451
20170530,0.00025705,0.00027000,0.00021950,0.00022202,13.11353353,54364.51897489
20170531,0.00022202,0.00025725,0.00021724,0.00024871,7.50731831,31565.40226241
20170601,0.00024871,0.00027996,0.00022259,0.00024779,7.88555095,30692.49647454
20170602,0.00024018,0.00027971,0.00023300,0.00026436,10.56629642,41055.76758933
20170603,0.00027723,0.00029989,0.00025000,0.00028857,4.29850920,15307.77176076
20170604,0.00028312,0.00039989,0.00028151,0.00039989,16.55977097,47849.04266264
20170605,0.00038236,0.00042005,0.00030400,0.00033754,37.78681468,105625.17604439
20170606,0.00033664,0.00033970,0.00029701,0.00032036,23.73272065,75433.65211942
20170607,0.00032033,0.00032313,0.00029713,0.00029713,11.40389253,36261.71096951
20170608,0.00029713,0.00031166,0.00027236,0.00030106,12.26248063,41722.35213112
20170609,0.00030106,0.00041008,0.00029517,0.00033858,42.72695628,122331.46481009
