[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140513,0.01000000,0.01000000,0.00250000,0.00250000,0.16675155,53.30815016
20140514,0.00145000,0.00790000,0.00145000,0.00500069,4.88797469,1060.32256819
20140515,0.00500000,0.00510000,0.00251337,0.00251337,6.01825691,1589.07640551
20140516,0.00251337,0.00399999,0.00220000,0.00300001,11.68638273,3850.89069590
20140517,0.00300100,0.00399000,0.00185000,0.00185000,9.61357921,3543.52304984
20140518,0.00185000,0.00280000,0.00110000,0.00155110,5.70762641,3570.03696758
20140519,0.00156401,0.00255000,0.00156401,0.00190100,11.03328122,5377.70992993
20140520,0.00190100,0.00279999,0.00165000,0.00177789,8.36103409,3572.73519000
20140521,0.00177789,0.00199995,0.00110010,0.00110011,4.47988913,2950.16070661
20140522,0.00110011,0.00180000,0.00100000,0.00100007,2.11747786,1829.81575918
20140523,0.00100007,0.00130000,0.00066001,0.00066001,0.91274045,869.03849771
20140524,0.00090000,0.00139999,0.00090000,0.00125000,1.49210407,1255.63215839
20140525,0.00112000,0.00127400,0.00111111,0.00112500,1.18015618,1021.13319742
20140526,0.00112500,0.00149699,0.00110000,0.00110000,2.47291256,2074.20374275
20140527,0.00112000,0.00128000,0.00090000,0.00090020,1.73972755,1643.94585595
20140528,0.00109990,0.00109990,0.00080000,0.00100000,1.21933792,1404.59181029
20140529,0.00099989,0.00099989,0.00070003,0.00081000,0.94159523,1200.68574581
20140530,0.00081000,0.00099978,0.00075000,0.00077000,1.80381901,2319.28102551
20140531,0.00077000,0.00077000,0.00050000,0.00052000,4.29102029,6552.80347688
20140601,0.00052000,0.00060002,0.00031110,0.00040000,3.79695607,9978.51973658
20140602,0.00040899,0.00059994,0.00031110,0.00036001,0.83685311,2258.69374149
20140603,0.00036001,0.00049962,0.00031110,0.00034000,0.70631865,1982.16900569
20140604,0.00034103,0.00047493,0.00024000,0.00024000,0.98091508,3199.83223437
20140605,0.00024000,0.00025000,0.00020000,0.00020000,0.35372176,1622.04697285
