[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170716,0.00182154,0.00182154,0.00007586,0.00009200,96.41896423,1027294.16749534
20170717,0.00009200,0.00011800,0.00005500,0.00007795,3817.88987421,49192958.21849725
20170718,0.00007795,0.00009423,0.00007089,0.00007565,3077.74147617,36868159.92822028
20170719,0.00007562,0.00008095,0.00005111,0.00006400,1213.34861904,17215075.96800945
20170720,0.00006260,0.00007207,0.00005220,0.00005517,780.16475991,12474028.93532559
20170721,0.00005501,0.00006051,0.00005393,0.00005684,372.46646139,6523250.00450861
20170722,0.00005736,0.00007000,0.00005600,0.00006518,539.17834207,8538403.36325980
20170723,0.00006563,0.00006993,0.00006200,0.00006681,342.40383195,5201120.31469799
20170724,0.00006682,0.00008446,0.00006588,0.00007379,1650.12520123,21874084.29485833
20170725,0.00007379,0.00007770,0.00006486,0.00006796,785.59793697,11324293.94360294
20170726,0.00006796,0.00007124,0.00006300,0.00006781,360.85487603,5426487.54372305
20170727,0.00006888,0.00006931,0.00005960,0.00006072,363.98573613,5687566.69188588
20170728,0.00006077,0.00006200,0.00005300,0.00005453,315.97993009,5527833.56421901
20170729,0.00005499,0.00006239,0.00005423,0.00006160,179.82063453,3177931.97243288
20170730,0.00006160,0.00006303,0.00005681,0.00005959,157.85345999,2649715.11591595
20170731,0.00005972,0.00006062,0.00005672,0.00005681,167.45248528,2893979.36924145
20170801,0.00005681,0.00006694,0.00005590,0.00006284,250.20151981,4086209.04364280
20170802,0.00006258,0.00006300,0.00005851,0.00005986,257.81076138,4252127.80203022
