[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20161222,0.00002500,0.00004000,0.00002500,0.00004000,263.74122862,10343530.73586944
20161223,0.00004000,0.00004000,0.00004000,0.00004000,5.50020437,137505.11281001
20161224,0.00004000,0.00004000,0.00004000,0.00004000,11.37711978,284427.99659683
20161225,0.00004000,0.00004000,0.00004000,0.00004000,1.84701936,46175.48665309
20161226,0.00004000,0.00004000,0.00004000,0.00004000,3.09530507,77382.62931871
20161227,0.00004000,0.00004000,0.00004000,0.00004000,5.61001544,140250.38852561
20161228,0.00004000,0.00004000,0.00004000,0.00004000,9.66284771,241571.19692135
20161229,0.00004000,0.00004000,0.00004000,0.00004000,5.79137805,144784.45233376
20161231,0.00003500,0.00004450,0.00003250,0.00003700,8.67617099,230632.04495262
20170101,0.00003610,0.00004299,0.00001810,0.00002505,31.60770422,1136512.13926882
20170102,0.00002506,0.00002735,0.00001900,0.00002407,12.78998390,561334.26373277
20170103,0.00002302,0.00002600,0.00002038,0.00002300,8.97473939,386482.16174405
20170104,0.00002380,0.00002899,0.00002380,0.00002875,8.35951528,323957.17325231
20170105,0.00002763,0.00002875,0.00002407,0.00002502,6.17510945,241951.82198816
20170106,0.00002509,0.00002874,0.00002509,0.00002729,1.41185256,51050.28248539
20170107,0.00002729,0.00002729,0.00002505,0.00002506,3.17265726,123561.01930389
20170108,0.00002566,0.00002713,0.00002450,0.00002698,3.91277746,156338.57210258
20170109,0.00002697,0.00002880,0.00002500,0.00002588,26.29028562,960406.41281491
20170110,0.00002586,0.00002586,0.00002420,0.00002420,4.55431486,183724.69642123
20170111,0.00002449,0.00002570,0.00002413,0.00002450,2.83292287,116072.25863260
20170112,0.00002452,0.00002830,0.00002450,0.00002614,7.72773482,296603.26915417
20170113,0.00002601,0.00002900,0.00002552,0.00002746,7.02730971,261403.68440504
20170114,0.00002746,0.00004200,0.00002662,0.00003693,48.69425228,1427507.37418368
20170115,0.00003258,0.00004530,0.00003146,0.00004530,19.35708955,508949.11625916
20170116,0.00004530,0.00009238,0.00004105,0.00006999,102.73912180,1681972.30191201
