[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140316,0.00013600,0.00013600,0.00013600,0.00013600,0.00087132,6.40679289
20140317,0.00189000,0.00189000,0.00189000,0.00189000,0.01512000,8.00000000
20140319,0.00018700,0.00018700,0.00014002,0.00014002,0.01858669,123.68395806
20140323,0.00149900,0.00149900,0.00149900,0.00149900,0.11992000,80.00000000
20140326,0.00149000,0.00187990,0.00128000,0.00187990,0.06398037,41.48000000
20140327,0.00131799,0.00131799,0.00131799,0.00131799,0.00287322,2.18000000
20140328,0.00131799,0.00131799,0.00131799,0.00131799,0.00500990,3.80117019
20140329,0.00131799,0.00131799,0.00128001,0.00128001,0.02208300,17.00000000
20140330,0.00130000,0.00169799,0.00130000,0.00130000,0.00618367,4.39071386
20140331,0.00135000,0.00135000,0.00135000,0.00135000,0.00540000,4.00000000
20140401,0.00159000,0.00169797,0.00159000,0.00169797,0.01972782,12.00000000
20140403,0.00135010,0.00135010,0.00135010,0.00135010,0.00301076,2.23002923
20140404,0.00135010,0.00178799,0.00135010,0.00178799,0.06027339,35.35846220
20140408,0.00145000,0.00150000,0.00014699,0.00014699,0.05606905,45.07589608
20140409,0.00146970,0.00146970,0.00129000,0.00129000,0.01436970,11.00000000
20140410,0.00139999,0.00139999,0.00125000,0.00125000,0.02568371,19.01857172
20140411,0.00137990,0.00137990,0.00080000,0.00080000,0.12187655,94.66030702
20140412,0.00138900,0.00138900,0.00112999,0.00138000,0.09952656,81.58979361
20140413,0.00113700,0.00120000,0.00113699,0.00120000,0.01263899,11.05756046
20140414,0.00136000,0.00139947,0.00123005,0.00127000,0.12295075,95.71676378
20140415,0.00124242,0.00126990,0.00124242,0.00124245,0.13971721,112.34298390
20140417,0.00120050,0.00120050,0.00120050,0.00120050,0.01680700,14.00000000
20140418,0.00120616,0.00200000,0.00120616,0.00165000,0.51118339,304.43436039
20140419,0.00151001,0.00151001,0.00150000,0.00150000,0.03602620,23.93440339
20140420,0.00142000,0.00189999,0.00142000,0.00142922,0.02673214,16.80000000
20140421,0.00139000,0.00140000,0.00139000,0.00140000,0.00199834,1.42977372
20140422,0.00135500,0.00140000,0.00129100,0.00139000,0.11832527,85.93502178
20140423,0.00142000,0.00210000,0.00142000,0.00155000,0.33465057,177.78888453
20140424,0.00199999,0.00220001,0.00185000,0.00185000,0.29388534,142.64638221
20140425,0.00192000,0.00380000,0.00192000,0.00340000,0.25393072,90.98407529
20140426,0.00350000,0.00450001,0.00350000,0.00400000,0.51993211,133.83851004
20140427,0.00420000,0.00600000,0.00320001,0.00465000,0.53829920,121.20383301
20140428,0.00350000,0.00350000,0.00350000,0.00350000,0.00420805,1.20230000
20140429,0.00350000,0.00400000,0.00320000,0.00400000,0.20008428,58.52627887
20140430,0.00350000,0.00360000,0.00350000,0.00360000,0.04975976,14.16732196
20140501,0.00350000,0.00350000,0.00300000,0.00325000,0.18419266,54.72568027
20140502,0.00272010,0.00280000,0.00272004,0.00280000,0.04660766,16.93992944
20140503,0.00260002,0.00260020,0.00260001,0.00260020,0.06713804,25.82167143
20140504,0.00270000,0.00449998,0.00270000,0.00449998,0.30955293,89.64997253
20140505,0.00448000,0.00449998,0.00326004,0.00326004,0.42414611,105.20105617
20140506,0.00334000,0.00420900,0.00334000,0.00399990,0.23684481,59.93020935
20140507,0.00371005,0.00410000,0.00334000,0.00377886,0.75324154,203.39175995
20140508,0.00377886,0.00377886,0.00326005,0.00326005,0.00814724,2.29329801
20140509,0.00328000,0.00459000,0.00328000,0.00459000,1.09761581,270.98761185
20140510,0.00485000,0.00777699,0.00420000,0.00560001,0.27849783,52.17110587
20140511,0.00560000,0.00659999,0.00540000,0.00631000,1.07961714,179.26058581
20140512,0.00629000,0.00629000,0.00500000,0.00510000,0.80802993,136.48792022
20140513,0.00579998,0.00650000,0.00545000,0.00590000,0.46872810,77.88867042
20140514,0.00610000,0.00800000,0.00610000,0.00800000,1.08379797,154.11242161
20140515,0.01000000,0.01999990,0.01000000,0.01300000,2.77649171,221.56968927
20140516,0.01310002,0.01650000,0.01050001,0.01200000,5.76455460,437.32335369
20140517,0.01231500,0.01643998,0.00950000,0.00991000,3.71590304,320.78681845
20140518,0.00991010,0.01430000,0.00950000,0.01301000,6.95495080,659.41424993
20140519,0.01424499,0.01643999,0.01200000,0.01596000,2.91717159,196.71576544
20140520,0.01596202,0.01632998,0.01300656,0.01400000,2.77474698,190.63586441
20140521,0.01360000,0.01634950,0.01360000,0.01600000,2.32687996,149.75760329
20140522,0.01634950,0.02199212,0.01550776,0.02199212,10.71285227,552.80039539
20140523,0.02196902,0.02951999,0.02196902,0.02391195,21.09313254,812.09622831
20140524,0.02589999,0.02939999,0.02066761,0.02110005,21.44984944,900.87472785
20140525,0.02111000,0.02901033,0.02110006,0.02680000,8.45792770,331.44118184
20140526,0.02532000,0.02690000,0.01550777,0.02270477,12.35513888,537.03675646
20140527,0.02344999,0.02344999,0.01310010,0.01923000,30.58751395,1654.75027270
20140528,0.01889990,0.01890000,0.01127326,0.01200000,17.80408480,1136.31017130
20140529,0.01170000,0.01779997,0.01000000,0.01728270,12.55180401,907.54475802
20140530,0.01728269,0.02597000,0.01440920,0.01858000,42.57654142,2137.64952727
20140531,0.01857000,0.02078800,0.01658000,0.01720000,19.46786091,1020.86000652
20140601,0.01800000,0.02200000,0.01739434,0.01989996,16.29025268,819.78848584
20140602,0.02000000,0.02550000,0.02000000,0.02125000,20.45748810,902.15176266
20140603,0.02125000,0.02278860,0.02002002,0.02028040,7.28098554,345.84601663
20140604,0.02030000,0.02082000,0.01813130,0.01822000,8.07545886,417.40527876
20140605,0.01842000,0.02032000,0.01700000,0.01700000,20.36600072,1101.67035900
20140606,0.01680000,0.01849073,0.01550000,0.01822000,13.25564310,774.76639913
20140607,0.01704256,0.01769115,0.01585000,0.01585000,3.34906856,200.39269804
20140608,0.01620000,0.01664323,0.01310700,0.01402701,8.96344249,588.97899128
20140609,0.01403403,0.01600003,0.01339826,0.01470000,7.28902378,510.27235174
20140610,0.01485000,0.01813686,0.01470000,0.01800000,5.96480507,360.96430856
20140611,0.01780000,0.01785000,0.01601601,0.01630000,2.67553402,159.11664141
20140612,0.01630000,0.01813686,0.01621252,0.01709000,6.31027688,367.12021070
