[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160209,2.00000000,2.00000000,0.00340000,0.00370661,4.16008844,1126.38789392
20160210,0.00376000,0.00487972,0.00185600,0.00269936,154.66084919,52899.97330266
20160211,0.00250500,0.00348999,0.00229999,0.00308003,58.96915085,19711.56767759
20160212,0.00313879,0.00419000,0.00302100,0.00337101,70.33231035,19903.22476304
20160213,0.00349914,0.00354888,0.00260000,0.00280138,66.41935538,22155.00803267
20160214,0.00280196,0.00299001,0.00270000,0.00282961,19.90472356,7126.73662991
20160215,0.00282962,0.00361999,0.00277208,0.00344843,63.45246207,19547.95618751
20160216,0.00331160,0.00410000,0.00315087,0.00366500,106.62056856,28998.09988592
20160217,0.00362215,0.00429998,0.00360978,0.00377200,75.17945628,19370.20155620
20160218,0.00375710,0.00383753,0.00290022,0.00335367,57.00604921,17226.08843658
20160219,0.00335382,0.00370000,0.00325001,0.00342101,31.25496878,8925.73736829
20160220,0.00349235,0.00374899,0.00335999,0.00355000,37.82762017,10746.93046053
20160221,0.00352000,0.00379900,0.00346968,0.00372999,52.90044754,14423.29645990
20160222,0.00373999,0.00438141,0.00361100,0.00400000,92.87112481,23561.69325251
20160223,0.00400000,0.00548876,0.00390000,0.00454986,160.79630739,35496.97562654
20160224,0.00454979,0.00687765,0.00451880,0.00628500,265.38339399,45380.92628183
20160225,0.00629007,0.00668000,0.00477157,0.00569995,271.73542322,46731.88268923
20160226,0.00555001,0.00630000,0.00501000,0.00559708,100.97863342,17810.60733892
20160227,0.00559707,0.00570000,0.00440744,0.00500044,90.71576828,18019.23016268
20160228,0.00502000,0.00534400,0.00485606,0.00515111,60.66673384,11942.57953636
20160229,0.00515001,0.00525498,0.00450002,0.00474969,71.69467609,14563.88345894
20160301,0.00470001,0.00475000,0.00295789,0.00395000,139.36867981,34619.12384377
20160302,0.00387054,0.00435000,0.00360000,0.00400000,85.79693459,21493.87973444
20160303,0.00401058,0.00455379,0.00390704,0.00412036,80.22586603,18785.77392188
20160304,0.00408000,0.00441000,0.00401144,0.00423536,33.71071361,7908.31985592
20160305,0.00431975,0.00432294,0.00400065,0.00428276,50.93420727,12218.85274857
20160306,0.00428266,0.00499999,0.00410436,0.00499987,77.04147708,16827.38376154
20160307,0.00499987,0.00529990,0.00480000,0.00529990,70.96008528,14013.85769914
20160308,0.00529990,0.00569000,0.00520007,0.00564000,60.31403974,11058.78448861
20160309,0.00564000,0.00634868,0.00549000,0.00589868,140.78017019,23896.03399934
20160310,0.00589868,0.00632558,0.00554600,0.00556045,78.70726752,13411.23488843
20160311,0.00556047,0.00615002,0.00494108,0.00540014,99.06367929,18058.22083066
20160312,0.00539999,0.00625000,0.00528553,0.00555066,116.97160487,19957.52404079
20160313,0.00555066,0.00574700,0.00535001,0.00574699,44.95209843,8187.11921058
20160314,0.00574699,0.00612964,0.00555593,0.00583800,92.33943361,15508.16671025
20160315,0.00584499,0.00634857,0.00568000,0.00620863,93.54035819,15371.78756343
20160316,0.00620847,0.00630989,0.00572849,0.00619720,52.59326467,8612.81555477
20160317,0.00607036,0.00624979,0.00580000,0.00599998,46.70412749,7771.06611719
20160318,0.00599997,0.00616160,0.00577002,0.00583222,40.13618596,6773.93987913
20160319,0.00585000,0.00600000,0.00552876,0.00560808,48.17367777,8363.25268996
20160320,0.00574335,0.00574335,0.00520005,0.00527689,45.34101193,8402.66901395
20160321,0.00527689,0.00550000,0.00510399,0.00530101,32.66575941,6130.11874474
20160322,0.00530103,0.00548200,0.00495851,0.00510000,44.07853640,8456.35159114
20160323,0.00510000,0.00513976,0.00475000,0.00484956,32.55383417,6637.36160325
20160324,0.00475555,0.00491091,0.00448400,0.00459518,39.67838030,8649.17830135
20160325,0.00452015,0.00520000,0.00450050,0.00490216,31.17354616,6605.50133578
20160326,0.00490216,0.00560000,0.00484675,0.00558866,51.82102225,9673.60601662
20160327,0.00520511,0.00557746,0.00455501,0.00461006,38.12709811,7500.31208765
20160328,0.00474862,0.00510000,0.00461202,0.00485670,19.84425578,4116.40544815
20160329,0.00485781,0.00559999,0.00485781,0.00494971,32.21185533,6250.43523053
20160330,0.00486068,0.00520000,0.00471121,0.00514989,15.13760502,3065.15116308
20160331,0.00500522,0.00510000,0.00460111,0.00471076,34.61171695,7213.54430734
20160401,0.00483470,0.00499998,0.00461111,0.00469702,22.69612670,4754.71689151
20160402,0.00461165,0.00480000,0.00451006,0.00463973,25.17525395,5433.18496480
20160403,0.00464010,0.00469963,0.00450500,0.00465000,22.67587508,4993.64329118
20160404,0.00465000,0.00465534,0.00446080,0.00453676,28.86312489,6379.17205573
20160405,0.00453667,0.00453676,0.00411115,0.00412130,53.74756157,12474.80906970
20160406,0.00412227,0.00435939,0.00400006,0.00412514,31.10571899,7579.01689768
20160407,0.00423893,0.00448500,0.00410000,0.00410001,27.43610695,6479.78814045
20160408,0.00410001,0.00439420,0.00401000,0.00414021,27.35746844,6593.36537377
20160409,0.00415630,0.00429693,0.00381300,0.00384003,41.05361624,10331.73395984
20160410,0.00384004,0.00400000,0.00343400,0.00369965,44.91768606,12255.71570925
20160411,0.00349041,0.00372770,0.00340000,0.00346597,27.73960625,7995.44781521
20160412,0.00346598,0.00389996,0.00327944,0.00382488,32.97563104,9241.84045359
20160413,0.00366161,0.00390000,0.00345000,0.00362640,18.73021812,5130.83623599
20160414,0.00362638,0.00368898,0.00351007,0.00357517,11.89617573,3372.29863733
20160415,0.00352007,0.00357502,0.00320000,0.00322100,17.36775444,5091.04490151
20160416,0.00322100,0.00340000,0.00303333,0.00318001,33.61993434,10564.27136201
20160417,0.00318001,0.00330000,0.00311130,0.00315010,16.45321217,5199.08192210
20160418,0.00315011,0.00400028,0.00308203,0.00388331,52.16843862,14847.53497842
20160419,0.00394736,0.00405460,0.00348000,0.00348001,48.30322856,13067.58384504
20160420,0.00348001,0.00351147,0.00344000,0.00350000,13.95078695,4028.01943883
20160421,0.00349857,0.00378994,0.00344000,0.00345017,19.25435371,5514.80435782
20160422,0.00345042,0.00379998,0.00345042,0.00350009,19.18404623,5390.04715871
20160423,0.00350009,0.00368400,0.00350009,0.00350161,17.02424565,4823.48533768
20160424,0.00350160,0.00368100,0.00339999,0.00343968,32.48897549,9378.86892748
