[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170702,2.00000000,2.00000000,0.00036000,0.00045000,728.39249847,1480452.63199956
20170703,0.00045000,0.00065000,0.00040211,0.00051400,1344.53782654,2640205.67677675
20170704,0.00051400,0.00051490,0.00038001,0.00038500,533.33036879,1195851.64806532
20170705,0.00038500,0.00045400,0.00030000,0.00038836,456.86995128,1226004.02738796
20170706,0.00038836,0.00043290,0.00037000,0.00039879,176.76843886,445164.69677010
20170707,0.00039878,0.00042998,0.00029001,0.00033772,258.95955086,717957.93701363
20170708,0.00033787,0.00036980,0.00028350,0.00035501,176.28567645,563206.88834515
20170709,0.00035506,0.00038900,0.00034019,0.00035843,161.95759045,449444.29733017
20170710,0.00035843,0.00036000,0.00026001,0.00027002,181.21866635,608718.72031422
20170711,0.00028783,0.00032287,0.00022000,0.00029000,202.95013079,754962.16614900
20170712,0.00029000,0.00035096,0.00024996,0.00034100,148.63701840,483447.37521603
20170713,0.00034100,0.00037000,0.00032080,0.00036253,165.29483110,470183.71650816
20170714,0.00036257,0.00036989,0.00032610,0.00034498,126.99299935,366422.21422186
20170715,0.00034499,0.00035500,0.00031001,0.00032300,80.18398469,249010.39968670
20170716,0.00031675,0.00033000,0.00026000,0.00029494,110.80737755,381591.85700066
20170717,0.00028857,0.00034000,0.00028560,0.00033555,79.24682482,252021.12745354
20170718,0.00033555,0.00033990,0.00030504,0.00032761,84.34687298,260570.48483871
20170719,0.00032743,0.00033308,0.00029556,0.00030587,72.78869856,234548.57939845
20170720,0.00030587,0.00033491,0.00026887,0.00028406,99.62038876,321690.02791396
20170721,0.00027891,0.00028500,0.00025361,0.00026705,65.33072814,245359.59173624
20170722,0.00026705,0.00026705,0.00023590,0.00025325,113.74361180,456504.73943009
20170723,0.00025340,0.00027500,0.00024196,0.00026610,45.33950787,174777.40897424
20170724,0.00026746,0.00042220,0.00025631,0.00038983,686.42408125,1845039.23609977
20170725,0.00038589,0.00044067,0.00032010,0.00033594,230.93946345,597401.79027649
20170726,0.00033684,0.00036227,0.00031997,0.00036227,41.80041674,123843.29204443
20170727,0.00036227,0.00040139,0.00035000,0.00037600,137.83088728,361906.20450528
20170728,0.00037600,0.00037600,0.00030480,0.00031389,62.69848101,186776.69851568
20170729,0.00031720,0.00040000,0.00030840,0.00035103,53.87552581,158402.19136027
20170730,0.00034600,0.00034973,0.00032088,0.00032126,36.50254691,109674.92145285
20170731,0.00032886,0.00033991,0.00027684,0.00031644,41.15380667,132360.01598014
20170801,0.00032387,0.00035100,0.00028275,0.00033796,67.13795784,210362.25993761
20170802,0.00033005,0.00034660,0.00031636,0.00033001,63.72756233,193029.62332777
