[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140820,0.00010000,0.00010000,0.00000040,0.00000046,0.41885580,690249.86324825
20140821,0.00000047,0.00000047,0.00000041,0.00000047,0.11426987,249120.52580470
20140822,0.00000043,0.00000045,0.00000039,0.00000039,0.28819295,708374.85635645
20140823,0.00000039,0.00000039,0.00000037,0.00000037,0.03714939,97140.50980320
20140824,0.00000043,0.00000044,0.00000038,0.00000038,0.01777197,41123.80778409
20140825,0.00000040,0.00000045,0.00000040,0.00000041,0.03129953,75747.04189977
20140826,0.00000040,0.00000040,0.00000035,0.00000035,0.05055884,135696.84205282
20140827,0.00000042,0.00000043,0.00000038,0.00000038,0.17711289,458865.07680233
20140828,0.00000037,0.00000037,0.00000034,0.00000034,0.02459829,71915.28293478
20140829,0.00000034,0.00000036,0.00000034,0.00000036,0.00696038,19633.48430233
20140830,0.00000036,0.00000036,0.00000036,0.00000036,0.00060707,1686.31453044
20140831,0.00000040,0.00000040,0.00000034,0.00000037,0.13669928,347345.66185841
20140901,0.00000036,0.00000037,0.00000033,0.00000037,0.05280928,145959.14826645
20140902,0.00000037,0.00000037,0.00000033,0.00000033,0.00708114,20064.07854541
20140903,0.00000034,0.00000039,0.00000029,0.00000033,0.22241856,684434.99714617
20140904,0.00000028,0.00000028,0.00000028,0.00000028,0.04439715,158561.30093499
20140905,0.00000028,0.00000033,0.00000023,0.00000023,0.10935282,434006.64187682
20140906,0.00000022,0.00000023,0.00000020,0.00000020,0.11178556,542667.32107567
20140907,0.00000019,0.00000019,0.00000017,0.00000017,0.01505935,88220.03405168
20140908,0.00000018,0.00000022,0.00000018,0.00000019,0.01079583,53571.88245561
20140909,0.00000020,0.00000020,0.00000016,0.00000016,0.04343037,235053.13475000
20140910,0.00000020,0.00000028,0.00000020,0.00000020,0.08967615,349478.30100543
20140911,0.00000022,0.00000025,0.00000021,0.00000021,0.02621339,117950.81941098
20140912,0.00000022,0.00000033,0.00000021,0.00000028,0.48768803,1668549.23682184
20140913,0.00000028,0.00000036,0.00000025,0.00000026,0.29963470,947579.24031056
20140914,0.00000027,0.00000027,0.00000025,0.00000025,0.03004863,111918.88864933
20140915,0.00000028,0.00000028,0.00000024,0.00000024,0.10279486,394190.56187495
20140916,0.00000026,0.00000031,0.00000022,0.00000024,0.30798244,1194651.16326439
20140917,0.00000025,0.00000028,0.00000020,0.00000023,0.37657230,1805170.36629911
20140918,0.00000021,0.00000023,0.00000021,0.00000022,0.05888538,268442.65331951
20140919,0.00000022,0.00000028,0.00000021,0.00000028,0.21425752,871986.01121214
20140920,0.00000024,0.00000027,0.00000022,0.00000022,0.13675580,575389.97902962
20140921,0.00000021,0.00000021,0.00000020,0.00000020,0.04902210,240456.66412500
20140922,0.00000021,0.00000021,0.00000021,0.00000021,0.00629998,30000.00000000
20140923,0.00000019,0.00000020,0.00000019,0.00000020,0.00943564,48856.04586538
20140925,0.00000021,0.00000022,0.00000021,0.00000022,0.01739498,81613.55495994
20140926,0.00000023,0.00000024,0.00000023,0.00000024,0.04758500,200000.00000000
20140927,0.00000023,0.00000024,0.00000020,0.00000020,0.04823879,216760.90625000
20140928,0.00000022,0.00000024,0.00000020,0.00000021,0.11407187,523810.53167475
20140929,0.00000022,0.00000023,0.00000021,0.00000021,0.03413557,154556.77195433
20141001,0.00000022,0.00000022,0.00000022,0.00000022,0.01414798,64309.07031152
20141002,0.00000022,0.00000023,0.00000020,0.00000021,0.01829100,89656.07698102
20141004,0.00000021,0.00000022,0.00000020,0.00000020,0.06317063,301530.62237122
20141005,0.00000020,0.00000020,0.00000020,0.00000020,0.71705408,3585270.41440749
20141006,0.00000020,0.00000025,0.00000020,0.00000021,0.84595443,4131332.88157163
20141007,0.00000020,0.00000021,0.00000018,0.00000020,0.24777465,1244002.27849380
20141008,0.00000019,0.00000020,0.00000011,0.00000017,0.25550832,1521366.84872557
20141009,0.00000017,0.00000019,0.00000017,0.00000018,0.10774957,602903.51559110
20141010,0.00000017,0.00000019,0.00000017,0.00000019,0.14490819,788015.91897753
20141011,0.00000019,0.00000019,0.00000019,0.00000019,0.04336515,228237.67547325
20141012,0.00000018,0.00000018,0.00000013,0.00000016,0.09198251,653661.22399793
20141013,0.00000015,0.00000018,0.00000015,0.00000018,0.07541371,468448.93319494
20141014,0.00000018,0.00000021,0.00000018,0.00000021,0.74218813,3589757.27931690
20141015,0.00000020,0.00000020,0.00000017,0.00000020,0.17237937,877579.99315657
20141016,0.00000020,0.00000020,0.00000018,0.00000020,0.31543542,1599355.31803023
20141017,0.00000019,0.00000021,0.00000018,0.00000019,0.17736025,919963.29268217
20141018,0.00000018,0.00000019,0.00000018,0.00000019,0.56152267,2957497.34520222
20141019,0.00000018,0.00000020,0.00000018,0.00000018,0.43947899,2370471.80752672
20141020,0.00000018,0.00000019,0.00000017,0.00000017,0.45069204,2506374.67826040
20141021,0.00000017,0.00000018,0.00000015,0.00000017,0.34965592,2036331.63336530
