[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160614,0.02150000,0.02199900,0.01677000,0.01888824,8.77963389,438.77487981
20160615,0.01886184,0.02100000,0.01700000,0.01900000,18.21215583,957.42427092
20160616,0.01899998,0.02890001,0.01677113,0.01862711,66.55844244,3143.00378114
20160617,0.02083664,0.02790000,0.00300000,0.01630093,181.67041492,10852.40997267
20160618,0.01898604,0.02189933,0.01361010,0.01361010,35.42060774,2211.87444249
20160619,0.01585022,0.01691378,0.01011094,0.01480000,50.84961587,3618.02673800
20160620,0.01479986,0.01597972,0.01156532,0.01390930,57.01171762,4158.63855452
20160621,0.01339628,0.01500000,0.01302300,0.01500000,27.05640606,1859.25079510
20160622,0.01499699,0.01799999,0.01499699,0.01733500,62.89838744,3783.00153480
20160623,0.01730000,0.01939899,0.01550000,0.01699278,44.03519687,2541.56394830
20160624,0.01590464,0.01984890,0.01590000,0.01750000,48.73708612,2691.45638221
20160625,0.01761351,0.01853999,0.01700007,0.01806508,19.07298656,1110.69476689
20160626,0.01800342,0.01899250,0.01675620,0.01890000,7.95862178,454.19859984
20160627,0.01889880,0.01889882,0.01686009,0.01735000,10.27977218,578.10225624
20160628,0.01740015,0.01820620,0.01550003,0.01590880,15.68524624,930.43325398
20160629,0.01554096,0.01712647,0.01521000,0.01675095,11.37997919,713.38897740
20160630,0.01611334,0.01668845,0.01463733,0.01501453,21.04406199,1357.36021830
20160701,0.01501000,0.01650000,0.01370003,0.01530000,23.85060914,1616.82029403
20160702,0.01562571,0.01562572,0.01362744,0.01449150,27.40725118,1952.40625796
20160703,0.01443977,0.01564012,0.01394001,0.01564012,5.53321446,386.84522808
20160704,0.01511002,0.01563885,0.01310001,0.01395888,12.20864029,895.58461685
20160705,0.01354011,0.01424775,0.01330000,0.01385000,18.25627733,1338.92697984
20160706,0.01385000,0.01543999,0.01350000,0.01350000,7.11979237,519.09431163
20160707,0.01350041,0.01470000,0.01270001,0.01431336,12.58870463,936.51589996
20160708,0.01463280,0.01484000,0.01383106,0.01483931,0.96812229,66.55579657
20160709,0.01400001,0.01542532,0.01348000,0.01351033,2.11206389,148.18408389
20160710,0.01351033,0.01440679,0.01300014,0.01404999,1.90402830,141.50466849
20160711,0.01399999,0.01440753,0.01310010,0.01330011,16.44902132,1218.45368941
20160712,0.01350001,0.01403750,0.01301501,0.01310004,23.98673450,1824.40219543
20160713,0.01358324,0.01400000,0.01310001,0.01310002,16.62661736,1258.82356888
20160714,0.01359018,0.01649981,0.01310002,0.01512259,10.09637582,721.22761077
20160715,0.01569998,0.01710000,0.01400001,0.01552004,11.13749115,684.51071020
20160716,0.01566830,0.01677755,0.01566830,0.01675763,2.69475626,161.66146400
20160717,0.01675700,0.01675700,0.01402100,0.01430252,14.37211190,998.30893393
20160718,0.01410000,0.01478050,0.01402076,0.01402800,1.32511192,93.33098332
20160719,0.01420001,0.01599998,0.01420000,0.01495286,5.37943664,354.31047112
20160720,0.01540136,0.01580938,0.01500000,0.01500000,1.53618255,100.26881828
20160721,0.01500000,0.01500000,0.01403500,0.01403500,0.80569201,55.46099964
20160722,0.01403501,0.01710000,0.01400000,0.01500004,28.54270651,1887.64304152
20160723,0.01508001,0.01707250,0.01508001,0.01565036,26.98134246,1750.00869006
20160724,0.01626681,0.01690000,0.01418790,0.01443491,20.06408870,1368.43733261
20160725,0.01443491,0.01581073,0.01443490,0.01574672,8.18373559,531.53702042
20160726,0.01565598,0.01693941,0.01430000,0.01507293,37.90706456,2499.95048719
20160727,0.01490000,0.01537325,0.01420000,0.01420045,9.69020027,660.50364806
20160728,0.01513429,0.01535924,0.01420000,0.01535924,28.11206475,1906.42977157
20160729,0.01489902,0.01584934,0.01425005,0.01490000,3.83740087,262.58885064
20160730,0.01583288,0.01584934,0.01444150,0.01583498,10.05935076,662.08251711
20160731,0.01530016,0.01630000,0.01480015,0.01580000,8.82484554,561.35864857
20160801,0.01579999,0.01650000,0.01427000,0.01650000,42.32222301,2664.40008341
20160802,0.01650000,0.01660000,0.01400000,0.01597498,52.34801423,3365.34276777
20160803,0.01597498,0.01654938,0.01425001,0.01625000,55.28515169,3563.36071929
20160804,0.01619999,0.02000000,0.01525352,0.01800000,61.48061990,3501.05484952
20160805,0.01927022,0.02141549,0.01651055,0.01751115,28.92129614,1498.82585420
20160806,0.01843902,0.01936553,0.01785040,0.01899990,11.30075205,597.95914969
20160807,0.01899990,0.01900000,0.01740000,0.01780695,22.84112202,1240.48811519
20160808,0.01890552,0.01900000,0.01759150,0.01844000,16.61421207,926.37569453
20160809,0.01844000,0.01889610,0.01655002,0.01769309,214.70886557,11840.02622957
20160810,0.01769309,0.01864000,0.01686027,0.01686272,19.48175741,1110.47030551
20160811,0.01686689,0.01813000,0.01686271,0.01750518,30.13948327,1751.28265345
20160812,0.01750683,0.01799750,0.01687511,0.01794993,12.47849316,712.70389897
20160813,0.01794990,0.01834594,0.01675352,0.01732913,34.96800580,2024.45865104
20160814,0.01732831,0.01800000,0.01620132,0.01800000,24.57747979,1432.82747775
20160815,0.01706049,0.01800000,0.01690001,0.01729999,17.33736295,986.77951658
20160816,0.01729998,0.01789959,0.01690085,0.01734747,15.57108877,902.35857162
20160817,0.01733964,0.01733983,0.01664000,0.01710000,23.84784095,1408.13553805
20160818,0.01710000,0.01732943,0.01512124,0.01689938,21.98665612,1330.71877250
20160819,0.01681312,0.01690000,0.01644291,0.01689622,1.82677197,108.15309770
20160820,0.01689621,0.01795723,0.01670240,0.01719000,10.38391028,599.13174288
20160821,0.01719000,0.01719000,0.01655641,0.01700000,8.03779752,472.97380289
20160822,0.01700000,0.01700000,0.01655641,0.01655641,6.65255903,391.46561033
20160823,0.01699999,0.01782000,0.01624009,0.01759997,8.71616458,507.00249828
20160824,0.01759997,0.01795723,0.01690000,0.01720000,8.91959473,503.19552578
20160825,0.01723972,0.01795723,0.01690674,0.01795704,10.14030838,571.79224483
20160826,0.01795700,0.01948889,0.01730000,0.01919797,63.10153942,3489.09144265
20160827,0.01820161,0.01919788,0.01750001,0.01763535,72.78833797,4037.61120789
20160828,0.01764045,0.01919800,0.01750201,0.01861607,38.61719299,2022.61306375
20160829,0.01918773,0.01956877,0.01860110,0.01956877,47.27764762,2477.90332205
20160830,0.01956875,0.01979980,0.01700000,0.01773502,25.42431416,1400.46315366
20160831,0.01771481,0.01899712,0.01746435,0.01748828,28.73427263,1573.32070574
20160901,0.01861502,0.01900000,0.01700000,0.01877900,47.13805171,2556.84261143
20160902,0.01798695,0.01877900,0.01727825,0.01869205,16.75748829,915.71510339
20160903,0.01769009,0.01861000,0.01736176,0.01766000,17.05792145,939.41188442
