[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150501,0.10000000,0.10000000,0.00040100,0.00055555,3.33815354,2207.87819510
20150502,0.00057000,0.00065000,0.00057000,0.00062000,1.05138076,1729.91040363
20150503,0.00062005,0.00064000,0.00059000,0.00062701,0.24576339,400.09436490
20150504,0.00063398,0.00063498,0.00060000,0.00060000,0.06990113,112.92318597
20150505,0.00060000,0.00060000,0.00056000,0.00056000,0.11496242,202.94112839
20150506,0.00055000,0.00055000,0.00055000,0.00055000,0.10999999,200.00000000
20150508,0.00050934,0.00050934,0.00050000,0.00050000,0.24695370,493.82395423
20150509,0.00052402,0.00053000,0.00047091,0.00053000,0.02593881,53.04475606
20150511,0.00052997,0.00058000,0.00052997,0.00056000,0.28781585,520.06153682
20150512,0.00051001,0.00051006,0.00051001,0.00051005,0.06993835,137.12192252
20150513,0.00055998,0.00055998,0.00055998,0.00055998,0.00279990,5.00000000
20150514,0.00055899,0.00058990,0.00055899,0.00058990,0.16126982,276.16614578
20150515,0.00058990,0.00059105,0.00058990,0.00059105,0.11675427,197.69116104
20150516,0.00059105,0.00062000,0.00057000,0.00062000,0.41296839,689.86043210
20150517,0.00060500,0.00061390,0.00058000,0.00058000,0.32147015,544.47220824
20150518,0.00057000,0.00059500,0.00055000,0.00059500,0.20373085,355.74797075
20150519,0.00059500,0.00059700,0.00059500,0.00059700,0.05345820,89.54596785
20150520,0.00059700,0.00060500,0.00059003,0.00060000,0.08604458,143.30924715
20150521,0.00060000,0.00061999,0.00059312,0.00060002,0.28343870,464.02717152
20150522,0.00062000,0.00063496,0.00060002,0.00060002,0.02670572,43.60457204
20150523,0.00060003,0.00063499,0.00060003,0.00060003,0.07068142,112.22079054
20150524,0.00062999,0.00063599,0.00062999,0.00063599,0.05858977,92.22545477
20150525,0.00060005,0.00064000,0.00060005,0.00064000,0.17816946,279.32523939
20150526,0.00060004,0.00064199,0.00060004,0.00064199,0.04592237,71.83904464
20150527,0.00064199,0.00064199,0.00060301,0.00060301,0.01918665,30.69345348
20150528,0.00063000,0.00064199,0.00063000,0.00064199,0.37779601,588.72533210
20150530,0.00064799,0.00065899,0.00064000,0.00064000,0.13912111,214.89508548
20150531,0.00064002,0.00066899,0.00063000,0.00064001,0.28949523,438.11660716
20150601,0.00064001,0.00066500,0.00064000,0.00066500,0.30226768,454.82521691
20150602,0.00066500,0.00066899,0.00064500,0.00064500,0.21577940,324.36472688
20150603,0.00064500,0.00065000,0.00064500,0.00064500,0.11882570,183.58123600
20150604,0.00064500,0.00066897,0.00064500,0.00066897,0.02706657,40.80274686
20150605,0.00066897,0.00067599,0.00066897,0.00067001,0.32776573,486.48966698
20150606,0.00067001,0.00068000,0.00067001,0.00067400,0.08143077,120.26583450
20150607,0.00068000,0.00090000,0.00068000,0.00070999,0.42914415,617.74442280
20150608,0.00069754,0.00078821,0.00069754,0.00070010,0.10165880,138.78842152
20150609,0.00070012,0.00074999,0.00070011,0.00074999,0.15458782,207.74177405
20150610,0.00074999,0.00109999,0.00069000,0.00096521,1.27850434,1462.55426871
20150611,0.00088024,0.00098500,0.00088024,0.00098500,0.40302930,435.67619947
20150612,0.00091000,0.00098305,0.00091000,0.00091000,0.22210251,237.87306450
20150613,0.00095999,0.00095999,0.00092345,0.00095998,0.06099286,64.02445923
20150614,0.00093234,0.00096999,0.00081000,0.00091000,1.04162730,1154.35833364
20150615,0.00091013,0.00098305,0.00091000,0.00098305,0.62402655,667.04388912
20150616,0.00098499,0.00100000,0.00092500,0.00094503,0.57899918,583.95540330
20150617,0.00099800,0.00104000,0.00095001,0.00104000,0.56882658,558.69546899
20150618,0.00103000,0.00107999,0.00101000,0.00106000,0.28243450,269.33607145
20150619,0.00104501,0.00104501,0.00101000,0.00103997,0.16226457,156.79520929
20150620,0.00101000,0.00106000,0.00101000,0.00106000,0.31786265,309.87131283
20150621,0.00105999,0.00106000,0.00094500,0.00098723,0.19901044,194.41152424
20150622,0.00098723,0.00101999,0.00098000,0.00101997,0.06783838,69.04795789
20150623,0.00101997,0.00102498,0.00090502,0.00102498,1.13313669,1154.05510469
20150624,0.00100014,0.00102599,0.00100012,0.00100100,0.69623123,693.88178134
20150625,0.00100100,0.00102930,0.00100000,0.00102247,1.70804230,1679.98087984
20150626,0.00102247,0.00102928,0.00100111,0.00101995,0.67306097,662.92956903
20150627,0.00101994,0.00103299,0.00100111,0.00103299,1.16471343,1136.83585047
20150628,0.00104908,0.00106489,0.00104003,0.00105000,0.55275319,522.83771275
20150629,0.00106488,0.00112570,0.00105101,0.00110876,1.15035504,1049.09422606
20150630,0.00110998,0.00114548,0.00109000,0.00110000,0.35468255,318.42029788
20150701,0.00110000,0.00112499,0.00109000,0.00112499,0.08981413,80.85086733
20150702,0.00112499,0.10000000,0.00112499,0.00251003,151.39235615,41541.59103195
20150703,0.00271000,0.00300000,0.00160058,0.00186502,15.42349273,7008.68165834
20150704,0.00185679,0.00206938,0.00142095,0.00170002,6.37180024,4024.00561428
20150705,0.00170000,0.00200000,0.00131098,0.00151074,5.11603363,3374.64985386
20150706,0.00140002,0.00165028,0.00131100,0.00160002,3.19979477,2045.46538522
20150707,0.00147691,0.00178456,0.00140057,0.00164045,1.41757971,940.92307919
20150708,0.00177749,0.00177749,0.00136063,0.00140001,1.38995434,928.35750638
20150709,0.00140003,0.00153054,0.00140002,0.00153045,0.86342227,575.13926775
20150710,0.00143632,0.00179999,0.00143625,0.00169769,1.86791440,1182.39631383
20150711,0.00165000,0.00190000,0.00140010,0.00175692,2.05027454,1279.93029246
20150712,0.00183367,0.00199999,0.00147680,0.00180000,3.73355911,2172.07423735
20150713,0.00180000,0.00199995,0.00170000,0.00190000,0.74828025,415.80559425
20150714,0.00175000,0.00193000,0.00170007,0.00178002,0.59667393,320.51194187
20150715,0.00185001,0.00191993,0.00167174,0.00191949,0.79678864,466.72270375
20150716,0.00184000,0.00190499,0.00172632,0.00181557,0.65339520,358.49999354
20150717,0.00181557,0.00191231,0.00168031,0.00181475,2.42085315,1343.43835586
20150718,0.00181422,0.00181549,0.00147682,0.00160487,4.39828084,2754.77031853
20150719,0.00164691,0.00177000,0.00164691,0.00177000,0.55158192,323.14945412
20150720,0.00171230,0.00189998,0.00165165,0.00166000,0.68850196,402.56137366
20150721,0.00166000,0.00178291,0.00147873,0.00178006,0.89560963,567.93482427
20150722,0.00157899,0.00174999,0.00157898,0.00174904,0.41794938,240.64653694
20150723,0.00174439,0.00177715,0.00158611,0.00176673,0.65884971,377.57428361
20150724,0.00174003,0.00187198,0.00174003,0.00180080,1.94174457,1090.61705232
20150725,0.00180530,0.00189999,0.00174008,0.00187561,0.61096829,332.02740643
20150726,0.00187131,0.00189999,0.00174005,0.00181588,1.42303513,773.38438872
20150727,0.00177279,0.00181338,0.00173010,0.00173121,0.08777481,49.80072126
20150728,0.00178954,0.00179052,0.00173119,0.00173432,0.15150958,85.98084009
20150729,0.00173656,0.00180000,0.00173656,0.00179000,0.13966870,78.11804747
20150730,0.00179538,0.00189998,0.00173008,0.00173008,1.92549229,1071.32411675
20150731,0.00173013,0.00181584,0.00147874,0.00169692,4.99111594,2982.44194302
20150801,0.00174539,0.00179938,0.00170000,0.00178998,0.47240604,270.27930276
20150802,0.00170264,0.00179925,0.00169968,0.00170000,0.21435751,126.05987766
20150803,0.00170000,0.00174896,0.00160013,0.00174841,0.26221931,157.92780688
20150804,0.00174822,0.00174823,0.00160021,0.00168404,0.74451274,456.98807172
20150805,0.00160023,0.00168398,0.00155002,0.00166021,0.87385480,548.79448702
20150806,0.00165732,0.00165732,0.00152000,0.00163038,0.60257738,384.84801880
20150807,0.00163038,0.00164996,0.00152430,0.00152430,0.08660224,52.77313277
20150808,0.00152668,0.00152668,0.00050000,0.00151318,0.74097998,536.09570243
20150809,0.00164598,0.00164598,0.00100471,0.00100471,0.54032551,352.27189293
20150810,0.00155091,0.00164642,0.00144916,0.00164626,0.42358995,274.44017949
20150811,0.00149068,0.00156793,0.00121503,0.00121505,0.31792688,222.13379747
20150812,0.00121506,0.00143000,0.00121505,0.00136293,1.50673418,1196.98888922
20150813,0.00127588,0.00141995,0.00110005,0.00113107,2.42559814,2153.53995803
20150814,0.00113108,0.00119430,0.00100031,0.00109994,0.77424205,700.07929834
20150815,0.00113852,0.00142252,0.00108689,0.00142252,0.15052530,127.36700547
20150816,0.00122805,0.00136064,0.00116356,0.00125040,0.65570711,501.33835732
20150817,0.00124975,0.00142254,0.00110421,0.00137554,0.29631948,233.77856249
20150818,0.00137553,0.00137553,0.00112752,0.00137541,0.53511073,406.26317320
20150819,0.00137541,0.00147002,0.00117312,0.00140000,1.74511199,1255.70439556
20150820,0.00137502,0.00140000,0.00130031,0.00139932,3.80910481,2748.27385714
20150821,0.00139921,0.00149124,0.00117054,0.00133539,1.83796768,1395.70347730
20150822,0.00133537,0.00145294,0.00100003,0.00108396,2.61981397,2174.31697502
20150823,0.00108083,0.00117095,0.00082001,0.00110000,0.82026001,780.09995427
20150824,0.00115383,0.00150086,0.00074513,0.00112509,7.95736622,7295.28436113
20150825,0.00127847,0.00127847,0.00062999,0.00085813,3.92367586,4863.80297183
20150826,0.00088703,0.00106283,0.00085862,0.00090045,1.31234205,1395.16449118
20150827,0.00093378,0.00094938,0.00079500,0.00079749,3.19319033,3621.05087193
20150828,0.00081685,0.00083551,0.00050001,0.00079993,3.34310838,4880.10852957
20150829,0.00079993,0.00096723,0.00075250,0.00096723,0.50711913,584.11037129
20150830,0.00092279,0.00098500,0.00087035,0.00090010,0.33471523,352.37044322
20150831,0.00090011,0.00107915,0.00086244,0.00107915,1.16238719,1145.53756766
20150901,0.00107915,0.00126000,0.00107915,0.00107919,0.77949564,712.29619371
20150902,0.00119921,0.00126179,0.00105785,0.00121002,1.43217668,1223.52546959
20150903,0.00125383,0.00126168,0.00121001,0.00126168,0.28255856,229.41767722
20150904,0.00120001,0.00120001,0.00099529,0.00099529,0.44074572,386.95660040
20150905,0.00115234,0.00119998,0.00099961,0.00105000,0.41305950,368.82569398
20150906,0.00105001,0.00125414,0.00101000,0.00125414,0.63078784,551.98568440
20150907,0.00105000,0.00125413,0.00103383,0.00125413,0.64876199,564.46633918
20150908,0.00120571,0.00125411,0.00112512,0.00120657,0.37919301,324.02455214
20150909,0.00113318,0.00120657,0.00101000,0.00107326,0.73469295,682.99982367
20150910,0.00107322,0.00110920,0.00105321,0.00105322,0.15370940,144.22780239
20150911,0.00110277,0.00120881,0.00095004,0.00095009,1.08015607,1095.24509688
20150912,0.00095012,0.00098100,0.00083000,0.00083000,1.53717488,1697.50051972
20150913,0.00082994,0.00101237,0.00077730,0.00096749,2.02971136,2209.13117232
20150914,0.00093605,0.00097327,0.00084537,0.00097327,1.09367927,1201.39058922
20150915,0.00090194,0.00098475,0.00090193,0.00095013,0.32186724,334.66292312
20150916,0.00092010,0.00092010,0.00071980,0.00082665,3.84759884,4700.33492426
20150917,0.00082180,0.00085937,0.00070570,0.00085937,0.73701645,968.36785043
20150918,0.00081502,0.00084571,0.00075001,0.00084571,0.60800070,775.80316570
20150919,0.00076559,0.00081785,0.00072000,0.00081785,1.88676538,2455.09154081
20150920,0.00075064,0.00088789,0.00075064,0.00084914,0.06430638,76.56788947
20150921,0.00086878,0.00091696,0.00083146,0.00083309,0.07171489,84.47941245
20150922,0.00088000,0.00088561,0.00078907,0.00085445,0.25823988,310.95508851
20150923,0.00082188,0.00096765,0.00082188,0.00096765,0.15631997,180.63523934
20150924,0.00088775,0.00095146,0.00087088,0.00095132,0.18762288,207.08162256
20150925,0.00095126,0.00095392,0.00086927,0.00095392,0.16162741,172.49258055
20150926,0.00086020,0.00091369,0.00085755,0.00091368,0.11211430,129.47356335
20150927,0.00091368,0.00096720,0.00085749,0.00091370,0.25823628,278.98003747
20150928,0.00095638,0.00098662,0.00095638,0.00096063,0.02537514,26.51330912
20150929,0.00098653,0.00098653,0.00096551,0.00096551,0.03952196,40.69588531
20150930,0.00099651,0.00120000,0.00099651,0.00108807,2.45813793,2165.63613195
20151001,0.00100042,0.00105531,0.00100024,0.00105531,0.21508593,210.28395243
20151002,0.00103667,0.00105529,0.00094976,0.00100000,0.40702222,398.48755513
20151003,0.00100001,0.00105446,0.00100000,0.00105446,0.32659879,325.38950694
20151004,0.00097329,0.00097329,0.00096721,0.00096721,0.01551163,15.95533343
20151005,0.00096722,0.00103152,0.00096722,0.00097323,0.04392534,44.17124271
20151006,0.00097132,0.00102652,0.00097108,0.00102496,0.13371814,133.12996916
20151007,0.00105446,0.00106054,0.00100000,0.00106054,0.23326895,229.06041675
20151008,0.00106046,0.00112123,0.00100000,0.00105000,1.33189094,1310.82966859
20151009,0.00101965,0.00107715,0.00101773,0.00107310,1.13015264,1106.90712340
20151010,0.00107020,0.00107020,0.00096644,0.00101769,0.23224388,228.07125445
