[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140214,0.00000400,0.00000400,0.00000270,0.00000270,0.20270000,51000.00000000
20140217,0.00000229,0.00000231,0.00000206,0.00000209,0.34410574,156463.85900000
20140218,0.00000209,0.00000230,0.00000205,0.00000226,0.48266535,226535.03000000
20140219,0.00000226,0.00000231,0.00000210,0.00000210,0.28892320,130149.65700000
20140220,0.00000214,0.00000220,0.00000208,0.00000211,0.37645557,176576.48600000
20140221,0.00000211,0.00000227,0.00000206,0.00000209,0.31748818,151086.28700000
20140222,0.00000209,0.00000215,0.00000206,0.00000208,0.34415194,163683.28700000
20140223,0.00000210,0.00000211,0.00000188,0.00000194,0.16693129,84623.79900000
20140224,0.00000194,0.00000215,0.00000186,0.00000189,0.52918159,266473.00200000
20140225,0.00000187,0.00000212,0.00000170,0.00000212,0.25832624,135033.29300000
20140226,0.00000187,0.00000187,0.00000187,0.00000187,0.00038335,205.00000000
20140301,0.00000191,0.00000191,0.00000191,0.00000191,0.00098737,516.96500000
20140302,0.00000190,0.00000190,0.00000190,0.00000190,0.00175894,925.77600000
20140303,0.00000190,0.00000190,0.00000172,0.00000172,0.09827815,56283.00000000
20140304,0.00000172,0.00000172,0.00000151,0.00000151,0.01926382,12130.12900000
20140306,0.00000162,0.00000162,0.00000162,0.00000162,0.00092245,569.42000000
20140307,0.00000160,0.00000162,0.00000150,0.00000150,0.39064241,256556.58000000
20140308,0.00000145,0.00000145,0.00000145,0.00000145,0.00040482,279.19000000
20140309,0.00000145,0.00000145,0.00000140,0.00000140,0.14209517,99720.81000000
20140310,0.00000140,0.00000140,0.00000140,0.00000140,0.28559859,203999.00000000
20140312,0.00000070,0.00000152,0.00000070,0.00000152,0.00738220,5165.92105263
20140313,0.00000117,0.00000138,0.00000117,0.00000125,0.41416587,334441.87485197
20140314,0.00000130,0.00000152,0.00000130,0.00000136,0.01120931,8353.00100000
20140315,0.00000136,0.00000149,0.00000136,0.00000149,0.00435896,3147.38342282
20140316,0.00000128,0.00000152,0.00000110,0.00000132,0.77349541,553842.61860099
20140317,0.00000120,0.00000149,0.00000120,0.00000148,0.22062160,180983.67693111
20140318,0.00000148,0.00000149,0.00000126,0.00000126,0.02416907,18277.73620783
20140319,0.00000126,0.00000146,0.00000122,0.00000122,0.05692243,46292.00000000
20140320,0.00000130,0.00000130,0.00000123,0.00000124,0.03653993,29470.42976732
20140321,0.00000130,0.00000146,0.00000117,0.00000118,0.02950756,23810.74048990
20140322,0.00000120,0.00000135,0.00000100,0.00000132,0.16249501,145590.36828216
20140323,0.00000132,0.00000132,0.00000130,0.00000131,0.00929564,7110.00000000
20140324,0.00000110,0.00000130,0.00000089,0.00000130,0.25471260,242093.68869539
20140325,0.00000114,0.00000114,0.00000112,0.00000113,0.01943648,17071.56385653
20140326,0.00000113,0.00000116,0.00000100,0.00000106,0.12808435,116162.03775501
20140327,0.00000105,0.00000110,0.00000103,0.00000110,0.30792752,289145.90834131
20140328,0.00000116,0.00000140,0.00000100,0.00000124,0.17469167,170046.87083044
20140329,0.00000101,0.00000145,0.00000100,0.00000112,0.13258705,118222.32398884
20140330,0.00000112,0.00000131,0.00000110,0.00000112,0.44586779,399504.68372011
20140331,0.00000113,0.00000126,0.00000111,0.00000111,0.38934432,339919.16762115
20140401,0.00000112,0.00000128,0.00000103,0.00000111,0.67644763,591745.04948194
20140402,0.00000120,0.00000121,0.00000102,0.00000120,0.42381665,393959.66717332
20140403,0.00000120,0.00000123,0.00000090,0.00000108,0.52019652,503666.03394951
20140404,0.00000106,0.00000111,0.00000099,0.00000106,0.63499959,605181.10510393
20140405,0.00000100,0.00000119,0.00000096,0.00000096,0.16447448,157994.67929307
20140406,0.00000096,0.00000104,0.00000096,0.00000099,0.09069130,90421.59856025
20140407,0.00000101,0.00000103,0.00000097,0.00000102,0.15248941,151882.80290313
20140408,0.00000102,0.00000104,0.00000096,0.00000100,0.39664084,398822.90033100
20140409,0.00000100,0.00000103,0.00000072,0.00000100,0.66984185,691264.56714433
20140410,0.00000100,0.00000100,0.00000009,0.00000093,2.00066237,2050006.94537931
20140411,0.00000098,0.00000105,0.00000092,0.00000105,0.94160362,948114.23030430
20140412,0.00000105,0.00000109,0.00000098,0.00000100,0.76565261,755632.29008385
20140413,0.00000100,0.00000105,0.00000088,0.00000095,1.25324822,1303725.48982347
20140414,0.00000095,0.00000102,0.00000086,0.00000102,0.91278767,989406.60985380
20140415,0.00000098,0.00000125,0.00000098,0.00000106,0.92976829,882893.81717922
20140416,0.00000118,0.00000151,0.00000106,0.00000121,0.92967766,690304.55454546
20140417,0.00000134,0.00000169,0.00000120,0.00000126,2.24732934,1697393.31161497
20140418,0.00000129,0.00000140,0.00000117,0.00000120,1.10185136,884232.48587176
20140419,0.00000120,0.00000139,0.00000120,0.00000134,2.67268237,2099358.16265623
20140420,0.00000130,0.00000131,0.00000123,0.00000130,1.46630701,1163807.42511194
20140421,0.00000125,0.00000130,0.00000120,0.00000121,0.71085890,572178.20034535
20140422,0.00000121,0.00000140,0.00000120,0.00000120,4.48211263,3511400.69966721
20140423,0.00000118,0.00000122,0.00000111,0.00000117,1.38952621,1196478.33652136
20140424,0.00000117,0.00000117,0.00000110,0.00000112,1.32368363,1169706.09815638
20140425,0.00000112,0.00000120,0.00000102,0.00000107,0.54552913,499101.37861022
20140426,0.00000110,0.00000111,0.00000100,0.00000102,0.58997573,562627.54373217
20140427,0.00000105,0.00000109,0.00000100,0.00000109,0.29434390,286493.57149645
20140428,0.00000103,0.00000117,0.00000102,0.00000106,1.36617457,1227080.05354841
20140429,0.00000115,0.00000117,0.00000106,0.00000116,0.71539075,640178.38388406
20140430,0.00000110,0.00000117,0.00000107,0.00000110,0.35919723,321141.65002482
20140501,0.00000110,0.00000116,0.00000106,0.00000111,1.23712358,1116374.56703624
20140502,0.00000111,0.00000112,0.00000103,0.00000110,1.89799568,1721028.52542841
20140503,0.00000109,0.00000110,0.00000103,0.00000108,0.34157332,321523.56496104
20140504,0.00000106,0.00000113,0.00000104,0.00000107,1.29896768,1197714.45423061
20140505,0.00000107,0.00000109,0.00000101,0.00000102,1.64991357,1569750.67281291
20140506,0.00000105,0.00000108,0.00000095,0.00000103,1.79847472,1739507.80829262
20140507,0.00000107,0.00000108,0.00000102,0.00000108,0.38469998,366928.15366855
20140508,0.00000108,0.00000109,0.00000102,0.00000106,1.31741000,1250157.33345217
20140509,0.00000106,0.00000109,0.00000100,0.00000108,0.95853460,907386.49845250
20140510,0.00000107,0.00000110,0.00000104,0.00000105,0.79443355,749809.14719320
20140511,0.00000106,0.00000107,0.00000100,0.00000106,0.81877554,783252.68760998
20140512,0.00000106,0.00000106,0.00000100,0.00000105,2.39873047,2331604.83715157
20140513,0.00000102,0.00000105,0.00000100,0.00000102,1.49327259,1463809.19073640
20140514,0.00000102,0.00000104,0.00000095,0.00000101,1.45250766,1442663.69786392
20140515,0.00000103,0.00000105,0.00000095,0.00000104,1.24693693,1227280.46953906
20140516,0.00000100,0.00000102,0.00000090,0.00000090,0.91949486,946113.89972233
20140517,0.00000101,0.00000102,0.00000099,0.00000100,0.30520083,303992.58306980
20140518,0.00000100,0.00000103,0.00000094,0.00000100,1.51256961,1515570.83599547
20140519,0.00000100,0.00000103,0.00000097,0.00000098,1.56316661,1565735.25539079
20140520,0.00000097,0.00000106,0.00000095,0.00000098,3.54523222,3555156.04402151
20140521,0.00000098,0.00000101,0.00000091,0.00000092,1.78405315,1877695.66490375
20140522,0.00000092,0.00000095,0.00000039,0.00000083,1.41880550,1650571.68348769
20140523,0.00000078,0.00000092,0.00000075,0.00000080,1.93353518,2473495.64717126
20140524,0.00000077,0.00000086,0.00000077,0.00000083,1.03538524,1286511.51846664
20140525,0.00000083,0.00000083,0.00000066,0.00000069,3.20937994,4363063.36247193
20140526,0.00000069,0.00000076,0.00000065,0.00000067,2.98105820,4355367.41169840
20140527,0.00000068,0.00000072,0.00000063,0.00000071,3.93388322,5740967.21633638
20140528,0.00000069,0.00000072,0.00000067,0.00000067,2.25645762,3290335.04538185
20140529,0.00000068,0.00000071,0.00000066,0.00000070,3.00215172,4378351.18974087
20140530,0.00000068,0.00000070,0.00000050,0.00000058,3.16045863,5053111.71409983
20140531,0.00000055,0.00000062,0.00000050,0.00000051,1.76824790,3201669.50324623
20140601,0.00000054,0.00000075,0.00000052,0.00000063,3.33841518,5084856.89452268
20140602,0.00000063,0.00000070,0.00000057,0.00000059,1.41400339,2270346.90245321
20140603,0.00000063,0.00000064,0.00000055,0.00000056,0.93964742,1601428.61627577
20140604,0.00000056,0.00000059,0.00000052,0.00000053,2.37308604,4280440.82449878
20140605,0.00000055,0.00000058,0.00000051,0.00000054,3.37367738,6224738.25725991
20140606,0.00000054,0.00000058,0.00000052,0.00000056,3.10362995,5742653.20777353
20140607,0.00000056,0.00000058,0.00000054,0.00000055,2.39513462,4307514.80137292
20140608,0.00000055,0.00000057,0.00000053,0.00000055,2.03358636,3671086.33690154
20140609,0.00000055,0.00000057,0.00000052,0.00000055,2.50694545,4577343.38291004
20140610,0.00000055,0.00000060,0.00000050,0.00000059,5.91449404,10621769.15805490
20140611,0.00000058,0.00000070,0.00000058,0.00000062,3.97844441,6366113.70200358
20140612,0.00000063,0.00000067,0.00000060,0.00000064,2.42421908,3841683.86054882
20140613,0.00000062,0.00000075,0.00000062,0.00000065,3.72796934,5723559.14341466
20140614,0.00000065,0.00000066,0.00000060,0.00000063,2.39597849,3783914.24971228
20140615,0.00000064,0.00000070,0.00000062,0.00000063,4.03388310,6212871.81268158
20140616,0.00000064,0.00000064,0.00000058,0.00000063,3.98068683,6589737.38968971
20140617,0.00000063,0.00000063,0.00000057,0.00000059,2.75962852,4662116.16685979
20140618,0.00000058,0.00000064,0.00000053,0.00000059,6.44740329,11206658.66872116
20140619,0.00000059,0.00000060,0.00000058,0.00000058,2.74826923,4709015.77670098
20140620,0.00000058,0.00000060,0.00000057,0.00000059,4.60558883,7843640.59676279
20140621,0.00000057,0.00000060,0.00000056,0.00000056,4.37947008,7602630.79101591
20140622,0.00000056,0.00000060,0.00000053,0.00000057,3.12776726,5517250.95315741
20140623,0.00000057,0.00000061,0.00000053,0.00000054,5.83344582,10554810.57236530
20140624,0.00000054,0.00000055,0.00000050,0.00000053,5.60856357,10787044.70786715
20140625,0.00000053,0.00000054,0.00000045,0.00000047,2.90758604,6007758.50055413
20140626,0.00000047,0.00000054,0.00000045,0.00000050,4.40251366,9172516.00647656
20140627,0.00000053,0.00000054,0.00000046,0.00000049,1.73826597,3488755.33801505
20140628,0.00000050,0.00000050,0.00000044,0.00000047,3.44530602,7366997.41910427
20140629,0.00000047,0.00000049,0.00000043,0.00000046,1.13102468,2501844.32155672
20140630,0.00000046,0.00000046,0.00000041,0.00000041,3.71080986,8533102.68230779
20140701,0.00000041,0.00000044,0.00000038,0.00000039,2.36965781,5764694.74914889
20140702,0.00000040,0.00000041,0.00000031,0.00000035,2.49187281,6881399.80487728
20140703,0.00000035,0.00000036,0.00000032,0.00000035,1.93567950,5623368.54944935
20140704,0.00000034,0.00000039,0.00000033,0.00000039,2.58293619,7063229.99551854
20140705,0.00000037,0.00000038,0.00000034,0.00000035,1.99409146,5620140.39111740
20140706,0.00000035,0.00000040,0.00000033,0.00000036,2.15725991,6115589.83020413
20140707,0.00000036,0.00000038,0.00000035,0.00000035,1.35273316,3790616.89677728
20140708,0.00000035,0.00000043,0.00000035,0.00000042,2.68638376,6873119.64552705
20140709,0.00000043,0.00000054,0.00000041,0.00000046,6.76501326,15258383.11510910
20140710,0.00000044,0.00000048,0.00000039,0.00000043,4.11252262,9529405.39595890
20140711,0.00000044,0.00000045,0.00000043,0.00000043,1.81054138,4171594.43375607
20140712,0.00000043,0.00000044,0.00000040,0.00000043,2.18817708,5192625.85471673
20140713,0.00000043,0.00000046,0.00000041,0.00000042,3.40554155,7801534.53773491
20140714,0.00000043,0.00000045,0.00000040,0.00000040,1.77143746,4196415.50862892
20140715,0.00000042,0.00000042,0.00000040,0.00000040,2.94109605,7147773.90138112
20140716,0.00000041,0.00000042,0.00000036,0.00000038,2.54902267,6551076.31270837
20140717,0.00000039,0.00000042,0.00000037,0.00000042,2.48728566,6296906.86887523
20140718,0.00000041,0.00000043,0.00000039,0.00000039,2.60398950,6502544.07787368
20140719,0.00000040,0.00000041,0.00000037,0.00000037,4.19884548,10879927.25880364
20140720,0.00000039,0.00000040,0.00000036,0.00000038,2.14961322,5591897.45318639
20140721,0.00000039,0.00000039,0.00000036,0.00000038,1.85785869,4874488.42491343
20140722,0.00000038,0.00000039,0.00000033,0.00000035,3.70902599,10246121.45284432
20140723,0.00000035,0.00000037,0.00000034,0.00000036,0.93760847,2639916.60673503
20140724,0.00000037,0.00000039,0.00000035,0.00000035,1.07967016,2999279.71484625
20140725,0.00000037,0.00000038,0.00000034,0.00000035,2.56184339,7240586.56179716
