[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20141017,0.00000401,0.00000608,0.00000278,0.00000380,40.02687837,9116732.79569269
20141018,0.00000362,0.00000419,0.00000212,0.00000270,38.98219105,13673736.93647846
20141019,0.00000239,0.00000267,0.00000157,0.00000170,14.89002516,7307330.16027016
20141020,0.00000171,0.00000219,0.00000095,0.00000153,22.60919598,17187618.20903520
20141021,0.00000141,0.00000147,0.00000077,0.00000077,10.76361226,10679418.11990759
20141022,0.00000078,0.00000117,0.00000059,0.00000066,3.34871467,4235651.73282707
20141023,0.00000078,0.00000088,0.00000070,0.00000072,2.94392107,3738132.71411040
20141024,0.00000072,0.00000077,0.00000047,0.00000050,1.31400413,2141380.72885376
20141025,0.00000049,0.00000065,0.00000035,0.00000039,0.80156384,1893179.82864483
20141026,0.00000040,0.00000045,0.00000035,0.00000035,0.20183745,504807.89440011
20141027,0.00000038,0.00000050,0.00000032,0.00000032,0.18090512,498684.10850235
20141028,0.00000034,0.00000118,0.00000026,0.00000042,7.37023994,10426091.06996047
20141029,0.00000042,0.00000094,0.00000042,0.00000055,3.00153286,4728546.61964081
20141030,0.00000053,0.00000071,0.00000046,0.00000046,1.25215799,2222016.70697508
20141031,0.00000046,0.00000049,0.00000038,0.00000038,0.53683404,1224401.40550068
20141101,0.00000038,0.00000066,0.00000037,0.00000051,0.43307588,904829.17568650
20141102,0.00000051,0.00000052,0.00000040,0.00000045,0.68363978,1630809.23039454
20141103,0.00000046,0.00000048,0.00000042,0.00000045,0.31823317,723017.72505691
20141104,0.00000045,0.00000051,0.00000042,0.00000045,0.41282740,931703.83010854
20141105,0.00000045,0.00000057,0.00000032,0.00000046,0.84675655,1998381.39998684
20141106,0.00000039,0.00000045,0.00000035,0.00000035,0.14565411,395140.99349396
20141107,0.00000036,0.00000050,0.00000035,0.00000047,0.80941838,2221199.34081463
20141108,0.00000044,0.00000069,0.00000038,0.00000040,0.95519015,1840712.57965156
20141109,0.00000040,0.00000049,0.00000040,0.00000048,0.34433101,771977.11208884
20141110,0.00000046,0.00000084,0.00000039,0.00000049,1.96108732,3492007.17968125
20141111,0.00000050,0.00000069,0.00000044,0.00000045,0.82794873,1524122.43350492
20141112,0.00000045,0.00000062,0.00000040,0.00000048,0.39318628,844751.41866759
20141113,0.00000048,0.00000056,0.00000032,0.00000056,0.63178270,1496285.76993266
20141114,0.00000059,0.00000059,0.00000038,0.00000050,0.84046850,1705570.60240329
20141115,0.00000045,0.00000062,0.00000040,0.00000053,1.03729203,2035093.94843015
20141116,0.00000052,0.00000073,0.00000050,0.00000061,0.93503485,1523487.81133857
20141117,0.00000061,0.00000067,0.00000050,0.00000058,1.34712388,2437763.44546552
20141118,0.00000055,0.00000065,0.00000045,0.00000065,0.47636972,950003.43682820
20141119,0.00000058,0.00000080,0.00000047,0.00000069,7.24881061,11309178.38939130
20141120,0.00000065,0.00000080,0.00000054,0.00000076,0.81396391,1226351.72644663
20141121,0.00000075,0.00000120,0.00000071,0.00000081,5.52462044,6867488.39163395
20141122,0.00000078,0.00000130,0.00000071,0.00000091,3.28262745,3683877.12747876
20141123,0.00000082,0.00000083,0.00000064,0.00000064,2.38019138,3365646.15483330
20141124,0.00000078,0.00000111,0.00000078,0.00000084,1.55812920,1758647.05877950
20141125,0.00000084,0.00000089,0.00000063,0.00000089,0.82417339,1121337.70218967
20141126,0.00000089,0.00000089,0.00000065,0.00000075,0.22488055,325630.46883651
20141127,0.00000075,0.00000089,0.00000075,0.00000075,0.29766206,363817.45673564
20141128,0.00000075,0.00000080,0.00000060,0.00000061,0.44745933,642650.73523070
20141129,0.00000061,0.00000075,0.00000059,0.00000062,0.14848947,242261.42088159
20141130,0.00000061,0.00000074,0.00000055,0.00000064,0.19352044,324294.85714263
20141201,0.00000061,0.00000061,0.00000050,0.00000053,0.08886788,171205.42459324
20141202,0.00000056,0.00000060,0.00000036,0.00000054,0.48411284,1098652.14208426
20141203,0.00000052,0.00000061,0.00000050,0.00000057,0.13280198,243506.33224496
20141204,0.00000055,0.00000061,0.00000055,0.00000060,0.03571147,64669.78118807
20141205,0.00000060,0.00000067,0.00000055,0.00000065,0.09115859,141637.87850486
20141206,0.00000068,0.00000070,0.00000055,0.00000056,0.34544227,564933.96114245
20141207,0.00000057,0.00000075,0.00000056,0.00000074,0.15204337,220815.97820675
20141208,0.00000065,0.00000065,0.00000060,0.00000064,0.11531579,189054.03044877
20141209,0.00000060,0.00000060,0.00000054,0.00000054,0.01943799,34170.13173818
20141210,0.00000057,0.00000057,0.00000052,0.00000052,0.01192060,22109.34864875
20141211,0.00000052,0.00000057,0.00000032,0.00000057,0.40452501,1083392.67828552
20141212,0.00000054,0.00000057,0.00000040,0.00000047,0.11464545,237060.55706167
20141213,0.00000047,0.00000047,0.00000034,0.00000040,0.32537408,793397.68666773
20141214,0.00000041,0.00000041,0.00000018,0.00000034,0.33442780,1021085.29578889
20141215,0.00000026,0.00000035,0.00000016,0.00000032,0.28447333,1299897.37980232
20141216,0.00000032,0.00000032,0.00000020,0.00000020,0.09385425,349669.14169124
20141217,0.00000022,0.00000045,0.00000020,0.00000039,1.10711727,3666547.95881582
20141218,0.00000039,0.00000043,0.00000031,0.00000043,0.60356301,1634551.46430775
20141219,0.00000033,0.00000038,0.00000027,0.00000038,0.19440908,578273.65411058
