[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160723,0.00002650,0.00003000,0.00002350,0.00002420,2.55646089,104542.22037473
20160724,0.00002077,0.00002700,0.00001350,0.00001479,18.01071048,983273.14073828
20160725,0.00001376,0.00002160,0.00000850,0.00000850,26.19419977,2080179.34971517
20160726,0.00000991,0.00001411,0.00000850,0.00000930,8.72261265,839453.52492476
20160727,0.00000865,0.00000899,0.00000496,0.00000715,3.03401553,442633.06318891
20160728,0.00000720,0.00000838,0.00000450,0.00000518,7.71969465,1455775.58888533
20160729,0.00000505,0.00000536,0.00000499,0.00000522,1.22109521,238076.35306490
20160730,0.00000528,0.00000535,0.00000419,0.00000445,0.83066245,172838.69123747
20160731,0.00000440,0.00000441,0.00000398,0.00000400,0.41163733,101373.61940155
20160801,0.00000400,0.00000420,0.00000308,0.00000385,1.81893959,480159.93976387
20160802,0.00000374,0.00000419,0.00000220,0.00000300,1.76892177,658736.72596701
20160803,0.00000294,0.00000354,0.00000261,0.00000315,1.29217998,465000.80568815
20160804,0.00000315,0.00000528,0.00000303,0.00000364,2.34556282,528474.75223930
20160805,0.00000366,0.00000447,0.00000341,0.00000384,1.67813892,419109.16148448
20160806,0.00000387,0.00000495,0.00000361,0.00000449,2.82423298,692110.72598976
20160807,0.00000449,0.00000461,0.00000339,0.00000339,0.67829828,177991.06291555
20160808,0.00000358,0.00000436,0.00000326,0.00000334,1.41699239,419234.02369895
20160809,0.00000350,0.00000390,0.00000200,0.00000364,5.22694267,1781186.18439684
20160810,0.00000368,0.00001100,0.00000349,0.00000686,54.06750639,10092168.30731558
20160811,0.00000680,0.00000700,0.00000425,0.00000504,16.03203138,3047973.53224647
20160812,0.00000523,0.00000570,0.00000470,0.00000513,3.49996421,688282.33128028
20160813,0.00000537,0.00000565,0.00000453,0.00000468,3.50731221,729730.01184112
20160814,0.00000487,0.00000548,0.00000485,0.00000488,1.65268409,336035.81670286
20160815,0.00000492,0.00000513,0.00000487,0.00000487,0.04170276,8361.46282357
20160816,0.00000487,0.00000540,0.00000475,0.00000497,3.34333995,647535.85386214
20160817,0.00000521,0.00000883,0.00000500,0.00000734,81.71346380,12925855.40716994
20160818,0.00000733,0.00001559,0.00000569,0.00001173,176.92261740,21315753.63347204
20160819,0.00001156,0.00001955,0.00001102,0.00001393,294.29521978,18333009.07223675
20160820,0.00001322,0.00001900,0.00001322,0.00001568,194.75782512,11638219.44371389
20160821,0.00001535,0.00001650,0.00001102,0.00001120,65.92959795,4836414.69496844
20160822,0.00001139,0.00001505,0.00001112,0.00001350,30.75028425,2439971.94652760
20160823,0.00001367,0.00001379,0.00000875,0.00001064,46.87799781,4330466.47547230
20160824,0.00001064,0.00001390,0.00001038,0.00001151,26.12685015,2161672.06925162
20160825,0.00001130,0.00001319,0.00000831,0.00000883,172.54159893,16946323.31778751
20160826,0.00000883,0.00000930,0.00000800,0.00000878,20.98819996,2422484.74222761
20160827,0.00000878,0.00000878,0.00000480,0.00000597,70.98024860,12257310.64092773
20160828,0.00000598,0.00000611,0.00000440,0.00000476,39.83814195,7692321.91487851
