[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170401,0.01120514,0.01120514,0.00013675,0.00022398,406.02579021,2176085.88280167
20170402,0.00022000,0.00027777,0.00018223,0.00019500,243.70769494,1117309.76842745
20170403,0.00019500,0.00020100,0.00015010,0.00017300,142.62241393,825908.93453299
20170404,0.00017597,0.00019290,0.00017000,0.00017286,35.91046850,199225.16223391
20170405,0.00017230,0.00018000,0.00016190,0.00016697,29.06879527,169888.27611745
20170406,0.00016683,0.00018400,0.00016300,0.00017300,42.67616470,244013.36676929
20170407,0.00017200,0.00018000,0.00016482,0.00017978,33.95823176,198465.41562084
20170408,0.00017417,0.00017853,0.00016401,0.00016780,14.79973147,87809.02200266
20170409,0.00016788,0.00017500,0.00016758,0.00017156,17.28027945,101146.04610480
20170410,0.00017467,0.00018066,0.00017000,0.00018059,16.84957577,95571.10759195
20170411,0.00018052,0.00018066,0.00016780,0.00017003,39.16754424,225184.45759415
20170412,0.00017100,0.00018500,0.00017100,0.00018048,14.17173121,79712.29749541
20170413,0.00018472,0.00022000,0.00018472,0.00021995,40.77125505,200292.64899853
20170414,0.00021077,0.00024520,0.00018976,0.00023008,52.66832092,227582.25059319
20170415,0.00023000,0.00029000,0.00022707,0.00026590,67.47498181,262165.54961642
20170416,0.00026790,0.00033330,0.00026016,0.00030500,77.85411423,260916.98829976
20170417,0.00031534,0.00036000,0.00027501,0.00031008,148.83548653,453144.39897229
20170418,0.00031581,0.00033890,0.00029400,0.00031508,94.90171579,301331.35679585
20170419,0.00031931,0.00032900,0.00031300,0.00032218,21.92169918,68461.43600975
20170420,0.00032208,0.00032208,0.00024071,0.00027900,64.07843262,218783.51934151
20170421,0.00027166,0.00032998,0.00026211,0.00032000,30.59811049,102716.19790333
20170422,0.00032679,0.00032800,0.00029100,0.00031298,25.62190312,82404.14717580
20170423,0.00030178,0.00031266,0.00029000,0.00029000,20.12238053,66937.69299882
20170424,0.00029000,0.00030555,0.00028607,0.00029820,11.76864941,40019.48474239
20170425,0.00030458,0.00030656,0.00026303,0.00027000,19.92300988,71569.62441161
20170426,0.00027432,0.00034070,0.00025001,0.00029900,48.08745534,174058.05851838
20170427,0.00029901,0.00029901,0.00026855,0.00026855,21.37774433,77570.19547818
20170428,0.00026872,0.00029999,0.00025000,0.00028499,21.16332661,76340.30397784
