[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170323,0.01999990,0.01999990,0.00030100,0.00066952,12.20513564,23996.40078114
20170324,0.00066955,0.00066955,0.00048000,0.00048000,3.19426713,5193.01632649
20170325,0.00048186,0.00051514,0.00038081,0.00046745,2.89060959,6743.56563055
20170326,0.00044489,0.00059000,0.00042000,0.00051171,6.14551923,13947.20514776
20170327,0.00051172,0.00073000,0.00051172,0.00057466,4.60038383,7333.03442858
20170328,0.00058669,0.00074790,0.00048000,0.00074790,4.21222730,6454.32098300
20170329,0.00072270,0.00076000,0.00060100,0.00062961,4.79709921,6698.38197404
20170330,0.00062659,0.00076000,0.00061522,0.00072018,4.17899352,5766.27886357
20170331,0.00072018,0.00075099,0.00062238,0.00063004,2.83037203,4186.39149466
20170401,0.00068790,0.00073889,0.00045679,0.00050006,6.07230826,10348.28505052
20170402,0.00050005,0.00052948,0.00030100,0.00034851,15.63116133,39848.08705960
20170403,0.00034851,0.00043044,0.00030301,0.00030603,11.80656175,35160.86724718
20170404,0.00030704,0.00033820,0.00025500,0.00027000,19.94807603,66423.18369294
20170405,0.00027009,0.00049999,0.00027000,0.00038797,20.81683308,60241.53352186
20170406,0.00037306,0.00046894,0.00030152,0.00038823,13.03412430,35270.83421601
20170407,0.00036374,0.00037500,0.00031000,0.00032990,4.11945134,12185.41496301
20170408,0.00031561,0.00040000,0.00030001,0.00037077,7.21000296,21148.31637125
20170409,0.00037201,0.00041979,0.00033890,0.00035783,2.15114646,5617.61995867
20170410,0.00035620,0.00044995,0.00034224,0.00044990,2.37758286,5609.49697998
20170411,0.00043000,0.00062004,0.00037766,0.00050928,10.29250100,19504.21570508
20170412,0.00050923,0.00057141,0.00046983,0.00054500,1.31605714,2598.26536120
20170413,0.00054500,0.00061995,0.00053140,0.00060293,2.27125341,4172.42497410
20170414,0.00060123,0.00061498,0.00047000,0.00048390,2.78716409,5191.14994227
20170415,0.00051969,0.00054800,0.00034800,0.00037863,11.33878062,27111.40523341
20170416,0.00039990,0.00052593,0.00037001,0.00052593,7.24187692,16267.84701325
20170417,0.00050057,0.00054879,0.00047035,0.00047035,4.77683223,9421.94711165
20170418,0.00047035,0.00055551,0.00047002,0.00052977,3.21590925,6286.38380047
20170419,0.00052891,0.00052999,0.00042000,0.00045845,1.10849602,2290.10424133
20170420,0.00051985,0.00051985,0.00037120,0.00039441,3.47615608,8348.63512077
20170421,0.00039673,0.00043492,0.00038595,0.00038788,1.21235264,2981.85766132
20170422,0.00042157,0.00044930,0.00040116,0.00044013,0.88130053,1998.57429033
20170423,0.00044009,0.00045000,0.00039100,0.00045000,1.45248009,3414.66918815
20170424,0.00045000,0.00045000,0.00039304,0.00040032,1.44029093,3434.06697930
20170425,0.00040052,0.00041000,0.00028890,0.00034861,6.87740210,20834.86837943
20170426,0.00033079,0.00039433,0.00031181,0.00033161,2.15194702,6125.17553425
20170427,0.00038802,0.00038997,0.00032096,0.00038997,2.44690002,7289.14180867
20170428,0.00035155,0.00036952,0.00031210,0.00033256,0.82651791,2564.00365395
20170429,0.00031865,0.00042915,0.00031311,0.00039609,4.79225007,12812.89012194
20170430,0.00038493,0.00042500,0.00036154,0.00036154,2.67494912,6832.79904724
20170501,0.00036154,0.00037667,0.00033900,0.00034000,2.56802718,7116.02173498
20170502,0.00034075,0.00044991,0.00033222,0.00035185,2.44309256,6067.49252981
20170503,0.00035368,0.00038284,0.00034481,0.00035000,1.59546769,4544.01768607
20170504,0.00035000,0.00043999,0.00034366,0.00037808,3.21395748,8474.40847772
