[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160915,0.00020833,0.00020833,0.00020833,0.00020833,39.17514427,188043.70293444
20160916,0.00020833,0.00025000,0.00020833,0.00025000,55.67524722,259801.96873729
20160917,0.00025000,0.00025157,0.00025000,0.00025157,13.79296833,55075.71668485
20160918,0.00025157,0.00025316,0.00025157,0.00025316,16.72989668,66125.97234558
20160919,0.00025316,0.00025316,0.00025316,0.00025316,4.19768267,16581.14543436
20160920,0.00025478,0.00025641,0.00025478,0.00025641,1.21719701,4773.37425750
20160921,0.00025641,0.00025806,0.00025641,0.00025806,0.70088992,2733.37696840
20160922,0.00025806,0.00025974,0.00025806,0.00025974,0.70398883,2727.95727134
20160923,0.00025974,0.00026144,0.00025974,0.00026144,6.70926213,25830.39375130
20160924,0.00026144,0.00026316,0.00026144,0.00026316,1.26519033,4839.23202880
20160925,0.00026316,0.00026490,0.00026316,0.00026490,1.47359494,5599.19854785
20160926,0.00026490,0.00026490,0.00026490,0.00026490,0.49502588,1868.72754600
20160927,0.00026490,0.00026846,0.00026490,0.00026846,2.21894685,8351.07883720
20160928,0.00026846,0.00026846,0.00026846,0.00026846,10.93193762,40720.91831392
20160929,0.00027027,0.00027211,0.00027027,0.00027211,6.53767212,24127.08519759
20160930,0.00027211,0.00027211,0.00027211,0.00027211,0.35494500,1304.41747747
20161001,0.00027211,0.00027397,0.00027211,0.00027397,1.89295062,6950.13777813
20161002,0.00027397,0.00027778,0.00027397,0.00027778,1.56043121,5664.69137699
20161003,0.00027778,0.00027778,0.00027778,0.00027778,0.94933266,3417.57036251
20161004,0.00027778,0.00027972,0.00027778,0.00027972,1.00319577,3588.50564205
20161005,0.00027972,0.00028369,0.00027972,0.00028369,1.18704440,4242.24325239
20161006,0.00028369,0.00028369,0.00028369,0.00028369,0.10927141,385.17903772
20161007,0.00028571,0.00028571,0.00028571,0.00028571,3.54986684,12424.72043597
20161008,0.00028777,0.00028777,0.00028777,0.00028777,1.19425746,4150.04165653
20161009,0.00028986,0.00029197,0.00028986,0.00029197,0.61414808,2114.82587502
20161010,0.00029197,0.00029197,0.00029197,0.00029197,0.03200560,109.61956845
20161011,0.00029412,0.00029412,0.00029412,0.00029412,0.12710444,432.15172390
20161012,0.00029412,0.00029412,0.00029412,0.00029412,0.50502130,1717.05880310
20161013,0.00029412,0.00029412,0.00029412,0.00029412,0.00350049,11.90159995
20161014,0.00030075,0.00030075,0.00030075,0.00030075,0.06162900,204.91771023
20161015,0.00030303,0.00030534,0.00030303,0.00030534,0.03351120,110.55852403
20161016,0.00030534,0.00030534,0.00030534,0.00030534,3.69934582,12115.49699579
20161017,0.00030769,0.00030769,0.00030769,0.00030769,0.50454710,1639.79044127
20161018,0.00030769,0.00030769,0.00030769,0.00030769,0.22877352,743.51963900
20161019,0.00030769,0.00030769,0.00030769,0.00030769,0.21567342,700.94397210
20161020,0.00030769,0.00030769,0.00030769,0.00030769,1.63115833,5301.30437319
20161021,0.00030769,0.00032000,0.00030769,0.00032000,0.84647078,2726.55478216
20161022,0.00032000,0.00032000,0.00032000,0.00032000,3.43493952,10734.18614236
20161023,0.00032258,0.00032258,0.00032258,0.00032258,0.50278489,1558.63638086
20161024,0.00032258,0.00032258,0.00032258,0.00032258,2.22233554,6889.25413820
20161025,0.00032258,0.00032258,0.00032258,0.00032258,1.51314859,4690.77016347
20161026,0.00032258,0.00032258,0.00032258,0.00032258,11.73194055,36369.08868675
20161027,0.00032258,0.00033333,0.00032258,0.00033333,0.21336624,661.13761005
20161102,0.00140000,0.00149000,0.00002700,0.00007482,31.81694317,400286.29348689
20161103,0.00007483,0.00008147,0.00005000,0.00005003,6.14337369,108255.66998148
20161104,0.00005189,0.00006021,0.00004000,0.00004572,3.47053357,79817.86943094
20161105,0.00004400,0.00004400,0.00003900,0.00004102,1.24780026,31338.78771967
20161106,0.00004102,0.00004415,0.00003000,0.00003000,1.83879307,56418.44330661
20161107,0.00003000,0.00003125,0.00001116,0.00002500,2.45846819,98869.15306504
20161108,0.00002618,0.00002618,0.00002001,0.00002288,1.17635514,53803.67190149
20161109,0.00002233,0.00002233,0.00002086,0.00002144,0.07589259,3435.47957054
20161110,0.00002101,0.00002159,0.00002000,0.00002159,1.06576424,52339.80901590
20161111,0.00002045,0.00002139,0.00001710,0.00001935,0.38941478,21367.84911248
20161112,0.00001807,0.00002112,0.00001807,0.00001855,0.00693032,364.45105645
20161113,0.00001870,0.00001988,0.00001675,0.00001854,0.30287257,16963.59197010
20161114,0.00001906,0.00001906,0.00001500,0.00001702,0.61305683,37906.65857875
20161115,0.00001672,0.00001701,0.00001500,0.00001589,0.15902426,10277.92606160
20161116,0.00001551,0.00001551,0.00000775,0.00001065,1.18303258,110060.64259982
20161117,0.00001080,0.00001363,0.00001051,0.00001097,0.70605813,62318.68166214
20161118,0.00001097,0.00001389,0.00001051,0.00001060,0.44371625,38764.60552680
20161119,0.00001059,0.00001311,0.00001050,0.00001248,1.38150157,113089.32943000
20161120,0.00001307,0.00002315,0.00001307,0.00001373,0.66841995,41838.03331241
20161121,0.00001471,0.00001471,0.00001258,0.00001324,0.01785433,1337.06232408
20161122,0.00001450,0.00001450,0.00001132,0.00001268,0.05357726,4507.29342527
20161123,0.00001276,0.00001280,0.00001226,0.00001233,0.04638890,3666.11492178
20161124,0.00001336,0.00001750,0.00001246,0.00001300,0.39403142,30673.06757144
20161125,0.00001318,0.00001320,0.00001318,0.00001320,0.01491795,1130.22443730
20161126,0.00001300,0.00001365,0.00001246,0.00001365,0.18319523,14498.57511973
20161127,0.00001400,0.00001400,0.00001246,0.00001246,0.15791315,12663.86508861
20161128,0.00001275,0.00001560,0.00001250,0.00001453,0.54722188,39856.92656980
20161129,0.00001570,0.00001725,0.00001570,0.00001725,0.00981216,585.93839816
20161130,0.00001725,0.00002951,0.00001152,0.00002000,1.93510763,99218.35506288
20161201,0.00002000,0.00002444,0.00001403,0.00001800,0.24341834,14701.10894012
20161202,0.00001800,0.00001898,0.00001460,0.00001543,0.17816480,10889.37966341
20161203,0.00001545,0.00001545,0.00001453,0.00001453,0.08033631,5481.87627108
20161204,0.00001455,0.00001700,0.00001453,0.00001695,0.11680971,7644.14322841
20161205,0.00001712,0.00001925,0.00001223,0.00001223,0.04185469,2850.57410471
20161206,0.00001283,0.00001447,0.00001283,0.00001447,0.00212836,161.17283672
20161207,0.00001351,0.00001447,0.00001351,0.00001447,0.00325795,234.04680462
20161208,0.00001515,0.00001527,0.00001280,0.00001317,0.05586360,4011.73579291
20161209,0.00001388,0.00001388,0.00001388,0.00001388,0.00178581,128.66168948
20161210,0.00001316,0.00001392,0.00001125,0.00001392,0.03828729,3197.91749007
20161211,0.00001283,0.00001450,0.00001125,0.00001450,0.04170854,3511.14507125
20161212,0.00001353,0.00001353,0.00001353,0.00001353,0.00054249,40.09562560
20161214,0.00001426,0.00001426,0.00001426,0.00001426,0.00674054,472.68907563
20161215,0.00001354,0.00001355,0.00001186,0.00001186,0.00684355,556.42072916
20161216,0.00001188,0.00001188,0.00001184,0.00001184,0.00403486,340.62355937
20161217,0.00001184,0.00001184,0.00001184,0.00001184,0.01183999,1000.00000000
20161218,0.00001250,0.00001250,0.00001184,0.00001184,0.00362498,300.00000000
20161219,0.00001184,0.00001184,0.00001125,0.00001126,0.01808618,1605.27798428
