[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170418,2.00000000,2.00000000,0.00009106,0.00011900,477.44148873,4338067.75629072
20170419,0.00011900,0.00012750,0.00009853,0.00010040,246.10460531,2198866.40030681
20170420,0.00010213,0.00010950,0.00007777,0.00009600,141.51741515,1494290.79450396
20170421,0.00009597,0.00010100,0.00008120,0.00008996,63.89706156,699857.10422161
20170422,0.00008998,0.00009742,0.00008115,0.00008698,67.87129366,753812.90522151
20170423,0.00008710,0.00009056,0.00007800,0.00007908,64.28640792,785615.22502736
20170424,0.00007940,0.00008036,0.00006824,0.00007185,64.13732291,856088.14561815
20170425,0.00007186,0.00008488,0.00006364,0.00008000,108.77481182,1493949.36591944
20170426,0.00008031,0.00009457,0.00007000,0.00007796,159.21119857,1917235.45025359
20170427,0.00007796,0.00008245,0.00007305,0.00007616,65.79353238,846327.78444777
20170428,0.00007897,0.00007928,0.00007200,0.00007778,56.97428112,747000.09119416
20170429,0.00007778,0.00009200,0.00007505,0.00008271,69.96811578,856666.43590301
20170430,0.00008545,0.00009044,0.00008132,0.00008394,54.66085280,641646.01313199
20170501,0.00008390,0.00008991,0.00007325,0.00007486,84.85991160,1080426.28484211
20170502,0.00007514,0.00007969,0.00007348,0.00007850,41.79931365,544072.51339660
20170503,0.00007888,0.00008588,0.00007763,0.00008497,42.96312812,517313.56261598
20170504,0.00008232,0.00008476,0.00007301,0.00007637,61.66527434,784376.18152287
20170505,0.00007636,0.00007954,0.00007000,0.00007735,37.79124150,508152.66851262
20170506,0.00007500,0.00007900,0.00007001,0.00007900,37.87668669,514684.85120233
20170507,0.00007938,0.00008201,0.00007000,0.00007558,48.03286970,639851.65533392
20170508,0.00007400,0.00007850,0.00007060,0.00007452,30.90814218,416221.65320084
20170509,0.00007452,0.00007625,0.00006750,0.00007136,30.92433935,433426.72119415
20170510,0.00007145,0.00008052,0.00006510,0.00008051,47.52464078,637215.51288650
20170511,0.00008051,0.00008250,0.00007261,0.00007440,80.68675531,1039675.21965018
20170512,0.00007440,0.00007800,0.00007226,0.00007798,76.61096492,1025738.55343407
20170513,0.00007550,0.00008300,0.00007345,0.00007893,45.16287754,579548.75671512
20170514,0.00007891,0.00008249,0.00007887,0.00008041,19.47508680,243428.80388996
20170515,0.00007932,0.00008300,0.00007770,0.00007905,30.46920637,374358.37361682
20170516,0.00007902,0.00008500,0.00007498,0.00007602,47.28925155,593326.48366626
20170517,0.00007630,0.00008351,0.00007370,0.00008251,50.82660158,644790.80550129
20170518,0.00008251,0.00008650,0.00007890,0.00008320,60.13778979,716380.71370779
20170519,0.00008352,0.00009938,0.00007939,0.00009790,109.23301204,1176514.74829983
20170520,0.00009491,0.00009951,0.00009178,0.00009781,138.53339771,1435604.00340728
20170521,0.00009800,0.00012898,0.00009442,0.00011543,222.33031804,2007233.83016119
20170522,0.00011545,0.00012632,0.00010077,0.00012243,157.77858741,1357649.22160318
20170523,0.00012243,0.00012997,0.00011355,0.00012990,171.05427032,1414340.95160977
20170524,0.00012990,0.00014700,0.00011708,0.00012500,255.07781896,1937392.65361941
20170525,0.00012062,0.00012100,0.00009050,0.00010916,152.39535124,1422887.89452176
20170526,0.00010911,0.00012037,0.00010225,0.00011602,65.75215395,584815.42632793
20170527,0.00011602,0.00011735,0.00008600,0.00010281,69.33572237,680975.75432786
20170528,0.00010405,0.00012300,0.00010278,0.00010950,51.89088623,458601.27451336
20170529,0.00010934,0.00011000,0.00009400,0.00010691,73.59960320,704685.34967644
20170530,0.00010691,0.00011000,0.00009840,0.00009930,47.11013726,443530.03466059
20170531,0.00009941,0.00010200,0.00008310,0.00009972,52.36798548,539465.88666445
20170601,0.00010000,0.00011000,0.00009151,0.00010142,94.91324929,934676.79760958
20170602,0.00010098,0.00010890,0.00009396,0.00010001,99.41544555,987192.01340798
20170603,0.00010028,0.00012600,0.00010027,0.00012500,214.28089325,1846937.34574772
20170604,0.00012481,0.00012990,0.00010833,0.00011400,141.39135116,1205239.51613244
20170605,0.00011468,0.00012754,0.00010890,0.00012375,98.80847233,847105.15118349
20170606,0.00012500,0.00012675,0.00010660,0.00011575,72.69566782,638419.22768981
20170607,0.00011575,0.00012338,0.00011000,0.00011466,96.45972169,825626.98126368
20170608,0.00011405,0.00012750,0.00011200,0.00011938,126.00295000,1050763.71813634
20170609,0.00011901,0.00012650,0.00011070,0.00011353,136.97722612,1153317.94341257
20170610,0.00011353,0.00011689,0.00009950,0.00009950,116.84746636,1098857.85226173
20170611,0.00010021,0.00010468,0.00009500,0.00009989,84.39973240,851926.46660197
20170612,0.00010000,0.00011670,0.00009789,0.00011326,73.74535379,724473.96779755
20170613,0.00011109,0.00012198,0.00010402,0.00011418,98.86899373,867390.10006807
20170614,0.00011417,0.00012498,0.00011137,0.00012060,96.22243358,804693.56355830
20170615,0.00012099,0.00012480,0.00011453,0.00011554,98.00224478,828055.59354867
20170616,0.00011600,0.00012400,0.00011424,0.00011506,83.02201198,699203.71045833
20170617,0.00011498,0.00012235,0.00010798,0.00011736,95.23549321,818786.73944390
20170618,0.00011736,0.00012300,0.00011320,0.00012189,87.68811624,750990.11885723
20170619,0.00012200,0.00015000,0.00012100,0.00014542,291.00288516,2125548.85801674
20170620,0.00014498,0.00017900,0.00014214,0.00016344,264.12964928,1657133.43097638
20170621,0.00016344,0.00016900,0.00014950,0.00015559,109.90145259,704888.38168869
20170622,0.00015233,0.00016302,0.00014997,0.00016256,112.00212579,717117.29921716
20170623,0.00016256,0.00017022,0.00015575,0.00016677,114.20505512,698970.17228164
20170624,0.00016411,0.00023990,0.00016285,0.00020187,676.91342489,3372159.15751077
20170625,0.00020192,0.00023610,0.00018611,0.00021570,473.98556943,2222765.40785456
20170626,0.00021561,0.00022485,0.00014033,0.00018896,351.82006096,1965894.83684951
20170627,0.00018897,0.00019869,0.00015588,0.00018789,302.99370827,1714386.84543158
20170628,0.00018976,0.00021600,0.00017531,0.00021580,252.08802774,1279336.32021742
20170629,0.00021584,0.00024222,0.00020312,0.00021771,369.64392017,1638561.11277189
20170630,0.00021771,0.00022954,0.00019962,0.00021391,212.07946592,988031.54437620
20170701,0.00021422,0.00023333,0.00020380,0.00020903,201.37174015,921233.09454597
20170702,0.00020903,0.00022770,0.00020381,0.00022226,122.37472363,571626.87739839
20170703,0.00022226,0.00023448,0.00021800,0.00022197,169.56221096,752720.66987754
20170704,0.00022196,0.00027146,0.00021580,0.00026738,411.59638048,1687613.28505985
20170705,0.00026998,0.00031559,0.00025988,0.00029144,687.12883264,2395845.58797869
20170706,0.00029070,0.00034700,0.00028000,0.00029591,802.48107773,2604728.64973845
20170707,0.00029591,0.00030000,0.00023515,0.00026470,638.78774065,2438884.38508990
20170708,0.00026123,0.00028860,0.00024104,0.00028500,207.06100907,802198.97783754
20170709,0.00028501,0.00028850,0.00026021,0.00026599,111.94499718,413884.71689735
20170710,0.00026600,0.00026994,0.00019587,0.00019828,413.38771188,1815260.04382085
20170711,0.00019828,0.00022033,0.00015990,0.00020000,288.49143093,1509877.80764614
20170712,0.00019991,0.00023888,0.00019536,0.00023888,141.73105698,659598.07755307
20170713,0.00023888,0.00024000,0.00020001,0.00021255,122.86325691,567056.95727545
20170714,0.00021255,0.00022992,0.00018471,0.00020597,132.43846446,648149.75598543
20170715,0.00020772,0.00021569,0.00018331,0.00018995,129.38777052,656617.50005711
20170716,0.00018956,0.00019947,0.00016666,0.00019027,132.87719449,743820.31457835
20170717,0.00019029,0.00024500,0.00018000,0.00023430,159.49419544,751549.65996745
20170718,0.00023430,0.00026500,0.00022574,0.00026500,225.70886317,930886.22479629
20170719,0.00026401,0.00026550,0.00011369,0.00020025,901.23228491,4930174.19889929
20170720,0.00020000,0.00023500,0.00017650,0.00017872,470.62618025,2295693.96880084
20170721,0.00017880,0.00020457,0.00017308,0.00019295,138.15854198,724781.43037873
20170722,0.00019301,0.00020026,0.00018300,0.00019635,75.35635711,396633.58959011
20170723,0.00019800,0.00020000,0.00018485,0.00018824,68.25622059,356870.80694635
20170724,0.00019063,0.00019068,0.00017800,0.00018200,70.99173190,381963.26759325
20170725,0.00018200,0.00018200,0.00016101,0.00017000,141.25820993,823336.98647021
20170726,0.00016950,0.00018062,0.00016700,0.00017636,81.88380147,469844.39095143
20170727,0.00017637,0.00017984,0.00016126,0.00016132,56.26949405,327869.91295383
20170728,0.00016132,0.00016505,0.00014000,0.00015020,87.69794020,569011.83487318
20170729,0.00015017,0.00017951,0.00014010,0.00016350,98.50095927,650508.60721722
20170730,0.00016250,0.00016444,0.00014559,0.00014910,37.67669562,243542.70955689
20170731,0.00015223,0.00015373,0.00013129,0.00014524,74.88942968,527239.68577386
20170801,0.00014524,0.00017951,0.00014002,0.00016614,62.22353034,386458.45583218
20170802,0.00016614,0.00019263,0.00016001,0.00016763,79.65279586,472651.97824876
