[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140320,0.00030000,0.00030000,0.00002000,0.00002001,0.28487383,10932.55371796
20140321,0.00002500,0.00008011,0.00002200,0.00002690,1.75764267,39086.73530533
20140322,0.00002690,0.00003399,0.00002350,0.00003000,0.97561491,36214.66809904
20140323,0.00003000,0.00005650,0.00002361,0.00002570,3.66798602,85650.17781340
20140324,0.00005000,0.00006999,0.00003450,0.00005435,1.04774830,19174.77340171
20140325,0.00004000,0.00005100,0.00002600,0.00002768,0.47524516,11756.50781691
20140326,0.00002768,0.00003500,0.00002768,0.00002800,0.17038266,6138.87726161
20140327,0.00002800,0.00010000,0.00002760,0.00005110,1.95132144,29426.64959049
20140328,0.00008564,0.00015000,0.00005100,0.00007200,3.37742990,45451.80246871
20140329,0.00007500,0.00010000,0.00007500,0.00007820,2.27730486,27280.30998963
20140330,0.00008300,0.00013900,0.00007820,0.00012000,34.51478386,316478.96044408
20140331,0.00012000,0.00056989,0.00011110,0.00035000,31.95367982,136825.88842932
20140401,0.00035000,0.00038461,0.00015000,0.00027500,11.10424504,43326.03782244
20140402,0.00025400,0.00027500,0.00006000,0.00008000,4.27466880,38596.87162870
20140403,0.00007000,0.00019999,0.00006600,0.00013000,8.69302776,52684.28180302
20140404,0.00015000,0.00031900,0.00014100,0.00027466,19.09408021,79529.64571103
20140405,0.00027466,0.00028000,0.00020000,0.00026990,17.52404303,67063.72345993
20140406,0.00025000,0.00026799,0.00015000,0.00019999,4.40972292,22877.73334438
20140407,0.00019999,0.00020118,0.00010150,0.00011000,2.48585126,16992.54942593
20140408,0.00011000,0.00023100,0.00010000,0.00023100,1.42651253,10653.03186516
20140409,0.00022700,0.00022700,0.00008600,0.00016900,1.60792787,10614.65904765
20140410,0.00017000,0.00026799,0.00013500,0.00018001,11.51500987,63989.11549499
20140411,0.00014157,0.00017997,0.00008000,0.00014500,8.58178045,64415.35910375
20140412,0.00014923,0.00014924,0.00008000,0.00009201,3.68189476,36820.60263877
20140413,0.00010999,0.00012000,0.00006700,0.00008750,3.33869933,42041.46065111
20140414,0.00007001,0.00010000,0.00006390,0.00007998,7.69070332,99021.21751531
20140415,0.00006191,0.00008008,0.00003418,0.00006000,2.26865825,42046.28910098
20140416,0.00005644,0.00010999,0.00003550,0.00005499,3.67504858,69149.09605948
20140417,0.00004201,0.00007000,0.00002350,0.00006449,8.23602372,196929.71339700
20140418,0.00003509,0.00005999,0.00003145,0.00004499,7.48877230,201866.74155954
20140419,0.00004499,0.00004499,0.00002601,0.00002701,6.21343237,189848.25852877
20140420,0.00002706,0.00003999,0.00001301,0.00002314,4.28238337,162875.18921406
20140421,0.00002314,0.00003188,0.00000150,0.00003188,0.98175977,47016.88710912
20140422,0.00002100,0.00003101,0.00002000,0.00002201,0.55832402,20572.96732747
20140423,0.00002201,0.00002889,0.00001701,0.00001701,3.66947643,187824.75472901
20140424,0.00001700,0.00002589,0.00001287,0.00001800,5.62449340,320831.70959216
20140425,0.00001800,0.00001834,0.00001000,0.00001598,7.25564915,533300.41337019
20140426,0.00001597,0.00001598,0.00001021,0.00001556,3.97173931,336735.10569274
20140427,0.00001027,0.00001552,0.00001004,0.00001298,0.56220622,42413.66895151
20140428,0.00001190,0.00001499,0.00001001,0.00001002,3.24048767,301418.51992265
20140429,0.00001101,0.00001500,0.00001000,0.00001148,4.92549174,466438.38345904
20140430,0.00001033,0.00001119,0.00000900,0.00001115,1.27629908,122852.55508536
20140501,0.00001117,0.00001149,0.00000010,0.00000930,0.94606518,99765.07309779
20140502,0.00000930,0.00000931,0.00000070,0.00000930,1.03256255,176625.33930359
20140503,0.00000890,0.00001110,0.00000341,0.00000974,0.54871296,70739.39350161
20140504,0.00000151,0.00001006,0.00000151,0.00000972,0.97872990,102246.79595619
20140505,0.00000972,0.00001109,0.00000851,0.00001109,1.03468083,103103.95914409
20140506,0.00000851,0.00001110,0.00000701,0.00001000,1.91449728,230840.69007387
20140507,0.00000790,0.00001135,0.00000681,0.00001090,0.39884408,39651.81904237
20140508,0.00000902,0.00000902,0.00000166,0.00000749,5.13403473,1366420.50288515
20140509,0.00000735,0.00000735,0.00000565,0.00000575,0.57806239,90893.77067487
20140510,0.00000562,0.00000949,0.00000560,0.00000779,0.63647054,84740.93431820
20140511,0.00000765,0.00000925,0.00000560,0.00000561,0.46637609,65511.56873397
20140512,0.00000560,0.00000750,0.00000535,0.00000695,2.17797169,329621.31363666
20140513,0.00000536,0.00000594,0.00000160,0.00000579,1.04857811,513563.16909262
20140514,0.00000249,0.00000440,0.00000177,0.00000221,0.24329945,71747.25033947
20140515,0.00000221,0.00000445,0.00000221,0.00000251,0.04528865,10578.00389353
20140516,0.00000251,0.00000251,0.00000251,0.00000251,0.00001607,6.40588831
20140517,0.00000433,0.00000433,0.00000251,0.00000267,0.00029830,112.28191557
20140518,0.00000267,0.00000750,0.00000267,0.00000750,0.11876007,24502.33997268
20140519,0.00000750,0.00000895,0.00000256,0.00000261,0.03592909,4055.54604428
20140520,0.00000261,0.00000887,0.00000261,0.00000850,0.04087928,4931.00000000
20140521,0.00000849,0.00000974,0.00000401,0.00000799,0.77744469,85542.09385618
20140522,0.00000800,0.00003500,0.00000598,0.00002202,2.07366778,133930.32719030
20140523,0.00001004,0.00001042,0.00001000,0.00001041,0.17939116,17772.35351245
20140524,0.00001047,0.00001949,0.00001047,0.00001062,0.18620731,12382.69697392
20140525,0.00001067,0.00001502,0.00000406,0.00000406,0.54057240,58190.44044889
20140526,0.00000407,0.00001599,0.00000407,0.00001596,0.49456293,42627.74465567
20140527,0.00000850,0.00001000,0.00000850,0.00000899,0.41213488,46503.48641026
20140528,0.00000478,0.00001040,0.00000471,0.00000502,0.22254789,41497.86446892
20140529,0.00000492,0.00000998,0.00000486,0.00000984,0.11120251,12031.54899225
20140530,0.00000516,0.00000556,0.00000516,0.00000556,0.00056923,109.38410366
20140531,0.00000561,0.00001040,0.00000561,0.00001040,0.22851350,25599.65864118
20140601,0.00000502,0.00000959,0.00000502,0.00000956,0.03902249,5631.27185767
20140602,0.00000513,0.00001023,0.00000512,0.00001023,0.16488053,18581.07166857
20140603,0.00000850,0.00001023,0.00000590,0.00000920,0.19127090,23867.62519071
20140604,0.00000643,0.00001015,0.00000523,0.00000523,0.13761240,16288.96419744
20140605,0.00000556,0.00001040,0.00000555,0.00000564,0.09045406,10683.61398637
20140606,0.00000564,0.00001223,0.00000564,0.00001223,0.15147846,14167.20238564
20140607,0.00000605,0.00001496,0.00000604,0.00000611,0.15183101,15408.26167659
20140608,0.00000614,0.00001600,0.00000614,0.00001472,0.41751502,34600.36382461
20140609,0.00000661,0.00001459,0.00000661,0.00001425,0.15703359,16711.32268431
20140610,0.00000686,0.00001401,0.00000680,0.00001250,0.62846352,79289.45039308
20140611,0.00000789,0.00001100,0.00000700,0.00001100,0.04156397,5802.92771700
20140612,0.00000800,0.00001300,0.00000800,0.00000900,0.09940454,9329.54068275
20140613,0.00000901,0.00000901,0.00000811,0.00000811,0.04337468,4964.84264485
20140614,0.00000812,0.00001200,0.00000691,0.00000883,0.40319460,36225.39227666
20140615,0.00000887,0.00001182,0.00000750,0.00000795,0.14664147,19139.95941152
20140616,0.00000704,0.00001150,0.00000703,0.00001150,0.08957717,9562.89775600
20140617,0.00000712,0.00001000,0.00000706,0.00000710,0.11350839,13945.50622039
20140618,0.00000713,0.00001049,0.00000650,0.00001023,0.14822153,18257.28463226
20140619,0.00000956,0.00000956,0.00000650,0.00000683,0.08892751,13548.18854519
20140620,0.00000683,0.00001015,0.00000562,0.00000699,0.06590665,10358.27679401
20140621,0.00000601,0.00001014,0.00000562,0.00000801,0.19323268,26429.99242400
20140622,0.00000575,0.00001014,0.00000575,0.00000625,0.08638799,11555.06140700
20140623,0.00000641,0.00001010,0.00000632,0.00000632,0.10734626,14065.01526603
20140624,0.00000632,0.00000636,0.00000631,0.00000636,0.03767930,5958.12707900
20140625,0.00000636,0.00000750,0.00000555,0.00000750,0.22991989,34506.37615382
20140626,0.00000601,0.00000750,0.00000560,0.00000750,0.05564394,7916.32279089
20140627,0.00000611,0.00001209,0.00000601,0.00000749,0.46050918,48757.46206185
20140628,0.00000999,0.00001200,0.00000701,0.00000801,0.10543077,12390.94714439
20140629,0.00000801,0.00000801,0.00000601,0.00000601,0.03317684,4574.40369737
20140630,0.00000607,0.00000900,0.00000607,0.00000900,0.07043446,10285.10134647
20140701,0.00000620,0.00000996,0.00000605,0.00000996,0.18733406,28359.83276751
20140702,0.00000613,0.00000850,0.00000613,0.00000700,0.07638373,11380.41998969
20140703,0.00000700,0.00001150,0.00000700,0.00001000,1.36826901,125011.35001109
20140704,0.00001000,0.00001515,0.00001000,0.00001300,1.87775750,168964.23168985
20140705,0.00001120,0.00001299,0.00001005,0.00001005,0.04736087,4684.66640232
20140706,0.00001005,0.00001015,0.00001005,0.00001005,0.18272463,18179.54066808
20140707,0.00001007,0.00002996,0.00001005,0.00001033,0.48738059,41777.70740362
20140708,0.00001009,0.00001297,0.00001006,0.00001070,0.15292824,14515.19357443
20140709,0.00001063,0.00001063,0.00001005,0.00001005,0.23551190,23314.04187494
20140710,0.00001006,0.00001006,0.00001005,0.00001005,0.33054609,32886.81199264
20140711,0.00001005,0.00001012,0.00000719,0.00000719,0.32105343,36874.13011370
20140712,0.00000719,0.00000920,0.00000719,0.00000720,0.71754732,89372.26855067
20140713,0.00000720,0.00000951,0.00000610,0.00000614,2.51187445,329047.80204386
20140714,0.00000614,0.00000771,0.00000614,0.00000622,0.33145668,47937.00482036
20140715,0.00000643,0.00001199,0.00000622,0.00000812,1.37967729,158329.45115665
20140716,0.00000812,0.00001100,0.00000800,0.00000875,0.41093502,44892.19332372
20140717,0.00000870,0.00001201,0.00000870,0.00000960,0.24870358,25627.93114440
20140718,0.00000960,0.00002491,0.00000926,0.00001222,0.94765400,70116.08188876
20140719,0.00001292,0.00001647,0.00001238,0.00001300,0.32039123,25333.14028071
20140720,0.00001300,0.00002230,0.00001230,0.00001428,0.76039205,52495.19214902
20140721,0.00001425,0.00001900,0.00001235,0.00001351,0.55572005,41402.81236405
20140722,0.00001351,0.00001700,0.00001239,0.00001253,0.31002898,23715.56456182
20140723,0.00001251,0.00001536,0.00001250,0.00001300,0.22618966,17510.49590062
20140724,0.00001300,0.00001446,0.00001157,0.00001157,1.23485483,100620.54262050
20140725,0.00001151,0.00001151,0.00001025,0.00001042,0.21817635,19539.88641445
20140726,0.00001030,0.00001446,0.00001002,0.00001030,0.55592965,48057.47144485
20140727,0.00001058,0.00001058,0.00001026,0.00001026,0.18650781,18154.43672242
20140728,0.00001026,0.00001262,0.00001025,0.00001026,0.43410774,39340.20783380
20140729,0.00001177,0.00001281,0.00001027,0.00001281,0.27330494,24593.33695671
20140730,0.00001049,0.00001730,0.00001034,0.00001246,1.05708598,75591.78991680
20140731,0.00001246,0.00001874,0.00001246,0.00001252,0.56096361,39071.96970360
20140801,0.00001260,0.00001450,0.00001220,0.00001220,0.25971313,20267.28050395
20140802,0.00001220,0.00001349,0.00001201,0.00001201,0.18045833,14947.91763046
20140803,0.00001201,0.00001203,0.00001120,0.00001120,0.15755064,13277.41426358
20140804,0.00001120,0.00001548,0.00001120,0.00001200,0.25126239,19984.40877561
20140805,0.00001134,0.00001350,0.00001056,0.00001100,0.29661044,25638.96830721
20140806,0.00001101,0.00001150,0.00001100,0.00001100,0.17406465,15694.61000025
20140807,0.00001100,0.00001290,0.00001100,0.00001103,0.18132199,15630.66397773
20140808,0.00001103,0.00001110,0.00001100,0.00001110,0.11051454,10043.57894213
20140809,0.00001110,0.00001110,0.00001052,0.00001052,0.28678792,26030.46665478
20140810,0.00001067,0.00001170,0.00000912,0.00000912,1.13251702,110854.84964227
20140811,0.00000901,0.00001100,0.00000900,0.00000900,0.11237641,12084.24930031
20140812,0.00000900,0.00000900,0.00000700,0.00000704,0.34999102,39389.02891523
20140813,0.00000701,0.00000882,0.00000701,0.00000789,0.15456575,20266.18525139
20140814,0.00000728,0.00000879,0.00000701,0.00000730,0.09718248,13438.08907578
20140815,0.00000702,0.00000870,0.00000700,0.00000700,1.05959564,150145.49821465
20140816,0.00000701,0.00000712,0.00000700,0.00000712,0.04704356,6694.19288996
20140817,0.00000712,0.00000759,0.00000700,0.00000700,0.12800785,17884.98511014
20140818,0.00000700,0.00000760,0.00000700,0.00000701,0.38640585,54712.08652264
20140819,0.00000701,0.00000845,0.00000700,0.00000708,0.27441450,36264.88409839
20140820,0.00000701,0.00000870,0.00000700,0.00000701,0.20325860,27529.64296968
20140821,0.00000701,0.00001047,0.00000700,0.00000770,0.66065121,75962.96839457
20140822,0.00000770,0.00000835,0.00000752,0.00000830,0.39803972,49953.12770728
20140823,0.00000753,0.00000838,0.00000753,0.00000755,0.21910589,27740.60788642
20140824,0.00000755,0.00000822,0.00000751,0.00000760,0.45869895,58019.59614850
20140825,0.00000760,0.00000845,0.00000760,0.00000773,0.45884209,56404.28621684
20140826,0.00000773,0.00000845,0.00000773,0.00000775,0.21496101,26758.73111401
20140827,0.00000775,0.00000900,0.00000775,0.00000811,0.27557609,32751.21119671
20140828,0.00000811,0.00000999,0.00000810,0.00000810,0.32645048,38837.57780917
20140829,0.00000825,0.00000950,0.00000825,0.00000838,0.16908841,19001.34136033
20140830,0.00000834,0.00000900,0.00000825,0.00000850,0.24062579,28272.29376112
20140831,0.00000850,0.00000850,0.00000825,0.00000850,0.13654353,16173.90266889
20140901,0.00000850,0.00000960,0.00000825,0.00000866,0.20708633,23318.25713095
20140902,0.00000850,0.00000901,0.00000825,0.00000900,0.30630042,35607.28822932
20140903,0.00000900,0.00000950,0.00000900,0.00000911,0.29016403,31432.03929137
20140904,0.00000911,0.00000970,0.00000910,0.00000920,0.16817893,17847.10007859
20140905,0.00000920,0.00000970,0.00000900,0.00000912,0.65787058,71862.01822481
20140906,0.00000911,0.00000969,0.00000890,0.00000890,0.49279790,53751.79037294
20140907,0.00000890,0.00000890,0.00000800,0.00000801,0.83041233,96906.80609728
20140908,0.00000801,0.00000970,0.00000801,0.00000875,0.44105899,50691.80360905
20140909,0.00000874,0.00000949,0.00000813,0.00000896,0.32234701,36123.08988758
20140910,0.00000892,0.00000892,0.00000817,0.00000817,0.12379906,14743.98616442
20140911,0.00000817,0.00000862,0.00000815,0.00000822,0.12418333,14819.98026827
20140912,0.00000822,0.00000900,0.00000816,0.00000823,0.12396544,14793.21152296
20140913,0.00000823,0.00000899,0.00000823,0.00000823,0.37439718,45379.79930518
20140914,0.00000823,0.00000873,0.00000703,0.00000802,0.22156477,27495.41400576
20140915,0.00000800,0.00000847,0.00000800,0.00000800,0.17407103,21322.68132734
20140916,0.00000800,0.00000874,0.00000800,0.00000801,0.44135386,54313.15961264
20140917,0.00000801,0.00000899,0.00000801,0.00000802,0.23343643,27820.90999101
20140918,0.00000817,0.00000893,0.00000801,0.00000804,0.17396845,21151.39614981
20140919,0.00000843,0.00000893,0.00000801,0.00000804,0.16672994,20487.04657995
20140920,0.00000804,0.00000886,0.00000800,0.00000800,0.16880849,20975.86499897
20140921,0.00000800,0.00000848,0.00000800,0.00000800,0.15239080,18902.28854702
20140922,0.00000800,0.00000840,0.00000800,0.00000812,0.19643899,24215.49515386
20140923,0.00000812,0.00000950,0.00000705,0.00000812,0.44194933,52265.09022005
20140924,0.00000812,0.00000812,0.00000710,0.00000749,0.27065945,34075.26850147
20140925,0.00000708,0.00000900,0.00000703,0.00000800,0.21217286,26989.91330330
20140926,0.00000811,0.00000812,0.00000700,0.00000701,2.48510005,353684.98519351
20140927,0.00000701,0.00000755,0.00000701,0.00000725,0.31872357,43089.98471691
20140928,0.00000725,0.00000750,0.00000700,0.00000720,3.65333710,519533.11233914
20140929,0.00000720,0.00000720,0.00000710,0.00000715,0.14073180,19808.65167120
20140930,0.00000715,0.00000715,0.00000704,0.00000705,0.20798286,29481.54978155
20141001,0.00000705,0.00000725,0.00000700,0.00000700,0.61724831,87646.53924083
20141002,0.00000700,0.00000721,0.00000700,0.00000721,0.10634562,15020.44133660
20141003,0.00000721,0.00000800,0.00000721,0.00000721,1.16670168,154950.75339768
20141004,0.00000721,0.00000735,0.00000702,0.00000702,0.21868855,30423.72642557
20141005,0.00000702,0.00000740,0.00000702,0.00000705,0.18540320,25694.04143075
20141006,0.00000705,0.00000740,0.00000702,0.00000710,0.20012152,27923.81078344
20141007,0.00000710,0.00000820,0.00000710,0.00000721,0.54714531,71587.68092223
20141008,0.00000722,0.00000800,0.00000721,0.00000730,0.21474405,28221.68510627
20141009,0.00000730,0.00000775,0.00000721,0.00000738,0.24012838,32263.88149334
20141010,0.00000738,0.00000824,0.00000725,0.00000760,0.48651479,63245.78447643
20141011,0.00000760,0.00001005,0.00000722,0.00000901,1.49729410,175427.04283806
20141012,0.00000901,0.00000909,0.00000882,0.00000882,0.37123591,41427.03819635
20141013,0.00000882,0.00000950,0.00000801,0.00000861,0.80839811,90432.68873703
20141014,0.00000861,0.00001048,0.00000860,0.00001002,1.54914894,155508.75533840
20141015,0.00001002,0.00001200,0.00001000,0.00001176,3.28216105,291030.07673335
20141016,0.00001125,0.00001191,0.00001071,0.00001150,1.64303034,143269.82630222
20141017,0.00001151,0.00001180,0.00001074,0.00001074,0.36908707,32254.70398587
20141018,0.00001074,0.00001286,0.00001074,0.00001265,1.07840927,90182.01581593
20141019,0.00001264,0.00001338,0.00001249,0.00001338,1.79883813,139152.59018083
20141020,0.00001338,0.00001339,0.00001300,0.00001338,0.35313025,26558.96833572
20141021,0.00001313,0.00001918,0.00001311,0.00001700,7.79828182,473072.02378584
20141022,0.00001688,0.00001859,0.00001611,0.00001709,2.46624204,140058.80457806
20141023,0.00001709,0.00001916,0.00001706,0.00001807,0.50560133,28049.10430981
20141024,0.00001807,0.00001917,0.00001728,0.00001801,0.55729468,30205.18592756
20141025,0.00001801,0.00004250,0.00001801,0.00002700,13.13600038,502169.30807151
20141026,0.00002700,0.00003200,0.00002502,0.00002502,2.35222904,86121.32513038
20141027,0.00002502,0.00002970,0.00002406,0.00002510,5.41068198,214092.20206721
20141028,0.00002550,0.00002625,0.00000708,0.00001261,13.70672448,768067.93378503
20141029,0.00001260,0.00002179,0.00001260,0.00001415,4.25960283,270676.61593536
20141030,0.00001450,0.00001872,0.00001377,0.00001594,0.83215091,52454.80438516
20141031,0.00001599,0.00002398,0.00001507,0.00002398,0.92227718,50415.48451081
20141101,0.00002398,0.00004302,0.00002398,0.00002989,11.63002528,345192.41005968
20141102,0.00002989,0.00004000,0.00002800,0.00003188,2.62008076,77209.89693390
20141103,0.00003205,0.00003575,0.00002790,0.00003149,6.69338965,214005.13472801
20141104,0.00002750,0.00003032,0.00002651,0.00002711,1.14328324,42596.22415141
20141105,0.00002701,0.00003100,0.00002652,0.00003100,0.28118481,10298.39939412
20141106,0.00003167,0.00003167,0.00002652,0.00002653,0.27964870,10473.69873170
20141107,0.00002653,0.00002702,0.00002600,0.00002600,0.52282938,19789.86650317
20141108,0.00002600,0.00003149,0.00002500,0.00002500,0.66900744,25959.01538800
20141109,0.00002500,0.00002662,0.00002500,0.00002550,0.49188269,19472.04987327
20141110,0.00002501,0.00002503,0.00002150,0.00002167,0.72131871,28848.25970540
20141111,0.00002386,0.00002418,0.00002111,0.00002226,0.54075313,24459.29913802
20141112,0.00002194,0.00003060,0.00002112,0.00002400,0.31372199,13408.13601944
20141113,0.00002200,0.00002550,0.00001600,0.00001600,0.84127055,40447.98829458
20141114,0.00001799,0.00002590,0.00001730,0.00001740,0.15209142,8641.15128648
20141115,0.00001740,0.00001940,0.00001730,0.00001731,0.27125517,15242.95196846
20141116,0.00001731,0.00001751,0.00001601,0.00001601,0.78092757,45155.86067917
20141117,0.00001533,0.00001687,0.00001505,0.00001520,0.26912115,17260.85002490
20141118,0.00001521,0.00001677,0.00001520,0.00001521,0.36299941,22652.04624609
20141119,0.00001676,0.00001687,0.00001526,0.00001530,0.29697601,18217.60267474
20141120,0.00001549,0.00001732,0.00001531,0.00001533,0.28489380,17362.29730822
20141121,0.00001532,0.00001636,0.00001520,0.00001537,0.28770547,18760.98124521
20141122,0.00001531,0.00001650,0.00001522,0.00001545,0.34221542,21562.71734391
20141123,0.00001538,0.00001640,0.00001521,0.00001544,0.36830791,23015.43230273
20141124,0.00001544,0.00001610,0.00001520,0.00001520,0.72882609,47736.29194370
20141125,0.00001530,0.00001555,0.00001520,0.00001520,0.38582609,25171.55686963
20141126,0.00001520,0.00001550,0.00001520,0.00001521,0.30231637,19702.02877701
20141127,0.00001525,0.00001638,0.00001520,0.00001567,0.39921237,25471.02221536
20141128,0.00001581,0.00001650,0.00001540,0.00001540,0.57308952,35782.06623491
20141129,0.00001540,0.00002000,0.00001540,0.00001786,0.73364497,43142.51156433
20141130,0.00001790,0.00001998,0.00001710,0.00001710,0.39927933,21812.62576399
20141201,0.00001711,0.00001900,0.00001708,0.00001717,0.09658212,5421.84641950
20141202,0.00001741,0.00001895,0.00001706,0.00001797,0.44849940,25073.45715414
20141203,0.00001777,0.00001904,0.00001753,0.00001900,0.42692847,23032.00146700
20141204,0.00001861,0.00001920,0.00001780,0.00001813,0.35183917,18756.87756491
20141205,0.00001813,0.00001920,0.00001810,0.00001901,0.42973047,22934.26351292
20141206,0.00001900,0.00001918,0.00001850,0.00001850,0.34386058,18101.97240805
