[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160118,0.00001297,0.00001299,0.00001099,0.00001195,0.10748105,8735.05741483
20160119,0.00001194,0.00001282,0.00000660,0.00000777,0.85413075,93796.35365424
20160120,0.00000782,0.00000910,0.00000518,0.00000610,0.79705328,109361.65202948
20160121,0.00000704,0.00000729,0.00000491,0.00000519,0.47875600,75854.34755558
20160122,0.00000745,0.00000745,0.00000493,0.00000493,0.26195177,47662.53283002
20160123,0.00000493,0.00000493,0.00000491,0.00000491,0.21081525,42901.55736051
20160124,0.00000491,0.00000999,0.00000310,0.00000354,0.87036718,129799.56479941
20160125,0.00000356,0.00000898,0.00000356,0.00000403,0.11668355,24992.77864611
20160126,0.00000403,0.00000853,0.00000350,0.00000410,0.46544116,97897.45446278
20160127,0.00000411,0.00000650,0.00000350,0.00000379,0.34725788,81414.98090573
20160128,0.00000379,0.00000818,0.00000377,0.00000573,0.96223678,186960.57471422
20160129,0.00000575,0.00002250,0.00000548,0.00002197,7.87889110,692664.49397310
20160130,0.00002053,0.00003851,0.00001201,0.00001900,19.75729833,850720.10076379
20160131,0.00001900,0.00001963,0.00001431,0.00001590,3.67716648,228281.50675009
20160201,0.00001588,0.00001871,0.00000821,0.00001414,3.48338164,236729.54827584
20160202,0.00001758,0.00002114,0.00001150,0.00001334,1.44266892,97235.77795330
20160203,0.00001356,0.00001892,0.00001320,0.00001331,0.91474421,66312.66017710
20160204,0.00001331,0.00001331,0.00001001,0.00001089,0.91990011,74375.10382302
20160205,0.00001100,0.00001249,0.00000972,0.00000972,0.75492139,67696.46748614
20160206,0.00000972,0.00001165,0.00000871,0.00000882,0.60900035,63204.27440757
20160207,0.00000882,0.00000968,0.00000553,0.00000606,1.33312445,163558.36430831
20160208,0.00000606,0.00000879,0.00000605,0.00000624,0.83900954,126817.14821883
20160209,0.00000625,0.00000683,0.00000577,0.00000580,0.65428357,104908.75395049
20160210,0.00000580,0.00000850,0.00000526,0.00000538,0.73848736,124623.42623840
20160211,0.00000539,0.00000599,0.00000530,0.00000531,0.78586347,143493.79037711
20160212,0.00000522,0.00000603,0.00000427,0.00000482,0.67670168,134119.52474989
20160213,0.00000482,0.00000631,0.00000386,0.00000449,1.92589127,407819.90428274
20160214,0.00000449,0.00000600,0.00000401,0.00000413,0.50264511,105079.46945998
20160215,0.00000412,0.00000457,0.00000122,0.00000375,0.70901647,207808.89643130
20160216,0.00000376,0.00000465,0.00000300,0.00000331,0.66549841,187713.85586858
20160217,0.00000331,0.00000395,0.00000287,0.00000287,0.27298589,85222.13396919
20160218,0.00000287,0.00000497,0.00000256,0.00000338,0.74679335,232942.02255769
20160219,0.00000288,0.00000500,0.00000287,0.00000410,0.58236031,158515.38637089
20160220,0.00000411,0.00000500,0.00000310,0.00000402,0.53567876,132402.94032057
20160221,0.00000402,0.00000497,0.00000336,0.00000351,0.44718686,106023.59461401
20160222,0.00000351,0.00000353,0.00000334,0.00000335,0.19888129,58162.24432937
