[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160106,0.80000000,0.80000000,0.00037673,0.00045000,0.25852394,472.27387950
20160107,0.00045000,0.00046957,0.00018001,0.00026499,6.67430770,16367.59178331
20160108,0.00023101,0.00026489,0.00023101,0.00025991,2.74898844,10654.96526300
20160109,0.00025991,0.00037990,0.00024004,0.00028000,3.65312979,13007.21718052
20160110,0.00030474,0.00038995,0.00027500,0.00034443,10.10231967,32334.59531672
20160111,0.00034419,0.00049000,0.00030000,0.00040037,3.82023572,10256.62268271
20160112,0.00033447,0.00045733,0.00032136,0.00034778,24.22534507,61376.40241927
20160113,0.00039999,0.00041962,0.00034781,0.00039000,10.55634103,26731.62525297
20160114,0.00039285,0.00066076,0.00038014,0.00066076,61.73077664,115069.78903253
20160115,0.00066172,0.00078000,0.00056002,0.00074199,54.04109083,78013.02275657
20160116,0.00070336,0.00073900,0.00053000,0.00062800,19.77443019,30771.73040552
20160117,0.00063000,0.00068460,0.00052283,0.00052283,9.41986932,16436.94930871
20160118,0.00055250,0.00057461,0.00044503,0.00045001,18.89470943,37103.06977211
20160119,0.00045014,0.00049955,0.00043629,0.00044749,5.47952684,11825.47664947
20160120,0.00043782,0.00043782,0.00032500,0.00036934,22.69662275,60784.89654090
20160121,0.00034097,0.00039729,0.00033413,0.00039000,4.16695268,11169.19852793
20160122,0.00037337,0.00037968,0.00028600,0.00031353,8.77819742,27061.29065733
20160123,0.00031353,0.00034188,0.00027426,0.00034138,17.03953506,58802.11740953
20160124,0.00034137,0.00036779,0.00030201,0.00030620,4.06643179,12334.41211245
20160125,0.00030716,0.00040000,0.00028963,0.00039999,8.70809861,25176.89305942
20160126,0.00040000,0.00075882,0.00039900,0.00062776,35.40933635,59498.15235930
20160127,0.00062777,0.00069000,0.00048077,0.00059398,12.56978830,21578.16972564
20160128,0.00056301,0.00063000,0.00051000,0.00063000,6.24981209,11261.64389961
20160129,0.00062748,0.00067971,0.00051026,0.00065693,15.48039793,23587.25184519
20160130,0.00067531,0.00069501,0.00052668,0.00066001,21.12088774,33673.10699099
20160131,0.00069760,0.00070000,0.00065000,0.00067613,3.68246267,5347.71364291
20160201,0.00067614,0.00068518,0.00038000,0.00049993,20.06660760,40756.07173307
20160202,0.00046777,0.00048772,0.00039000,0.00044750,8.05544760,18500.77850504
20160203,0.00046517,0.00067560,0.00044812,0.00053663,9.62472062,16886.86059075
20160204,0.00053663,0.00058949,0.00051000,0.00051000,5.52665256,9982.33056511
20160205,0.00050830,0.00054007,0.00045534,0.00048822,2.70457058,5707.01389625
20160206,0.00047953,0.00056897,0.00045533,0.00056897,3.76501688,6997.67418580
20160207,0.00055262,0.00055999,0.00050350,0.00053658,3.64646125,7009.21523920
20160208,0.00053652,0.00053652,0.00046919,0.00052499,2.08257786,4258.83870704
20160209,0.00052497,0.00052639,0.00048000,0.00049000,7.18154397,14464.76363788
20160210,0.00048824,0.00051000,0.00047550,0.00051000,3.72458235,7505.34946961
20160211,0.00051249,0.00065454,0.00048011,0.00051324,18.67220442,34819.04953214
20160212,0.00052376,0.00065351,0.00050169,0.00062999,15.78873187,26244.97022219
20160213,0.00060562,0.00063504,0.00052501,0.00053392,4.27658050,7499.11724466
20160214,0.00054193,0.00060621,0.00054191,0.00058321,0.18442626,320.31731701
20160215,0.00057320,0.00063504,0.00053957,0.00060885,12.57963814,22032.12155743
20160216,0.00061965,0.00065000,0.00056600,0.00065000,13.04031621,21938.11061249
20160217,0.00062363,0.00067500,0.00056603,0.00067500,16.03873965,25113.45838018
20160218,0.00063657,0.00067930,0.00056600,0.00059988,5.94916908,9303.14691250
20160219,0.00061014,0.00061728,0.00052000,0.00054558,6.81672662,12435.89454288
20160220,0.00055116,0.00059000,0.00052136,0.00055853,7.52257094,13411.98934635
20160221,0.00056955,0.00057218,0.00053004,0.00053005,1.42173037,2592.20911494
20160222,0.00053025,0.00054940,0.00053004,0.00053004,2.13616664,4027.93591059
20160223,0.00054487,0.00058500,0.00051221,0.00054664,9.14477398,16570.43430659
20160224,0.00054669,0.00062000,0.00051000,0.00054745,4.69791938,8445.71641408
20160225,0.00054669,0.00054669,0.00051005,0.00052000,0.66542925,1279.61959131
20160226,0.00051738,0.00052414,0.00045000,0.00050468,3.76699972,7757.05180087
20160227,0.00050461,0.00050461,0.00047056,0.00050460,2.03711095,4157.64810595
20160228,0.00048519,0.00051022,0.00047056,0.00047056,1.17990450,2473.81710101
20160229,0.00047056,0.00050711,0.00044772,0.00047148,2.29461713,4854.43247502
20160301,0.00048005,0.00051028,0.00045000,0.00046124,3.22373671,6868.38612245
20160302,0.00049994,0.00050252,0.00042115,0.00046212,5.76398971,12866.95273002
20160303,0.00046252,0.00051472,0.00044201,0.00044208,3.50642484,7625.93400617
20160304,0.00045404,0.00049212,0.00045391,0.00048400,2.21919658,4613.99960762
20160305,0.00048400,0.00048400,0.00042116,0.00046020,4.96344645,11062.49107154
20160306,0.00045043,0.00059920,0.00043955,0.00050699,16.53244387,31786.47722150
20160307,0.00049690,0.00059950,0.00046990,0.00059950,3.72997483,6926.61522924
