[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140315,0.00000329,0.00001100,0.00000001,0.00000346,0.06890722,13627.50000000
20140316,0.00000346,0.00000530,0.00000220,0.00000220,0.52461925,159273.18571365
20140317,0.00000225,0.00000528,0.00000220,0.00000509,0.13187676,29086.62728813
20140318,0.00000222,0.00000488,0.00000220,0.00000419,0.04446457,11116.59841054
20140319,0.00000220,0.00000450,0.00000220,0.00000450,0.11574598,27469.00067445
20140320,0.00000351,0.00000543,0.00000351,0.00000543,0.11551155,26935.05411736
20140321,0.00000550,0.00000720,0.00000351,0.00000720,0.18614955,35764.38213987
20140322,0.00000353,0.00000500,0.00000353,0.00000356,0.02782156,6852.94752852
20140323,0.00000500,0.00000500,0.00000358,0.00000358,0.01828655,5097.87087670
20140324,0.00000361,0.00000361,0.00000356,0.00000356,0.03474374,9716.48452483
20140325,0.00000356,0.00000366,0.00000353,0.00000366,0.08873761,24374.78528401
20140326,0.00000366,0.00000444,0.00000366,0.00000366,0.15100837,40011.72106316
20140327,0.00000366,0.00000444,0.00000366,0.00000405,0.12390727,32135.52712446
20140328,0.00000368,0.00000450,0.00000366,0.00000450,0.83390177,225811.76114930
20140329,0.00000489,0.00000489,0.00000366,0.00000367,0.09744847,26579.55691393
20140330,0.00000367,0.00000460,0.00000366,0.00000371,0.09338615,24064.23812944
20140331,0.00000371,0.00000400,0.00000301,0.00000313,0.15344339,42281.54561026
20140401,0.00000315,0.00000390,0.00000315,0.00000390,0.10982792,30297.28017929
20140402,0.00000390,0.00000400,0.00000340,0.00000358,0.16540904,43849.74537130
20140403,0.00000366,0.00000366,0.00000301,0.00000301,0.03435440,10800.65332092
20140404,0.00000396,0.00000520,0.00000290,0.00000451,0.13944984,38774.85237707
20140405,0.00000550,0.00000950,0.00000500,0.00000900,0.24650695,38198.24619139
20140406,0.00000671,0.00001350,0.00000671,0.00000702,0.94708079,98637.81316113
20140407,0.00000715,0.00000990,0.00000482,0.00000484,0.13398473,20129.64414875
20140408,0.00000850,0.00000850,0.00000551,0.00000575,0.07548702,10129.15243552
20140409,0.00000558,0.00000700,0.00000555,0.00000555,0.23495790,37804.14201438
20140410,0.00000555,0.00000555,0.00000412,0.00000412,0.09773878,19467.27254817
20140411,0.00000544,0.00000629,0.00000373,0.00000629,0.31833096,57184.28528793
20140412,0.00000501,0.00000693,0.00000455,0.00000693,0.21988167,37931.51574345
20140413,0.00000693,0.00000693,0.00000530,0.00000535,0.03940785,7224.89977044
20140414,0.00000565,0.00000724,0.00000565,0.00000724,0.14020759,22314.43527997
20140415,0.00000724,0.00000724,0.00000601,0.00000601,0.39972930,62025.72044803
20140416,0.00000602,0.00000602,0.00000601,0.00000601,0.19473722,32401.94686203
20140417,0.00000602,0.00000799,0.00000602,0.00000799,0.01583287,2146.70788160
20140418,0.00000604,0.00000604,0.00000601,0.00000602,0.23186163,38540.31776122
20140419,0.00000602,0.00000798,0.00000601,0.00000797,0.13856463,22061.14146796
20140420,0.00000797,0.00000891,0.00000725,0.00000726,0.12333891,15274.18257000
20140421,0.00000725,0.00000725,0.00000601,0.00000601,0.12582990,20902.54678480
20140422,0.00000602,0.00000604,0.00000602,0.00000603,0.00547193,907.63198470
20140423,0.00000603,0.00000900,0.00000601,0.00000603,0.45820268,61938.63891273
20140424,0.00000621,0.00000661,0.00000499,0.00000645,2.58805027,431232.47679070
20140425,0.00000631,0.00000660,0.00000631,0.00000660,0.07588198,11718.67952074
20140426,0.00000660,0.00000660,0.00000501,0.00000505,0.05893670,9033.97609023
20140427,0.00000506,0.00000506,0.00000502,0.00000502,0.01940301,3844.00000000
20140428,0.00000512,0.00000687,0.00000466,0.00000466,0.03978315,8460.72974955
20140429,0.00000471,0.00000471,0.00000350,0.00000350,0.13808876,29630.72456494
20140430,0.00000460,0.00000471,0.00000451,0.00000451,0.01242728,2720.85698182
20140501,0.00000451,0.00000451,0.00000451,0.00000451,0.00022550,50.00000000
20140503,0.00000420,0.00000420,0.00000420,0.00000420,0.01559659,3713.47345921
20140504,0.00000420,0.00000540,0.00000406,0.00000540,0.14897643,35401.67180654
20140505,0.00000410,0.00000410,0.00000410,0.00000410,0.00225727,550.55477970
20140506,0.00000410,0.00000410,0.00000351,0.00000351,0.04390543,10774.79847463
20140508,0.00000355,0.00000355,0.00000205,0.00000255,0.00848423,3806.32333319
20140509,0.00000306,0.00000306,0.00000306,0.00000306,0.03786824,12375.24232210
20140510,0.00000320,0.00000320,0.00000307,0.00000310,0.00241570,773.36201290
20140511,0.00000306,0.00000315,0.00000306,0.00000315,0.00020077,65.16627589
20140512,0.00000307,0.00000307,0.00000230,0.00000230,0.04329686,14610.89648961
20140513,0.00000320,0.00000320,0.00000205,0.00000205,0.00165991,649.13022037
20140514,0.00000210,0.00000210,0.00000210,0.00000210,0.00000742,3.53424176
20140515,0.00000210,0.00000210,0.00000210,0.00000210,0.00917924,4371.06832918
20140516,0.00000239,0.00000239,0.00000230,0.00000230,0.00725869,3077.49756045
20140517,0.00000206,0.00000206,0.00000205,0.00000205,0.00596205,2905.66186868
20140518,0.00000205,0.00000420,0.00000110,0.00000117,0.00070443,371.73979256
20140519,0.00000137,0.00000137,0.00000137,0.00000137,0.00017851,130.29916224
20140520,0.00000145,0.00000145,0.00000130,0.00000131,0.01700781,12880.98106585
20140521,0.00000115,0.00000134,0.00000115,0.00000134,0.00048891,367.26486856
20140522,0.00000116,0.00000116,0.00000099,0.00000099,0.02055025,19615.24990000
20140523,0.00000089,0.00000091,0.00000089,0.00000091,0.00903559,10149.00000000
20140524,0.00000136,0.00000136,0.00000089,0.00000110,0.00702734,6961.65037888
20140525,0.00000089,0.00000089,0.00000060,0.00000065,0.00192671,2241.73851391
20140526,0.00000065,0.00000100,0.00000065,0.00000100,0.00026471,334.63498490
20140527,0.00000089,0.00000089,0.00000081,0.00000081,0.00092942,1136.16954023
20140528,0.00000080,0.00000080,0.00000080,0.00000080,0.00357319,4466.48370500
20140529,0.00000083,0.00000087,0.00000080,0.00000087,0.00207163,2422.24122419
20140530,0.00000087,0.00000088,0.00000082,0.00000086,0.00620641,7453.00000000
20140531,0.00000089,0.00000095,0.00000089,0.00000091,0.00824166,9178.74598701
20140601,0.00000090,0.00000090,0.00000060,0.00000060,0.00465137,5252.28219550
20140602,0.00000070,0.00000070,0.00000065,0.00000066,0.01875158,28171.99896173
20140603,0.00000068,0.00000080,0.00000020,0.00000069,0.01003815,18977.91806258
20140604,0.00000071,0.00000071,0.00000025,0.00000062,0.00104627,1882.50551960
20140605,0.00000066,0.00000066,0.00000059,0.00000066,0.00809461,13527.92491150
20140606,0.00000060,0.00000060,0.00000060,0.00000060,0.00003009,50.14906154
20141224,0.00000213,0.00000213,0.00000140,0.00000142,0.05994039,36036.86645693
20141225,0.00000142,0.00000180,0.00000115,0.00000128,0.15180869,118282.59305820
20141226,0.00000111,0.00000179,0.00000111,0.00000179,0.21742786,134132.61111291
20141227,0.00000121,0.00014900,0.00000105,0.00000131,0.49006140,387518.09939112
20141228,0.00000131,0.00000151,0.00000119,0.00000131,1.47024532,1029507.18463610
20141229,0.00000119,0.00000132,0.00000118,0.00000127,0.21953114,175535.12435875
20141230,0.00000127,0.00000136,0.00000110,0.00000111,0.29716487,261787.22878160
20141231,0.00000121,0.00000121,0.00000100,0.00000111,0.06734681,63624.91979592
20150101,0.00000100,0.00000109,0.00000085,0.00000092,0.13098547,135276.69144685
20150102,0.00000102,0.00000102,0.00000102,0.00000102,0.00049980,490.00000000
20150103,0.00000101,0.00000102,0.00000084,0.00000084,0.14364297,151911.49922455
20150104,0.00000085,0.00000086,0.00000081,0.00000081,0.01953443,23379.66717243
20150105,0.00000099,0.00000099,0.00000090,0.00000099,0.37337576,406945.09978787
20150106,0.00000088,0.00000118,0.00000086,0.00000109,0.17559678,175105.74976385
20150107,0.00000100,0.00000101,0.00000100,0.00000101,0.00358481,3577.75172529
20150108,0.00000108,0.00000108,0.00000106,0.00000106,0.01914754,17875.05917468
20150109,0.00000106,0.00000106,0.00000090,0.00000090,0.01560617,16934.41441604
20150110,0.00000090,0.00000097,0.00000087,0.00000088,0.25933552,282465.70213451
20150111,0.00000087,0.00000090,0.00000087,0.00000090,0.19363627,222245.79010280
20150112,0.00000091,0.00000100,0.00000089,0.00000089,0.13746032,143466.58361627
20150113,0.00000088,0.00000096,0.00000078,0.00000093,0.43488116,522469.86986754
20150114,0.00000095,0.00000110,0.00000088,0.00000088,0.05881745,60092.11119234
20150115,0.00000088,0.00000105,0.00000080,0.00000105,0.19604564,216251.28928790
20150116,0.00000102,0.00000114,0.00000102,0.00000103,0.63726925,597860.29004515
20150117,0.00000101,0.00000119,0.00000095,0.00000103,0.31581454,296366.65288616
20150118,0.00000109,0.00000115,0.00000106,0.00000109,0.04761695,43355.36257270
20150119,0.00000109,0.00000124,0.00000107,0.00000124,0.13227216,112574.70610230
20150120,0.00000108,0.00000114,0.00000108,0.00000113,0.07103312,65351.29843546
20150121,0.00000108,0.00000115,0.00000108,0.00000115,0.09312410,82535.45523840
20150122,0.00000119,0.00000164,0.00000119,0.00000120,0.17890959,130490.18440834
20150123,0.00000121,0.00000121,0.00000120,0.00000120,0.01471528,12254.38924006
20150125,0.00000130,0.00000131,0.00000120,0.00000120,0.58588235,485141.72707823
20150126,0.00000115,0.00000115,0.00000100,0.00000103,0.22456180,209516.07081335
20150127,0.00000110,0.00000111,0.00000104,0.00000105,0.01496717,13639.34567568
20150128,0.00000105,0.00000106,0.00000102,0.00000102,0.09383112,91033.62556611
20150129,0.00000113,0.00000114,0.00000104,0.00000104,0.04382498,39091.42490294
20150130,0.00000104,0.00000116,0.00000102,0.00000102,0.08439198,79966.65105916
20150131,0.00000104,0.00000113,0.00000104,0.00000104,0.08942451,83344.29478785
20150201,0.00000110,0.00000119,0.00000109,0.00000119,0.30691465,262997.30273849
20150202,0.00000111,0.00000118,0.00000111,0.00000118,0.02983717,26236.52743972
20150203,0.00000107,0.00000119,0.00000107,0.00000118,0.06023815,52057.77796468
20150204,0.00000119,0.00000119,0.00000111,0.00000111,0.02234660,18820.86681057
20150205,0.00000111,0.00000111,0.00000110,0.00000110,0.05054411,45930.61349042
20150206,0.00000110,0.00000120,0.00000105,0.00000105,0.03474526,30731.72891217
20150207,0.00000105,0.00000108,0.00000104,0.00000104,0.00416151,3935.70575853
20150208,0.00000105,0.00000108,0.00000102,0.00000105,0.11642021,109161.19123264
20150209,0.00000105,0.00000105,0.00000100,0.00000100,0.02037876,19879.97000000
20150210,0.00000100,0.00000100,0.00000096,0.00000100,0.01752707,17754.28756703
20150211,0.00000100,0.00000109,0.00000100,0.00000101,0.12677433,122463.57993436
20150212,0.00000100,0.00000113,0.00000100,0.00000113,0.12641800,119319.04617560
20150213,0.00000112,0.00000124,0.00000093,0.00000121,0.09540428,89000.17155791
20150214,0.00000099,0.00000132,0.00000092,0.00000095,0.12907097,138754.13330389
20150215,0.00000095,0.00000095,0.00000086,0.00000086,0.06540303,72626.18604089
20150216,0.00000085,0.00000094,0.00000078,0.00000094,0.14415081,173361.81381763
20150217,0.00000095,0.00000097,0.00000093,0.00000096,0.10327369,107963.21906077
20150218,0.00000096,0.00000097,0.00000096,0.00000097,0.03686696,38146.50997687
20150219,0.00000096,0.00000098,0.00000090,0.00000091,0.03993241,41937.50538472
20150221,0.00000091,0.00000091,0.00000084,0.00000084,0.07769537,90937.20140672
20150222,0.00000098,0.00000098,0.00000067,0.00000075,0.05890112,71394.06375014
20150223,0.00000098,0.00000117,0.00000097,0.00000097,0.02296898,20698.01994906
20150224,0.00000116,0.00000120,0.00000095,0.00000096,0.11439593,102843.25247871
20150225,0.00000095,0.00000095,0.00000081,0.00000081,0.00066279,725.55966999
20150226,0.00000101,0.00000101,0.00000095,0.00000095,0.00986808,10008.00000000
20150227,0.00000095,0.00000096,0.00000082,0.00000082,0.07969376,84095.73490386
20150228,0.00000085,0.00000099,0.00000051,0.00000085,0.13695187,173740.68146939
20150301,0.00000093,0.00000094,0.00000093,0.00000094,0.05228405,55665.33153061
20150302,0.00000094,0.00000111,0.00000094,0.00000110,0.10024959,97104.58699413
20150303,0.00000110,0.00000130,0.00000094,0.00000094,0.22153622,202505.30897564
