[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140512,0.00001000,0.00001000,0.00000150,0.00000150,0.21667215,140764.77306733
20140513,0.00000023,0.00000141,0.00000019,0.00000079,1.86104231,3608045.59282178
20140514,0.00000079,0.00000155,0.00000039,0.00000050,3.94089840,4793906.18103304
20140515,0.00000051,0.00000052,0.00000026,0.00000026,1.43939951,3740384.73527697
20140516,0.00000028,0.00000041,0.00000026,0.00000039,0.48620166,1428697.75893901
20140517,0.00000048,0.00000051,0.00000039,0.00000044,0.17772286,393040.19764269
20140518,0.00000043,0.00000050,0.00000035,0.00000035,0.40319611,989356.12145542
20140519,0.00000037,0.00000045,0.00000029,0.00000029,0.55238752,1560648.68957843
20140520,0.00000030,0.00000047,0.00000025,0.00000030,0.36548124,995078.62842420
20140521,0.00000030,0.00000034,0.00000024,0.00000034,0.31816400,1268338.23280110
20140522,0.00000025,0.00000054,0.00000021,0.00000024,0.33057660,1290211.24182946
20140523,0.00000022,0.00000054,0.00000012,0.00000053,0.53501831,1557272.00903458
20140524,0.00000053,0.00000053,0.00000026,0.00000048,0.20555845,460878.70234700
20140525,0.00000026,0.00000027,0.00000021,0.00000021,0.25970429,1115008.86152043
20140526,0.00000021,0.00000041,0.00000003,0.00000041,0.30466430,1045375.74755726
20140527,0.00000030,0.00000030,0.00000013,0.00000013,0.00517940,21380.18146000
20140528,0.00000020,0.00000020,0.00000014,0.00000014,0.03884815,264955.91899262
20140529,0.00000014,0.00000024,0.00000013,0.00000014,0.10505301,668640.15173000
20140530,0.00000014,0.00000015,0.00000014,0.00000015,0.01802154,126932.47694717
20140531,0.00000024,0.00000029,0.00000016,0.00000016,0.14472675,572936.49658800
20140601,0.00000016,0.00000033,0.00000016,0.00000033,0.12093342,444535.11449654
20140602,0.00000029,0.00000029,0.00000020,0.00000020,0.05401162,262763.20135636
20140603,0.00000020,0.00000023,0.00000020,0.00000023,0.00047000,2200.00000000
20140604,0.00000020,0.00000024,0.00000020,0.00000024,0.02584681,128834.58548000
20140605,0.00000029,0.00000030,0.00000015,0.00000015,0.01321937,47226.32016821
20140606,0.00000015,0.00000027,0.00000007,0.00000027,0.10499318,601236.37934605
20140607,0.00000019,0.00000026,0.00000016,0.00000026,0.09790511,497916.07254500
20140608,0.00000021,0.00000037,0.00000020,0.00000030,0.48573404,1590161.95003782
20140609,0.00000033,0.00000034,0.00000025,0.00000027,0.13219678,484432.02444371
20140610,0.00000025,0.00000034,0.00000019,0.00000027,0.20928136,951542.14161086
20140611,0.00000028,0.00000114,0.00000028,0.00000062,3.84829163,6784073.38657254
20140612,0.00000062,0.00000065,0.00000038,0.00000046,1.80488721,3446880.89057717
20140613,0.00000059,0.00000059,0.00000035,0.00000055,0.52496165,1289602.43022229
20140614,0.00000036,0.00000052,0.00000024,0.00000039,0.45255849,1507498.14648680
20140615,0.00000037,0.00000055,0.00000029,0.00000031,0.62662092,1402884.35819112
20140616,0.00000049,0.00000049,0.00000028,0.00000040,0.48660740,1575555.67805050
20140617,0.00000036,0.00000050,0.00000027,0.00000041,0.38852318,979108.78587484
20140618,0.00000037,0.00000038,0.00000027,0.00000036,0.07678031,215197.64464338
20140619,0.00000028,0.00000054,0.00000027,0.00000036,1.13996979,2635286.40826510
20140620,0.00000036,0.00000049,0.00000032,0.00000046,0.60596942,1498909.11988413
20140621,0.00000047,0.00000061,0.00000040,0.00000043,2.03986530,3965741.73818482
20140622,0.00000043,0.00000048,0.00000027,0.00000048,0.87753686,2207279.06205573
20140623,0.00000047,0.00000159,0.00000032,0.00000107,11.25790514,14861154.64179665
20140624,0.00000109,0.00000340,0.00000085,0.00000195,69.53376888,38609807.68249276
20140625,0.00000202,0.00000298,0.00000152,0.00000190,44.77317661,21469028.77118622
20140626,0.00000190,0.00000209,0.00000100,0.00000102,16.86615015,11177364.67863831
20140627,0.00000105,0.00000139,0.00000060,0.00000104,4.14963477,3999253.11320837
20140628,0.00000081,0.00000120,0.00000068,0.00000118,2.29888609,2474289.70181175
20140629,0.00000120,0.00000122,0.00000083,0.00000083,1.71137610,1756509.47366806
20140630,0.00000071,0.00000087,0.00000031,0.00000087,1.90207194,2900081.04734397
20140701,0.00000087,0.00000087,0.00000056,0.00000079,0.78002595,1118925.49482301
20140702,0.00000074,0.00000080,0.00000057,0.00000060,0.72933105,1018026.23930996
20140703,0.00000065,0.00000086,0.00000060,0.00000084,0.95854057,1292469.19155530
20140704,0.00000077,0.00000083,0.00000047,0.00000065,1.43696906,2399693.29027416
20140705,0.00000050,0.00000105,0.00000033,0.00000083,1.89291409,2378668.59115876
20140706,0.00000080,0.00000100,0.00000060,0.00000100,2.50450472,2942381.74258328
20140707,0.00000104,0.00000115,0.00000084,0.00000102,1.37157400,1321900.30237862
20140708,0.00000100,0.00000158,0.00000096,0.00000106,6.88343309,6091896.34318425
20140709,0.00000108,0.00000140,0.00000060,0.00000070,5.79813823,5641423.15081014
20140710,0.00000087,0.00000125,0.00000061,0.00000099,4.18549166,4610906.51410969
20140711,0.00000102,0.00000104,0.00000065,0.00000072,0.26640916,330142.88430296
20140712,0.00000072,0.00000099,0.00000072,0.00000076,0.06082338,68318.96755162
20140713,0.00000085,0.00000100,0.00000071,0.00000085,0.59652222,676547.75438343
20140714,0.00000085,0.00000096,0.00000073,0.00000081,0.61514536,787181.47586343
