[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140510,0.00007480,0.00019500,0.00002800,0.00005500,1.11619612,16048.41521282
20140511,0.00005500,0.00012222,0.00000401,0.00000401,7.64169721,824410.20685329
20140512,0.00000402,0.00000402,0.00000151,0.00000180,9.27022171,5120427.07127449
20140513,0.00000180,0.00000304,0.00000150,0.00000169,16.33019631,8459830.94686879
20140514,0.00000180,0.00000180,0.00000083,0.00000100,11.04557687,8977255.97539014
20140515,0.00000101,0.00000103,0.00000021,0.00000057,5.30878349,8481739.02596266
20140516,0.00000048,0.00000082,0.00000046,0.00000052,3.71028923,6851410.14776225
20140517,0.00000052,0.00000080,0.00000035,0.00000043,3.31388659,6975460.81792049
20140518,0.00000043,0.00000094,0.00000040,0.00000081,5.42109532,8569948.73299942
20140519,0.00000082,0.00000150,0.00000080,0.00000083,26.55113822,22951510.32938241
20140520,0.00000085,0.00000110,0.00000066,0.00000068,3.94797255,4573632.02000808
20140521,0.00000068,0.00000088,0.00000031,0.00000069,2.18730582,3933307.15968031
20140522,0.00000049,0.00000069,0.00000024,0.00000040,1.39007712,3666752.09055880
20140523,0.00000040,0.00000047,0.00000022,0.00000047,0.80644909,2657516.11510336
20140524,0.00000037,0.00000042,0.00000027,0.00000029,0.91739713,2705742.44334262
20140525,0.00000033,0.00000035,0.00000021,0.00000030,0.56375167,2277019.10223397
20140526,0.00000023,0.00000031,0.00000013,0.00000029,0.48269652,2015830.95309157
20140527,0.00000030,0.00000031,0.00000015,0.00000031,0.52437186,2268413.73894247
20140528,0.00000030,0.00000033,0.00000020,0.00000025,0.29952864,1099015.93072362
20140529,0.00000025,0.00000025,0.00000015,0.00000016,0.45258721,2297814.06348573
20140530,0.00000018,0.00000018,0.00000009,0.00000011,0.18294893,1480014.83995518
20140531,0.00000012,0.00000012,0.00000011,0.00000011,0.04477173,373897.21933676
20140601,0.00000012,0.00000026,0.00000009,0.00000024,0.40326430,2367922.98707455
20140602,0.00000010,0.00000013,0.00000007,0.00000010,0.09278780,1017386.23543314
20140603,0.00000012,0.00000023,0.00000010,0.00000011,0.08276841,704685.93255006
20140604,0.00000012,0.00000021,0.00000011,0.00000020,0.09111903,577250.48705390
20140605,0.00000020,0.00000021,0.00000014,0.00000014,0.03618546,230091.25059512
20140606,0.00000014,0.00000018,0.00000013,0.00000018,0.12889946,777464.47461610
20140607,0.00000018,0.00000030,0.00000014,0.00000015,0.33717432,1498205.38089415
20140608,0.00000015,0.00000015,0.00000007,0.00000008,0.17929915,1329475.87566059
20140609,0.00000008,0.00000010,0.00000007,0.00000010,0.11053762,1128123.83357728
20140610,0.00000013,0.00000026,0.00000004,0.00000019,0.15440456,1578661.29232876
20140611,0.00000019,0.00000021,0.00000018,0.00000018,0.14428618,763891.08874999
20140612,0.00000018,0.00000021,0.00000014,0.00000019,0.18424144,995503.71775669
20140613,0.00000019,0.00000020,0.00000018,0.00000018,0.00987424,54031.93392792
20140614,0.00000018,0.00000019,0.00000014,0.00000017,0.33756318,2065861.17706562
20140615,0.00000017,0.00000018,0.00000013,0.00000013,0.33252014,2259857.77653873
20140616,0.00000013,0.00000013,0.00000011,0.00000011,0.05142859,442145.49240216
20140617,0.00000011,0.00000011,0.00000010,0.00000011,0.03416532,336852.53532543
20140618,0.00000011,0.00000017,0.00000011,0.00000013,0.06590918,469935.77026822
20140619,0.00000013,0.00000014,0.00000011,0.00000011,0.06549252,516775.95340902
20140620,0.00000011,0.00000012,0.00000008,0.00000012,0.03392260,328053.29520788
20140621,0.00000010,0.00000013,0.00000008,0.00000008,0.03403594,355822.41074534
20140622,0.00000008,0.00000009,0.00000006,0.00000006,0.03488975,466549.41575362
