[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160726,0.00100111,0.01000000,0.00100111,0.00336006,402.40959027,102720.82950717
20160727,0.00336008,0.00411931,0.00180106,0.00240004,1162.27306127,398346.50980145
20160728,0.00240011,0.00300000,0.00208100,0.00268954,631.38412926,244165.79469842
20160729,0.00264898,0.00274997,0.00235006,0.00249000,438.81004283,172899.54295467
20160730,0.00249976,0.00262586,0.00234013,0.00240985,239.75334923,97146.16218380
20160731,0.00240956,0.00301999,0.00238320,0.00285757,538.71781221,191383.92785242
20160801,0.00283096,0.00393810,0.00283096,0.00390995,1104.53502582,327157.89001865
20160802,0.00380307,0.00640000,0.00372001,0.00509989,4500.51500217,934632.47900957
20160803,0.00501060,0.00580001,0.00400000,0.00460000,2715.07964704,551246.96681973
20160804,0.00460001,0.00485000,0.00361000,0.00410000,1491.89024559,353651.57646796
20160805,0.00403772,0.00461797,0.00392000,0.00446187,485.67752633,110757.67502682
20160806,0.00449999,0.00505000,0.00434700,0.00454033,881.05821727,188836.86034083
20160807,0.00457786,0.00465717,0.00338319,0.00364387,862.55437891,221446.37835017
20160808,0.00361206,0.00403783,0.00342203,0.00369219,352.83554876,94864.31718844
20160809,0.00369219,0.00380500,0.00300000,0.00327670,801.75917111,241664.85730725
20160810,0.00327671,0.00348493,0.00268342,0.00288510,1257.21460197,415988.39265688
20160811,0.00288509,0.00330000,0.00265000,0.00312433,467.50948326,154924.31743988
20160812,0.00314175,0.00356780,0.00307664,0.00313500,675.84796344,202715.89151278
20160813,0.00315995,0.00330000,0.00309506,0.00316370,124.41563138,39572.37680406
20160814,0.00317329,0.00348601,0.00316494,0.00335911,228.13462226,68200.95307632
20160815,0.00336011,0.00354328,0.00322992,0.00327000,150.38598554,44443.76687933
20160816,0.00327200,0.00334679,0.00315379,0.00320300,119.49358901,36889.55443870
20160817,0.00320303,0.00325000,0.00298946,0.00302006,135.40645932,43642.19554034
20160818,0.00302087,0.00312546,0.00286226,0.00292595,79.39533643,26764.36201263
20160819,0.00292595,0.00313112,0.00277219,0.00307917,163.98012685,56240.76649023
20160820,0.00307916,0.00311178,0.00290000,0.00298212,59.07042815,19877.02527660
20160821,0.00298429,0.00306901,0.00291076,0.00297143,60.29826205,20291.34402316
20160822,0.00294164,0.00299449,0.00275734,0.00284471,116.18594581,40744.05418876
20160823,0.00284500,0.00287567,0.00267185,0.00272716,150.15953247,54361.21063430
20160824,0.00272994,0.00281613,0.00248050,0.00248050,171.52197282,66170.92679315
20160825,0.00248141,0.00248500,0.00220000,0.00236401,173.79755957,73560.68558354
20160826,0.00236402,0.00257334,0.00225439,0.00245502,134.00940877,56389.56195871
20160827,0.00249072,0.00254938,0.00235800,0.00235800,53.39056593,21499.02637229
20160828,0.00235800,0.00238989,0.00224000,0.00228413,94.29988563,40883.35076488
20160829,0.00228407,0.00233988,0.00211556,0.00218482,114.78602987,51396.83354355
20160830,0.00220000,0.00229000,0.00197250,0.00212900,100.17069369,46480.82199611
20160831,0.00212900,0.00223986,0.00201749,0.00204613,91.40162866,42891.11172128
20160901,0.00204657,0.00261101,0.00203200,0.00252097,211.28997904,90866.82530848
20160902,0.00252097,0.00260000,0.00238000,0.00244844,159.74001026,63734.83731015
20160903,0.00240298,0.00244812,0.00223037,0.00223816,118.29967325,50854.63310528
20160904,0.00223816,0.00239338,0.00220178,0.00239014,53.53398325,23321.65885713
20160905,0.00239996,0.00253998,0.00232505,0.00237449,68.02178347,27683.70066084
