[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150814,0.00690000,0.08000000,0.00666715,0.00700000,29.54546550,3123.42335246
20150815,0.00673977,0.00724000,0.00595008,0.00695388,20.27463319,3060.47432882
20150816,0.00650089,0.00690000,0.00412008,0.00605069,47.97154915,8554.03773179
20150817,0.00613934,0.00613934,0.00465528,0.00479778,30.39173796,6059.48832128
20150818,0.00465528,0.00528291,0.00430064,0.00518907,47.11521506,9654.36049684
20150819,0.00518905,0.00580000,0.00514430,0.00557004,44.55821946,8198.06236388
20150820,0.00560000,0.00649998,0.00550000,0.00639835,53.98906266,9316.82224660
20150821,0.00638801,0.00690000,0.00600000,0.00600335,73.44618459,11363.27550753
20150822,0.00600002,0.00643000,0.00587501,0.00609182,27.48673158,4527.00308511
20150823,0.00609182,0.00609965,0.00564479,0.00580023,41.01331306,7013.28763040
20150824,0.00583841,0.00606021,0.00579389,0.00594633,30.49892036,5162.72057424
20150825,0.00589779,0.00592059,0.00508000,0.00517500,35.05174855,6291.94450992
20150826,0.00514451,0.00529538,0.00480001,0.00509897,24.49082221,4877.94341899
20150827,0.00513430,0.00525788,0.00492031,0.00509506,9.08995743,1773.44557602
20150828,0.00509039,0.00520922,0.00500324,0.00505878,8.12401108,1591.33851479
20150829,0.00511800,0.00519769,0.00500270,0.00519496,35.47530417,6954.33635894
20150830,0.00519490,0.00598990,0.00507426,0.00572843,52.83198443,9413.97526228
20150831,0.00579777,0.00612087,0.00527089,0.00599999,56.19564160,9731.20727633
20150901,0.00598841,0.00619999,0.00579988,0.00599629,27.79845845,4647.96043242
20150902,0.00594070,0.00595829,0.00548688,0.00561905,12.61809189,2175.58254725
20150903,0.00564030,0.00581906,0.00523766,0.00558917,14.62030801,2623.42913196
20150904,0.00548240,0.00570198,0.00537292,0.00545687,7.40021373,1339.91263692
20150905,0.00546568,0.00580000,0.00546568,0.00570849,41.05442877,7340.87983453
20150906,0.00562715,0.00572471,0.00536533,0.00546000,23.43449611,4217.54709322
20150907,0.00540001,0.00544645,0.00513474,0.00517000,12.26060855,2312.66929132
20150908,0.00522376,0.00528144,0.00507201,0.00507800,20.84832181,4059.56818696
20150909,0.00507800,0.00525259,0.00501000,0.00510640,9.04044144,1770.37026085
20150910,0.00505011,0.00510632,0.00468048,0.00491997,30.67908749,6212.54850897
20150911,0.00485000,0.00485387,0.00380781,0.00414757,47.99543398,11255.41503434
20150912,0.00403811,0.00467599,0.00403811,0.00440005,37.24179740,8507.14448639
20150913,0.00450693,0.00450693,0.00389895,0.00404285,14.35679647,3456.20961868
20150914,0.00409015,0.00414315,0.00371047,0.00378537,42.28194571,10705.00127778
20150915,0.00378500,0.00455371,0.00377743,0.00409195,31.48542252,7795.57507194
20150916,0.00409195,0.00411996,0.00390670,0.00395503,21.58914492,5363.41818095
20150917,0.00395503,0.00395503,0.00356380,0.00384853,35.44096070,9488.24248659
20150918,0.00378000,0.00384159,0.00355778,0.00364993,8.37623787,2289.68086550
20150919,0.00360500,0.00395000,0.00356130,0.00382334,10.87402566,2918.91288725
20150920,0.00379531,0.00409000,0.00370554,0.00409000,13.99770945,3563.02578959
20150921,0.00409000,0.00420000,0.00382519,0.00408000,16.21589474,3992.01268750
20150922,0.00402038,0.00407707,0.00376976,0.00392622,10.89038850,2790.00239901
20150923,0.00391307,0.00400503,0.00382019,0.00386902,9.32320312,2396.69894825
20150924,0.00386903,0.00391246,0.00343000,0.00349847,23.49752088,6558.52404437
20150925,0.00349847,0.00355035,0.00304543,0.00310974,36.59453156,11274.01959351
20150926,0.00311390,0.00336075,0.00302193,0.00328050,12.37728523,3923.64036485
20150927,0.00335663,0.00335664,0.00307365,0.00312001,18.70676397,5829.93160894
20150928,0.00312000,0.00312001,0.00235009,0.00247299,45.82625052,16968.24405927
20150929,0.00239705,0.00285998,0.00233676,0.00279000,35.74109905,13465.24994148
20150930,0.00279000,0.00322215,0.00267500,0.00310557,21.59925785,7216.37760336
20151001,0.00309998,0.00311985,0.00274453,0.00286550,15.26317582,5266.93075411
20151002,0.00287119,0.00294296,0.00272190,0.00291959,12.32281286,4327.67872824
20151003,0.00288369,0.00299000,0.00282475,0.00283746,2.89014300,989.58983204
20151004,0.00284449,0.00288277,0.00278501,0.00279999,9.55530105,3404.67168615
20151005,0.00279998,0.00288999,0.00263529,0.00263530,35.53022072,12956.36763025
20151006,0.00261321,0.00266286,0.00246511,0.00259088,10.12163570,3976.82904419
20151007,0.00259131,0.00267900,0.00246500,0.00251000,10.14662623,3942.35693542
20151008,0.00251000,0.00268090,0.00240120,0.00263800,6.05618441,2439.43538029
20151009,0.00268090,0.00286064,0.00260175,0.00272000,7.84180322,2897.53674275
20151010,0.00266159,0.00266159,0.00254208,0.00254218,5.05058691,1935.43996780
20151011,0.00254648,0.00260127,0.00254113,0.00254560,4.16674022,1635.92687675
20151012,0.00257999,0.00265500,0.00254501,0.00256000,2.79506591,1084.04348629
20151013,0.00258583,0.00258583,0.00241742,0.00245608,20.77993750,8424.09249891
20151014,0.00246081,0.00246081,0.00193476,0.00207122,26.12879502,12228.36843560
20151015,0.00211177,0.00228738,0.00199216,0.00221077,14.58918378,6804.16090367
20151016,0.00219439,0.00221000,0.00200002,0.00201109,6.25601828,2975.50622564
20151017,0.00204668,0.00229497,0.00195466,0.00204693,27.77154617,13607.90818697
20151018,0.00204430,0.00206294,0.00193120,0.00198000,12.66728035,6365.62802657
20151019,0.00198500,0.00198500,0.00180856,0.00186524,18.62018932,9944.54830044
20151020,0.00185951,0.00189971,0.00160200,0.00162248,10.52525163,5857.26206615
20151021,0.00161987,0.00181000,0.00155859,0.00168601,18.91213081,11455.12522486
20151022,0.00165088,0.00231440,0.00157076,0.00202995,25.10613582,13198.95632964
20151023,0.00205000,0.00222411,0.00183160,0.00193252,28.62219993,14584.63002823
20151024,0.00195544,0.00207571,0.00185419,0.00202549,8.15106963,4213.30868990
20151025,0.00199056,0.00238384,0.00197335,0.00217273,9.09103246,4146.08316487
20151026,0.00216999,0.00266544,0.00208088,0.00258663,17.10064978,7231.94359581
20151027,0.00253602,0.00305000,0.00249712,0.00299900,46.16619488,16629.56904212
20151028,0.00299967,0.00350900,0.00265392,0.00332356,70.27727028,22367.19508353
20151029,0.00332356,0.00386000,0.00308150,0.00380918,85.09494596,23924.19381693
20151030,0.00386000,0.00414131,0.00288155,0.00328938,88.60301177,25694.88525144
20151031,0.00316953,0.00316953,0.00285274,0.00290682,37.24943931,12553.55818286
20151101,0.00290683,0.00330528,0.00280964,0.00325931,11.99797301,3896.44754259
20151102,0.00325907,0.00350000,0.00262750,0.00278254,37.14972313,12164.10264642
20151103,0.00278262,0.00287326,0.00224991,0.00257022,49.42074627,19292.13699168
20151104,0.00251117,0.00253000,0.00143451,0.00222967,71.21901523,36030.60649640
20151105,0.00222967,0.00256665,0.00202001,0.00233179,37.33700166,16081.99019362
20151106,0.00230718,0.00263814,0.00227613,0.00247695,19.21130529,7895.38262857
20151107,0.00249353,0.00251504,0.00221714,0.00239830,13.27574099,5588.24578187
20151108,0.00239830,0.00275939,0.00236135,0.00275939,14.58505616,5727.57195886
20151109,0.00276092,0.00299991,0.00246194,0.00262916,48.93975619,17826.63969168
20151110,0.00261715,0.00289127,0.00257052,0.00269213,21.94165063,8124.87628096
20151111,0.00280808,0.00281986,0.00210000,0.00250000,41.06052341,16576.77057461
20151112,0.00250040,0.00274494,0.00237499,0.00262158,22.72767047,8990.36331505
20151113,0.00262158,0.00272900,0.00256911,0.00272900,15.06584674,5710.29493152
20151114,0.00266574,0.00270377,0.00262506,0.00268843,5.08177585,1902.39879372
20151115,0.00265945,0.00287000,0.00265945,0.00283896,10.47993912,3761.07728127
20151116,0.00283904,0.00294000,0.00263585,0.00272688,16.60338551,5967.40553743
20151117,0.00274894,0.00305236,0.00271000,0.00292936,29.76917393,10322.15191090
20151118,0.00292939,0.00303773,0.00283101,0.00300733,10.39565775,3538.92034695
20151119,0.00293288,0.00302576,0.00286000,0.00291553,18.34094184,6258.16940659
20151120,0.00291553,0.00295327,0.00281247,0.00288001,8.08510070,2817.96649325
20151121,0.00288000,0.00300000,0.00281267,0.00294412,18.16928338,6195.65804231
20151122,0.00295128,0.00304753,0.00291402,0.00295166,19.56457244,6587.85890340
20151123,0.00295191,0.00300055,0.00272516,0.00292410,44.87216299,15592.81545550
20151124,0.00292410,0.00294045,0.00262600,0.00281486,39.64131066,14151.06613633
20151125,0.00279762,0.00283937,0.00261000,0.00267740,15.77223837,5843.19488868
20151126,0.00262121,0.00267866,0.00232002,0.00249000,66.69766387,26872.01238218
20151127,0.00250001,0.00252617,0.00232065,0.00243100,17.01190629,7008.21309069
20151128,0.00243088,0.00265530,0.00240083,0.00257244,11.00117265,4360.83115690
20151129,0.00257244,0.00262289,0.00232440,0.00235902,22.09980548,9185.11900147
20151130,0.00237848,0.00270000,0.00224001,0.00231311,33.06663562,14098.08538582
20151201,0.00231311,0.00249853,0.00224337,0.00242454,13.74264675,5818.74999893
20151202,0.00242407,0.00249279,0.00228808,0.00229808,13.57075596,5721.19537338
20151203,0.00231725,0.00231728,0.00217298,0.00225894,11.81070017,5281.49346682
20151204,0.00223477,0.00233781,0.00219013,0.00233781,15.58358831,6883.37116273
20151205,0.00230378,0.00233277,0.00220000,0.00220000,11.10165838,4882.33116345
20151206,0.00219179,0.00222276,0.00209801,0.00214879,15.64218253,7189.44010804
20151207,0.00212009,0.00219139,0.00195582,0.00204602,13.97350397,6768.51086442
20151208,0.00202005,0.00205216,0.00190000,0.00197254,13.00747481,6556.46568872
20151209,0.00197253,0.00197253,0.00182000,0.00189130,26.68025058,14059.63982700
20151210,0.00192027,0.00207720,0.00184749,0.00202328,19.71274506,10114.48065245
20151211,0.00201999,0.00265106,0.00188566,0.00211270,35.30507886,16912.51746248
20151212,0.00203931,0.00239977,0.00203931,0.00221823,53.81769193,23872.02208515
20151213,0.00220190,0.00228872,0.00208024,0.00216942,15.13231857,6881.84863049
20151214,0.00221475,0.00231211,0.00218619,0.00224921,14.70891539,6574.51564320
20151215,0.00224858,0.00230714,0.00215083,0.00219738,20.76718919,9329.27777605
20151216,0.00216650,0.00240111,0.00208020,0.00220000,30.84670531,13999.08687558
20151217,0.00220000,0.00221226,0.00198001,0.00206000,17.78306803,8471.74590474
20151218,0.00206000,0.00206000,0.00197000,0.00197400,10.00753392,5018.88134207
