[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140928,0.00008100,0.00008100,0.00001201,0.00001201,0.10637975,6365.71628629
20140929,0.00001200,0.00001967,0.00000636,0.00000800,3.75326730,288709.19213765
20140930,0.00000801,0.00001000,0.00000646,0.00000711,2.84893224,405517.99768954
20141001,0.00000808,0.00001000,0.00000751,0.00000800,1.17632498,133471.30714944
20141002,0.00000805,0.00000961,0.00000776,0.00000903,2.37906282,296949.11407946
20141003,0.00000867,0.00000900,0.00000620,0.00000759,1.08870375,147448.18700956
20141004,0.00000731,0.00000776,0.00000464,0.00000727,0.46452209,66661.26487877
20141005,0.00000566,0.00000727,0.00000255,0.00000360,0.27778317,65988.04111320
20141006,0.00000360,0.00000420,0.00000260,0.00000300,0.22006308,63711.10911233
20141007,0.00000420,0.00000850,0.00000420,0.00000588,1.27994834,185020.34205245
20141008,0.00000402,0.00000590,0.00000402,0.00000455,0.19815871,37151.01906224
20141009,0.00000526,0.00000531,0.00000455,0.00000455,0.16589766,34595.71859456
20141010,0.00000455,0.00000700,0.00000427,0.00000699,0.71925591,125229.93021501
20141011,0.00000601,0.00001231,0.00000601,0.00000804,2.83621036,317114.16950855
20141012,0.00000934,0.00001045,0.00000803,0.00000815,1.17952606,125040.70419540
20141013,0.00000810,0.00000998,0.00000585,0.00000618,0.20012806,25806.74873045
20141014,0.00000624,0.00000626,0.00000300,0.00000300,0.76461054,171618.44780450
20141015,0.00000440,0.00000625,0.00000396,0.00000396,0.07851315,15712.71133322
20141016,0.00000444,0.00000589,0.00000386,0.00000451,0.15136580,28717.10582275
20141017,0.00000451,0.00000842,0.00000450,0.00000584,0.98486722,135298.22472328
20141018,0.00000607,0.00000700,0.00000500,0.00000510,0.14719626,25374.53108047
20141019,0.00000500,0.00000645,0.00000500,0.00000500,0.58703258,111124.61758784
20141020,0.00000500,0.00000897,0.00000500,0.00000606,1.10760190,157011.64543421
20141021,0.00000606,0.00001787,0.00000606,0.00000983,34.09765673,2749279.83218893
20141022,0.00000928,0.00001699,0.00000870,0.00001674,14.00808246,1150975.92639782
20141023,0.00001460,0.00002300,0.00001258,0.00001621,21.28457330,1320473.32845879
20141024,0.00001621,0.00002100,0.00000902,0.00001190,9.68704831,613445.76772017
20141025,0.00001190,0.00001800,0.00000767,0.00001474,3.59354698,338285.04166667
20141026,0.00001473,0.00002101,0.00001250,0.00001638,4.14552761,241602.64429817
20141027,0.00001504,0.00001887,0.00001280,0.00001488,5.03779629,368889.45030542
20141028,0.00001370,0.00001975,0.00001309,0.00001934,2.37658469,156804.32235220
20141029,0.00001690,0.00001930,0.00001350,0.00001402,2.02827084,125930.94178689
20141030,0.00001426,0.00001483,0.00001002,0.00001383,2.36044471,184954.32207969
20141031,0.00001375,0.00002699,0.00001369,0.00001509,34.31065525,1956988.81189147
20141101,0.00001511,0.00002050,0.00001375,0.00001573,21.48531393,1180852.16680515
20141102,0.00001516,0.00001590,0.00000500,0.00001279,10.31526057,989689.53570429
20141103,0.00001280,0.00001399,0.00001212,0.00001286,9.25441079,679158.18627583
20141104,0.00001335,0.00001500,0.00001051,0.00001211,2.33756883,185030.28099817
20141105,0.00001165,0.00001748,0.00001046,0.00001419,27.81410914,1778924.45292159
20141106,0.00001419,0.00001649,0.00001419,0.00001577,19.93522822,1277640.71682332
20141107,0.00001578,0.00001917,0.00001558,0.00001846,19.23775830,1072292.21014842
20141108,0.00001806,0.00001857,0.00001600,0.00001685,16.86818075,1000460.41576334
20141109,0.00001680,0.00001729,0.00001594,0.00001710,7.46020317,447767.19263348
20141110,0.00001710,0.00001796,0.00001599,0.00001653,12.54304006,751046.82494066
20141111,0.00001654,0.00001900,0.00001621,0.00001755,5.39043820,316792.08709101
20141112,0.00001755,0.00001900,0.00001350,0.00001535,25.48113511,1459751.34367495
20141113,0.00001509,0.00001612,0.00001149,0.00001163,3.43821834,243251.83902130
20141114,0.00001154,0.00001286,0.00001133,0.00001255,1.40245129,118267.67392100
20141115,0.00001235,0.00001235,0.00001156,0.00001158,0.91995048,78665.93463658
20141116,0.00001158,0.00001475,0.00001126,0.00001165,3.90707126,323981.68367427
20141117,0.00001165,0.00001362,0.00001135,0.00001164,3.73663293,319448.96469332
20141118,0.00001164,0.00001200,0.00001081,0.00001120,1.27169918,112084.34181687
20141119,0.00001120,0.00001120,0.00000892,0.00000961,2.03103357,205789.60889135
20141120,0.00000960,0.00001100,0.00000960,0.00000999,1.01180248,100445.98404252
20141121,0.00000967,0.00001009,0.00000945,0.00000993,0.81102180,81964.04801981
20141122,0.00000993,0.00001005,0.00000906,0.00000908,0.72136976,75682.31502897
20141123,0.00000909,0.00001176,0.00000900,0.00001076,1.29233976,133323.48630349
20141124,0.00001076,0.00001173,0.00001005,0.00001016,0.35589133,32602.59157447
20141125,0.00001016,0.00001149,0.00000991,0.00001005,0.69551135,66676.51710792
20141126,0.00001005,0.00001060,0.00000965,0.00001035,0.93500361,92532.21319204
20141127,0.00001035,0.00001275,0.00000998,0.00001076,1.79893922,168699.38356896
20141128,0.00001100,0.00001188,0.00001011,0.00001077,1.12802659,100658.11940519
20141129,0.00001077,0.00001163,0.00001012,0.00001106,0.87185839,82586.05217862
20141130,0.00001106,0.00001235,0.00001105,0.00001165,0.28226489,24513.43203053
20141201,0.00001210,0.00001235,0.00001119,0.00001200,0.38772068,33315.15521318
20141202,0.00001200,0.00001234,0.00001175,0.00001196,0.29675117,24990.35323026
20141203,0.00001207,0.00001695,0.00001207,0.00001659,3.05435022,208210.67518430
