[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150916,0.00061000,0.00085000,0.00060069,0.00060069,0.71799247,1048.18271382
20150917,0.00060070,0.00250000,0.00058009,0.00130000,55.36040659,41177.52617481
20150918,0.00130000,0.00160000,0.00120388,0.00121712,16.99861131,12221.14211373
20150919,0.00121712,0.00122209,0.00099999,0.00117656,12.41535624,11373.37614769
20150920,0.00103105,0.00115428,0.00067169,0.00068827,11.25778751,14182.96150743
20150921,0.00069000,0.00078798,0.00068824,0.00078232,1.20623769,1721.66926814
20150922,0.00077809,0.00078320,0.00069709,0.00069734,2.30625959,3204.49072199
20150923,0.00069736,0.00077966,0.00068949,0.00075783,2.77879589,3970.77727835
20150924,0.00069101,0.00070997,0.00052502,0.00056500,3.28036409,5731.49588113
20150925,0.00056501,0.00060006,0.00040000,0.00053326,3.63472738,7144.26442102
20150926,0.00048205,0.00048205,0.00039500,0.00047432,1.29024528,2920.60776159
20150927,0.00040010,0.00040010,0.00040010,0.00040010,0.01768287,44.19614797
20150928,0.00040010,0.00046897,0.00040000,0.00046897,1.27445574,3177.32581617
20150929,0.00040090,0.00046362,0.00026205,0.00029006,0.83066311,2394.87125650
20150930,0.00027008,0.00034695,0.00027008,0.00028004,0.26763998,881.68164293
20151001,0.00028004,0.00032972,0.00028004,0.00028294,0.15493004,523.89726005
20151002,0.00028202,0.00038196,0.00028104,0.00028107,1.54289592,5152.21616062
20151003,0.00028110,0.00038847,0.00021915,0.00022890,0.88698423,3334.65792483
20151004,0.00014006,0.00027342,0.00014006,0.00026867,0.37457157,1450.97637434
20151005,0.00020799,0.00032090,0.00020022,0.00020794,0.57871508,2283.83400463
20151006,0.00020794,0.00021001,0.00020790,0.00020790,0.27204879,1305.29084304
20151007,0.00020790,0.00020791,0.00016014,0.00016024,1.21590494,6628.40098909
20151008,0.00016601,0.00017724,0.00016601,0.00016900,0.47182752,2769.46161371
20151009,0.00016900,0.00017200,0.00012519,0.00012519,0.76643290,4548.05029549
20151010,0.00015922,0.00020000,0.00012555,0.00014010,0.30998439,1912.03344195
20151011,0.00013802,0.00014000,0.00013000,0.00013000,0.32427774,2369.58701504
20151012,0.00013000,0.00016942,0.00012020,0.00012451,0.79688018,6129.39726414
20151013,0.00012450,0.00016940,0.00012400,0.00012450,0.56021465,4384.74910264
20151014,0.00012450,0.00012700,0.00012450,0.00012700,0.05508501,434.17969281
20151015,0.00012700,0.00016942,0.00012700,0.00013421,0.56222113,3841.89962133
20151016,0.00013431,0.00015114,0.00010450,0.00010450,0.77941099,7017.57222933
20151017,0.00010002,0.00011801,0.00010000,0.00010111,0.39714136,3513.69058789
20151018,0.00010111,0.00011770,0.00010100,0.00010100,0.39591652,3688.32270015
20151019,0.00010100,0.00010100,0.00006553,0.00006700,0.22249251,3021.93147309
20151020,0.00006702,0.00016940,0.00006702,0.00008689,0.31902960,2644.20412250
20151021,0.00007247,0.00007247,0.00005510,0.00005517,0.24902723,3664.99601623
20151022,0.00005556,0.00005572,0.00005556,0.00005572,0.04351277,782.27989090
20151023,0.00005701,0.00010000,0.00005701,0.00010000,0.32136310,4315.51777319
20151024,0.00007977,0.00007977,0.00006814,0.00006829,0.06341616,868.24488325
20151025,0.00007502,0.00008014,0.00006215,0.00006215,0.13824705,1943.71253995
20151026,0.00006226,0.00006301,0.00006224,0.00006301,0.07137830,1143.58216298
20151027,0.00006301,0.00010576,0.00006301,0.00006318,0.25068671,3268.49590239
20151028,0.00006318,0.00007304,0.00006318,0.00007304,0.05075588,771.53439601
20151029,0.00007302,0.00012998,0.00006511,0.00012998,1.16028736,12475.11728098
20151030,0.00007105,0.00007168,0.00007105,0.00007153,0.03668560,512.59759404
20151031,0.00009730,0.00009730,0.00007162,0.00009331,0.02032769,264.73725825
20151101,0.00007190,0.00007190,0.00007187,0.00007187,0.08072416,1123.09404154
20151102,0.00007188,0.00007188,0.00007188,0.00007188,0.06116615,850.94835407
20151103,0.00007188,0.00007477,0.00007177,0.00007177,0.14964834,2076.05001299
20151104,0.00007177,0.00007177,0.00006320,0.00006321,0.69973418,9855.99719862
20151105,0.00006321,0.00006321,0.00006302,0.00006302,0.10945524,1733.83943630
20151106,0.00006302,0.00006538,0.00005710,0.00006538,0.28801009,4664.16839851
20151107,0.00005953,0.00006000,0.00005951,0.00006000,0.00184519,30.91593004
20151108,0.00006011,0.00006959,0.00006011,0.00006959,0.04665876,756.85900884
20151109,0.00006002,0.00006949,0.00006000,0.00006949,0.06433956,1016.91379238
20151110,0.00006002,0.00006009,0.00005600,0.00005600,0.51584912,8865.58434352
20151111,0.00006496,0.00006947,0.00005510,0.00005510,0.28539035,5039.59586036
20151112,0.00006398,0.00006755,0.00006398,0.00006755,0.08249432,1284.26463885
20151113,0.00004507,0.00004512,0.00004507,0.00004512,0.03088322,685.20572568
20151114,0.00004532,0.00004532,0.00004532,0.00004532,0.00091193,20.12216184
20151115,0.00005800,0.00006737,0.00004539,0.00004539,0.00864789,144.16468841
20151116,0.00004540,0.00005800,0.00004540,0.00004543,0.01000203,202.60500011
20151117,0.00004650,0.00004650,0.00004650,0.00004650,0.11272381,2424.16822021
20151118,0.00004652,0.00005115,0.00004650,0.00004650,0.12736000,2736.40992694
20151119,0.00004650,0.00004651,0.00004650,0.00004651,0.12204065,2624.13658316
20151120,0.00004651,0.00004651,0.00004271,0.00004272,0.07873139,1740.84398695
20151121,0.00004271,0.00004271,0.00004267,0.00004267,0.00763292,178.85878058
20151122,0.00004267,0.00004992,0.00004265,0.00004265,0.39262949,9184.30695870
20151123,0.00004265,0.00004265,0.00002306,0.00002306,0.19569460,4685.86410499
20151124,0.00002715,0.00003367,0.00002035,0.00002035,0.05923517,2604.93037645
20151125,0.00002096,0.00002096,0.00002096,0.00002096,0.00063832,30.45442835
20151126,0.00002101,0.00002101,0.00002101,0.00002101,0.00221186,105.27661322
20151127,0.00002113,0.00002113,0.00002103,0.00002103,0.16749974,7951.56129631
20151128,0.00002113,0.00002123,0.00002113,0.00002123,0.00253298,119.48293046
20151129,0.00002126,0.00002637,0.00002103,0.00002637,0.08104486,3835.49754661
20151130,0.00004360,0.00004360,0.00002003,0.00002004,0.21731228,10477.38899939
20151201,0.00002005,0.00002005,0.00002005,0.00002005,0.00085930,42.85832364
20151202,0.00002336,0.00002336,0.00002336,0.00002336,0.00071693,30.69073148
20151203,0.00002500,0.00002750,0.00002051,0.00002377,0.07613926,3075.36762407
20151204,0.00002101,0.00002101,0.00002101,0.00002101,0.00065294,31.07802375
20151205,0.00002698,0.00002698,0.00002107,0.00002549,0.15428500,6223.10556290
20151206,0.00002328,0.00002328,0.00002328,0.00002328,0.00050974,21.89615335
20151207,0.00002500,0.00003499,0.00002129,0.00002200,0.04269881,1842.51788212
20151208,0.00002150,0.00002200,0.00002150,0.00002200,0.00172798,79.68142498
20151209,0.00002148,0.00002148,0.00002003,0.00002003,0.30577474,14836.31471599
20151210,0.00001954,0.00001956,0.00001953,0.00001956,0.00168680,86.31014700
20151211,0.00001557,0.00001557,0.00001100,0.00001100,0.18415171,13540.46150281
20151212,0.00001815,0.00001821,0.00001815,0.00001821,0.03856717,2121.14732290
20151213,0.00002077,0.00008995,0.00001589,0.00008975,11.20798319,158115.72203971
20151214,0.00006000,0.00008968,0.00003036,0.00003720,1.21182242,26223.38219528
20151215,0.00003985,0.00004001,0.00003126,0.00003301,0.50741210,15119.17118278
20151216,0.00003330,0.00003334,0.00002685,0.00002685,0.10655149,3657.91262778
20151217,0.00002990,0.00005040,0.00002711,0.00002711,0.11412821,2651.96139260
20151218,0.00002713,0.00005035,0.00002712,0.00002742,0.04137522,1507.45375331
20151219,0.00002752,0.00002752,0.00002739,0.00002745,0.04987128,1814.54253070
20151220,0.00002748,0.00002748,0.00002611,0.00002611,0.15417596,5637.34380908
20151221,0.00002700,0.00002799,0.00002536,0.00002536,0.02208596,825.18068760
20151222,0.00002697,0.00004894,0.00002552,0.00002760,0.20581409,5216.43437452
20151223,0.00002762,0.00019000,0.00002762,0.00012218,11.56696905,105693.21823504
20151224,0.00012700,0.00021997,0.00010145,0.00020000,5.43392682,31552.86758411
20151225,0.00024705,0.00025500,0.00014299,0.00015653,5.58602492,27773.80578617
20151226,0.00014147,0.00018001,0.00013800,0.00013805,2.65592567,17482.63348609
20151227,0.00013416,0.00014687,0.00011027,0.00012936,1.46270921,11553.16072002
20151228,0.00012941,0.00014044,0.00009001,0.00009635,1.23647987,10136.39457622
20151229,0.00010857,0.00011135,0.00009000,0.00009101,0.48968714,5029.51121866
20151230,0.00008900,0.00009580,0.00006901,0.00008500,0.62158176,7995.50489632
20151231,0.00008500,0.00008973,0.00006927,0.00008973,0.19164191,2276.67936584
20160101,0.00008808,0.00009100,0.00008000,0.00008949,0.03843785,428.04820861
20160102,0.00008500,0.00008969,0.00007701,0.00007701,0.17651434,2033.29167951
20160103,0.00007718,0.00008898,0.00007718,0.00008845,0.08257142,1000.61840567
20160104,0.00008201,0.00008691,0.00008011,0.00008679,0.23410538,2744.99744879
20160105,0.00008215,0.00008445,0.00007701,0.00008071,0.21039110,2595.93086725
20160106,0.00007888,0.00007983,0.00005250,0.00007114,1.23008216,20936.12429337
20160107,0.00007058,0.00007345,0.00003905,0.00007050,0.40915620,7077.82928711
20160108,0.00006708,0.00007578,0.00005502,0.00006000,0.15190811,2410.98715439
20160109,0.00005005,0.00006441,0.00005005,0.00006441,0.08849357,1399.67866239
20160110,0.00005698,0.00006142,0.00005442,0.00006142,0.07180607,1288.52647312
20160111,0.00005705,0.00006490,0.00005432,0.00006490,0.20858907,3586.06753549
20160112,0.00006875,0.00009236,0.00006875,0.00009236,0.46473032,5864.25915340
20160113,0.00008451,0.00008987,0.00007029,0.00007029,0.10820267,1346.36361849
20160114,0.00007975,0.00012531,0.00006022,0.00010646,0.32539663,3720.11766355
20160115,0.00009708,0.00011880,0.00008999,0.00010558,0.29969722,2997.65572027
20160116,0.00010559,0.00011000,0.00006718,0.00006718,0.27112334,2651.59124820
20160117,0.00008006,0.00010927,0.00008000,0.00008008,0.01401080,165.91580233
20160118,0.00006489,0.00006505,0.00006488,0.00006505,0.01055819,162.47500222
20160119,0.00009931,0.00009950,0.00009931,0.00009950,0.07956186,800.00000000
20160120,0.00008100,0.00009946,0.00007000,0.00007000,0.12388046,1459.04473420
20160121,0.00008968,0.00009980,0.00008968,0.00009980,0.19437751,2132.72773009
20160122,0.00007260,0.00007260,0.00007258,0.00007258,0.05806862,800.00000000
20160123,0.00007471,0.00007472,0.00006970,0.00006970,0.21212844,2941.43914770
20160124,0.00007002,0.00007002,0.00007000,0.00007000,0.01083023,154.71199212
20160125,0.00006676,0.00008917,0.00006670,0.00008917,0.05949111,872.74767151
20160126,0.00006677,0.00008372,0.00006677,0.00006803,0.09945553,1235.15732614
20160127,0.00006693,0.00008385,0.00006692,0.00008385,0.05403036,719.43705549
20160128,0.00008385,0.00014877,0.00007550,0.00007550,1.55309531,15476.53403890
20160129,0.00008564,0.00010000,0.00007910,0.00008211,0.08284952,894.66246354
20160130,0.00008217,0.00009201,0.00008217,0.00009201,0.07873257,897.65583736
20160131,0.00009199,0.00014085,0.00009199,0.00009199,0.07295173,581.34259518
20160201,0.00009861,0.00011105,0.00008331,0.00011105,0.12747522,1363.28508280
20160202,0.00011999,0.00014767,0.00010000,0.00010109,0.54197009,4497.58947733
20160203,0.00009320,0.00012973,0.00009320,0.00010016,0.15185467,1455.18234440
20160204,0.00011886,0.00012599,0.00010059,0.00010146,0.16788851,1424.50155743
20160205,0.00010151,0.00012434,0.00009327,0.00009653,0.87351756,8177.16724035
20160206,0.00009679,0.00009990,0.00009672,0.00009904,0.21751491,2199.90291666
20160207,0.00009905,0.00010821,0.00009200,0.00010000,0.59366012,6107.28041059
20160208,0.00009627,0.00010982,0.00009606,0.00009757,0.27192601,2648.18160199
20160209,0.00011399,0.00013999,0.00009907,0.00011935,1.03977786,8326.05598850
20160210,0.00012014,0.00013738,0.00009892,0.00010517,2.22710176,18951.77441669
20160211,0.00012382,0.00339900,0.00010819,0.00300000,224.38235534,239139.12257639
20160212,0.00339900,0.00348899,0.00091680,0.00126000,284.32992162,156718.97452549
20160213,0.00130179,0.00135000,0.00082002,0.00112996,65.17619994,64844.53978836
20160214,0.00112994,0.00117187,0.00085150,0.00090237,25.90801275,25359.50229550
20160215,0.00097027,0.00107999,0.00085368,0.00085368,23.66981368,25323.37839620
20160216,0.00085368,0.00093000,0.00066870,0.00083087,38.90894875,49815.58301628
20160217,0.00080999,0.00080999,0.00062680,0.00062680,24.41879059,33640.09792513
20160218,0.00062680,0.00062680,0.00043546,0.00048658,15.08499346,27507.06716072
20160219,0.00048669,0.00067680,0.00048662,0.00063542,17.02023988,27992.85383341
20160220,0.00063543,0.00073688,0.00063541,0.00070659,65.27800179,94450.42390410
20160221,0.00070700,0.00075387,0.00067002,0.00067002,36.83551526,51838.72830028
20160222,0.00067002,0.00068000,0.00059989,0.00060724,15.24118818,23794.35843694
20160223,0.00061201,0.00065136,0.00061201,0.00063188,17.63278834,27668.36386337
20160224,0.00063188,0.00065200,0.00056903,0.00060500,23.96210237,38607.91452017
20160225,0.00060510,0.00063287,0.00058194,0.00061883,24.73559536,41351.87081707
20160226,0.00061881,0.00063284,0.00059103,0.00061500,4.53566645,7421.93344275
20160227,0.00059120,0.00085998,0.00059000,0.00083000,38.45748024,50223.65778391
20160228,0.00083000,0.00088887,0.00066516,0.00075001,104.29755654,138058.37622065
20160229,0.00075001,0.00079998,0.00075000,0.00075015,11.48263377,15197.43104965
20160301,0.00075022,0.00150000,0.00075000,0.00110042,63.72291032,62170.97775609
20160302,0.00114004,0.00143000,0.00090000,0.00129900,137.68637045,117599.25833775
20160303,0.00122000,0.00184996,0.00119999,0.00139956,94.59254425,63282.71236774
20160304,0.00132030,0.00157000,0.00119173,0.00150658,48.55536977,35148.86696959
20160305,0.00150657,0.00160000,0.00129717,0.00150001,36.85376807,25344.73361484
