[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20141212,0.00019995,0.00019995,0.00003000,0.00003300,0.06844366,2197.70000000
20141213,0.00003300,0.00003300,0.00002100,0.00003099,0.71241334,26306.89389132
20141214,0.00002999,0.00003000,0.00002500,0.00002508,0.29442919,11243.42056828
20141215,0.00002500,0.00002896,0.00001602,0.00002896,2.22934369,108041.41407399
20141216,0.00002329,0.00002738,0.00001900,0.00002062,0.12992219,5975.35706828
20141217,0.00002090,0.00002744,0.00001900,0.00002744,0.46115376,21985.81124080
20141218,0.00002278,0.00002744,0.00001800,0.00002734,0.27083450,14100.13673105
20141219,0.00002000,0.00002485,0.00001950,0.00002000,0.04372390,2178.47905478
20141220,0.00002541,0.00002699,0.00001700,0.00002699,0.54849620,27643.07705540
20141221,0.00002500,0.00002579,0.00002037,0.00002100,0.62066078,29223.79663591
20141222,0.00002001,0.00002328,0.00001400,0.00001814,0.61027785,37433.02241444
20141223,0.00001912,0.00001912,0.00001400,0.00001886,0.29177627,19474.18998423
20141224,0.00001662,0.00001998,0.00001662,0.00001998,0.05799831,3381.67726738
20141225,0.00001555,0.00002000,0.00001250,0.00002000,0.77842836,51992.14991951
20141226,0.00001732,0.00001800,0.00001200,0.00001800,0.17845010,12840.53782695
20141227,0.00001714,0.00001900,0.00001251,0.00001427,0.14299583,9733.12215293
20141228,0.00001522,0.00001742,0.00001300,0.00001742,0.07701270,4695.94948989
20141229,0.00001611,0.00001611,0.00001600,0.00001600,0.43749125,27342.97519343
20141230,0.00001600,0.00001600,0.00001470,0.00001500,0.00159991,105.38235572
20141231,0.00001500,0.00001500,0.00001220,0.00001220,0.50094025,35972.93890548
20150101,0.00001220,0.00001220,0.00001201,0.00001201,0.06332304,5219.67161456
20150102,0.00001208,0.00001999,0.00001201,0.00001250,0.54064840,35384.82158009
20150103,0.00001968,0.00002025,0.00001100,0.00002011,0.19746654,16516.80369940
20150104,0.00002000,0.00002000,0.00001598,0.00001800,0.06091292,3272.93321345
20150105,0.00001733,0.00002239,0.00001369,0.00001700,0.34759871,18823.85944639
20150106,0.00002000,0.00002300,0.00002000,0.00002300,0.02998480,1489.00000000
20150107,0.00002285,0.00002300,0.00001250,0.00001748,0.31154341,21201.03900139
20150108,0.00001743,0.00001743,0.00001400,0.00001400,0.20026875,12761.31716016
20150110,0.00001620,0.00001620,0.00000950,0.00001499,0.37340406,33457.73988325
20150111,0.00001658,0.00002000,0.00001362,0.00001362,0.10615751,6091.09103063
20150112,0.00001340,0.00001707,0.00001000,0.00001122,0.54104664,47510.96585285
20150113,0.00001677,0.00001985,0.00001677,0.00001700,0.33864018,17754.09266666
20150114,0.00001882,0.00002600,0.00001000,0.00002178,3.91591551,187190.59925581
20150115,0.00002239,0.00002641,0.00001600,0.00002550,0.49826186,25670.50498268
20150116,0.00002239,0.00002239,0.00002150,0.00002150,0.18698064,8559.20327971
20150117,0.00002358,0.00002641,0.00001660,0.00001660,0.18706278,8913.99629927
20150118,0.00002270,0.00002270,0.00001603,0.00001644,0.14250846,8660.91095238
20150119,0.00001603,0.00002408,0.00001601,0.00002408,0.63581734,30002.65045599
20150120,0.00002500,0.00002750,0.00002500,0.00002749,0.52395970,19480.87335565
20150121,0.00002748,0.00002749,0.00001250,0.00002456,4.26284567,225196.33038459
20150122,0.00002427,0.00002427,0.00002000,0.00002300,0.30938564,13639.92864260
20150123,0.00002122,0.00002230,0.00001701,0.00002230,0.37738250,20458.03044568
20150124,0.00002305,0.00002479,0.00002305,0.00002479,1.79506340,74604.87767382
20150125,0.00002476,0.00002750,0.00002303,0.00002650,0.84882797,32330.00000000
20150126,0.00002607,0.00002750,0.00002300,0.00002498,1.17375254,48412.98315188
20150127,0.00002454,0.00002499,0.00002200,0.00002499,0.50950107,22273.00000000
20150128,0.00002475,0.00002500,0.00002105,0.00002135,0.19313303,7758.50901709
20150129,0.00002406,0.00002500,0.00002406,0.00002500,0.19994709,8000.00000000
20150130,0.00002500,0.00002500,0.00002500,0.00002500,0.20000000,8000.00000000
20150131,0.00002495,0.00002500,0.00002495,0.00002500,0.24995000,10000.00000000
20150201,0.00002388,0.00002450,0.00002166,0.00002450,0.75041275,33635.17745671
20150202,0.00002226,0.00002362,0.00002000,0.00002350,0.85236219,41752.64927662
20150203,0.00002375,0.00002450,0.00002375,0.00002450,0.22037891,9000.00000000
20150204,0.00002350,0.00002500,0.00001700,0.00002500,0.90825728,48877.67546212
20150205,0.00002396,0.00002396,0.00002396,0.00002396,0.06598584,2754.00000000
20150206,0.00002420,0.00002460,0.00002000,0.00002400,0.81789307,39374.52104063
20150208,0.00002156,0.00002156,0.00002156,0.00002156,0.00123530,57.29614590
20150209,0.00002217,0.00002400,0.00002217,0.00002400,0.38432907,17322.60350000
20150210,0.00002300,0.00002300,0.00002300,0.00002300,0.23000000,10000.00000000
20150211,0.00002300,0.00002300,0.00002300,0.00002300,0.12650000,5500.00000000
20150212,0.00002270,0.00002300,0.00002270,0.00002300,0.12856290,5590.00000000
20150213,0.00002156,0.00002288,0.00001250,0.00002288,1.99603016,129708.28852932
20150214,0.00001790,0.00002127,0.00001370,0.00001781,0.78536329,47195.13407043
20150215,0.00001781,0.00001781,0.00001000,0.00001000,0.79250255,60060.49436094
20150216,0.00001450,0.00001841,0.00001200,0.00001627,0.01437231,890.00000000
20150217,0.00001601,0.00001605,0.00001200,0.00001200,0.03197962,2432.32876023
20150218,0.00001457,0.00001457,0.00001457,0.00001457,0.00468289,321.40648592
20150219,0.00001300,0.00001990,0.00001200,0.00001990,0.65621351,45815.03188787
20150220,0.00001990,0.00002109,0.00001600,0.00002000,0.23410230,12120.06842434
20150221,0.00001983,0.00002000,0.00001983,0.00001999,0.11980000,6000.00000000
20150222,0.00001998,0.00001999,0.00001998,0.00001999,0.12171909,6090.00000000
20150223,0.00001748,0.00001999,0.00001744,0.00001999,0.04722549,2431.57410698
20150224,0.00001900,0.00001900,0.00001900,0.00001900,0.08645000,4550.00000000
20150225,0.00001900,0.00002082,0.00001900,0.00002082,1.41078257,72731.41974784
20150226,0.00002000,0.00002000,0.00001600,0.00001600,0.15634985,7894.32876023
20150227,0.00001700,0.00001990,0.00001700,0.00001990,0.15657013,7900.00000000
20150228,0.00001990,0.00001990,0.00001980,0.00001990,0.06763775,3400.00000000
20150301,0.00001990,0.00002000,0.00001501,0.00002000,0.28006613,15835.69972480
20150302,0.00002000,0.00002000,0.00002000,0.00002000,0.05000000,2500.00000000
20150303,0.00002000,0.00002199,0.00002000,0.00002199,0.09069609,4499.00000000
20150304,0.00001755,0.00002199,0.00001400,0.00002191,0.30123774,19817.62817838
20150305,0.00001999,0.00002444,0.00001999,0.00002444,0.93811028,44738.40185031
20150306,0.00002400,0.00002400,0.00002400,0.00002400,0.04080000,1700.00000000
