[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160109,0.00182000,0.00390000,0.00173801,0.00200000,0.16557624,81.04748695
20160110,0.00175002,0.00175002,0.00161206,0.00161206,0.03551791,20.46627899
20160111,0.00161207,0.00214535,0.00161205,0.00175000,0.42267889,249.17706257
20160112,0.00199987,0.00499999,0.00155002,0.00270001,18.37363583,6857.54732224
20160113,0.00295907,0.00309095,0.00260920,0.00289998,7.46168244,2580.62279860
20160114,0.00272012,0.00299863,0.00230030,0.00257008,3.38544135,1322.57471213
20160115,0.00260002,0.00268317,0.00231001,0.00268317,6.04510586,2334.88768190
20160116,0.00258888,0.00265888,0.00200000,0.00230043,4.22631611,1924.80279619
20160117,0.00230043,0.00254993,0.00224436,0.00249000,0.21715530,89.48627779
20160118,0.00254898,0.00270000,0.00245000,0.00245008,3.45724124,1356.08772760
20160119,0.00238002,0.00249921,0.00224432,0.00249773,0.13721573,60.13761028
20160120,0.00239986,0.00248598,0.00200005,0.00244874,0.53972377,229.28423866
20160121,0.00201493,0.00244817,0.00201493,0.00244780,0.08372441,34.46645244
20160122,0.00243000,0.00282256,0.00243000,0.00275708,1.47646178,591.56169469
20160123,0.00275710,0.00293976,0.00222036,0.00260000,3.61130161,1388.83732564
20160124,0.00260000,0.00267521,0.00250210,0.00255999,2.50824828,967.41734190
20160125,0.00249894,0.00260000,0.00229230,0.00230099,4.57753329,1843.88133370
20160126,0.00230099,0.00359499,0.00230099,0.00355000,16.35932108,6189.83033503
20160127,0.00330002,0.00388882,0.00310002,0.00335000,2.71163706,826.91319827
20160128,0.00310054,0.00388879,0.00262521,0.00281997,4.51342869,1527.45627096
20160129,0.00281996,0.00289999,0.00256130,0.00265000,4.51287334,1679.79482075
20160130,0.00276781,0.00278044,0.00259993,0.00259999,0.72582010,273.48053209
20160131,0.00259999,0.00260000,0.00219999,0.00236935,3.79992065,1577.07197000
20160201,0.00230039,0.00249945,0.00230039,0.00248683,1.85402747,757.72055175
20160202,0.00234502,0.00234573,0.00194618,0.00220102,7.97365184,3793.76052971
20160203,0.00206221,0.00245487,0.00206212,0.00230001,1.37961555,605.87337067
20160204,0.00239327,0.00279080,0.00226562,0.00279080,14.40597885,5700.23758783
20160205,0.00279080,0.00301244,0.00247802,0.00264000,9.64780005,3448.56480067
20160206,0.00264003,0.00285897,0.00251984,0.00285895,3.77316959,1432.33622961
20160207,0.00260064,0.00260064,0.00222882,0.00255674,5.61027977,2280.75298666
20160208,0.00254000,0.00275000,0.00254000,0.00260049,1.77241513,669.19828005
20160209,0.00266892,0.00270040,0.00249862,0.00257364,4.59446757,1743.20693912
20160210,0.00261297,0.00323557,0.00257364,0.00299998,21.42356817,7287.24817160
20160211,0.00299995,0.00322643,0.00270410,0.00322643,6.05576121,2064.98755531
20160212,0.00322629,0.00322629,0.00280077,0.00294694,5.16910343,1768.17425831
20160213,0.00294694,0.00294694,0.00270000,0.00280804,8.39974173,2939.67821940
20160214,0.00274250,0.00278000,0.00260017,0.00274000,4.14174056,1537.57159626
20160215,0.00274749,0.00284999,0.00261231,0.00270879,2.93867373,1073.22655714
20160216,0.00280101,0.00314727,0.00242275,0.00283994,16.39405342,5773.37616459
20160217,0.00283305,0.00292000,0.00235103,0.00242154,2.99277762,1177.56257917
20160218,0.00247869,0.00266489,0.00235101,0.00251179,2.23703618,876.81490952
20160219,0.00249500,0.00260000,0.00248355,0.00250000,2.98752684,1188.60933686
20160220,0.00246000,0.00246000,0.00230000,0.00238793,1.43533529,603.43286128
20160221,0.00236718,0.00237281,0.00213373,0.00221201,2.28256365,1018.30902846
20160222,0.00221196,0.00240406,0.00210766,0.00214476,6.44696803,2877.61550924
20160223,0.00222500,0.00241074,0.00220648,0.00220653,1.21679748,544.58377937
20160224,0.00233089,0.00270000,0.00233068,0.00250197,9.37165367,3731.26582890
20160225,0.00250198,0.00254999,0.00240667,0.00254707,7.24807904,2862.67719240
20160226,0.00246007,0.00250882,0.00230274,0.00233468,2.69997751,1126.21351364
20160227,0.00234844,0.00250001,0.00231576,0.00241732,2.99855982,1243.81176696
20160228,0.00240806,0.00251198,0.00236502,0.00245000,3.20128979,1302.11870187
20160229,0.00250000,0.00250989,0.00224588,0.00230634,4.98555511,2076.13748497
20160301,0.00230229,0.00238999,0.00220033,0.00229502,4.50421757,1975.99360958
20160302,0.00223458,0.00250900,0.00223458,0.00239999,5.27294978,2252.55140236
20160303,0.00239998,0.00265892,0.00230001,0.00265892,13.29173029,5407.71004843
20160304,0.00264000,0.00298293,0.00258000,0.00290000,14.33011640,5150.35571724
20160305,0.00292496,0.00470000,0.00283988,0.00380011,82.70222115,21446.30884315
20160306,0.00400260,0.00784999,0.00400260,0.00510000,238.38114419,41065.84408700
20160307,0.00536990,0.00660000,0.00488002,0.00589370,174.65374645,30265.17144957
20160308,0.00570302,0.00869991,0.00532312,0.00751717,287.99462809,41977.49621649
20160309,0.00751895,0.00870000,0.00600000,0.00670144,439.89007181,65780.39762413
20160310,0.00683775,0.00707300,0.00542298,0.00570026,188.29616622,29297.75229161
20160311,0.00570029,0.00624186,0.00480084,0.00575291,103.17967346,18683.89676820
20160312,0.00560007,0.00634700,0.00513548,0.00575091,77.95794816,13734.03259770
20160313,0.00560317,0.00639729,0.00559574,0.00589744,87.35102421,14647.76128561
20160314,0.00589943,0.00625352,0.00480341,0.00484936,100.09440025,19138.61626568
20160315,0.00484997,0.00556810,0.00459426,0.00520996,104.35655634,21562.29065875
20160316,0.00519975,0.00532632,0.00445001,0.00468410,60.55832565,12499.52579119
20160317,0.00468384,0.00470000,0.00377000,0.00396000,98.97144920,23393.95784696
20160318,0.00395000,0.00419975,0.00318815,0.00370047,28.28717202,7732.96209297
20160319,0.00373885,0.00475000,0.00359153,0.00397040,22.32592925,5147.04494629
20160320,0.00432696,0.00435899,0.00360467,0.00392790,20.04592593,5040.53674321
20160321,0.00378280,0.00443479,0.00360000,0.00415780,15.49814672,3810.20782127
20160322,0.00415777,0.00439961,0.00391480,0.00433115,14.63349044,3481.06285872
20160323,0.00439722,0.00491990,0.00417220,0.00464162,57.61280366,12500.46843800
20160324,0.00463315,0.00463315,0.00409324,0.00438319,30.30849405,7086.76180573
20160325,0.00436631,0.00470000,0.00430955,0.00432627,16.14514957,3565.26229259
20160326,0.00449501,0.00449503,0.00422423,0.00444936,18.64281130,4293.71770856
20160327,0.00444206,0.00469881,0.00379998,0.00397290,32.79958138,7748.26839906
20160328,0.00400297,0.00423220,0.00385030,0.00394000,38.13118841,9345.66857822
20160329,0.00407412,0.00450995,0.00394785,0.00424627,11.83216211,2810.85471686
20160330,0.00430000,0.00440016,0.00411683,0.00411683,3.46018621,812.68961266
20160331,0.00420013,0.00420013,0.00400000,0.00406985,8.40596647,2065.77007063
20160401,0.00409999,0.00411984,0.00391686,0.00401000,22.87170872,5697.02470238
20160402,0.00401000,0.00406999,0.00370309,0.00381190,34.03215252,8768.90191620
20160403,0.00381188,0.00406978,0.00380000,0.00394772,46.55836267,11883.93955057
20160404,0.00392088,0.00400506,0.00383001,0.00392500,37.35723350,9513.46920367
20160405,0.00394502,0.00403432,0.00372271,0.00379954,9.63662011,2483.46648632
20160406,0.00377994,0.00382092,0.00355740,0.00368133,14.95060938,4054.19005134
20160407,0.00362854,0.00384519,0.00356214,0.00363327,8.09937966,2217.35833460
20160408,0.00359258,0.00379802,0.00349191,0.00358193,6.51829259,1801.10157451
20160409,0.00363906,0.00379989,0.00350000,0.00350022,7.05437735,1934.63755538
20160410,0.00358569,0.00361069,0.00253676,0.00293727,64.16174884,21118.83088204
20160411,0.00287201,0.00298483,0.00265000,0.00278962,6.52253425,2290.01505560
20160412,0.00279675,0.00279675,0.00250005,0.00264859,12.71282690,4839.25611285
20160413,0.00264855,0.00314327,0.00259500,0.00312753,20.93619002,7117.34621788
20160414,0.00307000,0.00307002,0.00290903,0.00300107,11.11495201,3699.53259187
20160415,0.00300107,0.00300107,0.00269290,0.00290902,4.10227301,1455.75068217
20160416,0.00284923,0.00345763,0.00284875,0.00325000,18.68950082,5766.27090355
20160417,0.00325036,0.00354972,0.00325000,0.00330000,15.16536064,4429.16431606
20160418,0.00336127,0.00336127,0.00323776,0.00324939,2.22705014,680.01051553
20160419,0.00329615,0.00341859,0.00316183,0.00316183,3.69300844,1109.84483558
20160420,0.00313117,0.00322875,0.00303575,0.00305000,6.50246605,2102.66744013
20160421,0.00305398,0.00325000,0.00270007,0.00284355,13.62042407,4593.84284387
20160422,0.00286219,0.00289970,0.00275499,0.00287927,6.68222560,2353.66823489
20160423,0.00285695,0.00296001,0.00285695,0.00295715,4.81338917,1660.77762978
20160424,0.00290107,0.00305804,0.00270625,0.00287874,5.63163042,1963.85250687
20160425,0.00274469,0.00290345,0.00256267,0.00265208,8.31788444,3083.92922600
20160426,0.00264650,0.00269000,0.00210800,0.00237025,23.92161141,10141.98024914
20160427,0.00232487,0.00259995,0.00228000,0.00258051,26.49602327,10883.48446780
20160428,0.00256485,0.00258065,0.00234500,0.00240062,9.67229586,3962.60367773
20160429,0.00240060,0.00250690,0.00225374,0.00228296,0.96555971,403.38606622
20160430,0.00235502,0.00251712,0.00228701,0.00242416,5.63340405,2370.59330464
20160501,0.00252000,0.00291584,0.00242416,0.00270004,10.11686613,3797.54053220
20160502,0.00263052,0.00282750,0.00256959,0.00270957,16.61736132,6107.74811919
20160503,0.00271106,0.00274887,0.00243100,0.00243100,10.10790238,3855.35508085
20160504,0.00250782,0.00259976,0.00250766,0.00257051,1.31602324,517.50292591
20160505,0.00254092,0.00257051,0.00246259,0.00254261,4.78211174,1880.88009840
20160506,0.00257505,0.00258580,0.00230351,0.00230351,7.06297962,2908.49247196
20160507,0.00230351,0.00239967,0.00222939,0.00238295,4.91214197,2141.74117031
20160508,0.00235613,0.00235613,0.00227962,0.00227962,2.12460835,911.36886453
20160509,0.00231801,0.00234339,0.00215001,0.00217942,4.73407070,2154.82554963
20160510,0.00222049,0.00235559,0.00221960,0.00228750,1.53180415,667.77111177
20160511,0.00230677,0.00233337,0.00225000,0.00233336,11.44022406,5044.76976987
20160512,0.00229604,0.00262324,0.00229604,0.00243501,9.33478571,3834.56036853
20160513,0.00243501,0.00254827,0.00238243,0.00239555,1.83799238,752.93211000
20160514,0.00239555,0.00241412,0.00232630,0.00237939,1.32880447,557.93189960
20160515,0.00236915,0.00236915,0.00225025,0.00225025,2.98117274,1308.01181793
20160516,0.00230956,0.00245616,0.00225239,0.00245616,2.44841804,1038.20445994
20160517,0.00238199,0.00248464,0.00225026,0.00231396,10.39338286,4389.27314086
20160518,0.00235107,0.00245855,0.00227000,0.00231185,4.24712657,1792.50192287
20160519,0.00232018,0.00258055,0.00227000,0.00253172,6.44948003,2674.02755280
20160520,0.00252226,0.00279999,0.00244215,0.00250013,29.01131070,11185.98371399
20160521,0.00253507,0.00256534,0.00240487,0.00243436,2.20827339,906.83100462
20160522,0.00243790,0.00265999,0.00241656,0.00255999,5.94391603,2366.12833766
20160523,0.00255999,0.00264154,0.00240092,0.00240092,9.45133635,3762.86091740
20160524,0.00240749,0.00248568,0.00215001,0.00230834,6.09706210,2611.60812600
20160525,0.00229267,0.00229267,0.00183642,0.00211134,29.19207609,14247.35690992
20160526,0.00214160,0.00220000,0.00196500,0.00196500,12.62541360,6272.47838746
20160527,0.00197021,0.00197021,0.00145355,0.00175858,39.58143299,23500.14109072
20160528,0.00174665,0.00175639,0.00123223,0.00140999,22.39185666,14498.43394892
20160529,0.00139547,0.00159061,0.00139547,0.00150125,7.07284496,4723.07645083
20160530,0.00151185,0.00159999,0.00142485,0.00158418,9.24956473,5916.25319403
20160531,0.00161000,0.00163036,0.00149030,0.00155840,4.98736735,3210.67787398
