[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150224,1.00000102,1.00000102,0.00000122,0.00000130,2.19811284,874400.17970024
20150225,0.00000141,0.00000174,0.00000127,0.00000127,0.34305170,240852.66912126
20150226,0.00000128,0.00000139,0.00000127,0.00000139,0.38828044,304917.14303527
20150227,0.00000131,0.00000141,0.00000115,0.00000140,0.07233441,55159.41428034
20150228,0.00000140,0.00000140,0.00000115,0.00000118,0.05473156,47200.93257703
20150301,0.00000115,0.00000149,0.00000113,0.00000113,0.39208487,311517.31630116
20150302,0.00000109,0.00000111,0.00000092,0.00000103,0.22016027,225724.46485023
20150303,0.00000103,0.00000103,0.00000090,0.00000090,0.04366680,45819.44973606
20150304,0.00000090,0.00000090,0.00000076,0.00000076,0.09976153,126410.35416232
20150305,0.00000096,0.00000096,0.00000075,0.00000075,0.01051791,11262.41141493
20150306,0.00000096,0.00000102,0.00000096,0.00000102,0.03324955,34318.28547786
20150307,0.00000075,0.00000075,0.00000075,0.00000075,0.00572493,7633.24007910
20150308,0.00000099,0.00000100,0.00000099,0.00000100,0.00891824,9000.00000000
20150309,0.00000082,0.00000082,0.00000041,0.00000071,0.07773430,135543.85808440
20150310,0.00000072,0.00000072,0.00000071,0.00000071,0.00702912,9782.83352882
20150311,0.00000054,0.00000069,0.00000049,0.00000069,0.08173665,165509.43342437
20150312,0.00000082,0.00000093,0.00000082,0.00000093,0.26807649,303583.40724746
20150314,0.00000093,0.00000093,0.00000093,0.00000093,0.01497728,16104.60957146
20150315,0.00000093,0.00000101,0.00000067,0.00000083,0.06160557,69120.63749228
20150316,0.00000083,0.00000083,0.00000050,0.00000050,0.05390235,87932.46786850
20150317,0.00000061,0.00000065,0.00000061,0.00000065,0.00185770,2922.57643898
20150320,0.00000062,0.00000096,0.00000062,0.00000067,0.02725084,38233.53138538
20150321,0.00000062,0.00000062,0.00000062,0.00000062,0.00930000,15000.00000000
20150322,0.00000060,0.00000075,0.00000060,0.00000075,0.04506397,71100.72693374
20150323,0.00000074,0.00000075,0.00000065,0.00000065,0.03319176,46830.56561330
20150324,0.00000067,0.00000089,0.00000064,0.00000064,0.05701715,80329.20182275
20150326,0.00000063,0.00000066,0.00000063,0.00000063,0.06892461,108309.88510116
20150327,0.00000063,0.00000064,0.00000060,0.00000060,0.10420200,172595.67818185
20150328,0.00000060,0.00000060,0.00000045,0.00000045,0.02806470,51600.89910372
20150329,0.00000050,0.00000054,0.00000049,0.00000050,0.01737851,34713.42322558
20150331,0.00000050,0.00000052,0.00000050,0.00000050,0.14702710,293631.92387035
20150401,0.00000052,0.00000052,0.00000052,0.00000052,0.00358983,6903.53617370
20150402,0.00000051,0.00000057,0.00000051,0.00000057,0.00922519,16679.87695670
20150403,0.00000052,0.00000057,0.00000051,0.00000057,0.02038503,39712.48163168
20150405,0.00000051,0.00000051,0.00000050,0.00000050,0.04663032,93197.13004545
20150406,0.00000050,0.00000052,0.00000050,0.00000051,0.04579463,90471.76032385
20150407,0.00000051,0.00000051,0.00000045,0.00000045,0.03612855,71915.75822259
20150408,0.00000045,0.00000050,0.00000045,0.00000045,0.10520763,231258.03184198
20150409,0.00000045,0.00000045,0.00000038,0.00000038,0.10525371,237304.27499166
20150410,0.00000046,0.00000047,0.00000038,0.00000038,0.01878350,44480.99000000
20150411,0.00000043,0.00000049,0.00000042,0.00000042,0.01825021,40247.25739086
20150412,0.00000042,0.00000047,0.00000041,0.00000041,0.01187145,26981.70705613
20150413,0.00000047,0.00000055,0.00000046,0.00000048,0.10263393,201181.47251532
20150414,0.00000047,0.00000047,0.00000047,0.00000047,0.01003358,21348.08862797
20150415,0.00000047,0.00000047,0.00000043,0.00000043,0.00115731,2675.87112856
20150416,0.00000044,0.00000044,0.00000044,0.00000044,0.00326268,7415.22653393
20150417,0.00000047,0.00000047,0.00000046,0.00000046,0.01048511,22619.81580892
20150418,0.00000045,0.00000057,0.00000045,0.00000052,0.05835970,122669.69662175
20150419,0.00000052,0.00000052,0.00000048,0.00000049,0.00543152,10943.13154830
20150421,0.00000056,0.00000056,0.00000047,0.00000054,0.04149320,79591.91113371
20150423,0.00000050,0.00000051,0.00000035,0.00000051,0.04574442,112716.99747332
20150424,0.00000048,0.00000055,0.00000039,0.00000039,0.06506967,157153.37457083
20150426,0.00000046,0.00000046,0.00000043,0.00000043,0.00673645,15182.76571014
20150427,0.00000042,0.00000043,0.00000041,0.00000043,0.01233347,29204.72556349
20150428,0.00000048,0.00000049,0.00000048,0.00000048,0.03204746,65803.67360293
20150429,0.00000045,0.00000046,0.00000045,0.00000046,0.00381709,8322.97509163
20150430,0.00000045,0.00000045,0.00000045,0.00000045,0.00347966,7732.58329371
20150501,0.00000049,0.00000050,0.00000049,0.00000050,0.00496287,10117.64705882
20150502,0.00000049,0.00000049,0.00000044,0.00000044,0.02680087,55767.22917024
20150503,0.00000046,0.00000046,0.00000044,0.00000044,0.02841154,64221.14847176
20150504,0.00000050,0.00000050,0.00000044,0.00000044,0.02435467,55052.91484530
20150505,0.00000044,0.00000044,0.00000044,0.00000044,0.01383998,31454.51830301
20150506,0.00000044,0.00000044,0.00000032,0.00000032,0.00253295,7834.52270893
20150508,0.00000042,0.00000049,0.00000042,0.00000049,0.00176707,3787.71928515
20150509,0.00000042,0.00000045,0.00000034,0.00000045,0.02999468,71904.13990717
20150511,0.00000048,0.00000048,0.00000048,0.00000048,0.00972990,20270.63472864
20150512,0.00000042,0.00000042,0.00000041,0.00000041,0.02540739,61004.04501313
20150513,0.00000042,0.00000042,0.00000041,0.00000042,0.02059879,49162.90082965
20150514,0.00000043,0.00000049,0.00000043,0.00000049,0.01933133,42151.36532428
20150515,0.00000048,0.00000048,0.00000041,0.00000041,0.04141787,96644.60170651
20150517,0.00000042,0.00000042,0.00000042,0.00000042,0.00094004,2238.20492687
20150518,0.00000043,0.00000043,0.00000043,0.00000043,0.00435922,10137.73168605
20150519,0.00000042,0.00000042,0.00000040,0.00000040,0.09245063,228579.38102535
20150520,0.00000040,0.00000040,0.00000040,0.00000040,0.00140432,3510.82142858
20150522,0.00000040,0.00000040,0.00000039,0.00000040,0.00812286,20359.07905920
20150523,0.00000039,0.00000039,0.00000039,0.00000039,0.02372781,60840.61035581
20150524,0.00000039,0.00000039,0.00000038,0.00000038,0.01448820,37277.47119034
20150525,0.00000037,0.00000037,0.00000036,0.00000036,0.07476302,205724.76282745
20150526,0.00000040,0.00000049,0.00000035,0.00000036,0.02345598,61191.40077755
20150527,0.00000035,0.00000035,0.00000035,0.00000035,0.00237702,6791.50785714
20150528,0.00000035,0.00000036,0.00000035,0.00000036,0.00168544,4721.61159506
20150529,0.00000036,0.00000036,0.00000036,0.00000036,0.00192860,5357.24917875
20150530,0.00000035,0.00000035,0.00000031,0.00000031,0.02185735,63647.45658729
20150531,0.00000031,0.00000031,0.00000029,0.00000029,0.02915440,95796.92271647
20150601,0.00000029,0.00000030,0.00000029,0.00000030,0.00523728,17830.98792547
20150602,0.00000029,0.00000030,0.00000029,0.00000029,0.00212338,7296.64741313
20150603,0.00000029,0.00000029,0.00000029,0.00000029,0.00298916,10307.49647942
20150604,0.00000029,0.00000029,0.00000028,0.00000028,0.00895727,31041.63194429
20150605,0.00000027,0.00000030,0.00000027,0.00000030,0.00501581,17818.89787060
